J115111.51+050528.7  31.4   6 1289  73  660 116  47.5   8  226  59  862 181 0 0.59 55
J115129.37+382552.3  25.1  13  708  81  333 196 122.5  21  -49  44  625 118 0 1.05 47
J115139.68+335541.4   5.3   2  516  63  278 101  21.0   3   -3  20  317  56 0 0.85 73
J120112.97+130153.3  23.1   7  425  59  404 143  33.9   8  -95  48  437 109 0 1.04 62
J121413.55+052254.3  63.4  34  322 125  620 244 138.8  31 -349  72  678 111 0 0.54 37
J122059.90+683226.0  38.6   7  130  31  332  58  35.7   6 -241  15  196  49 0 1.05 18
J122920.19+045806.6  17.4   6  611  56  322 153  20.5   6  130  47  316 132 0 1.27 72
J123252.73+301523.4  17.7  14  452 177  597 491  32.0  13 -275 124  619 258 0 1.12 73
J124302.16+191127.3  23.8  22  476 135  325 472  27.0  19  -11 160  361 248 0 2.33 24
J124410.82+172104.5  82.0  34  614  74  415 173 242.4  42  -84  50  634 120 0 1.52 60
J124902.54+171454.8  42.3  28  747 235  862 401  38.1  26  -10 209  773 279 0 0.47 47
J124926.52+092237.9  10.1   4  776 121  612 255  14.7   4 -173 100  688 239 0 2.46 75
J125939.54+140724.7  14.9   5  705  94  561 199  27.2   6  -96  69  678 172 0 0.91 78
J130507.52+223644.1  17.3   6  975 101  625 277  29.8   8   88  68  742 277 0 0.87 78
J132719.41+614136.0  32.1  14  577  66  365 186  21.4  12  202  59  250 129 0 1.21 17
J132751.21+061751.5  76.9  31  500 156 1106 377  29.5  16 -286  93  439 149 0 1.68 33
J134213.26+602142.9  16.0  11  536  87  416 318  46.9  10  -65  53  526 100 0 0.54 22
J134812.78+663935.5  13.0   5  795  68  336 121  37.2   8   61  75  731 199 0 1.24 72
J135559.88+260039.0  23.9  12  274  32  227  75 128.3  13  -98  23  489  56 0 1.26 53
J135645.52+405952.0  15.0   5  875  71  491 218  45.5   8 -173  50  816 169 0 1.02 42
J141737.36+215313.8  28.0  11  216  43  360 239  11.7   8 -114  38  178  79 0 0.98 32
J142242.49+041439.1  31.6  11  603  62  499 209  56.7  10  -70  40  504  83 0 0.54 23
J142749.36+532508.9  43.3  13  486  72  495 180  22.2  12  -46  73  352 193 0 1.64 22
J145103.23+114108.5  11.3   5  412  58  204  71  24.1   6  -80  44  240  70 0 1.65 64
J145138.82+084740.8  16.1   7  628  70  336 171  40.8   8   73  45  448 116 0 0.95 64
J145659.27+503805.4   9.1   7  192  37  145  77  34.6  42  -92  58  383 194 1 1.12 51
J145855.01+115654.7  19.0  10  373  49  198  67  44.9  14  -39  75  497 160 0 1.72 21
J150222.10+000933.1  38.4  16  469 169  754 290  18.6  13 -157 116  402 183 0 1.62 69
J150243.93+281739.9  18.8  10  108  62  193 115  18.9   9 -140  54  175  76 0 2.17 28
J150940.68+571811.8  20.4   4   43  32  350  41   8.9   7 -382  33  311 317 0 1.14 73
J210225.32-004841.8  14.8   5  549 120  526 177  22.7   5   31  31  292  61 0 0.67 52
