SDSS,RA,Dec,OpticalType,z,DeltaV,R,Imager,Exptime,UT,Seeing,IFS,Reference
144157.2+094859,14:41:57.2,+09:48:59,Type 2,0.220,826,61,NIRC2/Kp,320,100604,0.4,0,3
145156.8+301603,14:51:56.8,+30:16:03,Type 2,0.158,512,,NIRC2/Kp,320,100603,0.8,0,1
150437.7+541150,15:04:37.7,+54:11:50,Type 1,0.305,719,,NIRC2/Kp,256,100603,0.7,1,3
150452.3+321415,15:04:52.3,+32:14:15,Type 2,0.113,250,7,NIRC2/Kp,384,100603,0.8,0,2
151659.2+051752,15:16:59.2,+05:17:52,Type 2,0.051,326,8,NIRC2/Kp,160,100604,0.5,0,1;2
151757.4+114453,15:17:57.4,+11:44:53,Type 2,0.227,433,,NIRC2/Kp,320,100603,0.7,0,3
152606.2+414014,15:26:06.2,+41:40:14,Type 2,0.008,281,30,WFPC2/F606W,500,940828,,0,2
153231.8+420343,15:32:31.8,+42:03:43,Type 1,0.209,353,,NIRC2/Kp,448,100604,0.4,1,3
155009.6+080839,15:50:09.6,+08:08:39,Type 2,0.232,400,23,NIRC2/Kp,128,100604,0.3,0,1
160027.8+083743,16:00:27.8,+08:37:43,Type 2,0.227,422,3765,NIRC2/Kp,320,100604,0.3,0,1
160436.2+500958,16:04:36.2,+50:09:58,Type 2,0.146,366,,NIRC2/Kp,320,100604,0.3,0,1;2
160631.4+273643,16:06:31.4,+27:36:43,Type 2,0.158,319,9,NIRC2/Kp,128,100604,0.4,0,1
161826.9+081951,16:18:26.9,+08:19:51,Type 1,0.446,384,137,NIRC2/Kp,160,100603,0.6,1,3
161847.9+215925,16:18:47.9,+21:59:25,Type 1,0.334,365,5,NIRC2/Kp,160,100603,0.6,1,3
163056.8+164957,16:30:56.8,+16:49:57,Type 2,0.034,301,2,NIRC2/Kp,192,100604,0.5,0,1
163316.0+262716,16:33:16.0,+26:27:16,Type 2,0.071,307,,NIRC2/Kp,320,100603,0.6,0,2
171544.0+600835,17:15:44.0,+60:08:35,Type 2,0.157,348,62,NIRC2/Kp,320,100603,0.6,0,1;3
171930.6+293413,17:19:30.6,+29:34:13,Type 1,0.180,1105,2,NIRC2/Kp,224,100603,0.6,1,3
230442.8-093345,23:04:42.8,-09:33:45,Type 2,0.032,320,8,NIRC2/Kp,320,100603,0.7,0,1;2
231052.0-090012,23:10:52.0,-09:00:12,Type 2,0.094,329,138,ACS/F606W,720,050819,,0,1;2
233313.2+004912,23:33:13.2,+00:49:12,Type 2,0.170,434,1234,NIRC2/Kp,384,100603,0.7,1,1
235256.6+001155,23:52:56.6,+00:11:55,Type 2,0.167,322,,NIRC2/Kp,384,100604,0.5,1,1
