SDSSJ1337+6012A SDSSJ1337+6012B 1.727 1.721   3.1  -610  18.9    0.6 13 37 13.13 +60 12 06.7 18.68 18.58 18.57 18.34 18.43 13 37 13.08 +60 12 09.8 20.15 20.02 20.04 19.67 19.80 {chi}^2^
SDSSJ1349+1227A SDSSJ1349+1227B 1.722 1.722   3.0    30  18.3   12.9 13 49 29.84 +12 27 07.0 17.88 17.75 17.70 17.45 17.45 13 49 30.00 +12 27 08.8 19.46 19.26 19.09 18.73 18.59 {chi}^2^
SDSSJ1400+1232A SDSSJ1400+1232B 2.053 2.068  14.6  1470  87.7    0.6 14 00 52.07 +12 32 35.2 20.37 20.28 20.26 20.13 19.87 14 00 52.56 +12 32 48.0 20.50 20.42 20.44 20.26 19.98 photo
SDSSJ1405+4447A SDSSJ1405+4447B 2.226 2.246   7.4  1870  44.2    3.2 14 05 01.94 +44 47 59.9 18.66 18.15 17.94 17.87 17.67 14 05 02.41 +44 47 54.4 20.59 20.13 19.97 19.90 19.61 {chi}^2^
SDSSJ1409+3919A SDSSJ1409+3919B 2.078 2.083   6.8   480  40.7    3.9 14 09 53.74 +39 20 00.0 20.27 20.22 20.12 20.06 19.78 14 09 53.88 +39 19 53.4 20.85 20.91 20.86 20.67 20.31 photo
SDSSJ1432-0106A SDSSJ1432-0106B 2.082 2.082   5.1   -40  30.8    4.3 14 32 29.24 -01 06 16.1 17.67 17.68 17.60 17.40 17.10 14 32 28.95 -01 06 13.6 21.20 20.95 20.94 20.74 20.37
SDSSJ1530+5304A SDSSJ1530+5304B 1.531 1.533   4.1   230  25.0    8.8 15 30 38.56 +53 04 04.2 20.86 20.54 20.42 20.13 20.06 15 30 38.82 +53 04 00.8 20.68 20.67 20.53 20.31 20.22 photo
SDSSJ1546+5134A SDSSJ1546+5134B 2.949 2.930  42.2 -1450 236.0   12.4 15 46 10.55 +51 34 29.5 22.33 20.57 20.31 20.20 20.29 15 46 14.24 +51 34 05.0 20.63 19.43 19.10 18.91 18.88 {chi}^2^
SDSSJ1629+3724A SDSSJ1629+3724B 0.923 0.906   4.4 -2620  24.5   16.0 16 29 02.59 +37 24 30.8 19.44 19.26 19.09 19.16 19.05 16 29 02.63 +37 24 35.2 19.48 19.40 19.27 19.37 19.31 {chi}^2^
SDSSJ1719+2549A SDSSJ1719+2549B 2.172 2.170  14.7  -220  87.5    6.4 17 19 46.66 +25 49 41.2 20.16 19.93 19.89 19.85 19.62 17 19 45.87 +25 49 51.3 20.07 19.74 19.65 19.65 19.46 {chi}^2^
SDSSJ1723+5904A SDSSJ1723+5904B 1.604 1.597   3.7  -830  22.7    3.0 17 23 17.42 +59 04 46.8 19.38 19.04 18.95 18.69 18.76 17 23 17.30 +59 04 43.2 21.22 20.43 20.46 20.18 20.20 {chi}^2^
SDSSJ2128-0617A SDSSJ2128-0617B 2.065 2.062   8.3  -290  49.7   15.5 21 28 57.38 -06 17 50.9 19.76 19.88 19.99 19.83 19.80 21 28 57.74 -06 17 57.2 19.95 19.96 20.24 19.96 19.74 photo
SDSSJ2214+1326A SDSSJ2214+1326B 2.002 1.995   5.8  -690  35.2   19.4 22 14 27.03 +13 26 57.0 20.24 20.15 20.15 19.92 19.52 22 14 26.79 +13 26 52.3 20.51 20.37 20.22 19.95 19.74 photo
SDSSJ2220+1247A SDSSJ2220+1247B 1.987 2.003  15.9  1600  95.5   43.0 22 20 30.26 +12 47 33.5 19.99 19.99 19.97 19.85 19.69 22 20 29.53 +12 47 45.1 20.81 20.81 20.69 20.30 20.12 photo
SDSSJ2348+0057A SDSSJ2348+0057B 2.157 2.157   7.1   -10  42.4    0.3 23 48 19.59 +00 57 21.5 19.08 18.78 18.71 18.68 18.50 23 48 19.19 +00 57 17.5 20.86 20.57 20.51 20.45 20.28
