SDSSJ0815+2413A SDSSJ0815+2413B 1.511 1.575  19.4       117.7    7.6 08 15 45.67 +24 13 11.9 18.22 18.06 18.04 17.86 17.93 08 15 45.52 +24 13 31.2 19.77 19.47 19.49 19.30 19.46
SDSSJ0836+4841A SDSSJ0836+4841B 1.712 0.657   4.1        20.2    9.6 08 36 49.55 +48 41 54.4 18.65 18.39 18.32 18.05 18.07 08 36 49.45 +48 41 50.4 19.41 19.17 19.17 19.05 19.03
SDSSJ0902+5637A SDSSJ0902+5637B 1.340 1.390   5.4        32.6    4.3 09 02 35.73 +56 37 56.5 20.52 20.51 20.11 20.07 20.31 09 02 35.36 +56 37 52.0 20.67 20.89 20.40 20.40 20.41
SDSSJ0905+5230A SDSSJ0905+5229B 2.044 1.830  55.0       333.4    1.1 09 05 47.65 +52 30 10.7 18.59 18.68 18.77 18.50 18.37 09 05 47.15 +52 29 15.9 20.39 20.47 20.58 20.34 20.14
SDSSJ0914+0109A SDSSJ0914+0109B 2.144 2.474  23.1       138.1   30.3 09 14 32.02 +01 09 12.4 20.11 19.90 20.07 19.93 19.68 09 14 30.85 +01 09 27.5 20.79 20.27 20.25 20.26 19.77
SDSSJ0925+5938A SDSSJ0925+5938B 0.911 1.299  16.4        91.3   16.7 09 25 04.86 +59 38 57.2 20.03 19.91 19.76 19.75 19.44 09 25 07.02 +59 38 57.0 20.31 20.41 20.05 20.11 19.90
SDSSJ0925+3859A SDSSJ0925+3859B 3.135 2.812  57.1       323.0    1.2 09 25 50.67 +38 59 51.3 20.87 19.40 19.29 19.16 19.12 09 25 55.00 +38 59 24.5 21.65 20.23 20.08 20.01 19.85
SDSSJ0944+4514A SDSSJ0944+4514B 1.440 0.667  18.0        89.4   10.1 09 44 20.32 +45 14 32.0 20.00 19.94 19.84 19.79 19.97 09 44 18.64 +45 14 29.4 20.19 20.11 19.98 19.92 19.80
SDSSJ0954+3734A SDSSJ0954+3734B 1.892 1.544   3.1        19.1   37.7 09 54 55.00 +37 34 20.0 19.12 18.87 18.68 18.37 18.35 09 54 54.73 +37 34 19.8 19.76 19.52 19.37 19.22 19.39
SDSSJ1005+5019A SDSSJ1005+5019B 2.020 1.821  24.2       146.6   18.3 10 05 07.08 +50 19 29.8 18.25 18.23 18.29 18.15 17.96 10 05 09.60 +50 19 29.8 20.36 20.57 20.55 20.30 20.32
SDSSJ1023+0533A SDSSJ1023+0533B 1.955 0.648   9.7        47.6    2.9 10 23 43.06 +05 33 02.8 20.67 20.53 20.52 20.49 20.22 10 23 42.59 +05 33 09.5 20.91 20.83 20.82 20.65 20.44
SDSSJ1038+5027A SDSSJ1039+5026B 3.135 3.234  29.4       161.5   20.2 10 38 57.37 +50 27 08.0 21.43 19.49 19.23 19.14 19.10 10 39 00.01 +50 26 52.8 22.64 20.56 20.44 20.37 20.81
2QZJ1107-0111A  SDSSJ1107-0112B 0.000 1.323  13.6         0.0   22.8 11 07 34.93 -01 11 54.7 19.83 19.66 19.57 19.43 19.15 11 07 35.45 -01 12 05.8 20.82 21.06 20.72 20.71 20.72
SDSSJ1112+6612A SDSSJ1112+6611B 2.251 2.210  29.0       172.6    7.8 11 12 45.71 +66 12 15.4 19.70 19.24 19.18 19.15 18.85 11 12 42.69 +66 11 52.8 20.49 20.11 19.93 19.95 19.70
SDSSJ1128+0554A SDSSJ1128+0554B 1.527 1.652  21.1       127.8    7.2 11 28 48.45 +05 54 49.3 19.39 19.21 19.14 18.97 19.07 11 28 49.70 +05 54 39.6 20.03 19.81 19.85 19.65 19.97
SDSSJ1131-0222A SDSSJ1131-0222B 2.204 2.364  10.7        63.6   16.3 11 31 52.24 -02 22 52.9 20.71 20.38 20.31 20.28 20.11 11 31 52.83 -02 22 46.8 20.12 19.58 19.37 19.40 19.42
SDSSJ1145+0322A SDSSJ1145+0322B 2.011 1.773  15.9        96.7   20.6 11 45 46.22 +03 22 51.9 19.40 19.28 19.18 19.03 18.83 11 45 46.54 +03 22 36.7 20.44 20.47 20.29 19.95 19.88
SDSSJ1147+1234A SDSSJ1147+1234B 2.232 1.583   4.8        28.9    9.0 11 47 18.67 +12 34 36.3 20.12 19.67 19.62 19.65 19.40 11 47 18.45 +12 34 39.8 21.03 20.78 20.79 20.60 20.84
SDSSJ1204+0221A SDSSJ1204+0221B 2.528 2.433  13.3        77.7    3.1 12 04 16.69 +02 21 11.0 17.82 18.50 17.76 18.45 18.38 12 04 17.47 +02 21 04.7 19.13 19.96 19.21 19.98 19.77
SDSSJ1204+4428A SDSSJ1204+4428B 1.144 1.814   3.1        18.0    4.9 12 04 50.54 +44 28 35.9 19.10 19.00 18.77 18.80 18.86 12 04 50.78 +44 28 34.2 19.59 19.44 19.41 19.22 19.32
SDSSJ1228+0232A SDSSJ1228+0231B 3.138 3.095  47.3       260.5   13.3 12 28 19.25 +02 32 29.4 22.00 20.59 20.39 20.22 19.73 12 28 17.62 +02 31 49.0 22.07 20.00 19.80 19.69 19.73
SDSSJ1249+0607A SDSSJ1249+0607B 2.376 2.001   5.0        30.4   24.5 12 49 48.18 +06 07 14.0 20.34 20.30 20.44 20.26 19.92 12 49 48.13 +06 07 09.0 20.91 20.32 20.51 20.43 20.21
SDSSJ1255+6309A SDSSJ1255+6309B 1.753 1.393   3.0        18.2   20.1 12 55 30.45 +63 09 00.6 20.46 20.26 20.29 19.92 20.19 12 55 30.83 +63 09 02.2 20.47 20.54 20.21 20.06 20.22
SDSSJ1306+6158A SDSSJ1306+6158B 2.102 2.170  16.3        97.3   17.9 13 06 05.19 +61 58 23.7 20.33 20.23 20.18 20.19 20.02 13 06 03.55 +61 58 35.2 20.88 20.31 20.33 20.39 20.10
SDSSJ1316+0548A SDSSJ1316+0548B 2.156 1.586  10.7        65.2   23.9 13 16 55.19 +05 48 27.4 19.87 19.65 19.46 19.29 19.04 13 16 54.89 +05 48 17.6 20.19 20.22 20.15 19.91 19.84
SDSSJ1330+6234A SDSSJ1330+6233B 3.516 3.448  45.9       243.9    4.1 13 30 45.22 +62 34 12.6 23.36 20.72 20.08 19.91 19.79 13 30 39.10 +62 33 54.9 24.41 21.15 20.46 20.38 20.53
SDSSJ1409+5225A SDSSJ1409+5225B 2.109 1.870  19.5       118.0   17.9 14 09 16.98 +52 25 35.3 19.03 18.85 18.84 18.75 18.54 14 09 18.01 +52 25 52.4 20.36 20.49 20.54 20.31 20.18
2QZJ1427-0121A  SDSSJ1427-0121B 2.277 2.352   6.2        36.8   16.0 14 27 58.89 -01 21 30.4 19.82 19.26 19.15 19.13 19.08 14 27 58.73 -01 21 36.2 20.06 19.32 19.27 19.27 18.99
SDSSJ1540+2921A SDSSJ1540+2921B 2.148 0.650  28.5       140.2   10.8 15 40 50.72 +29 21 31.2 19.50 19.23 19.10 19.03 18.87 15 40 49.78 +29 21 56.9 20.78 20.61 20.56 20.35 20.08
SDSSJ1555+4924A SDSSJ1555+4925B 1.383 1.452  49.2       297.0    2.8 15 55 55.56 +49 24 56.7 18.59 18.50 18.34 18.31 18.40 15 55 57.97 +49 25 40.0 20.15 20.03 19.92 19.83 19.86
SDSSJ1605+5113A SDSSJ1605+5113B 1.786 1.844  11.6        70.6    9.3 16 05 47.61 +51 13 30.5 19.39 19.36 19.41 19.05 19.04 16 05 46.67 +51 13 22.9 18.80 18.76 18.70 18.44 18.38
SDSSJ1621+3508A SDSSJ1621+3508B 2.031 2.070  36.9       221.4    2.7 16 21 45.42 +35 08 07.2 18.76 18.71 18.65 18.56 18.42 16 21 48.42 +35 08 09.8 19.07 19.05 19.00 18.93 18.73
SDSSJ1711+2915A SDSSJ1711+2915B 2.161 1.117  27.9       163.5   12.1 17 11 31.22 +29 15 10.2 20.16 20.04 20.05 19.90 19.82 17 11 29.31 +29 15 22.7 20.57 20.43 20.27 20.20 20.12
SDSSJ1712+6141A SDSSJ1712+6140B 1.712 1.856  38.8       235.5    5.0 17 12 49.15 +61 41 35.3 19.05 18.91 18.93 18.73 18.71 17 12 50.01 +61 40 57.1 19.44 19.39 19.43 19.22 19.22
SDSSJ2112-0633A SDSSJ2112-0633B 1.560 0.551  15.2        69.1   10.0 21 12 30.34 -06 33 32.1 19.23 19.15 19.24 18.93 19.17 21 12 29.32 -06 33 31.4 20.05 19.83 19.98 19.70 19.60
SDSSJ2120-0019A SDSSJ2120-0019B 2.577 0.860  19.3       105.6    9.5 21 20 25.79 -00 19 48.1 18.19 17.58 17.53 17.55 17.39 21 20 27.06 -00 19 51.2 21.23 20.80 20.64 20.73 20.23
SDSSJ2124+1036A SDSSJ2124+1036B 2.053 1.693  28.9       175.5    5.8 21 24 10.54 +10 36 04.9 20.35 20.24 20.11 19.93 19.57 21 24 09.69 +10 36 30.9 20.84 20.68 20.65 20.39 20.31
SDSSJ2144-0754A SDSSJ2144-0754B 1.815 1.612  14.9        90.3   10.8 21 44 32.75 -07 54 42.8 18.69 18.52 18.55 18.17 18.14 21 44 33.14 -07 54 56.5 20.77 20.48 20.50 20.00 20.02
SDSSJ2146-0752A SDSSJ2146-0753B 2.112 2.577  13.9        83.1   98.8 21 46 20.68 -07 52 50.6 19.36 19.47 19.45 19.18 18.83 21 46 20.98 -07 53 03.8 20.78 20.26 20.33 20.30 20.16
SDSSJ2155-0722A SDSSJ2155-0722B 1.638 2.220  26.9       163.3   85.7 21 55 30.41 -07 22 23.3 19.61 19.56 19.66 19.46 19.59 21 55 31.86 -07 22 07.2 21.25 20.43 20.47 20.18 19.79
SDSSJ2202+1236A SDSSJ2202+1236B 2.071 2.508  11.6        69.7   20.1 22 02 48.61 +12 36 45.5 19.27 19.10 18.91 18.89 18.74 22 02 48.31 +12 36 56.3 20.67 20.26 20.20 20.19 19.98
SDSSJ2207+1259A SDSSJ2207+1300B 3.093 2.840  49.4       279.1   12.2 22 07 58.31 +12 59 44.3 22.09 20.09 19.76 19.83 20.10 22 07 55.38 +13 00 09.0 22.22 20.67 20.36 20.23 20.32
SDSSJ2227-0059A SDSSJ2227-0100B 2.232 1.725  35.0       212.3   12.5 22 27 13.99 -00 59 58.6 20.27 19.82 19.81 19.70 19.52 22 27 15.47 -01 00 25.6 20.65 20.50 20.40 20.19 20.24
SDSSJ2248-1024A SDSSJ2248-1024B 2.143 0.488  25.6       109.1   11.0 22 48 10.77 -10 24 24.8 19.15 19.07 19.04 18.91 18.71 22 48 10.46 -10 24 50.0 19.93 19.71 19.80 19.53 19.32
SDSSJ2312+1444A SDSSJ2312+1444B 1.522 0.768   6.4        33.6   38.0 23 12 53.05 +14 44 53.4 18.04 17.51 17.39 17.28 17.36 23 12 52.80 +14 44 58.6 20.64 20.00 19.92 19.99 19.62
SDSSJ2316+0024A SDSSJ2316+0024B 2.220 1.776  12.3        74.5   43.0 23 16 23.35 +00 24 12.8 20.04 19.47 19.28 19.22 19.01 23 16 22.74 +00 24 04.5 20.74 20.75 20.72 20.49 20.67
SDSSJ2335-0924A SDSSJ2335-0924B 2.280 1.900  44.4       268.6   54.2 23 35 20.19 -09 24 36.5 20.03 19.45 19.55 19.40 19.15 23 35 17.43 -09 24 19.0 20.30 20.42 20.38 20.17 19.70
SDSSJ2337+0025A SDSSJ2337+0026B 2.045 1.464  20.4       123.8   96.7 23 37 18.07 +00 25 50.7 19.57 19.45 19.34 19.16 18.75 23 37 18.72 +00 26 08.6 20.06 20.01 20.07 19.96 20.06
SDSSJ2346-0906A SDSSJ2346-0907B 2.112 0.720  45.6       233.8   30.6 23 46 10.57 -09 06 19.8 19.28 19.22 19.17 19.14 18.91 23 46 10.59 -09 07 05.4 21.06 20.55 20.51 20.41 19.96
SDSSJ2347+1501A SDSSJ2347+1501B 2.290 2.159  47.3       281.8   89.5 23 47 03.24 +15 01 01.5 20.22 19.52 19.44 19.34 19.06 23 47 04.25 +15 01 46.4 20.05 20.04 20.02 19.80 19.44
