J083844.80+132737.0 53795 2426 553 0.18434 0.00004 17.54 181.7  11.2  -84.6 22.3  257.3   26.6 186.2 16.9 140.6   16.1  177.3  28.0    76.0  21.2  123.4   8.3   41.3   7.0 1
J084118.94+053350.9 52708 1187 517 0.22502 0.00006 17.57 170.4  18.3 -143.3 19.8   86.6   40.7  94.0 13.2 130.3   28.3    8.1   3.4     6.7   2.8   37.3  10.1   29.2   9.0 1
J084158.40+273551.6 52964 1587 579 0.12108 0.00003 17.22 140.0   9.5  -81.2  9.7  153.0   12.3 124.5  6.1  97.6    8.0   68.2   4.5    12.3   3.6  174.5   9.1   89.9  16.4 1
J084254.66+180148.6 53711 2278 567 0.20693 0.00006 16.90 256.7  15.7 -162.7 11.2  125.4    5.0 123.0  8.0 122.0    3.3  150.1  17.2   378.3  15.7  113.1   9.2  228.0   8.0 1
J085315.22+020255.7 51912  468 526 0.12897 0.00004 17.68 155.6  11.3  -39.2 11.0  241.5    4.8 208.7  5.9 124.7    4.4  135.9   8.1   147.9   9.0  310.3  13.5   78.7   8.7 1
J085317.02+183244.4 53711 2281 497 0.08550 0.00002 16.59 141.6   6.7 -253.4  4.4   43.8   10.1 132.7  3.5 138.1    7.6  360.8  15.3   112.9  12.5  141.1   6.3  114.5   8.4 1
J085809.53+030800.2 52225  565 560 0.07111 0.00002 16.09 171.8   6.8 -166.2  4.1   89.5    7.6  98.6  2.8 143.7    5.2  221.9  17.4   387.6  20.6  394.6  16.1  393.7  14.1 1
J090012.02+450514.9 52605  897 519 0.08818 0.00002 15.72 167.1   6.9 -125.8  3.2  165.3    4.6 130.5  2.2 112.4    3.0  179.8   4.7    42.3   3.6 1112.3  22.6  604.3  34.6 1
J090108.66+555400.7 51942  483  72 0.18017 0.00004 17.46  92.1  12.9 -106.4  2.2  126.9    4.8 105.9  1.8 113.5    3.9   47.8   2.8   108.3   5.8  385.9  18.4   93.7   7.4 1
J090722.47+001836.0 51929  470 552 0.16337 0.00006 17.88 158.1  17.2 -191.0 14.4   75.9    6.4  75.5 14.6 152.6    6.8    3.7   3.4   155.2  11.6   21.9  16.7  167.1  10.2 1
J090852.69+061912.1 52703 1194 284 0.18242 0.00006 17.68 197.1  15.8 -201.6  4.1   36.6    7.9  97.6  3.4 135.6    6.7  130.3  12.4   240.1  16.4  208.7  15.9   72.1   6.9 1
J091605.16+002030.4 51955  472 520 0.14344 0.00004 17.40 152.7  10.4 -166.0  8.3   65.2    8.0  89.0  5.9 123.0    5.8  111.9  15.5   212.1  16.5   44.6   3.7   95.9   5.1 1
J091733.30+074153.8 52976 1301   8 0.12743 0.00003 17.17 139.1   9.8 -165.1 12.1   84.2    8.6 113.4  6.5 126.4    4.8  196.5  25.6   360.6  25.4   89.2   4.9  141.0   5.7 1
J092032.70+525406.4 51999  553 601 0.21203 0.00006 17.67 118.2  16.8 -390.3 49.0   -8.5   10.6 212.8 42.0 141.9    8.7   16.6  10.0    59.5   6.3   83.4  37.4  126.9  12.5 1
J092414.71+030900.8 52254  568 184 0.12788 0.00005 16.22 203.6  15.1  -47.3  8.5  245.4   19.7 155.6  4.8 144.5   10.9  383.4  19.8    84.4  20.4  389.0  14.6  183.0  21.6 1
J092628.86+031411.9 52254  568 167 0.11588 0.00003 16.60 105.7   8.1 -484.0 25.8  -49.2    8.8 297.9 24.7 176.4    9.8  219.6  20.4    47.3  13.4  413.0  41.4  319.3  49.7 1
J094414.45+091131.7 52757 1305 193 0.11484 0.00004 16.78 190.2  10.9 -185.3 11.4   91.2   21.8 109.3  7.4 149.3   15.3   28.3   6.7    57.2   9.0  171.6  24.8  155.7  16.3 1
J094539.31+515539.6 52409  902 376 0.19452 0.00005 16.99 187.2  15.5  -84.3 15.6  181.4    7.3 166.0 10.7 107.5    5.1  225.9  23.9   161.0  19.6  168.1   8.6   87.1   6.5 1
J094731.99-002940.9 51602  266  70 0.08374 0.00004 15.83 179.3  12.3 -142.9  6.4   96.8   24.4 100.2  5.5 165.3   14.2   10.2   2.1    25.5   4.0  194.1  22.1  238.6  22.9 1
J094958.06+330745.1 53387 1945 102 0.18080 0.00007 16.82 208.5  18.8 -195.2  6.8  156.3   28.0  99.3  7.9 207.4   37.3    9.0   2.6    27.0   8.5   84.1  17.8   33.2  39.1 1
J095214.97+011229.6 51608  267 521 0.09925 0.00004 17.09 154.9  10.3 -207.3 26.8   52.2   14.1 127.4 20.7 106.0   10.1   44.6  13.6    34.3   9.0   32.6   5.4   47.1   7.9 1
J095335.10+325121.7 53433 1949 331 0.15910 0.00008 17.33 280.5  22.1 -304.8 11.5   63.8   15.1 182.7 10.2 171.4   12.7  140.1  25.0   177.6  29.4  301.9  30.6   76.6  23.8 1
J095650.42+330029.5 53433 1949 378 0.14977 0.00004 17.02 139.0  11.8 -105.8 10.5  102.5   13.4  90.1  5.9  98.3    7.8   23.8   3.9    23.0   3.6  151.3  15.8  135.1  13.1 1
J100220.87+402749.1 53033 1356 415 0.15266 0.00004 16.40 232.4  10.5 -211.7  9.4  144.9   10.2 125.5  7.4 215.2    8.4  193.1  28.0   681.0  39.5   99.5   8.4  342.6  19.7 1
J100306.72+150140.2 54169 2586 364 0.07825 0.00003 15.68 237.4   7.1 -118.3 49.3  215.8   43.5 163.3 28.3 160.4   23.5   47.7  17.8    60.5  18.7   78.7  10.3   88.1  10.2 1
J100313.62+485107.6 52708 1006  95 0.12188 0.00003 17.60 110.4   8.1  -97.1  7.9  119.5   11.1  97.7  5.2  98.2    6.9  217.4  20.1   124.1  17.3   86.7   5.3   67.8   5.8 1
J100318.64+293806.5 53436 1950  93 0.12841 0.00007 17.79 142.1  21.2 -196.3  4.4   37.7    7.7  85.4  2.8 119.6    5.4  257.7  15.5   262.5  16.3  147.2   5.9  182.9   6.9 1
J100430.92+201135.8 53737 2364 204 0.16002 0.00002 17.60 156.3   7.2  -78.9 18.7  201.0   15.6 147.6 12.6 118.8    8.9  132.4  19.9   103.3  17.0   64.0   6.5   25.2   5.3 1
J101307.29+485952.8 52674  873 329 0.22210 0.00019 17.50 336.7  50.7  -36.3  9.2  199.1    1.9 254.4  4.2  91.1    2.4  178.8   9.0    62.2   4.1  529.9  24.9  379.3  20.1 1
J101508.89+563709.6 52407  946 496 0.12375 0.00002 16.20 183.2   7.0 -124.0 20.5  152.5   17.6 125.3 12.9 128.1   10.6   92.2  17.8   105.3  17.7   70.0   6.6  102.0   8.4 1
J102152.87+134252.3 53062 1746 504 0.22538 0.00005 18.55 109.9  14.4 -104.9  8.9  107.8    6.9 100.6  6.2  78.9    4.5   23.1   2.1     9.5   1.9  122.5   8.4   98.7  15.1 1
J103729.56+445142.1 52992 1431 469 0.12222 0.00002 16.82 114.2   6.4 -132.3  9.1   85.6    6.5  95.0  4.9 106.6    3.8  234.4  25.9   442.2  26.6  113.1   5.4  198.9   6.6 1
J104110.90+544953.2 52368  906 261 0.15789 0.00004 17.14 115.7  11.7  -40.9 13.8  149.5   15.7  97.0  7.8  83.3    9.0   27.5   5.2    33.2   6.1  194.8  21.7  113.0  15.6 1
J104148.04+401721.6 53035 1433 424 0.06944 0.00002 16.67  71.1   6.9 -218.2 27.1   -1.8    1.8 146.0 18.0  92.0    1.3   11.7   2.5    25.0   1.4  111.8  12.3  840.2  33.1 1
J104212.31+011322.3 51913  274 566 0.19547 0.00006 17.83 179.1  16.8 -133.8 14.7  128.4   11.8 115.7  8.8 117.5    9.0   22.9   2.8    15.5   2.4  101.9   8.6  129.9   9.8 1
J104402.64+520452.4 52644 1009 637 0.15210 0.00003 17.26 166.0   9.7 -142.6  4.1   76.0    8.7  80.9  3.9 138.4    6.4    5.7   1.1    72.8   4.1  115.2  17.7  143.6   9.1 1
J104724.30+204039.0 54097 2478 543 0.16828 0.00004 17.79 149.2  11.3 -160.4 17.1   76.5   11.7 113.3  8.1 126.2    7.0   26.9   4.0    20.0   3.1  105.9  11.6  198.7  18.0 1
J105302.67+055631.8 52670 1001  49 0.13218 0.00005 16.64 157.8  14.0  -90.5  5.0  127.6    3.6 101.2  3.3  94.6    2.4   62.2   5.5   217.3   9.4  427.3  29.5  421.1  16.6 1
J105740.70-010953.3 51908  277 294 0.10833 0.00007 16.62 231.4  19.0 -222.2  4.1   59.2    4.7 117.2  3.9 170.4    5.1   16.7   1.9   334.8  19.4  227.9  21.1  293.9  13.6 1
J105900.18+500255.5 52353  877 300 0.13490 0.00006 16.53 199.3  15.9  -21.8  9.0  290.7    4.3 184.9  6.7 155.3    2.7  141.9  10.4   386.9  11.0  235.6  10.4  257.1  10.8 1
J105916.68+545344.1 52373  907  60 0.22022 0.00004 17.73 161.9  10.6  -89.9 15.9  190.8   14.9 148.7 11.2 118.2    7.8  247.1  31.6   147.4  24.5  100.5   6.3   61.7   6.2 1
J110033.49+495119.7 52353  877 246 0.13443 0.00003 16.81 157.6   8.7 -135.7  6.9  106.0    5.5  93.2  4.1 124.6    3.7  205.9  20.7   555.2  24.3   98.5   5.0  196.8   6.1 1
J110126.79+505227.2 52353  877 473 0.06837 0.00003 15.34 262.4   7.4 -167.1 36.5  109.3   38.7 136.2 20.1 142.8   22.9   46.3  15.2    46.5  14.9   80.0  12.0   62.8  10.8 1
J110245.16+224149.9 54149 2488 446 0.24859 0.00012 18.43 157.5  36.1 -115.6 10.0  104.6    8.5 106.0  4.7 107.3    4.1  156.0  15.0   179.1  15.1  337.7   9.9  426.6  10.9 1
J110540.17+563024.8 52373  908 479 0.16358 0.00004 17.34 114.6  11.7 -130.2 10.1   46.6   16.5  77.1  6.0  92.3    9.4   20.1   4.7    32.8   5.2  122.2  16.1   98.8  10.4 1
J110621.96+035747.1 52356  581 211 0.24233 0.00005 17.66 206.1  14.9  -95.0  3.3  257.4    8.7 168.4  2.3 145.0    4.8 1347.8  28.5   325.7  23.4  504.5   7.6  149.6   6.7 1
J111237.43+120729.5 53078 1604 516 0.04674 0.00002 15.16 176.4   4.7   -4.0  5.1  222.5    4.8 198.7  5.4  79.2    5.3  415.4  28.1    11.6   2.7  601.5  30.4  146.7  28.8 1
J111628.72+313047.7 53431 1979 338 0.10851 0.00004 17.13 158.1  10.9 -179.3 15.6  244.9   13.6 232.8 21.7  89.3   15.0   32.9   4.5    12.5   3.0   85.2  13.4   13.6   5.9 1
J111828.42+275223.9 53793 2215  84 0.04672 0.00002 15.52 133.5   5.8  -78.3  9.9  166.7   13.4 121.6  6.9  94.4    8.3   43.3   4.6    19.6   4.0  323.1  21.5  125.6  17.3 1
