RA,Dec,RA_deg,Dec_deg
11:25:37.28,-1:17:3.4,171.40533333333332,-1.2842777777777776
11:25:42.9,-1:19:11.6,171.42874999999995,-1.319888888888889
11:27:14.78,-2:41:31.4,171.81158333333332,-2.6920555555555556
11:27:19.18,-2:43:47.1,171.82991666666663,-2.72975
11:29:12.12,+61:27:57.7,172.30049999999997,61.46602777777778
11:29:15.59,+1:51:46.2,172.3149583333333,1.8628333333333333
11:29:2.06,+61:27:50.0,172.25858333333332,61.46388888888889
11:29:22.56,+1:53:31.3,172.34399999999997,1.8920277777777776
11:34:57.74,+8:49:35.3,173.74058333333332,8.826472222222222
11:34:59.38,+8:49:23.3,173.74741666666662,8.823138888888888
11:35:24.97,+0:14:41.7,173.85404166666666,0.24491666666666667
11:35:32.86,+0:14:11.4,173.88691666666665,0.23650000000000002
11:38:23.07,+1:36:32.8,174.59612499999997,1.6091111111111112
11:38:23.72,+1:39:24.8,174.5988333333333,1.6568888888888889
11:38:8.89,+68:7:36.9,174.53704166666665,68.12691666666666
11:38:9.21,+68:7:38.8,174.53837499999997,68.12744444444444
11:3:57.72,+3:18:8.3,165.99049999999997,3.3023055555555554
11:40:12.13,-1:49:55.2,175.05054166666665,-1.832
11:40:18.75,-1:48:42.0,175.07812499999997,-1.8116666666666668
11:43:16.98,+13:24:0.8,175.82074999999998,13.400222222222222
11:43:23.44,+13:25:42.0,175.84766666666664,13.428333333333333
11:46:51.19,-1:24:56.3,176.71329166666666,-1.415638888888889
11:46:52.97,-1:24:46.4,176.7207083333333,-1.4128888888888889
11:48:10.62,-2:33:1.6,177.04425,-2.550444444444444
11:48:39.41,+10:50:16.7,177.16420833333333,10.837972222222223
11:48:44.25,+10:47:56.7,177.184375,10.799083333333334
11:48:5.31,-2:33:3.6,177.022125,-2.5509999999999997
11:49:10.69,+0:18:36.3,177.29454166666665,0.3100833333333333
11:49:8.13,+0:16:16.3,177.283875,0.27119444444444446
11:4:1.49,+3:18:17.5,166.00620833333332,3.304861111111111
11:51:20.45,+63:55:20.6,177.8352083333333,63.92238888888889
11:51:27.96,+48:19:23.4,177.86649999999997,48.32316666666667
11:51:30.71,+63:53:23.7,177.8779583333333,63.889916666666664
11:51:44.78,+48:19:28.4,177.93658333333332,48.324555555555555
11:52:40.1,-0:30:32.9,178.16708333333332,-0.5091388888888889
11:52:40.53,-0:30:4.3,178.16887499999999,-0.5011944444444445
11:52:58.93,-2:21:18.3,178.24554166666667,-2.3550833333333334
11:53:3.82,-2:20:21.8,178.26591666666664,-2.339388888888889
11:7:25.7,+0:33:53.9,166.85708333333332,0.5649722222222223
11:7:27.08,+0:34:7.6,166.86283333333333,0.5687777777777777
12:12:51.19,-0:53:40.8,183.21329166666663,-0.8946666666666666
12:12:56.11,-0:53:35.4,183.23379166666663,-0.8931666666666667
12:13:10.43,-1:1:6.6,183.29345833333332,-1.0185
12:13:18.97,-1:2:2.6,183.32904166666665,-1.0340555555555557
12:14:5.58,-1:55:55.8,183.52324999999996,-1.9321666666666666
12:14:8.31,-1:58:12.2,183.53462499999998,-1.9700555555555557
12:17:34.25,+0:55:22.2,184.39270833333333,0.9228333333333333
12:17:35.03,+0:6:8.6,184.39595833333328,0.10238888888888889
12:17:36.18,+0:6:57.4,184.40074999999996,0.11594444444444445
12:17:36.95,+0:55:22.7,184.40395833333332,0.9229722222222222
12:25:45.24,+56:44:45.1,186.43849999999998,56.74586111111111
12:25:45.73,+56:44:40.7,186.44054166666663,56.74463888888889
12:26:24.09,-1:12:34.5,186.60037499999999,-1.2095833333333332
12:26:25.58,-1:13:19.9,186.60658333333333,-1.2221944444444446
12:32:58.68,+61:49:32.9,188.24449999999996,61.82580555555556
12:33:9.51,+61:47:57.6,188.289625,61.79933333333333
12:34:18.33,+1:54:23.2,188.57637499999998,1.9064444444444444
12:34:7.9,+1:54:18.5,188.53291666666664,1.9051388888888887
12:43:19.54,+1:2:28.6,190.83141666666663,1.041277777777778
12:43:22.16,+1:3:47.9,190.8423333333333,1.0633055555555555
12:47:16.39,-2:12:18.8,191.81829166666665,-2.2052222222222224
12:47:18.06,-2:9:47.6,191.82524999999998,-2.163222222222222
12:49:26.14,+61:29:19.3,192.35891666666663,61.48869444444445
12:49:38.91,+61:28:56.2,192.41212499999997,61.48227777777778
12:4:40.75,+9:54:54.3,181.16979166666664,9.915083333333333
12:4:49.73,+9:53:35.2,181.2072083333333,9.89311111111111
12:51:22.59,+4:15:47.5,192.844125,4.263194444444444
12:51:28.77,+4:16:2.5,192.86987499999998,4.267361111111111
12:54:20.52,+61:4:36.0,193.58549999999997,61.07666666666667
12:54:21.98,+61:4:22.0,193.59158333333332,61.07277777777778
12:57:56.58,-0:46:11.7,194.48574999999997,-0.7699166666666667
12:57:58.83,-0:44:41.2,194.49512499999997,-0.7447777777777778
12:59:55.46,+12:41:51.0,194.9810833333333,12.6975
12:59:55.62,+12:41:53.8,194.98174999999995,12.698277777777777
12:7:0.97,+1:15:39.4,181.75404166666667,1.2609444444444444
12:7:1.4,+1:15:4.7,181.75583333333333,1.2513055555555554
12:8:28.18,-2:9:14.5,182.11741666666663,-2.154027777777778
12:8:36.29,-2:7:26.5,182.1512083333333,-2.1240277777777776
12:9:19.63,+0:29:26.4,182.33179166666665,0.4906666666666667
12:9:22.39,+0:26:45.9,182.34329166666663,0.44608333333333333
13:0:19.22,+0:45:22.9,195.08008333333333,0.7563611111111112
13:0:29.02,+0:46:37.3,195.12091666666663,0.7770277777777779
13:0:44.52,-1:57:13.5,195.1855,-1.9537499999999999
13:0:45.56,-1:56:31.8,195.18983333333333,-1.9421666666666666
13:10:15.03,-1:0:27.9,197.56262499999997,-1.00775
13:10:28.51,+0:44:8.9,197.61879166666665,0.7358055555555555
13:10:31.42,+0:43:20.1,197.63091666666665,0.7222500000000001
13:10:31.96,+62:8:43.5,197.63316666666665,62.14541666666667
13:10:37.89,+62:8:21.6,197.65787499999996,62.13933333333333
13:10:46.15,+0:6:33.7,197.69229166666662,0.10936111111111112
13:10:55.86,+0:8:14.5,197.73274999999995,0.1373611111111111
13:10:9.85,-1:1:4.8,197.54104166666664,-1.018
13:11:22.19,+1:50:17.6,197.8424583333333,1.8382222222222224
13:11:32.88,+1:50:34.1,197.88699999999997,1.8428055555555558
13:27:58.84,-2:30:25.4,201.99516666666662,-2.5070555555555556
13:27:59.78,-2:31:40.3,201.9990833333333,-2.527861111111111
13:28:30.14,-1:57:32.8,202.1255833333333,-1.959111111111111
13:28:33.64,-1:57:27.9,202.14016666666663,-1.9577499999999999
13:2:5.04,-0:38:50.9,195.521,-0.6474722222222222
13:2:8.27,-0:37:31.6,195.5344583333333,-0.6254444444444445
13:35:46.18,+46:52:22.8,203.94241666666665,46.873
13:36:1.15,+46:51:18.6,204.00479166666665,46.85516666666667
13:37:13.08,+60:12:9.8,204.3045,60.20272222222223
13:37:13.13,+60:12:6.7,204.3047083333333,60.201861111111114
13:3:26.13,+51:0:51.3,195.85887499999998,51.01425
13:3:26.17,+51:0:47.5,195.85904166666666,51.013194444444444
13:43:12.86,+1:11:21.5,205.80358333333334,1.1893055555555556
13:43:14.72,-1:56:14.9,205.81133333333332,-1.9374722222222223
13:43:16.15,-1:55:15.0,205.81729166666665,-1.9208333333333332
13:43:7.34,+1:12:20.2,205.7805833333333,1.205611111111111
13:49:29.84,+12:27:7.0,207.37433333333328,12.451944444444443
13:49:30.0,+12:27:8.8,207.37499999999997,12.452444444444444
13:52:4.19,-1:46:12.4,208.01745833333334,-1.770111111111111
13:52:4.33,-1:49:34.4,208.01804166666665,-1.8262222222222222
13:54:39.97,-1:7:50.3,208.66654166666663,-1.130638888888889
13:54:40.4,-1:8:45.4,208.66833333333332,-1.1459444444444444
13:8:48.47,+62:30:6.0,197.20195833333332,62.501666666666665
13:8:55.68,+62:28:39.1,197.23199999999997,62.47752777777778
14:0:52.07,+12:32:35.2,210.2169583333333,12.543111111111111
14:0:52.56,+12:32:48.0,210.21899999999997,12.546666666666667
14:11:14.33,-1:31:52.5,212.8097083333333,-1.53125
14:11:7.51,-1:29:59.4,212.78129166666665,-1.4998333333333334
14:26:0.41,+64:51:33.1,216.5017083333333,64.85919444444444
14:26:18.91,+64:52:54.0,216.57879166666666,64.88166666666666
14:32:28.95,-1:6:13.6,218.120625,-1.103777777777778
14:32:29.24,-1:6:16.1,218.1218333333333,-1.1044722222222223
14:35:59.57,-2:20:56.4,218.9982083333333,-2.349
14:36:9.14,-2:20:5.5,219.0380833333333,-2.334861111111111
14:41:45.96,-2:3:19.8,220.44149999999996,-2.0555
14:41:48.31,-2:0:46.0,220.45129166666663,-2.012777777777778
14:44:40.61,+0:25:17.7,221.1692083333333,0.42158333333333337
14:44:45.03,+0:23:45.7,221.18762499999997,0.3960277777777778
14:45:3.6,+2:24:45.2,221.26499999999996,2.4125555555555556
14:45:7.84,+2:26:36.6,221.28266666666664,2.4435000000000002
14:48:44.81,+49:48:34.9,222.1867083333333,49.80969444444444
14:48:53.02,+49:48:18.1,222.22091666666665,49.805027777777774
14:5:1.94,+44:47:59.9,211.2580833333333,44.79997222222222
14:5:2.41,+44:47:54.4,211.26004166666664,44.79844444444444
14:7:2.09,+60:49:14.6,211.7587083333333,60.82072222222222
14:7:4.2,+60:47:38.8,211.76749999999998,60.79411111111111
14:9:53.74,+39:20:0.0,212.47391666666667,39.333333333333336
14:9:53.88,+39:19:53.4,212.47449999999998,39.331500000000005
15:14:53.34,+53:59:40.0,228.72224999999995,53.99444444444445
15:15:4.89,+53:57:55.5,228.77037499999997,53.96541666666667
15:30:38.56,+53:4:4.2,232.66066666666663,53.06783333333334
15:30:38.82,+53:4:0.8,232.66174999999996,53.06688888888889
15:34:40.62,+51:57:19.3,233.66924999999998,51.95536111111112
15:34:49.5,+51:56:19.0,233.70624999999995,51.93861111111111
15:39:13.57,+33:33:33.9,234.80654166666665,33.559416666666664
15:39:9.63,+33:35:7.4,234.790125,33.58538888888889
15:46:10.55,+51:34:29.5,236.54395833333334,51.57486111111111
15:46:14.24,+51:34:5.0,236.5593333333333,51.56805555555556
15:46:31.4,+47:27:52.9,236.6308333333333,47.46469444444445
15:46:34.35,+47:28:47.9,236.643125,47.47997222222222
15:47:20.76,+31:45:21.4,236.83649999999997,31.755944444444445
15:47:33.18,+31:46:2.2,236.88824999999997,31.767277777777778
15:4:33.09,+3:33:13.0,226.13787499999995,3.553611111111111
15:4:39.5,+3:31:34.7,226.1645833333333,3.5263055555555556
15:55:57.07,-0:36:8.4,238.98779166666662,-0.6023333333333333
15:56:1.32,-0:36:59.3,239.00549999999998,-0.6164722222222222
15:8:42.21,+33:28:2.6,227.17587499999996,33.46738888888889
15:8:42.22,+33:28:5.5,227.1759166666666,33.46819444444445
15:9:25.65,+50:56:9.6,227.35687499999997,50.936
15:9:32.23,+50:57:51.7,227.38429166666663,50.96436111111112
16:0:15.5,+0:0:45.5,240.06458333333327,0.012638888888888889
16:0:15.5,+0:0:45.5,240.06458333333327,0.012638888888888889
16:29:2.59,+37:24:30.8,247.26079166666668,37.40855555555555
16:29:2.63,+37:24:35.2,247.26095833333332,37.40977777777778
17:10:27.92,+32:12:35.3,257.61633333333333,32.20980555555556
17:10:36.79,+32:14:28.5,257.6532916666667,32.24125
17:18:37.17,+30:28:52.8,259.654875,30.481333333333332
17:18:45.05,+30:26:47.2,259.6877083333333,30.446444444444445
17:18:48.29,+61:18:5.2,259.7012083333333,61.30144444444444
17:18:59.23,+61:19:34.4,259.7467916666667,61.32622222222223
17:19:45.87,+25:49:51.3,259.94112499999994,25.830916666666667
17:19:46.66,+25:49:41.2,259.9444166666666,25.82811111111111
17:23:17.3,+59:4:43.2,260.8220833333333,59.07866666666667
17:23:17.42,+59:4:46.8,260.8225833333333,59.07966666666667
17:7:51.64,+33:29:20.1,256.9651666666666,33.48891666666667
17:7:57.55,+33:29:34.4,256.98979166666663,33.49288888888889
1:17:27.57,-0:29:11.7,19.364874999999994,-0.4865833333333333
1:17:31.09,-0:30:2.3,19.37954166666666,-0.5006388888888889
1:17:58.0,+0:21:4.1,19.491666666666664,0.3511388888888889
1:17:58.84,+0:20:21.5,19.495166666666663,0.3393055555555555
1:17:7.52,+31:53:41.2,19.28133333333333,31.894777777777776
1:17:8.39,+31:53:38.7,19.28495833333333,31.894083333333334
1:29:42.65,-0:55:59.0,22.42770833333333,-0.9330555555555555
1:29:45.47,-0:57:4.9,22.43945833333333,-0.9513611111111111
1:37:22.54,-0:36:0.1,24.343916666666665,-0.6000277777777777
1:37:32.24,-0:34:52.1,24.38433333333333,-0.5811388888888889
1:39:17.83,+0:10:56.0,24.824291666666664,0.1822222222222222
1:39:27.17,+0:9:31.4,24.86320833333333,0.1587222222222222
1:41:10.41,+0:31:7.1,25.293374999999997,0.518638888888889
1:41:11.63,+0:31:45.9,25.298458333333333,0.5294166666666668
1:50:10.16,+0:29:7.5,27.542333333333332,0.48541666666666666
1:50:17.71,+0:29:2.4,27.573791666666665,0.484
1:58:0.43,+0:13:57.1,29.501791666666662,0.23252777777777778
1:58:10.78,+0:14:41.0,29.544916666666666,0.24472222222222223
1:6:43.11,+0:24:35.1,16.679625,0.40975
1:6:54.05,+0:23:45.0,16.72520833333333,0.39583333333333337
20:51:36.52,+0:21:19.5,312.9021666666667,0.35541666666666666
20:51:46.39,+0:21:37.0,312.94329166666665,0.36027777777777775
20:58:47.75,+0:3:44.9,314.6989583333333,0.06247222222222222
20:58:49.59,+0:5:35.1,314.7066249999999,0.09308333333333332
21:17:21.65,-6:2:36.7,319.3402083333333,-6.043527777777777
21:17:28.92,-6:1:49.4,319.3705,-6.030388888888889
21:28:57.38,-6:17:50.9,322.23908333333327,-6.297472222222222
21:28:57.74,-6:17:57.2,322.2405833333333,-6.299222222222222
22:14:26.79,+13:26:52.3,333.61162499999995,13.447861111111111
22:14:27.03,+13:26:57.0,333.612625,13.449166666666667
22:20:29.53,+12:47:45.1,335.1230416666666,12.795861111111112
22:20:30.26,+12:47:33.5,335.12608333333327,12.792638888888888
22:24:46.92,-1:2:45.6,336.1954999999999,-1.046
22:24:49.73,-1:3:28.8,336.2072083333333,-1.058
22:42:55.23,-1:9:24.8,340.730125,-1.1568888888888889
22:43:4.09,-1:9:46.5,340.7670416666666,-1.1629166666666666
23:0:13.83,-0:8:13.4,345.057625,-0.13705555555555554
23:0:9.1,-0:10:1.7,345.03791666666666,-0.1671388888888889
23:13:12.48,+0:9:12.7,348.30199999999996,0.15352777777777776
23:13:14.58,+0:7:19.8,348.3107499999999,0.12216666666666667
23:25:38.02,+0:57:20.0,351.40841666666665,0.9555555555555555
23:25:46.71,+0:56:10.7,351.444625,0.9363055555555556
23:46:1.91,+1:4:42.8,356.5079583333333,1.0785555555555555
23:46:8.86,+1:3:57.0,356.53691666666657,1.0658333333333334
23:48:19.19,+0:57:17.5,357.0799583333333,0.954861111111111
23:48:19.59,+0:57:21.5,357.081625,0.9559722222222222
23:52:20.2,-0:27:56.0,358.08416666666665,-0.46555555555555556
23:52:29.93,-0:27:2.5,358.1247083333333,-0.45069444444444445
2:1:42.25,+0:32:18.5,30.42604166666666,0.5384722222222222
2:1:43.49,+0:32:22.7,30.431208333333327,0.5396388888888889
2:21:53.52,-0:10:14.8,35.473,-0.17077777777777778
2:21:58.78,-0:10:44.4,35.49491666666666,-0.179
2:29:22.3,-0:3:34.4,37.34291666666667,-0.059555555555555556
2:29:23.44,-0:0:47.9,37.34766666666666,-0.013305555555555555
2:32:26.0,+0:6:32.1,38.10833333333333,0.10891666666666668
2:32:32.27,+0:5:52.9,38.13445833333333,0.09802777777777777
2:3:31.29,+0:57:41.7,30.88037499999999,0.9615833333333332
2:3:34.95,+0:59:55.6,30.895624999999992,0.9987777777777778
2:42:36.91,-8:12:14.0,40.65379166666666,-8.203888888888889
2:42:40.12,-8:10:53.8,40.66716666666667,-8.18161111111111
2:45:11.9,-1:13:17.6,41.299583333333324,-1.2215555555555557
2:45:12.08,-1:13:14.0,41.30033333333333,-1.2205555555555556
2:48:20.8,+0:9:56.7,42.08666666666666,0.16575
2:48:21.26,+0:9:57.3,42.088583333333325,0.16591666666666666
2:57:25.77,+0:14:44.1,44.357375,0.24558333333333335
2:57:27.25,+0:15:45.8,44.36354166666666,0.26272222222222225
2:58:13.66,-0:3:26.5,44.556916666666666,-0.05736111111111111
2:58:15.55,-0:3:34.2,44.564791666666665,-0.059500000000000004
2:6:46.97,+0:18:0.7,31.695708333333332,0.30019444444444443
2:6:54.38,+0:19:22.9,31.72658333333333,0.32302777777777775
3:12:19.69,-0:48:8.0,48.08204166666666,-0.8022222222222223
3:12:23.6,-0:49:10.7,48.09833333333333,-0.8196388888888889
3:15:1.18,-0:47:50.8,48.75491666666666,-0.7974444444444444
3:15:2.23,-0:45:50.7,48.759291666666655,-0.7640833333333333
3:22:31.37,+0:6:49.6,50.63070833333333,0.11377777777777778
3:22:41.93,+0:7:48.0,50.67470833333333,0.13
3:31:26.91,-0:0:10.0,52.86212499999999,-0.002777777777777778
3:31:31.18,-0:2:7.8,52.87991666666666,-0.0355
3:32:37.19,-7:22:19.6,53.154958333333326,-7.372111111111111
3:32:38.38,-7:22:15.9,53.15991666666666,-7.371083333333333
3:35:23.3,-0:22:3.9,53.84708333333333,-0.36774999999999997
3:35:31.71,-0:21:30.9,53.882125,-0.3585833333333333
3:39:12.37,+0:30:55.5,54.80154166666666,0.5154166666666666
3:39:8.28,+0:29:24.9,54.784499999999994,0.49025
3:42:10.11,+0:39:14.7,55.542125,0.6540833333333333
3:42:18.78,+0:42:7.3,55.57825,0.7020277777777777
3:50:53.05,-0:32:0.1,57.721041666666665,-0.5333611111111111
3:50:53.29,-0:31:14.7,57.72204166666666,-0.52075
7:40:13.43,+29:26:45.7,115.05595833333332,29.44602777777778
7:40:13.45,+29:26:48.4,115.05604166666666,29.44677777777778
7:40:49.1,+42:40:36.4,115.20458333333333,42.67677777777777
7:40:52.52,+42:39:35.5,115.21883333333332,42.65986111111111
7:43:36.85,+20:55:12.1,115.90354166666665,20.92002777777778
7:43:37.29,+20:54:37.1,115.90537499999999,20.910305555555553
7:46:32.81,+43:0:10.1,116.63670833333332,43.002805555555554
7:46:36.53,+43:2:6.7,116.65220833333332,43.03519444444444
7:47:59.02,+43:18:5.4,116.99591666666666,43.3015
7:47:59.66,+43:18:11.5,116.99858333333331,43.30319444444444
7:59:15.37,+25:39:51.8,119.81404166666665,25.664388888888887
7:59:23.64,+25:39:21.2,119.84849999999999,25.65588888888889
8:12:47.78,+25:22:42.0,123.1990833333333,25.378333333333334
8:12:49.56,+25:20:59.0,123.20649999999998,25.349722222222223
8:23:25.27,+44:58:50.4,125.85529166666663,44.98066666666667
8:23:29.8,+44:59:51.5,125.87416666666664,44.997638888888886
8:24:39.83,+23:57:20.3,126.16595833333334,23.95563888888889
8:24:40.61,+23:57:9.9,126.16920833333333,23.952749999999998
8:25:54.28,+29:42:44.7,126.47616666666664,29.712416666666666
8:26:4.57,+29:42:12.6,126.51904166666665,29.7035
8:40:31.37,+5:28:57.8,130.1307083333333,5.482722222222223
8:40:33.84,+5:26:26.0,130.14099999999996,5.440555555555556
8:41:13.75,+37:29:31.9,130.30729166666666,37.49219444444444
8:41:14.06,+37:30:38.5,130.3085833333333,37.51069444444445
8:41:19.92,+30:0:43.9,130.333,30.012194444444443
8:41:28.11,+29:59:41.2,130.367125,29.994777777777777
8:45:41.19,+7:10:50.3,131.42162499999998,7.180638888888889
8:45:41.53,+7:11:52.3,131.42304166666665,7.197861111111111
8:46:30.38,+27:49:18.1,131.62658333333334,27.821694444444443
8:46:31.77,+27:49:21.9,131.632375,27.82275
8:51:51.29,+41:9:46.0,132.9637083333333,41.16277777777778
8:51:53.48,+41:11:58.6,132.9728333333333,41.19961111111111
8:56:25.63,+51:11:37.4,134.10679166666665,51.19372222222222
8:56:26.71,+51:11:18.2,134.11129166666666,51.18838888888889
9:11:48.38,+47:3:6.1,137.9515833333333,47.05169444444444
9:11:58.28,+47:4:43.6,137.99283333333332,47.07877777777778
9:16:56.06,+2:21:37.6,139.2335833333333,2.3604444444444446
9:16:57.72,+2:20:14.8,139.2405,2.3374444444444444
9:18:32.2,+46:11:38.2,139.6341666666667,46.19394444444444
9:18:40.45,+46:9:48.4,139.66854166666667,46.163444444444444
9:21:47.78,+9:12:17.5,140.4490833333333,9.20486111111111
9:21:52.45,+9:13:51.6,140.46854166666662,9.231
9:22:11.56,+36:51:20.2,140.54816666666667,36.85561111111111
9:22:21.22,+36:49:35.6,140.58841666666666,36.82655555555556
9:31:31.37,+3:15:18.3,142.8807083333333,3.2550833333333333
9:31:38.28,+3:15:10.2,142.90949999999998,3.2528333333333332
9:35:51.45,+55:11:15.0,143.964375,55.1875
9:35:55.37,+55:12:40.5,143.98070833333333,55.21125
9:36:53.67,+44:55:12.4,144.22362499999997,44.92011111111111
9:36:57.65,+44:53:15.3,144.2402083333333,44.88758333333333
9:39:46.56,+59:53:20.7,144.944,59.88908333333333
9:39:48.78,+59:53:48.7,144.95325,59.89686111111111
9:3:35.28,+31:56:4.5,135.897,31.934583333333332
9:3:41.99,+31:58:14.9,135.9249583333333,31.970805555555554
9:47:35.06,+58:30:46.7,146.8960833333333,58.512972222222224
9:47:51.56,+58:30:28.1,146.96483333333333,58.50780555555556
9:49:39.93,+39:36:42.9,147.416375,39.611916666666666
