FCG J074640.0+465214   07 46 39.969  +46 52 27.31   0.82    c? 07 46 40.069 +46 52 14.57 051101                      wat mg tri unu
FCG J074757.7+372638   07 47 57.497  +37 26 26.83   0.53    v  07 47 57.770 +37 26 38.43 052062                      wat mg
FCG J074926.1+520230   07 49 28.279  +52 02 21.48   1.68    v  07 49 26.197 +52 02 30.26 053115                      nat int unu
FCG J075347.2+230150   07 53 47.240  +23 01 56.92   0.60    v? 07 53 47.232 +23 01 50.95 056473                      nat
FCG J075641.5+603013   07 56 40.800  +60 30 23.12   0.97    c  07 56 41.541 +60 30 13.52 058735                      nat, w component?, int
FCG J080317.0+244059   08 03 16.033  +24 40 37.85   1.04    v? 08 03 17.021 +24 40 59.62 064113                      wat hook/ring?
FCG J080337.3+105116   08 03 37.186  +10 50 45.57   1.38    v  08 03 37.378 +10 51 16.46 064386                      wat
FCG J080431.5+192217   08 04 31.429  +19 22 12.93   0.65    v  08 04 31.523 +19 22 17.40 065096                      wat
FCG J080611.3+253138   08 06 12.067  +25 31 35.31   0.65    c? 08 06 11.336 +25 31 38.39 066527                      nat ring int
FCG J080720.7+141620   08 07 21.382  +14 16 19.08   0.53    v  08 07 20.771 +14 16 20.91 067648                      wat
FCG J080842.9+055044   08 08 44.209  +05 50 47.41   0.89    c? 08 08 42.910 +05 50 44.14 068826                      nat mg
FCG J081544.2+371017   08 15 45.541  +37 10 35.52   1.20    c  08 15 44.259 +37 10 17.01 075315                      wat
FCG J081652.7+413332   08 16 52.392  +41 33 26.50   0.35    c  08 16 52.746 +41 33 32.23 076389                      wat
FCG J081659.5+571627   08 16 59.900  +57 16 34.67   0.61    v  08 16 59.515 +57 16 27.59 076482                      wat
FCG J081801.3+495610   08 18 00.929  +49 56 01.86   0.63    v  08 18 01.336 +49 56 10.51 077481                      wat
FCG J081803.7+543708   08 18 06.098  +54 37 27.08   2.13    c  08 18 03.735 +54 37 08.50 077461                      wat dd? ring-lobe
FCG J081939.4+574609   08 19 39.746  +57 45 59.92   0.52    c? 08 19 39.431 +57 46 09.22 079050                      wat
FCG J082444.7+520033   08 24 43.728  +52 00 26.69   0.42    c? 08 24 44.757 +52 00 33.00 084045                      nat
FCG J082718.2+463510   08 27 17.930  +46 35 28.84   1.75    c  08 27 18.207 +46 35 10.50 086460                      nat/wat
FCG J082835.1+322821   08 28 34.961  +32 28 28.03   0.87    v  08 28 35.117 +32 28 21.39 087751                      wat
FCG J082839.5+243654   08 28 39.697  +24 37 05.84   0.66    c  08 28 39.504 +24 36 54.44 087828                      wat, if separate systems
FCG J082843.2+243605   08 28 43.685  +24 36 03.09   0.76    c  08 28 43.248 +24 36 05.51 087913                      nat, if separate system
FCG J082844.4+243729   08 28 43.271  +24 37 02.82   2.22    v? 08 28 44.420 +24 37 29.58 087828                      nat, if single system
FCG J082910.5+632229   08 29 10.503  +63 22 37.61   0.36    v  08 29 10.555 +63 22 29.43 088315                      nat
FCG J083931.0+594956   08 39 30.292  +59 49 47.27   0.60    v  08 39 31.033 +59 49 56.77 098827                      nat
FCG J084122.7+611228   08 41 24.692  +61 12 16.34   1.85    v? 08 41 22.758 +61 12 28.12 100723                      nat mg tri distorted int
