FCG J162317.8+370534   16 23 17.841  +37 05 34.61   0.81                                 606754                      ring, system
FCG J162317.9+370529   16 23 17.908  +37 05 29.11   0.43                                 606754                      ring, ring component
FCG J162317.9+370535   16 23 17.972  +37 05 35.40   0.60                                 606754                      ring wat? sz? ring with possible central component (uncataloged) int
FCG J162334.8+232053   16 23 34.835  +23 20 53.98   0.31                                 607011                      ring? tb arc
FCG J162848.4+515520   16 28 48.400  +51 55 20.19   0.59                                 611739                      ring system, two ring-lobes?
FCG J165132.8+422925   16 51 32.846  +42 29 25.47   0.34                                 630062                      ring? nat? tri distorted int
FCG J171539.6+542103   17 15 39.629  +54 21 03.22   1.18                                 645826                      ring sz? x butterfly ring-lobe
FCG J172816.1+365107   17 28 16.115  +36 51 07.14   0.34                                 652110                      ring nat
FCG J172920.2+541517   17 29 20.217  +54 15 17.68   0.55                                 652478                      ring? nat/wat
FCG J215702.1-075031   21 57 02.120  -07 50 31.40   0.98                                 661340                      ring nat
FCG J215734.6-074743   21 57 34.692  -07 47 43.18   0.61                                 661401                      ring? nat?, nearby ring, core id ambiguous
FCG J223003.9+000018   22 30 03.940  +00 00 18.64   0.38                                 665305                      ring? mg nat?
