FCG J122439.3+235856   12 24 39.354  +23 58 56.34   1.48                                 347803                      catalog missed lobe?
FCG J123021.9+104601   12 30 21.939  +10 46 01.23   0.82                                 353931                      core id ambiguous
FCG J123336.4-041241   12 33 36.436  -04 12 41.06   0.86                                 357325                      
FCG J123424.7+575330   12 34 24.767  +57 53 30.04   0.99                                 358201                      mg irr dl? int
FCG J123821.4+160244   12 38 21.422  +16 02 44.13   1.92                                 362557                      sz dl
FCG J124012.5+533436   12 40 12.594  +53 34 36.28   2.64                                 364488                      td? x? int
FCG J124013.6+212233   12 40 13.663  +21 22 33.12   2.02                                 364591                      wat? sz?
FCG J124237.9+424404   12 42 37.997  +42 44 04.30   0.64                                 367339                      rc
FCG J124345.1+150814   12 43 45.186  +15 08 14.91   0.79                                 368521                      mg ppd quint int
FCG J124608.5+384837   12 46 08.539  +38 48 37.36   0.88                                 371004                      
FCG J124804.1+172551   12 48 04.106  +17 25 51.50   0.84                                 373197                      sz w? dl
FCG J124804.2-030110   12 48 04.255  -03 01 10.65   1.03                                 373211                      
FCG J124835.8+594223   12 48 35.871  +59 42 23.03   0.76                                 373740                      sz?
FCG J124842.9+202247   12 48 42.998  +20 22 47.27   0.94                                 373906                      
FCG J125554.5+440524   12 55 54.590  +44 05 24.13   0.60                                 381690                      sz hook ring-lobe
FCG J125822.8+111043   12 58 22.807  +11 10 43.63   0.41                                 384424                      nat
FCG J130600.8+192248   13 06 00.851  +19 22 48.21   1.36                                 392870                      sz?
FCG J130810.4+395504   13 08 10.491  +39 55 04.92   0.91                                 395334                      dl core id ambiguous
FCG J131943.4+050237   13 19 43.496  +05 02 37.51   0.56                                 408169                      sz dl
FCG J132511.3+573600   13 25 11.320  +57 36 00.15   0.58                                 414063                      sz dl
FCG J132613.7+192424   13 26 13.771  +19 24 24.97   0.85                                 415273                      sz dl?
FCG J132759.2+494626   13 27 59.276  +49 46 26.79   0.66                                 417115                      sz
FCG J132848.5+275228   13 28 48.567  +27 52 28.16   2.85                                 418007                      mg sz dl, core id ambiguous
FCG J133224.7+182101   13 32 24.727  +18 21 01.11   0.58                                 421885                      sz
FCG J133534.5+204225   13 35 34.521  +20 42 25.31   1.35                                 425357                      sz?
FCG J133541.0+535219   13 35 41.000  +53 52 19.52   0.39                                 425502                      nat/wat
FCG J133903.6+281237   13 39 03.699  +28 12 37.72   0.87                                 429241                      sz
FCG J133906.7-063703   13 39 06.742  -06 37 03.60   0.54                                 429320                      sz
FCG J133913.1+102443   13 39 13.104  +10 24 43.38   0.84                                 429420                      sz
FCG J133947.1+375650   13 39 47.156  +37 56 50.13   0.64                                 430058                      sz
FCG J134220.5+022524   13 42 20.504  +02 25 24.20   0.85                                 432890                      sz?
FCG J134238.8+064314   13 42 38.889  +06 43 14.13   1.27                                 433275                      b wat? dl?
FCG J134251.7+064230   13 42 51.703  +06 42 30.69   0.90                                 433517                      sz
FCG J134300.4+462731   13 43 00.471  +46 27 31.22   2.20                                 433684                      sz? wat?
FCG J134331.4+630658   13 43 31.436  +63 06 58.56   1.28                                 434247                      
FCG J134415.9+331720   13 44 15.935  +33 17 20.51   2.40                                 435058                      mg core at (J2000) 13 44 15.694  +33 17 17.18
FCG J134447.1-003011   13 44 47.156  -00 30 11.48   1.61                                 435614                      
FCG J134918.7-014926   13 49 18.701  -01 49 26.33   0.93                                 440692                      wat?
FCG J135100.8+251903   13 51 00.836  +25 19 03.95   1.07                                 442620                      dl?
FCG J135110.7+072847   13 51 10.763  +07 28 47.85   6.40                                 442787                      mg sz? td? int low level, perhaps even larger
FCG J135222.8-032520   13 52 22.885  -03 25 20.73   1.46                                 444106                      sz dl
FCG J135526.1+352547   13 55 26.147  +35 25 47.16   0.54                                 447490                      rc
