FCG J020819.4-070823   02 08 19.451  -07 08 20.44   0.70    v  02 08 19.461 -07 08 23.32 016599                      w sz?
FCG J071006.2+500309   07 10 05.001  +50 03 08.27   1.12    c? 07 10 06.281 +50 03 09.32 029313                      w? sz? dd?
FCG J071639.6+413405   07 16 39.632  +41 34 05.73   0.73    v  07 16 39.632 +41 34 05.73 032073                      w? sz??
FCG J071735.2+374508   07 17 34.873  +37 45 19.85   1.53    c? 07 17 35.290 +37 45 08.41 032482                      w? irr distorted int
FCG J073423.4+350648   07 34 23.462  +35 06 48.19   1.59                                 042511                      w? irr x? sz? fan distorted int
FCG J073431.7+500715   07 34 31.760  +50 07 15.31   1.66    c  07 34 31.760 +50 07 15.31 042574                      w? nat? dl int
FCG J075641.5+603013   07 56 40.800  +60 30 23.12   0.97    c  07 56 41.541 +60 30 13.52 058735                      w nat int
FCG J080059.7+134955   08 00 59.735  +13 49 55.77   1.73                                 062177                      w? mg irr int, core id ambiguous
FCG J080201.9+635306   08 02 01.911  +63 53 06.01   1.28                                 063038                      w distorted butterfly int, core id ambiguous
FCG J080816.8+492824   08 08 17.003  +49 28 15.97   1.58    c  08 08 16.836 +49 28 24.21 068448                      w dl unu
FCG J081139.9+102929   08 11 39.952  +10 29 29.75   1.53                                 071465                      w? ss?
FCG J081348.1+144053   08 13 48.151  +14 40 53.67   0.84    c  08 13 48.108 +14 40 53.08 073510                      w tb? sz?
FCG J082247.5+520028   08 22 46.026  +52 00 30.07   1.48    c? 08 22 47.515 +52 00 28.18 082115                      w nat? sz? x
FCG J084052.4+142702   08 40 52.443  +14 27 02.08   0.75                                 100241                      w? sz? rc? sl?
FCG J084306.7+170015   08 43 07.450  +17 00 20.30   0.68    c? 08 43 06.786 +17 00 15.39 102599                      w? sz? wat?
FCG J085459.7+302053   08 54 59.763  +30 20 53.74   0.53                                 115275                      w? mg irr rc+rc?
FCG J085549.2+420419   08 55 49.037  +42 04 18.80   2.17    v  08 55 49.287 +42 04 19.76 116159                      w sz? wat? dd wiggle
FCG J085603.0-034123   08 56 03.054  -03 41 23.20   1.03                                 116436                      w? wiggle? sl?
FCG J085604.5+482907   08 56 04.516  +48 29 07.43   2.55                                 116373                      w wat? sz?
FCG J090209.2-062403   09 02 09.221  -06 24 03.71   1.42                                 123117                      w wiggle
FCG J090657.6+460745   09 06 57.680  +46 07 45.30   0.73                                 128415                      w sz?
FCG J090752.3+492222   09 07 51.750  +49 22 17.75   1.50    c? 09 07 52.306 +49 22 22.78 129312                      w? sz
FCG J091610.5+105348   09 10 11.994  +14 31 20.08   0.71    c  09 16 10.519 +10 53 48.21 131969                      w? x sz?
FCG J091610.5+105348   09 16 10.771  +10 53 46.96   0.40    c  09 16 10.519 +10 53 48.21 138596                      w wiggle
FCG J091635.3+634811   09 16 36.406  +63 48 13.84   0.84    c? 09 16 35.379 +63 48 11.13 139089                      w nat?? sz??
FCG J091928.8+273214   09 17 34.911  +42 59 05.96   0.58    c  09 19 28.877 +27 32 14.03 140244                      w rc? sz? ring?
FCG J091928.9+273211   09 19 28.959  +27 32 11.68   0.60                                 142329                      w sz
FCG J092112.0+574417   09 21 12.015  +57 44 17.39   0.51                                 144279                      w? d nat? butterfly
FCG J092119.5+362130   09 21 19.726  +36 21 27.61   0.55    v  09 21 19.531 +36 21 30.76 144439                      w? sz?
FCG J092539.0+362705   09 25 38.928  +36 27 19.49   2.80    c? 09 25 39.058 +36 27 05.32 149151                      w wat dl sz?? core id ambiguous
FCG J092820.7+550512   09 28 20.798  +55 05 12.91   0.83                                 152104                      w t distorted wiggle
FCG J093324.6+222238   09 33 24.172  +22 22 38.35   1.33    c  09 33 24.620 +22 22 38.11 157735                      w sz
FCG J095520.8+271159   09 55 20.883  +27 11 59.34   0.68                                 182106                      w sz?
FCG J095840.4-061731   09 58 40.429  -06 17 31.66   0.52                                 185809                      w? sz?
FCG J102457.2+274357   10 24 57.239  +27 43 57.96   0.49                                 215359                      w sz+s?
FCG J102533.2+355744   10 25 33.243  +35 57 44.76   0.57                                 216027                      w wiggle
FCG J102932.1+640146   10 29 32.196  +64 01 46.68   1.24                                 220305                      w? sz? distorted
FCG J104826.4+072033   10 48 26.478  +07 20 33.94   1.23                                 241028                      w? sz? nat? dl
FCG J104914.1+005945   10 49 14.146  +00 59 45.00   1.50                                 241922                      w nat/wat dd dl hook wiggle
FCG J105035.8+552956   10 50 35.845  +55 29 56.70   1.03                                 243415                      w?
FCG J105500.9+520201   10 55 00.986  +52 02 01.30   0.65                                 248402                      w nat/wat sz? wiggle
FCG J110531.8+410546   11 05 31.783  +41 05 48.47   1.44    c  11 05 31.870 +41 05 46.41 259731                      w? wat? hook int
FCG J111027.7+052534   11 10 27.757  +05 25 34.68   0.90                                 265417                      w? mg distorted? unu
FCG J111504.6+110738   11 15 04.658  +11 07 38.91   1.39                                 270593                      w? sz? sl?
FCG J112229.5+212448   11 22 29.533  +21 24 42.83   1.02    c  11 22 29.599 +21 24 48.37 278643                      w? sz dl distorted
FCG J112539.5+582732   11 25 39.558  +58 27 32.20   0.49                                 282161                      w sz distorted dd? dl
FCG J113147.1+354910   11 31 47.563  +35 49 21.03   1.49    v  11 31 47.129 +35 49 10.64 289117                      w? wat? dl
FCG J114034.4+440547   11 40 34.497  +44 05 45.16   1.24    c  11 40 34.455 +44 05 47.82 298636                      w sz wiggle
FCG J114315.2+422525   11 43 15.306  +42 25 24.10   1.19    c  11 43 15.236 +42 25 25.61 301669                      w sz? nat?
FCG J114425.0+251406   11 44 25.014  +25 14 06.82   0.92                                 302916                      w? dl?
FCG J114427.8+035811   11 44 27.876  +03 58 11.02   0.80                                 302915                      w mg int
FCG J114523.9+275105   11 45 23.980  +27 51 05.43   1.46                                 304010                      w? sz? tb?
FCG J114531.6-022713   11 45 31.654  -02 27 13.07   0.96                                 304186                      w? nat/wat? sz?
FCG J115039.6-075421   11 50 39.697  -07 54 21.54   1.32                                 309964                      w? dd? int
FCG J115125.9+545004   11 51 25.943  +54 50 04.64   0.96                                 310833                      w? sz? nat?
FCG J120118.3+124500   12 01 17.538  +12 44 57.42   1.41    v  12 01 18.362 +12 45 00.75 321930                      w nat/wat? sz? doubled hotspots? distorted int
FCG J120248.5+325946   12 02 48.521  +32 59 46.43   0.61                                 323609                      w sz wiggle
FCG J120617.1+381233   12 06 17.144  +38 12 33.41   0.58                                 327520                      w sz x dd?
FCG J120623.7+385154   12 06 23.728  +38 51 54.69   0.97                                 327603                      w? sl? ext source
FCG J120805.6+251412   12 08 05.669  +25 14 12.09   2.31                                 329403                      w? wat? sz? distorted int
FCG J120938.9+222053   12 09 38.979  +22 20 53.22   0.91                                 331169                      w x sz? distorted
FCG J121439.4+052754   12 14 39.428  +05 27 54.54   0.75                                 336835                      w? dl
FCG J121819.0+354815   12 18 19.242  +35 48 15.81   1.20    v  12 18 19.048 +35 48 15.81 340770                      w? wat? sz? distorted? cat missed core
FCG J121942.8+043333   12 19 42.884  +04 33 33.06   0.76                                 342392                      w sz nat  int
FCG J122413.3+160600   12 24 13.290  +16 06 00.63   1.19    c  12 24 13.354 +16 06 00.83 347367                      w sz? wat?  unu
FCG J122553.4+073923   12 25 53.465  +07 39 23.50   0.92                                 349229                      w
