FCG J070247.8+500203   07 02 47.888  +50 02 03.16   0.84                                 027113                      x butterfly
FCG J070643.8+423111   07 06 43.827  +42 31 11.86   2.26                                 028148                      wat int
FCG J071510.1+491052   07 15 10.114  +49 10 52.42   0.44                                 031341                      x
FCG J071519.2+482933   07 15 20.431  +48 29 21.74   0.64       07 15 19.230 +48 29 33.34 031427                      nat
FCG J072014.7+403747   07 20 14.784  +40 37 47.41   0.46                                 033890                      x butterfly, may be larger
FCG J072227.6+464249   07 22 27.659  +46 42 49.30   0.85                                 035230                      dd
FCG J072310.8+321006   07 23 10.860  +32 10 06.80   0.94                                 035645                      wat? x? sz?
FCG J072533.4+223613   07 25 33.415  +22 36 13.44   0.60                                 037082                      nat
FCG J072808.7+350636   07 28 09.687  +35 06 28.36   0.57       07 28 08.787 +35 06 36.23 038643                      nat tri?, core id ambiguous
FCG J074040.1+302526   07 40 40.150  +30 25 26.22   0.30                                 046663                      ring nat?
FCG J074546.0+323530   07 45 45.789  +32 35 22.71   0.44       07 45 46.088 +32 35 30.31 050461                      nat ring
FCG J075839.8+294346   07 58 39.835  +29 43 46.29   0.72                                 060310                      nat? x? w?
FCG J081111.5+284750   08 11 11.652  +28 47 49.24   2.47       08 11 11.528 +28 47 50.22 071110                      wat?
FCG J081220.5+303711   08 12 20.532  +30 37 11.81   0.60                                 072149                      x butterfly? int
FCG J081811.9+233211   08 18 11.953  +23 32 11.06   0.60                                 077671                      nat ring?
FCG J082535.3+481745   08 25 35.708  +48 17 31.40   0.63       08 25 35.380 +48 17 45.04 084874                      int ring?
FCG J082712.7+382000   08 27 12.881  +38 19 51.51   0.65       08 27 12.755 +38 20 00.39 086449                      wat
FCG J083049.2+361645   08 30 47.998  +36 16 34.19   1.15       08 30 49.234 +36 16 45.75 089849                      wat/nat w, core id ambiguous
FCG J083223.2+491320   08 32 23.560  +49 13 20.93   0.72       08 32 23.208 +49 13 20.99 091520                      ring halo?
FCG J083855.5+502435   08 38 55.630  +50 24 34.87   0.92       08 38 55.545 +50 24 35.99 098252                      ring? halo?
FCG J084259.7+361740   08 42 59.799  +36 17 40.53   0.48                                 102477                      tb nat? ring?
FCG J085056.8+424817   08 50 56.840  +42 48 17.24   3.63                                 111002                      int?
FCG J085103.4+283955   08 51 03.476  +28 39 55.17   0.61                                 111116                      tri int
FCG J085621.6+540839   08 56 21.615  +54 08 39.50   0.66                                 116827                      nat? ring?
FCG J085740.4+381636   08 57 40.448  +38 16 36.06   1.04                                 118183                      cp tri?
FCG J090735.7+313751   09 07 35.719  +31 37 34.18   1.08       09 07 35.727 +31 37 51.63 129136                      wat?
FCG J090908.0+570539   09 09 08.307  +57 05 38.25   1.31       09 09 08.029 +57 05 39.66 130789                      halo?
FCG J091315.8+520855   09 13 15.836  +52 08 55.66   1.33                                 135433                      wat
FCG J092048.7+403941   09 20 48.765  +40 39 41.89   0.46                                 143853                      nat ring
FCG J092130.8+441337   09 21 30.899  +44 13 37.97   2.40                                 144568                      mg resolved lobe of nat/wat? cj?
FCG J092611.7+324714   09 26 13.235  +32 47 05.83   1.18       09 26 11.738 +32 47 14.40 149769                      wat, core id ambiguous
FCG J094005.4+510410   09 40 05.403  +51 04 10.60   4.88                                 165124                      GRS?
FCG J095004.7+291723   09 50 05.293  +29 17 29.41   0.51       09 50 04.747 +29 17 23.80 176304                      nat
FCG J095208.1+451328   09 52 10.124  +45 13 35.57   0.87       09 52 08.120 +45 13 28.80 178514                      nat/wat
FCG J095402.4+324933   09 54 02.455  +32 49 33.85   0.54                                 180675                      wat?
FCG J095419.2+271600   09 54 18.355  +27 15 40.39   4.36       09 54 19.220 +27 16 00.18 181038                      GRS?
FCG J095423.3+271724   09 54 23.313  +27 17 24.10   0.36                                 181038                      wat?
FCG J100026.3+295537   10 00 26.322  +29 55 37.18   0.91                                 187750                      wat?
FCG J101105.7+324800   10 11 05.783  +32 48 00.00   0.68                                 199934                      int opposing nat/wat
FCG J101107.8+324837   10 11 07.834  +32 48 37.00   1.82                                 199934                      int opposing nat/wat
FCG J101939.9+322701   10 19 40.562  +32 27 04.40   0.42       10 19 39.928 +32 27 01.81 209399                      wat?
FCG J102538.7+470018   10 25 38.749  +47 00 18.18   0.64                                 216147                      w? lobe GRS?
FCG J103200.6+350247   10 32 00.620  +35 02 47.43   0.65                                 223040                      nat
FCG J103215.9+315227   10 32 15.983  +31 52 27.46   0.42                                 223348                      nat int region
FCG J104554.2+261502   10 45 54.249  +26 15 02.66   1.10                                 238260                      w?
FCG J105330.3+535152   10 53 30.330  +53 51 52.04   0.85                                 246747                      nat? int fan
FCG J105426.2+470326   10 54 26.271  +47 03 26.08   1.21                                 247771                      distorted sz? nat?
FCG J110004.7+302706   11 00 04.704  +30 27 06.18   2.04                                 253906                      int 2" jet/lobe pair
FCG J110252.6+531311   11 02 52.629  +53 13 11.40   1.57                                 256721                      resolved lobe of dd
FCG J111139.3+405019   11 11 39.301  +40 50 19.23   0.38                                 266838                      int nat with bent tail int region
FCG J111211.2+304353   11 12 11.181  +30 43 55.01   0.93       11 12 11.276 +30 43 53.79 267392                      arc jets? dd? may be larger GRS?
FCG J111314.2+412456   11 13 14.298  +41 24 56.38   0.31                                 268552                      ring
FCG J111556.0+522402   11 15 56.015  +52 24 02.07   1.15                                 271459                      wat
FCG J112126.6+321827   11 21 27.053  +32 18 20.84   0.90       11 21 26.669 +32 18 27.28 277515                      wat
FCG J112140.5+454340   11 21 40.741  +45 43 32.98   0.59       11 21 40.530 +45 43 40.08 277770                      wat?
FCG J112950.4+243655   11 29 50.557  +24 36 54.46   1.64       11 29 50.451 +24 36 55.24 286844                      t int 1.5"  three pt srcs
FCG J113246.0+343934   11 32 45.828  +34 39 36.69   1.63       11 32 46.083 +34 39 34.38 290202                      w?
FCG J114231.3+562203   11 42 31.380  +56 22 03.15   0.34                                 300916                      tri ring? nat
FCG J114720.4+333233   11 47 20.413  +33 32 33.79   0.42                                 306286                      tri
FCG J115058.3+553747   11 50 57.863  +55 37 45.80   0.49       11 50 58.349 +55 37 47.41 310337                      nat
FCG J115915.9+491725   11 59 15.930  +49 17 25.60   0.68                                 319675                      wat
FCG J120755.1+462820   12 07 55.252  +46 28 19.05   0.98       12 07 55.141 +46 28 20.05 329273                      wat?
FCG J122157.5+563150   12 21 57.500  +56 31 50.53   0.78                                 344922                      wat??
FCG J122241.3+400648   12 22 41.274  +40 06 42.32   0.61       12 22 41.392 +40 06 48.65 345709                      wat
FCG J123210.7+313051   12 32 10.719  +31 30 51.48   1.13                                 355847                      int nat?
FCG J123431.2+272316   12 34 31.382  +27 22 54.20   3.01       12 34 31.290 +27 23 16.37 358334                      mg wat?
FCG J123743.1+473907   12 37 42.794  +47 39 02.64   0.36       12 37 43.167 +47 39 07.64 361888                      nat
FCG J125930.1+490559   12 59 29.788  +49 06 04.20   0.32       12 59 30.154 +49 05 59.50 385661                      nat ring?
