FCG J000115.3-082644   00 01 15.303  -08 26 44.34   0.40                                 000160                      cat missed core?
FCG J073232.3+374451   07 32 32.399  +37 44 51.32   0.43                                 041299                      with wat interacting?
FCG J081848.7+363143   08 18 48.759  +36 31 43.91   0.62                                 078212                      core id ambiguous
FCG J084851.2+090125   08 48 51.240  +09 01 25.86   0.30                                 108783                      sz?
FCG J093050.8+202000   09 30 50.866  +20 20 00.74   0.60                                 154918                      mg nat/wat?
FCG J104434.3+463007   10 44 34.358  +46 30 07.53   0.27                                 236841                      
FCG J105011.1+303957   10 50 11.129  +30 39 57.16   0.64                                 242951                      ring also this group
FCG J115615.9+435511   11 56 15.906  +43 55 11.68   0.70                                 316400                      sz? nat?
FCG J120942.3+132733   12 09 42.336  +13 27 33.89   1.16                                 331232                      mg
FCG J121428.0+212553   12 14 28.050  +21 25 53.52   0.46                                 336642                      mg unu wat? nat?
FCG J124209.6+243658   12 42 09.670  +24 36 58.72   0.30                                 366839                      mg  nat?
FCG J124612.7-031726   12 46 12.703  -03 17 26.68   0.40                                 371120                      mg nat? irr low level
FCG J131139.2+325235   13 11 39.267  +32 52 35.82   0.30                                 399294                      mg sz?
FCG J134048.6+543947   13 40 48.689  +54 39 47.60   0.34                                 431220                      
FCG J134117.3+540616   13 41 17.343  +54 06 16.07   0.17                                 431787                      
FCG J141318.6+262631   14 13 18.618  +26 26 31.91   0.16                                 467381                      
FCG J141733.6+411118   14 17 33.679  +41 11 18.15   0.62                                 472007                      sz?
FCG J142357.1+003113   14 23 57.133  +00 31 13.64   0.43                                 479022                      mg sz? b
FCG J142859.8+483931   14 28 59.883  +48 39 31.59   0.32                                 484592                      
FCG J143542.3-054143   14 35 42.379  -05 41 43.78   0.42                                 492128                      mg
FCG J144017.5+312708   14 40 17.547  +31 27 08.56   0.46                                 497181                      
FCG J145037.4+275133   14 50 37.444  +27 51 33.95   0.63                                 508767                      sz?
FCG J145225.8+412750   14 52 25.812  +41 27 50.47   0.25                                 510791                      mg nat?
FCG J150827.4+111736   15 08 27.406  +11 17 36.36   0.40                                 528665                      cj? rc?
FCG J151254.8+061214   15 12 54.864  +06 12 14.65   0.39                                 533471                      
FCG J152216.8+101258   15 22 16.896  +10 12 58.37   0.69                                 543882                      wat? sz? x?
FCG J152441.6+095739   15 24 41.656  +09 57 39.44   0.30                                 546530                      nat?  arc?
FCG J153004.8+335139   15 30 04.871  +33 51 39.90   0.89                                 552520                      
FCG J155121.0+000521   15 51 21.049  +00 05 21.12   0.60                                 575602                      hymor ring-lobe
FCG J155150.2+241816   15 51 50.273  +24 18 16.85   0.23                                 576108                      
FCG J155210.2+373930   15 52 10.205  +37 39 30.53   1.16                                 576442                      hymor w?
FCG J160545.1+264915   16 05 45.135  +26 49 15.87   0.60                                 590274                      mg sz?
FCG J162344.1+461803   16 23 44.189  +46 18 03.19   0.22                                 607155                      arc?
