FCG J005459.1+012156   00 54 59.185  +01 21 56.60   1.04                                 006882                      mg unu quad complex
FCG J071553.6+395112   07 15 53.615  +39 51 12.27   0.62                                 031690                      mg quad unu
FCG J074117.3+451521   07 41 17.309  +45 15 21.94   0.27                                 047092                      nat? int quad
FCG J075544.5+182345   07 55 44.564  +18 23 45.86   0.00                                 058043                      mg quad? d+sl? d? unu
FCG J100013.1+102149   10 00 13.186  +10 21 49.99   1.53                                 187466                      mg quad d+d sz? unu
FCG J100719.0+040803   10 07 19.079  +04 08 03.55   1.20                                 195416                      mg quad t+s
FCG J101741.9+013204   10 17 41.922  +01 32 04.32   1.16                                 207122                      mg d+d quad
FCG J102317.4+635706   10 23 17.475  +63 57 06.19   2.08                                 213368                      t? sz? with nearby s quad?
FCG J102823.8+145639   10 28 23.866  +14 56 39.65   1.25                                 219080                      mg quad d+? dd? wat?? unu
FCG J110734.6-011159   11 07 34.605  -01 11 59.06   1.50                                 262081                      quad sz? dd?
FCG J111324.8+024506   11 13 24.821  +02 45 06.86   1.03                                 268708                      d+d? quad
FCG J112655.0+110733   11 26 55.016  +11 07 33.45   1.29                                 283517                      d+? quad
FCG J112702.4+223422   11 27 02.498  +22 34 22.36   1.58                                 283649                      d+? quad
FCG J112829.7+313908   11 28 29.700  +31 39 08.48   1.11                                 285331                      mg tb quad
FCG J113200.8+090928   11 32 00.802  +09 09 28.21   1.43                                 289356                      dd? quad on arc
FCG J113500.2+110518   11 35 00.254  +11 05 18.49   1.27                                 292703                      quad d+d nat?
FCG J114323.5+600715   11 43 23.528  +60 07 15.97   0.72                                 301836                      rc? quad? ring? distorted
FCG J114701.6+212450   11 47 01.687  +21 24 50.86   1.30                                 305935                      quad d+?
FCG J114740.5+434232   11 47 40.567  +43 42 32.96   1.56                                 306600                      mg quad d+d? unu
FCG J115430.0+183025   11 54 30.039  +18 30 25.34   1.29                                 314407                      d+? quad
FCG J121306.4+362708   12 13 06.418  +36 27 08.16   1.68                                 335044                      dd? sz?  quad aligned
FCG J121651.1+365134   12 16 51.133  +36 51 34.98   1.47                                 339196                      dd? sz? aligned quad
FCG J122030.0+032243   12 20 30.034  +03 22 43.71   1.49                                 343271                      mg d+d? quad? arc
FCG J122111.4+405644   12 21 11.453  +40 56 44.20   1.12                                 344073                      quad d+d?
FCG J122705.0+161139   12 27 05.099  +16 11 39.80   1.62                                 350425                      mg quad d+d double-core? unu
FCG J123228.9+200952   12 32 28.972  +20 09 52.90   2.01                                 356187                      mg cj+d wat? tri?? quad
FCG J124043.4+562011   12 40 43.401  +56 20 11.40   1.72                                 365196                      d+d quad
FCG J124046.7+562457   12 40 46.728  +56 24 57.60   1.06                                 365237                      d+d quad
FCG J125138.0+280633   12 51 38.016  +28 06 33.76   1.11                                 377024                      mg quad wat? unu
FCG J133018.3+463651   13 30 18.346  +46 36 51.07   1.76                                 419571                      quad t+s
FCG J133117.7+340551   13 31 17.762  +34 05 51.86   1.31                                 420665                      quad d+d? t+s?
FCG J133939.2-030130   13 39 39.239  -03 01 30.08   1.05                                 429890                      quad d+d
FCG J141900.7+325215   14 19 00.731  +32 52 15.04   1.82                                 473537                      quad d+d arc
FCG J142157.2+101100   14 21 57.231  +10 11 00.50   1.46                                 476833                      quad d+d?
FCG J144216.4+164024   14 42 16.467  +16 40 24.46   1.87                                 499363                      mg d+d sz?? quad
FCG J144335.8+243410   14 43 35.803  +24 34 10.78   2.13                                 500887                      mg d+d? quad sz?
FCG J150232.3+333623   15 02 32.372  +33 36 23.70   2.40                                 522065                      sz? quad
FCG J151033.1+184435   15 10 33.144  +18 44 35.73   0.66                                 530996                      mg dd? quad d+d sz? arc?
FCG J151250.5-074249   15 12 50.571  -07 42 49.69   2.15                                 533425                      mg d+d tb+s? quad?
FCG J152859.8+005455   15 28 59.801  +00 54 55.65   0.65                                 551343                      mg quad nat? dd? d+d?, may be larger
FCG J153758.2+074553   15 37 58.297  +07 45 53.78   1.15                                 561209                      quad d+d?
FCG J155000.1-043659   15 50 00.164  -04 36 59.89   2.26                                 574168                      sz? d+d? dd? quad
FCG J155939.7+633828   15 59 39.740  +63 38 28.19   2.08                                 584051                      mg tri? quad
FCG J160136.6+171334   16 01 36.639  +17 13 34.37   2.15                                 586102                      a quad?
FCG J160632.7+122402   16 06 32.740  +12 24 02.24   1.96                                 591049                      mg arc? d+d? quad, may be larger
FCG J161758.2+233704   16 17 58.283  +23 37 04.35   1.08                                 601924                      mg d+d quad
FCG J163917.9+125508   16 39 17.915  +12 55 08.82   0.59                                 620677                      mg d+d quad
FCG J164230.1+114831   16 42 30.120  +11 48 31.10   1.60                                 623305                      mg quint unu configuration
FCG J164844.8+154743   16 48 44.812  +15 47 43.87   0.80                                 627925                      mg sz? ring? quad unu
FCG J170121.4+531537   17 01 21.424  +53 15 37.48   1.15                                 636927                      mg quad d+?
FCG J173540.4+474421   17 35 40.400  +47 44 21.53   1.14                                 654429                      mg quad d+d?
FCG J214936.3-083046   21 49 36.373  -08 30 46.58   0.97                                 660415                      d+d? quad
