FCG J014001.7-101206   01 39 59.890  -10 12 13.15   1.09       01 40 01.763 -10 12 06.82 012331                      with resolved jet?
FCG J105156.2+182557   10 51 56.748  +18 25 53.49   0.27       10 51 56.284 +18 25 57.85 244985                      mg
FCG J105624.7+164429   10 56 26.243  +16 44 31.62   0.69       10 56 24.792 +16 44 29.72 249969                      ss?
FCG J105626.7+015833   10 56 27.757  +01 58 29.88   0.46       10 56 26.779 +01 58 33.68 250001                      dd beads
FCG J110558.4+350118   11 05 58.867  +35 01 12.45   0.34       11 05 58.472 +35 01 18.90 260283                     
FCG J112023.1+540426   11 20 22.119  +54 04 24.96   0.54       11 20 23.161 +54 04 26.93 276080                     
FCG J112159.6+421909   11 22 00.089  +42 19 21.57   0.65       11 21 59.683 +42 19 09.27 278105                     
FCG J112239.7+335314   11 22 39.259  +33 53 17.54   0.57       11 22 39.792 +33 53 14.04 278698                     
FCG J114047.8+462204   11 40 47.680  +46 21 52.03   0.42       11 40 47.897 +46 22 04.82 299027                      nat? dl unu
FCG J114122.7+532624   11 41 21.517  +53 26 05.98   0.82       11 41 22.780 +53 26 24.50 299623                     
FCG J114751.5-072440   11 47 51.724  -07 24 46.13   0.42       11 47 51.566 -07 24 40.98 306807                     
FCG J115354.8+074624   11 53 54.893  +07 46 24.86   0.48       11 53 54.876 +07 46 24.63 313683                      both sides
FCG J115444.5+214624   11 54 44.372  +21 46 16.47   0.40       11 54 44.584 +21 46 24.14 314671                     
FCG J120045.4+285747   12 00 46.330  +28 57 40.31   0.44       12 00 45.494 +28 57 47.91 321369                     
FCG J120055.2+032655   12 00 53.290  +03 26 35.97   1.29       12 00 55.261 +03 26 55.49 321465                      rc?
FCG J120155.2+120623   12 01 55.057  +12 06 17.24   0.27       12 01 55.215 +12 06 23.76 322588                     
FCG J120529.1+183324   12 05 29.119  +18 33 08.30   0.61       12 05 29.153 +18 33 24.16 326631                     
FCG J120533.6+171750   12 05 33.747  +17 17 51.66   0.18       12 05 33.625 +17 17 50.21 326690                     
FCG J121329.9+455850   12 13 30.202  +45 58 57.12   0.36       12 13 29.963 +45 58 50.42 335555                     
FCG J121503.9+165437   12 15 04.080  +16 54 36.46   0.24       12 15 03.977 +16 54 37.79 337272                      both sides t cat missed second jet
FCG J121750.4+454249   12 17 50.544  +45 42 55.44   0.38       12 17 50.465 +45 42 49.60 340294                     
FCG J122544.8+193707   12 25 45.180  +19 36 48.05   0.59       12 25 44.804 +19 37 07.40 349083                     
FCG J123229.6+201035   12 32 29.416  +20 10 37.71   0.27       12 32 29.635 +20 10 35.53 356187                      mg wat? tri?? may be larger
