index,SDSS1,Plate1,Fiber1,MJD1,z1,sep1,rp1,dV1,rmag1,FAGN1,FTid1,RA1,Dec1,GroupID,GroupNum1,ComponentID1,SDSS2,Plate2,Fiber2,MJD2,z2,sep2,rp2,dV2,rmag2,FAGN2,FTid2,RA2,Dec2,GroupNum2,ComponentID2,Sep,Sep(kpc),ratio,dV_rwp,z1_type,z2_type,Paper(s),BibCode(s),DOI(s),rat
13,J001842.19-101613.9,653,303,52145,0.1215,14.6,32.0,140,17.02,2,2,00:18:42.19,-10:16:13.9,213,2,1,J001842.81-101625.1,652,71,52138,0.122,14.6,32.0,140,16.85,2,2,00:18:42.81,-10:16:25.1,2,2,14.463046097019827,31.6242933785982,1.22002971545177,-133.2738957650259,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,2.1865582925241815
14,J001907.45+010941.1,390,380,51900,0.1051,6.0,11.6,183,17.29,1,1,00:19:07.45,+01:09:41.1,92,2,1,J001907.61+010946.6,1542,367,53734,0.1058,6.0,11.6,183,18.96,1,1,00:19:07.61,+01:09:46.6,2,2,6.000635837573006,11.563586508041181,1.22002971545177,-189.3346411134971,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,1.9270602017932397
15,J002208.69+002200.5,688,474,52203,0.071,3.1,4.2,87,15.63,1,2,00:22:08.69,+00:22:00.5,24,2,1,J002208.83+002202.8,390,497,51900,0.0707,3.1,4.2,87,15.57,1,2,00:22:08.83,+00:22:02.8,2,2,3.1144532333902037,4.217498533156381,1.22002971545177,83.76523158237418,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,1.3541698067385874
16,J002339.83-004855.3,390,102,51900,0.0634,48.9,59.6,158,15.73,1,1,00:23:39.83,-00:48:55.3,573,2,1,J002343.09-004854.4,391,297,51782,0.064,48.9,59.6,158,15.78,2,1,00:23:43.09,-00:48:54.4,2,2,48.90333248352203,59.66351881451469,1.22002971545177,-168.6565626868315,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,1.22002971545177
17,J002345.08-010029.9,390,9,51900,0.0663,56.7,72.1,480,17.19,2,0,00:23:45.08,-01:00:29.9,644,2,1,J002348.45-010004.0,390,13,51900,0.0646,56.7,72.1,480,16.32,2,0,00:23:48.45,-01:00:04.0,2,2,56.79196105456946,72.21110725087787,1.22002971545177,477.0751105046377,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,1.2715022673982446
18,J002618.12+001005.6,1543,412,53738,0.1101,16.4,33.1,169,17.95,2,0,00:26:18.12,+00:10:05.6,225,2,1,J002618.66+000951.3,1542,637,53734,0.1107,16.4,33.1,169,18.2,2,0,00:26:18.66,+00:09:51.3,2,2,16.43470254293251,32.988404341500846,1.22002971545177,-161.56338878326343,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,2.0072407307235993
19,J002636.14-002507.0,1543,163,53738,0.118,17.6,37.7,104,18.54,2,0,00:26:36.14,-00:25:07.0,236,2,1,J002636.97-002454.7,1493,233,52933,0.1184,17.6,37.7,104,17.6,2,0,00:26:36.97,-00:24:54.7,2,2,17.50097978696157,37.31236173968232,1.22002971545177,-106.95760702376987,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,2.1320155896346136
20,J004239.54-093053.8,655,595,52162,0.0574,77.0,85.7,176,15.92,2,0,00:42:39.54,-09:30:53.8,923,2,1,J004244.64-093102.8,656,423,52148,0.0568,77.0,85.7,176,15.91,2,0,00:42:44.64,-09:31:02.8,2,2,75.98217928785286,84.52214579718438,1.22002971545177,169.70956915252586,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,1.1123943349529168
21,J005113.94+002047.2,1084,495,52591,0.1124,3.4,6.9,64,19.28,2,2,00:51:13.94,+00:20:47.2,34,2,1,J005114.12+002049.2,394,425,51913,0.1126,3.4,6.9,64,16.77,2,2,00:51:14.12,+00:20:49.2,2,2,3.360019798089673,6.867233631323007,1.22002971545177,-53.75280855445622,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,2.043807490428285
22,J005125.23+160340.1,420,405,51871,0.0623,72.9,87.1,86,14.97,1,0,00:51:25.23,+16:03:40.1,887,2,1,J005127.67+160443.1,420,402,51871,0.062,72.9,87.1,86,15.83,2,0,00:51:27.67,+16:04:43.1,2,2,72.1520482926992,86.6121913512346,1.22002971545177,84.45134699527466,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,1.2004120936369669
