Name1,z1,imag1,Name2,z2,imag2,theta,Com
SDSSJ145103.50+221551.0,1.509,18.74,SDSSJ145103.92+221536.3,1.554,19.51,15.83,QSO pair
SDSSJ145224.60+090424.2,1.873,18.73,SDSSJ145224.19+090436.3,0,19.04,13.56,no lensing object
SDSSJ150429.73+070619.8,2.116,19.05,SDSSJ150430.23+070626.6,0,17.89,10.01,no lensing object
SDSSJ150506.13+080604.5,1.249,18.43,SDSSJ150506.26+080623.2,2.154,19.37,18.81,QSO pair
SDSSJ151245.20+092939.8,1.638,18.12,SDSSJ151245.47+092935.7,0,19.28,5.72,no lensing object
SDSSJ152105.50+165424.2,1.551,19.00,SDSSJ152105.05+165440.7,0,20.25,17.70,no lensing object
SDSSJ152118.34+242555.8,2.188,18.31,SDSSJ152117.47+242606.5,0,17.29,16.04,no lensing object
SDSSJ152122.41+092650.8,0.748,18.67,SDSSJ152122.36+092654.4,0,18.84,3.65,no lensing object
SDSSJ152501.48+262732.3,1.581,18.93,SDSSJ152500.33+262737.5,0,19.88,16.33,no lensing object
SDSSJ152719.52+264929.3,0.780,19.08,SDSSJ152719.45+264934.1,0,18.55,4.90,no lensing object
SDSSJ152806.63+132345.8,0.675,18.70,SDSSJ152806.65+132346.9,0,18.40,1.13,no lensing object
SDSSJ153019.08+191948.5,1.294,18.96,SDSSJ153020.30+191942.5,1.465,19.45,18.16,QSO pair
SDSSJ153043.60+254909.6,1.490,19.02,SDSSJ153043.62+254907.1,0,20.16,2.52,no lensing object
SDSSJ153254.75+092454.9,2.123,18.89,SDSSJ153255.31+092508.0,0,18.94,15.35,no lensing object
SDSSJ153530.86+131310.6,1.018,18.55,SDSSJ153531.01+131309.8,0,19.81,2.35,no lensing object
SDSSJ153927.07+042518.1,0.739,18.38,SDSSJ153926.96+042519.1,0,18.36,1.89,no lensing object
SDSSJ154043.50+154416.1,1.577,18.18,SDSSJ154043.77+154400.5,0,18.52,16.06,no lensing object
SDSSJ154356.31+021344.0,1.121,18.79,SDSSJ154356.82+021349.2,0,19.87,9.22,no lensing object
SDSSJ154405.23+143455.2,1.406,17.94,SDSSJ154405.08+143447.9,0,18.36,7.66,no lensing object
SDSSJ154632.34+223637.8,1.984,18.65,SDSSJ154632.28+223640.2,0,19.76,2.47,no lensing object
SDSSJ154936.47+115833.2,1.248,18.91,SDSSJ154936.35+115833.3,0,20.00,1.96,no lensing object
SDSSJ155052.40+183655.1,1.823,18.44,SDSSJ155052.79+183646.1,0,17.79,10.59,no lensing object
SDSSJ155446.59+040443.2,2.157,19.08,SDSSJ155447.32+040428.6,0,18.10,18.21,no lensing object
SDSSJ155520.86+075418.8,1.464,18.09,SDSSJ155520.96+075418.0,0,19.39,1.63,no lensing object
SDSSJ160734.18+035034.0,1.304,18.56,SDSSJ160733.01+035038.7,0,18.74,18.02,no lensing object
SDSSJ161914.41+093615.8,1.630,17.91,SDSSJ161914.26+093625.0,0,17.86,9.46,no lensing object
SDSSJ162438.27+105106.8,1.227,19.02,SDSSJ162438.01+105105.3,0,18.99,4.28,no lensing object
SDSSJ162531.13+103110.5,1.312,18.94,SDSSJ162530.77+103104.3,0,20.04,8.18,no lensing object
SDSSJ163017.91+113725.0,1.637,18.67,SDSSJ163018.20+113710.2,0,19.06,15.45,no lensing object
SDSSJ170924.22+352514.2,1.843,18.94,SDSSJ170924.32+352514.1,0,19.69,1.12,no lensing object
