SDSSJ000009.26+151754.5 1.1985 19.057
SDSSJ000009.42-102751.9 1.8449 18.698
SDSSJ000013.14+141034.6 0.9582 19.028
SDSSJ000017.38-085123.7 1.2491 18.204
SDSSJ000024.02+152005.4 0.9889 18.969
SDSSJ000026.29+134604.6 0.7676 18.867
SDSSJ000028.82-102755.7 1.1518 19.047
SDSSJ000035.75-103305.3 1.2182 18.919
SDSSJ000039.00-001803.9 2.1249 18.812
SDSSJ000042.89+005539.5 0.9511 17.820
SDSSJ000053.09-003712.8 1.3208 18.493
SDSSJ000053.71+150637.1 1.4115 18.974
SDSSJ000057.67-085617.0 1.0946 18.099
SDSSJ000058.22-004646.5 1.8973 18.496
SDSSJ000058.77+003510.5 1.6531 18.821
SDSSJ000103.85-104630.3 2.0810 18.074
SDSSJ000119.64+154828.8 1.9218 18.919
SDSSJ000123.96-102458.1 1.0580 18.178
SDSSJ000124.23-093349.8 1.6326 18.942
SDSSJ000139.42+152624.1 1.7892 18.012
SDSSJ000141.43+002356.3 0.9329 18.858
SDSSJ000159.56+135933.4 1.2716 18.913
SDSSJ000205.46-104936.9 0.9299 17.838
SDSSJ000208.83-001742.6 0.6521 18.624
SDSSJ000216.62+134916.3 1.2715 18.717
SDSSJ000220.76-104248.5 1.0166 18.787
SDSSJ000221.80+151454.5 1.8249 18.406
SDSSJ000222.47-000443.5 0.8106 18.096
SDSSJ000226.10+000549.1 1.6506 18.365
SDSSJ000230.71+004959.0 1.3542 17.900
SDSSJ000253.25-085530.9 0.8495 19.039
SDSSJ000319.86-090156.1 1.7593 17.441
SDSSJ000334.10+152753.8 0.8959 18.982
SDSSJ000342.08+153628.7 1.5681 18.878
SDSSJ000405.45+141951.9 0.7909 18.880
SDSSJ000406.37-103815.2 1.2690 18.932
SDSSJ000419.47-110536.0 1.2414 18.830
SDSSJ000421.02-003403.1 1.4589 18.608
SDSSJ000422.29-090219.4 1.8589 18.138
SDSSJ000433.93-004844.7 1.2943 18.969
SDSSJ000434.01-100452.4 1.0192 18.311
SDSSJ000442.18+000023.3 1.0068 18.993
SDSSJ000447.79-104855.2 0.8845 18.949
SDSSJ000454.58-104230.1 1.1272 18.358
SDSSJ000455.44-110637.9 1.1192 18.501
SDSSJ000459.58+160225.0 1.1473 18.981
SDSSJ000500.42-003348.2 2.1733 18.502
SDSSJ000507.05-101008.7 1.2953 18.819
SDSSJ000510.83-092534.9 1.8603 19.039
SDSSJ000510.88-091400.0 1.5443 18.827
SDSSJ000519.39+144422.6 0.8577 17.718
SDSSJ000524.83-084502.8 1.0676 18.622
SDSSJ000531.06+000950.9 0.9447 18.757
SDSSJ000548.24-084808.4 1.1906 17.566
SDSSJ000549.05-003435.5 1.6236 18.698
SDSSJ000602.17-005358.1 1.8554 19.014
SDSSJ000612.32-104310.6 1.7353 18.787
SDSSJ000617.07+135406.9 0.6046 18.940
SDSSJ000618.27-100606.6 0.7185 18.404
SDSSJ000623.57+144710.7 1.1282 19.022
SDSSJ000627.03+160600.8 1.6782 18.864
SDSSJ000629.29-093550.9 1.7568 18.305
SDSSJ000639.20+142156.1 1.3931 17.840
SDSSJ000645.48-085323.5 1.4057 19.041
SDSSJ000648.73-094036.9 1.8357 18.868
SDSSJ000654.10-001533.4 1.7244 17.810
SDSSJ000654.13+141133.1 1.2974 19.061
SDSSJ000654.40+141442.7 1.6345 18.978
SDSSJ000655.61+150917.6 1.4024 19.052
SDSSJ000701.33+002242.3 0.8885 17.149
SDSSJ000709.92+001854.2 1.4391 18.016
SDSSJ000724.08+151657.6 2.0644 18.619
SDSSJ000725.18+003645.0 2.0330 18.887
SDSSJ000729.17+145811.1 1.1369 17.947
SDSSJ000735.52-085435.1 1.7758 19.066
SDSSJ000737.13+002003.2 1.0999 18.965
SDSSJ000741.92-102223.1 1.2630 18.929
SDSSJ000743.78-002432.4 1.5397 17.850
SDSSJ000748.29+151746.0 1.2369 18.610
SDSSJ000752.56+002110.2 1.2725 18.488
SDSSJ000754.53-110034.0 1.6762 19.014
SDSSJ000759.40+150822.6 1.9640 18.829
SDSSJ000802.22+152408.8 1.4292 18.973
SDSSJ000807.53+001619.0 1.4768 18.520
SDSSJ000809.19+152943.5 0.7564 18.358
SDSSJ000814.45+150946.9 1.0314 18.908
SDSSJ000815.33-095854.3 1.9516 17.896
SDSSJ000815.53-110137.1 1.3613 18.981
SDSSJ000820.02-092921.0 1.3582 18.461
SDSSJ000842.70+144108.5 0.7393 18.489
SDSSJ000856.79+155045.8 1.6904 18.543
SDSSJ000900.87-084618.7 1.6164 19.022
SDSSJ000901.38+153948.0 1.2428 18.686
SDSSJ000904.41-004332.8 1.8286 18.324
SDSSJ000905.00+141228.9 1.5189 18.844
SDSSJ000913.77-095754.5 2.0688 18.563
SDSSJ000913.79-101246.7 0.6142 18.918
SDSSJ000921.65-095949.1 1.5352 18.790
SDSSJ000927.60+011055.7 1.6697 18.860
SDSSJ000944.92-085001.1 1.6133 18.832
SDSSJ000945.46+001337.0 0.6973 18.418
SDSSJ000949.10-105810.8 2.0699 18.382
SDSSJ001002.04+004224.5 1.2121 18.807
SDSSJ001017.51-100238.9 1.8195 18.870
SDSSJ001017.80+010450.7 1.8194 18.335
SDSSJ001018.27+143338.8 0.9011 19.010
SDSSJ001018.56-005810.3 0.6263 18.867
SDSSJ001020.24-103059.1 1.7424 18.943
SDSSJ001024.21+153331.3 0.7290 17.147
SDSSJ001029.91-101145.5 1.7518 18.761
SDSSJ001033.34-095453.2 1.5518 18.848
SDSSJ001034.61-095723.7 2.0370 18.904
SDSSJ001047.46+001900.3 0.7477 18.731
SDSSJ001049.30-093906.4 1.5021 19.060
SDSSJ001053.56+000642.9 1.8730 18.889
SDSSJ001054.40-085438.6 1.7452 17.465
SDSSJ001100.31+134812.2 0.6860 18.525
