004437.33+010132.5| 0.38|0.07| 0.96|004437.33+010132.5|4.6|    |24.1|23.4|24.9|    |      |
004437.48+010136.4| 2.02|0.07| 3.99|004437.48+010136.5|4.6|    |    |    |23.0|22.2|      |
005043.06-003045.2| 4.31|0.05|15.36|005043.07-003045.5|2.3|    |23.8|23.6|22.9|    |      |
005043.18-003043.6| 3.09|0.05| 2.96|005043.16-003043.6|2.3|    |24.3|22.9|21.9|21.0|      |
005113.93+002047.0| 0.34|0.05| 0.61|005113.93+002047.2|3.4|20.0|18.6|17.1|15.3|16.8|0.1124|SDSS
005114.10+002049.5| 2.50|0.05| 3.47|005114.11+002049.4|3.4|20.0|17.8|17.1|15.2|16.4|0.1126|SDSS
011156.46-000015.1|11.06|0.66|16.80|011156.44-000015.1|2.5|23.5|23.0|22.9|22.4|22.2|      |
011156.58-000017.6|23.19|0.68|41.18|011156.52-000017.3|2.5|24.0|22.3|21.0|20.5|20.2|      |
012839.28+011309.4| 1.41|0.09| 2.13|012839.29+011309.3|4.3|    |25.2|23.6|22.7|21.5|      |
012839.42+011312.4| 0.90|0.09| 2.17|012839.44+011313.0|4.3|    |25.7|24.8|24.3|    |      |
013412.78-010729.6| 5.47|0.54| 8.14|013412.78-010729.5|4.6|18.2|15.7|14.8|14.2|14.0|0.0789|SDSS
013412.80-010724.8| 5.00|0.56| 6.58|013412.84-010725.0|4.6|20.7|18.5|17.5|17.2|16.8|0.0784|SDSS
013638.30-002403.2| 0.36|0.06| 0.37|013638.29-002403.5|4.4|    |    |    |23.1|23.3|      |
013638.53-002401.8| 0.36|0.06| 0.39|013638.56-002401.8|4.4|24.6|25.3|23.7|22.5|21.4|      |
014443.79+000618.6| 0.31|0.06| 0.39|014443.82+000619.6|2.3|    |23.6|24.2|23.1|22.7|      |
014443.87+000620.8| 0.43|0.06| 1.69|014443.90+000621.6|2.3|25.9|23.1|21.8|20.7|20.6|      |
014715.82-000820.1| 0.63|0.09| 1.46|014715.86-000819.5|2.4|24.4|23.0|20.7|19.6|18.7|0.4727|BOSS
014715.96-000817.5| 0.45|0.09| 1.82|014715.94-000817.4|2.4|21.4|21.2|20.1|20.2|19.9|      |
021020.94-005124.5| 0.51|0.07| 2.44|021021.00-005124.2|3.2|23.9|21.1|19.6|19.1|18.7|      |
021021.16-005127.2| 0.53|0.07| 2.12|021021.13-005126.7|3.2|24.4|22.5|21.5|20.8|20.5|      |
220634.96+000327.6| 0.51|0.07| 2.10|220634.97+000327.6|4.6|17.9|16.3|15.5|15.2|14.7|0.0466|SDSS
220635.08+000323.3| 1.75|0.07| 2.77|220635.08+000323.3|4.6|17.5|15.8|15.2|14.8|14.2|0.0461|SDSS
220758.28+010049.0| 2.05|0.06| 3.47|220758.26+010048.3|4.9|    |24.4|24.2|24.2|    |      |
220758.46+010052.2|15.64|0.06|19.69|220758.46+010052.2|4.9|24.6|23.3|22.2|21.2|20.3|      |
222548.38+003155.7| 2.64|0.07| 5.22|222548.37+003155.6|3.3|    |    |24.6|23.4|    |      |
222548.39+003158.8| 0.44|0.07| 0.46|222548.40+003158.8|3.3|    |23.7|23.9|22.9|23.2|      |
223222.43+001225.8| 0.37|0.06| 0.62|223222.41+001226.3|3.2|25.0|20.9|19.8|19.0|18.2|0.2210|LRIS
223222.60+001224.8| 0.53|0.06| 1.23|223222.60+001224.7|3.2|21.8|20.5|19.1|19.1|18.5|0.2215|LRIS
223546.30+000358.1| 0.40|0.06| 3.71|223546.28+000358.8|1.8|28.1|24.0|21.6|20.6|19.9|      |
223546.45+000358.5| 0.49|0.06| 0.60|223546.40+000358.7|1.8|25.1|24.5|22.7|21.6|22.0|      |
224204.26+003029.4| 0.49|0.06| 0.89|224204.25+003029.4|3.1|24.5|25.4|23.3|20.7|20.1|      |
224204.45+003028.0| 0.44|0.06| 0.81|224204.45+003028.1|3.1|21.8|20.9|19.9|19.4|19.1|      |
230010.19-000531.8| 0.71|0.05| 1.70|230010.18-000531.7|2.5|20.9|19.0|17.4|16.8|16.6|0.1797|SDSS
230010.31-000535.0| 0.40|0.05| 0.99|230010.24-000534.0|2.5|20.6|18.6|17.2|16.7|16.2|0.1798|SDSS
230342.76-011712.7| 0.96|0.14| 1.74|230342.74-011712.7|2.7|24.7|23.7|21.7|20.6|20.2|      |
230342.91-011711.2| 0.73|0.13| 3.27|230342.91-011711.9|2.7|27.7|21.6|20.3|19.5|19.4|0.5676|BOSS
230453.08-010946.7| 2.27|0.06| 3.36|230453.04-010946.6|1.7|    |    |    |23.0|    |      |
230453.19-010944.7| 2.80|0.06| 3.52|230453.13-010945.5|1.7|    |    |    |23.3|22.8|      |
230559.14+002410.5| 0.52|0.05| 0.82|230559.17+002409.0|1.6|24.5|25.7|21.1|19.8|19.0|      |
230559.18+002407.4| 0.76|0.05| 2.21|230559.19+002407.4|1.6|22.7|21.3|20.0|20.2|19.5|      |
230858.73+002528.1| 0.51|0.09| 1.20|230858.68+002527.8|3.7|24.3|24.3|23.4|22.4|21.9|      |
230858.76+002531.4| 2.37|0.09| 2.54|230858.75+002531.4|3.7|21.0|21.1|20.9|20.7|20.5|      |
231539.23-011516.9| 4.80|0.19|10.79|231539.19-011516.7|2.9|    |    |24.1|22.3|21.9|      |
231539.34-011518.5| 4.94|0.18| 9.41|231539.32-011518.9|2.9|    |24.3|24.0|    |    |      |
