SDSS J102727.90+305902.4 MMT/Blue Channel   3800      Hb,OIII        2010 December 5                                             77.5 167.5 900       J1027+3059
SDSS J110215.68+290725.2 Palomar/DBSP       2800/3400 Hb,OIII,Ha,NII 2010 December 2                                             32.3 122.3 900       J1102+2907
SDSS J110832.00+195128.3 Palomar/DBSP       2800/3400 Hb,OIII,Ha,NII 2010 December 2                                             22.7 112.7 900       J1108+1951
SDSS J101034.28+372514.7 Gemini/GMOS-N(1x2) 2100      Hb,OIII,Ha,NII 2010 November 23                                            53.0 143.0 2700      J1010+3725
SDSS J101650.34+200302.6 Keck/LRIS          1300      Hb,OIII        2010 March 13                                               32.5 122.5 300       J1016+2003
SDSS J103138.67+380651.7 Gemini/GMOS-N(1x1) 2100      Hb,OIII        2010 November 27                                            14.1 104.1 2700      J1031+3806
SDSS J103326.92+284751.0 Gemini/GMOS-N(1x2) 2100      Hb,OIII        2010 March 19 / 2010 March 27                               10.0 100.0           J1033+2847
SDSS J104257.96+385347.3 Keck/LRIS          1300      Hb,OIII        2010 March 13                                               42.4 132.4 300/600   J1042+3853
SDSS J104807.74+005543.4 Gemini/GMOS-S(1x2) 2100      Hb,OIII        2010 March 22 / 2010 March 9                                20.0 110.0           J1048+0055
SDSS J112319.22+302825.5 Keck/LRIS          1300/2600 Hb,OIII,Ha,NII 2010 March 12                                               32.2 122.2 800       J1123+3028
SDSS J112330.89+310519.3 Gemini/GMOS-N(1x2) 2100      Hb,OIII,Ha,NII 2010 March 3                                               100.0 135.0 2700      J1123+3105
SDSS J112659.54+294442.8 MMT/Blue Channel   3800      Hb,OIII        2010 December 5                                             59.2 149.2 900       J1126+2944
SDSS J112947.14+342842.6 MMT/Blue Channel   3800      Hb,OIII        2010 June 6                                                 79.7 169.7 600       J1129+3428
SDSS J113927.40+090014.0 Keck/LRIS          1300      Hb,OIII        2010 March 13                                               71.9 161.9 300       J1139+0900
SDSS J114544.23+405946.1 Gemini/GMOS-N(1x2) 2100      Hb,OIII        2010 July 21 / 2010 July 22 /  2010 June 21 / 2010 July 20   5.0                 J1145+4059
SDSS J115523.74+150756.9 MMT/Blue Channel   3800      Hb,OIII        2010 June 7                                                 49.5 139.5 1800      J1155+1507
SDSS J115713.07+515511.5 Gemini/GMOS-N(1x2) 2100      Hb,OIII        2010 July 19 / 2010 July 4                                  10.0  95.0           J1157+5155
SDSS J115714.97+081632.0 MMT/Blue Channel   3800      Hb,OIII        2010 June 7                                                 38.0 128.0 900       J1157+0816
SDSS J115822.58+323102.2 MMT/Blue Channel   3800      Hb,OIII        2010 June 6                                                  7.9  97.9 720/900   J1158+3231
SDSS J120240.68+263138.6 Gemini/GMOS-N(1x1) 2100      Hb,OIII        2011 January 22                                             26.8 116.8 1800      J1202+2631
SDSS J123833.83+303731.1 Gemini/GMOS-N(1x2) 2100      Hb,OIII,Ha,NII 2010 June 20 / 2010 May 20                                  42.0 140.0 36        J1238+3037
SDSS J123915.40+531414.6 MMT/Blue Channel   3800      Hb,OIII        2010 December 5                                             34.4 124.4 1080/900  J1239+5314
SDSS J124358.36-005845.4 Gemini/GMOS-S(1x2) 2100      Hb,OIII,Ha,NII 2010 March 7                                                70.0 150.0 3600      J1243-0058
SDSS J124504.20+372300.2 Gemini/GMOS-N(1x2) 2100      Hb,OIII,Ha,NII 2010 June 21 / 2010 July 18                                 90.0 145.0 3600      J1245+3723
SDSS J124813.82+362423.6 MMT/Blue Channel   3800      Hb,OIII        2010 June 6                                                 74.8 159.8 900       J1248+3624
SDSS J124859.72-025730.7 Gemini/GMOS-S(1x1) 2100      Hb,OIII        2011 January 20 / 2011 January 19                           61.0 151.0           J1248-0257
SDSS J130128.77-005804.3 Gemini/GMOS-S(1x2) 2100      Hb,OIII,Ha,NII 2010 March 7                                                45.0 135.0 1800      J1301-0058
SDSS J130724.08+460400.9 MMT/Blue Channel   3800      Hb,OIII        2010 December 5                                             67.0 157.0 1080/1260 J1307+4604
SDSS J132318.81+030807.1 Gemini/GMOS-S(1x2) 2100      Hb,OIII,Ha,NII 2010 February 27                                            45.0 130.0 1800      J1323+0308
SDSS J133222.45+463226.6 Gemini/GMOS-N(1x2) 2100      Hb,OIII,Ha,NII 2010 March 27                                               60.0 160.0 3600      J1332+4632
SDSS J133332.04+300744.7 Gemini/GMOS-N(1x2) 2100      Hb,OIII,Ha,NII 2010 March 29 / 2010 April 29                                0.0  90.0 1800      J1333+3007
SDSS J134415.75+331719.1 Gemini/GMOS-N(1x2) 2100      Hb,OIII        2010 May 23 / 2010 April 19 / 2010 April 23                 67.0 157.0 54        J1344+3317
