Sep_as1,Obs_stat1,RAdeg1,DEdeg1,imag1,gmag1,Class1,z1,QQ1?,Sep_as2,Obs_stat2,RAdeg2,DEdeg2,imag2,gmag2,Class2,z2,QQ2?
5.312,1,228.24194,29.86337,19.52,20.83,Q,1.809,3,5.312,1,228.24347,29.86401,18.38,18.58,Q,1.817
5.324,1,240.61448,13.23680,20.35,20.46,Q,2.018,3,5.324,1,240.61542,13.23796,19.93,20.08,Q,2.017
5.329,1,219.95697,6.01889,20.47,20.94,Q,1.151,3,5.329,1,219.95763,6.01756,20.39,20.80,Q,1.151
5.367,1,239.78424,26.67686,20.29,20.44,Q,0.870,3,5.367,1,239.78497,26.67552,19.66,19.81,Q,0.867
5.414,1,217.51110,7.23767,19.74,20.27,Q,1.245,3,5.414,1,217.51202,7.23648,19.02,19.39,Q,1.258
5.689,1,224.49422,25.27957,19.82,19.99,Q,1.376,3,5.689,1,224.49562,25.28052,19.71,19.82,Q,1.376
5.729,1,183.94425,2.43125,19.55,19.77,Q,1.445,3,5.729,1,183.94466,2.43279,19.51,19.69,Q,1.445
5.813,1,333.61163,13.44788,20.04,20.64,Q,1.995,3,5.813,1,333.61264,13.44917,19.81,20.10,Q,2.002
5.897,1,184.89556,25.68862,18.64,20.07,Q,1.596,3,5.897,1,184.89709,25.68951,19.61,19.87,Q,1.598
5.913,1,217.76937,27.09018,20.13,20.25,Q,2.261,3,5.913,1,217.77074,27.09129,20.10,20.19,Q,2.253
5.926,2,109.51288,40.34978,20.66,21.07,Q,1.838,3,5.926,2,109.51462,40.35075,20.04,20.16,Q,1.838
6.032,1,140.57305,-1.29883,19.48,19.83,Q,1.677,3,6.032,1,140.57307,-1.29715,18.64,18.93,Q,1.690
6.094,2,124.63222,36.38770,19.26,19.75,Q,1.961,3,6.094,2,124.63308,36.38616,17.73,17.99,Q,1.961
6.111,2,238.37596,22.50284,20.63,20.93,Q,0.641,3,6.111,2,238.37730,22.50399,20.50,20.70,Q,0.642
6.122,1,139.24195,32.87304,19.75,20.10,Q,1.911,3,6.122,1,139.24397,32.87321,19.38,19.73,Q,1.905
6.166,1,117.76159,13.05944,20.38,20.94,Q,1.545,3,6.166,1,117.76192,13.06113,20.31,20.82,Q,1.534
6.265,1,217.51486,15.66256,19.75,20.06,Q,0.912,3,6.265,1,217.51620,15.66371,19.76,19.64,Q,0.913
6.378,1,192.82401,-2.85715,19.93,20.40,Q,1.613,3,6.378,1,192.82468,-2.85879,19.80,20.06,Q,1.612
6.777,2,113.31387,44.45608,19.88,20.51,Q,2.108,3,6.777,2,113.31390,44.45420,18.30,18.69,Q,2.108
6.790,2,212.47394,39.33333,20.67,20.92,Q,2.080,3,6.790,2,212.47452,39.33149,20.66,20.89,Q,2.080
6.801,2,42.08668,0.16577,20.62,20.89,Q,1.637,3,6.801,2,42.08856,0.16590,20.52,20.71,Q,1.645
6.951,2,241.59820,54.09886,20.45,20.44,Q,0.876,3,6.951,2,241.60007,54.10045,20.43,20.41,Q,0.882
7.017,1,357.07998,0.95489,20.52,20.71,Q,2.145,3,7.017,1,357.08160,0.95597,18.60,18.69,Q,2.163
7.092,1,243.63236,50.51208,20.36,20.63,Q,1.342,3,7.092,1,243.63264,50.51404,20.32,20.55,Q,1.352
7.214,2,164.18701,-0.99263,20.68,20.96,Q,2.132,3,7.214,2,164.18854,-0.99393,20.56,20.74,Q,2.116
7.374,1,209.96744,52.32250,19.87,20.12,Q,1.252,3,7.374,1,209.97063,52.32185,19.42,19.58,Q,1.249
7.460,1,221.74066,24.15935,20.64,20.96,Q,1.907,3,7.460,1,221.74272,24.16022,20.54,20.77,Q,1.914
7.518,1,199.52823,22.80886,20.49,20.71,Q,1.485,3,7.518,1,199.52904,22.81081,20.16,20.38,Q,1.477
7.539,2,157.18196,39.49360,20.59,20.84,Q,1.895,3,7.539,0,157.18456,39.49301,20.57,20.80,Q,1.885
7.671,1,173.27908,10.61636,20.47,20.83,Q,1.450,3,7.671,1,173.28114,10.61704,20.38,20.61,Q,1.460
7.733,1,245.99411,14.86486,20.44,20.75,Q,1.945,3,7.733,1,245.99634,14.86493,20.32,20.54,Q,1.946
7.870,1,134.96700,9.23053,20.39,20.67,Q,0.726,3,7.870,1,134.96722,9.23270,19.85,19.99,Q,0.731
7.969,1,203.03862,25.38372,19.93,20.14,Q,2.083,3,7.969,1,203.04039,25.38525,19.91,20.11,Q,2.088
