NDWFS J142657.48+333119.6 0.2629   86.7  43.0  116.8  15.0   82.0  34.3  5.15 0.63 0.97 0.12  1.12 0.49 0.47 0.23
NDWFS J142658.40+331525.0 0.3008  -48.2  27.4   27.8  16.8   -2.7  20.6  3.18 0.44 0.61 0.07  0.67 0.25 0.17 0.18
NDWFS J142712.19+353630.0 0.0759  -27.7  14.3  -35.5   9.8  -40.4   9.8  9.84 1.17 1.64 0.19  0.95 0.11 0.26 0.06
NDWFS J142715.34+335822.0 0.2154  -30.9  13.3  -19.9   9.3  -49.7   9.9  5.25 0.33 0.50 0.02  0.57 0.11 0.14 0.06
NDWFS J142715.44+345453.9 0.2484  -38.1  39.6   80.4  13.8   -5.7  16.0  4.91 0.81 0.60 0.06  0.71 0.35 0.22 0.18
NDWFS J142719.11+344141.1 0.2111  -70.2  28.5    6.4  10.9  -17.7  18.0 12.32 1.65 0.49 0.05  0.54 0.27 0.01 0.05
NDWFS J142736.39+332548.0 0.3211   42.3  39.4  -29.1 236.0   49.8  27.3  8.69 2.41 0.43 0.11  9.40 1.53 0.12 0.23
NDWFS J142744.76+351006.1 0.2409  -44.9  26.3  -75.3  39.9  -49.1  15.0  1.44 0.27 0.84 0.09  0.83 0.37 0.06 0.14
NDWFS J142750.54+324347.9 0.2167   23.8  15.8   39.0  10.2   24.6  12.5  7.85 0.52 1.04 0.03  0.50 0.08 0.20 0.05
NDWFS J142757.16+334529.4 0.3119   -3.4  69.9  -44.9  86.1   -6.9  58.4  3.78 1.43 0.37 0.14  3.29 0.58 0.17 0.55
NDWFS J142808.74+351054.3 0.3366    6.1 129.0   -5.9  24.4  -14.8 100.   5.67 3.12 0.57 0.33  0.22 0.90 0.06 0.15
NDWFS J142810.78+340219.0 0.2371   16.5  22.2  -97.7  13.5    3.5  16.0  2.23 0.13 0.57 0.03  0.36 0.10 0.06 0.04
NDWFS J142813.77+335626.5 0.1311  -36.0  18.6  -67.5  11.7  -65.7  11.7  5.50 0.38 1.15 0.03  0.87 0.18 0.22 0.11
NDWFS J142816.16+325053.6 0.2632   69.7  92.1   67.9  22.5  -15.3  72.4  5.14 1.27 1.20 0.16  1.29 0.24 0.30 0.09
NDWFS J142829.25+333327.8 0.2624  -45.0  76.7  -77.0  28.8  -33.9  35.8  5.76 1.63 0.97 0.14  0.32 0.22 0.28 0.25
NDWFS J142834.04+330534.0 0.3136  120.7  38.1   98.5  12.7   59.1  42.2  9.21 1.52 0.54 0.14  0.76 1.52 0.48 0.26
NDWFS J142847.29+344318.0 0.1935  215.7 137.1   69.8  49.5  202.3  66.8  2.17 0.83 0.84 0.12  0.49 0.51 0.15 0.13
NDWFS J142849.00+343255.0 0.2148  -50.9  44.7   50.3  31.4   14.4  20.8  1.40 0.25 1.21 0.12  0.98 0.48 0.40 0.14
NDWFS J142849.14+333659.0 0.2594   -6.4  20.5   12.8  15.9   -9.2  17.8  8.41 1.31 0.60 0.09  0.81 0.18 0.15 0.10
NDWFS J142851.28+350612.5 0.3427  -20.8  32.9   19.2  20.4  -10.9  23.5  4.07 0.79 0.82 0.11 18.86 1.41 0.23 0.08
NDWFS J142854.74+345311.8 0.3571  104.7  35.0  -16.1  68.3  103.6  45.7  3.57 1.30 0.80 0.47  0.23 0.46 0.91 1.80
NDWFS J142855.06+342148.2 0.3296   42.2  35.4  -34.8  12.2  -86.1  46.2  9.13 2.13 0.64 0.28  2.01 0.81 0.03 0.06
NDWFS J142855.45+342240.1 0.1254    7.7  28.5  -10.9  24.7    9.0  24.4  2.36 0.21 0.64 0.03  0.59 0.17 0.07 0.06
NDWFS J142900.00+330318.4 0.1285   -9.0  31.5   -1.6  16.0  -17.8  17.3  2.58 0.24 0.72 0.04  0.32 0.15 0.07 0.07
NDWFS J142907.58+335836.4 0.1244   16.5  15.7  -11.6  12.6  -72.8  12.2  5.13 0.17 1.08 0.01  0.50 0.08 0.13 0.03
NDWFS J142910.62+334835.3 0.3136  -65.7 128.2    0.5  58.7  -87.2 101.8  3.12 1.43 1.30 0.35  1.70 0.73 0.19 0.21
NDWFS J142918.25+354611.8 0.2450   16.4  74.7   75.2  44.7   26.6  32.1  1.71 0.48 0.75 0.15  0.79 0.51 0.23 0.35
NDWFS J142918.59+343856.9 0.0993  -34.5  15.7  -45.2  11.7  -64.4  11.9  6.76 0.39 1.80 0.08  0.84 0.09 0.17 0.05
NDWFS J142920.69+353947.5 0.2559  -15.6  32.0  -33.4  19.0  -61.8  21.5  7.91 2.36 0.59 0.06  0.67 0.26 0.21 0.11
NDWFS J142935.54+350757.2 0.0827   19.7  25.0   14.4  14.9   -7.1  15.5  6.94 1.64 0.79 0.15  0.50 0.16 0.10 0.10
