091833.82+315621.1 0.4520 1592 139 52990  3100 136  2916
091850.87+414448.3 0.4293 1201 057 52674   616 146   602
091858.15+232555.4 0.6901 2290 407 53727   222 300  1281
091930.31+110854.0 0.3688 1740 399 53050  1393 330  1149
091941.13+534551.0 0.5622 0554 477 52000  2010 346   131
092019.08+395219.6 0.2232 0938 159 52708 -1810 209 -2075
092116.12+383537.6 0.1871 1214 293 52731 -1385  32  -845
092411.40+633748.5 0.3538 1787 511 54465   211  31   182
092441.08-001729.6 0.7070 0474 167 52000  -501  60  -477
092459.28+252739.7 0.2682 2291 604 53714   617 157   580
092533.73+081651.9 0.5011 1302 070 52763  -662 166  -639
092548.59+344809.1 0.5409 1274 048 52995   236  55   314
092654.83+291837.7 0.4478 1939 197 53389  -471  64  -336
092703.01+390220.8 0.6952 1214 497 52731   964  52  1664
092712.64+294344.0 0.7130 1939 467 53389   797  60  1200
092837.98+602521.0 0.2959 0485 506 51909  -796 149  -759
092933.96+503025.3 0.5606 0767 054 52252   529  91   538
093033.60+233337.0 0.3780 2293 484 53730  -354  31  -200
093200.07+553347.4 0.2665 0556 295 51991  -536  64  -771
093203.97+614051.6 0.3592 0486 355 51910  -549 101  -332
093249.74+215041.7 0.7157 2292 353 53713  -547  87  -607
093305.19+343621.6 0.6157 1594 291 52992  -323  30  -335
093518.19+020415.5 0.6499 0477 392 52026   660 120  1348
093529.39+193757.8 0.5018 2361 438 53762   396  60   496
093653.84+533126.8 0.2278 0768 473 52281  2391  30  1186
093706.85+170021.5 0.5057 2369 202 53733   466  31   322
093826.21+022038.3 0.4404 0477 463 52026   465 120   440
093833.94+225031.6 0.4328 2292 448 53713  -349  92  -325
094121.61+265839.0 0.5236 2297 488 53738  -906 161  -504
094257.11+582648.0 0.7109 0452 624 51911  -279  60  -273
094337.86+363420.9 0.4006 1595 351 52999  -403  60  -389
094424.80+640846.7 0.4528 1788 179 54468   443  62   451
094603.94+013923.6 0.2199 0480 480 51989  1679  60  1239
094953.60+472351.1 0.3964 1005 099 52703  -290  60  -203
095036.75+512838.1 0.2146 0902 498 52409 -1397 119 -1157
095207.62+255257.2 0.3399 2341 523 53738  -373  59  -350
095223.70+441135.1 0.6172 0942 315 52703  -636  60  -493
100020.28+115703.5 0.4752 1744 262 53055 -1321 186 -1201
100157.98+581646.6 0.2887 0558 537 52317   237  66   350
100535.62+325125.5 0.3016 1952 366 53378 -1040  90  -597
100819.88+454004.8 0.3375 0943 494 52376   207  60   223
100823.63+353841.8 0.3508 1951 518 53389  -293  30  -155
101000.54+074235.5 0.4787 1237 298 52762 -2193 238 -2193
101322.77+214609.9 0.5679 2365 278 53739   660 180  1096
101331.57+052620.0 0.4232 0996 016 52641   285  60   312
101331.59+551737.9 0.3952 0946 220 52407   238  60   266
101438.27+031211.0 0.4993 0574 212 52355  1038 170   765
101600.25+130547.3 0.4844 1745 548 53061  -256  32  -309
101719.02+151620.8 0.2463 2588 521 54174  -654  60 -1051
101825.45+380532.7 0.3868 1427 194 52996   233  60   789
101846.16+195140.6 0.4112 2374 476 53765  -317  30  -390
101858.54+343632.3 0.1098 1955 507 53442  -344  89  -336
101950.33+343753.9 0.3347 1954 027 53357   300  60   581
102008.94+441543.1 0.6381 1358 416 52994  -852 179  -862
102025.83+413342.3 0.3613 1359 381 53002   391  42   413
102106.04+452331.8 0.3639 0944 146 52614  1377 221   758
102111.08+285612.5 0.8051 2351 180 53772  -365  89  -358
102348.10+081023.6 0.4426 1239 294 52760   253  60   309
102444.80+191220.3 0.8275 2374 040 53765   683 103   693
102803.56+222923.8 0.4267 2366 589 53741   144  30   149
102847.00+391800.4 0.4729 1428 558 52998   375  93   333
103024.95+551622.7 0.4348 0905 404 52643   158  32   205
103040.18+604626.4 0.2523 0560 366 52296   549 120   495
103044.35+564318.4 0.3594 0947 177 52411  -307  36  -577
103059.09+310255.7 0.1781 1959 066 53440    25 119   642
103110.06+633245.9 0.4279 0772 530 52375   325  61   406
103817.81+001844.2 0.2570 0274 388 51913  -184  30  -110
103901.88+421543.7 0.4664 1361 474 53047  -249  60  -280
104044.70+434348.3 0.7752 2567 036 54179  -303  91  -338
104111.97+282805.0 0.2114 2356 575 53786  -263  32  -158
104404.38+654132.3 0.5145 0489 548 51930   449  60   183
104448.81+073928.6 0.2307 1000 618 52643  -653 164  -571
104535.08+034123.1 0.3541 0578 044 52339   391  84   449
104659.59+405054.1 0.4510 1433 534 53035   546  60   340
104713.94+451944.1 0.4890 1434 465 53053   781 241   794
104903.33+444358.4 0.3625 1434 170 53053  -739 120  -399
105041.35+345631.3 0.2722 2025 603 53431 -3629  59 -3537
105235.34+484005.9 0.4764 0963 415 52643   339  63   461
105237.24+240627.3 0.3981 2481 532 54086   507  90   921
105348.56+515713.6 0.3270 1010 001 52649  -220  60  -224
105625.27+163621.0 0.5058 2487 356 53852  -820  60  -518
105632.01+430055.9 0.3182 1362 536 53050  -202  30  -207
105648.18+370450.3 0.3895 2007 075 53474  -726  90  -449
105935.75-000551.2 0.2831 0277 277 51908  -354  35  -160
105958.82+251708.8 0.6628 2357 117 53793  -370  92  -356
110024.95+535903.3 0.6253 1011 497 52652   459 131   552
110036.22+251408.1 0.3218 2357 017 53793  -193  60  -193
110050.99+170934.2 0.3476 2485 188 54176  1541  33  1502
110153.45+624150.6 0.6644 2882 010 54498   910 142   932
110715.04+162802.2 0.6305 2491 252 53855   458  90   961
110740.09+202333.4 0.6249 2488 020 54149  -438  97  -415
110741.71+052616.1 0.6121 0581 498 52356   527 149   559
110831.97+541148.1 0.4656 1012 388 52649   291  92   362
111126.95+202038.0 0.4447 2492 219 54178   976 225  1075
111144.57+161318.5 0.4326 2491 124 53855   224  60   242
111221.82+003028.6 0.5235 0279 343 51984   811 153   798
111230.89+181311.4 0.1952 2490 009 54179   876 270  1016
111320.62+641053.5 0.5723 0596 483 52370  -621 194  -586
111514.51+420451.7 0.4765 1439 577 53003   233  60   236
111740.48+530151.2 0.1587 1012 058 52649  -336  30  -169
112007.43+423551.3 0.2271 1365 261 53062  -713  89  -434
112014.85+063341.1 0.3161 1617 056 53112  -136  29  -146
112347.28+022224.5 0.7541 0512 356 51992   879 282   893
112403.37+042829.0 0.1508 0836 153 52376   213  31   119
112518.70+295131.8 0.3543 2217 469 53794   330  61   398
112703.53+612349.4 0.7581 0775 080 52295  2814  77  2699
112837.89+123643.5 0.3221 1606 488 53055  -812  90  -324
112933.19+261218.8 0.4286 2219 293 53816   421  91   419
113011.69+055744.1 0.4442 0837 373 52642   434  81   449
113235.86-012848.5 0.4419 0327 380 52294   481 110   530
113258.97+244511.4 0.4283 2505 322 53856   811 260   887
113342.78+353135.4 0.2026 2012 287 53493  -167  30  -119
113624.02+173151.7 0.2982 2503 555 53856  -489  91  -398
113640.90+573839.9 0.1482 1309 620 52762  -256  62   756
113706.93+481943.6 0.2201 1444 321 53054 -1228 149 -1335
113707.27+464505.5 0.5662 1444 274 53054   526 154   547
113710.95+103642.8 0.2775 1224 414 52765   521 120   603
113854.14+652109.7 0.4128 0597 566 52059   279  37   232
113908.26+123322.5 0.5821 1607 558 53083   634 152   706
113918.14+314302.4 0.4635 2008 258 53473  -595 149  -526
114105.82+135524.7 0.2446 1755 002 53386  -241  30  -240
114219.44+360923.8 0.4619 2012 531 53493  4029 667  2067
114420.31+113500.8 0.2721 1608 160 53138  -715  31  -431
114537.77+052225.0 0.3131 0839 494 52373 -1804 327 -2687
114933.87+222227.0 0.5549 2513 355 54141  -576 161  -560
115449.42+013443.5 0.4695 0515 099 52051 -4077  59 -2400
115941.26+545005.5 0.3471 1018 276 52672  -241  59  -196
115947.08+204907.2 0.2990 2608 379 54474   210  60   217
120329.84+480313.5 0.8168 1449 439 53116   397  45   405
120411.80+135012.3 0.2995 1764 208 53467  -465  90  -290
120822.44+524013.4 0.4323 0882 628 52370   229  30   269
120841.79+025540.8 0.3800 0517 559 52024   261  30   274
120950.85+554113.1 0.3394 1018 580 52672  -561  81  -539
121007.05+574423.4 0.3003 1314 512 53050  -324  30  -340
121517.72+254628.3 0.5380 2657 418 54502   506 156   517
121522.77+414620.9 0.1955 1450 141 53120  4133 121  2964
121608.14+390245.7 0.3348 2001 472 53493  -504 136  -493
121830.84+183458.2 0.1979 2610 043 54476  -264  21  -326
121932.00+614132.4 0.3708 0780 290 52370   132  25   128
122018.43+064119.6 0.2867 1626 292 53472   -44 324  1201
122349.30+021449.1 0.4085 0519 178 52283   963 241   965
122450.55+100545.4 0.1680 1231 479 52725   418  66   350
122811.89+514622.8 0.3210 0884 133 52374   908 120   842
123045.55+064453.5 0.5089 1627 126 53473   635 178   669
123147.11+123835.3 0.2919 1616 351 53169  -985  89  -521
123209.68+005015.4 0.4769 0290 329 51941  -514  60  -484
123514.64+034108.1 0.7927 0520 606 52288  -248  30  -105
123550.26+180242.8 0.2535 2599 478 54234   322  38   400
123658.17+050525.1 0.5407 0846 395 52407  -384  90  -459
124054.50+074528.8 0.3298 1628 632 53474   150  30   377
124334.94+340651.6 0.6641 2020 021 53431  -294  61  -262
124355.79-070856.6 0.3942 2707 457 54144   553 142   565
124456.24-013933.8 0.4922 0336 441 51999   322  89   359
124616.19+465552.8 0.4339 1455 119 53089   419 113   478
124626.80+510802.8 0.3921 0886 288 52381   410  31   313
124802.28+475720.4 0.4283 1455 545 53089   972 210   754
124956.88+041329.6 0.7488 0847 105 52426   387  95   399
125001.99+175302.3 0.7203 2601 515 54144  -616 148  -745
125338.10+323450.9 0.5114 1994 381 53845   490 154   634
125615.80+435312.7 0.7724 1374 308 53083   460 150   521
130206.39+630124.8 0.3571 0783 379 52325   183  31   122
130524.85+221913.8 0.4897 2650 492 54505   562 180   602
130534.49+181932.8 0.1178 2603 443 54479  1152 180   766
130712.33+340622.5 0.1481 2006 628 53476  -599  30  -243
130749.63+350140.3 0.3000 2016 216 53799   313  40   548
131007.84+090751.1 0.5050 1796 104 53884  -385  59  -233
131321.91+184133.8 0.5873 2617 003 54502  -394  82  -302
131732.14+110651.9 0.3163 1697 009 53142  -103  30  -126
132358.10+235726.0 0.3939 2664 147 54524   759 161  1008
132643.62+015209.3 0.1969 0527 229 52342   290  30   148
133058.49+112648.0 0.6794 1699 113 53148  -934 209  -752
133451.24+011216.2 0.4162 0528 202 52022   374  90   325
133612.54+062933.6 0.4300 1801 095 54156   754 248   951
133817.69+343217.5 0.4031 1993 034 53762   377 121   544
133930.20+195647.6 0.5365 2654 247 54231  -510  91  -357
134104.40+671337.1 0.5509 0497 419 51989   652 215   685
134113.93-005315.0 0.2370 0299 133 51671  1317 331  1254
134223.84+575747.6 0.4188 0960 069 52425  -189  31  -242
134420.87+663717.5 0.1278 0497 466 51989   189  30   202
134548.50+114443.5 0.1264 1701 200 53142   -15  83   435
134755.16+602451.0 0.6528 0787 348 52320   424  92   634
134847.42+163408.6 0.8104 2742 493 54233  -424  98  -412
134928.26+162714.6 0.4609 2742 543 54233   668 185   808
135432.46+205307.6 0.3952 2770 399 54510  -505  92  -476
135719.47+394045.3 0.2655 1378 158 53061  -919  59  -662
135800.40+404358.1 0.5454 1378 527 53061  -769  94  -717
140033.66+154432.0 0.2152 2743 026 54259   364  60   309
140158.54+120055.7 0.3817 1703 430 53799   412  90   337
140827.51+142233.1 0.3184 1704 562 53178  -182  30  -186
141116.72+194440.0 0.2382 2772 231 54529   644  31   879
141119.71+652813.5 0.3569 0498 555 51984  -315  91  -288
141239.23+093048.3 0.2847 1810 439 53794   225  62   187
141300.53+401624.5 0.3634 1347 086 52823  1023 311  1057
141505.91+044546.1 0.2413 0583 497 52055   361 119   406
142145.91+351839.4 0.8251 1644 221 53144  -408  64  -457
142314.18+505537.2 0.2762 1045 072 52725  -290  59  -212
142934.17+444748.9 0.2080 1288 236 52731  -503 149  -758
143131.42+502102.4 0.6288 1046 463 52460  -210  35  -216
