 94 J144541.31+334107.9 53498 1646 165 0.131020 17.39 -144.7 41.57 2-typeII pp-AGN
 95 J145217.27+511050.3 52786 1328 514 0.075780 16.19   19.6 40.44 2-typeII pp-AGN
 96 J150705.22+050312.3 54557 1831  31 0.215520 17.28  -77.7 41.12 2-typeII pp-AGN
 97 J153112.29+433358.1 52466 1052 383 0.117900 17.46  -72.2 41.19 2-typeII pp-AGN
 98 J153714.72+121150.9 54240 2754 630 0.147720 17.42 -192.8 40.88 2-typeII pp-AGN
 99 J160255.44+042814.5 53494 1837 145 0.202630 17.51    6.7 41.02 2-typeII pp-AGN
100 J160902.20+231157.5 53534 1852 542 0.311610 18.18  -83.8 41.59 2-typeII pp-AGN
101 J161708.95+222628.0 53520 1657  90 0.065610 16.48 -508.9 40.01 2-typeII pp-AGN
102 J162738.08+445342.1 52057  626 460 0.178920 17.18  -92.7 41.43 2-typeII pp-AGN
103 J163419.15+464801.8 52144  627 452 0.215380 17.41   50.4 41.16 2-typeII pp-AGN
104 J163542.35+264947.3 54553 2948 124 0.071300 16.18   39.6 39.89 2-typeII pp-AGN
105 J163732.37+352321.2 52767 1339 568 0.122950 17.54 -149.2 41.16 2-typeII pp-AGN
106 J171544.06+600835.7 51703  353 568 0.156430 17.35  146.5 41.49 2-typeII pp-AGN
107 J210410.23-053649.0 52174  637 556 0.082380 16.26 -294.4 40.15 2-typeII pp-AGN
108 J225510.12-081234.4 52254  724 405 0.148990 17.26   37.5 41.69 2-typeII pp-AGN
109 J235030.67-005844.6 52639 1092 123 0.225340 17.82 -527.9 41.27 2-typeII pp-AGN
110 J235256.62+001155.2 51788  386 516 0.166920 17.43  -96.1 41.17 2-typeII pp-AGN
111 J004000.74-005146.0 51793  392   7 0.111300 16.25  113.4 40.84 type I asym-NEL AGN
112 J004950.54+144155.8 51879  419  37 0.182920 17.58    0.9 40.70 type I asym-NEL AGN
113 J005426.57-002020.4 51876  394 104 0.172630 16.92  -27.0 41.52 type I asym-NEL AGN
114 J012516.38-085225.2 52163  661 538 0.049240 14.73 -155.5 40.42 type I asym-NEL AGN
115 J020258.94-002807.5 51812  404 270 0.339330 18.28 -492.4 41.63 type I asym-NEL AGN
116 J020814.56-093247.3 52163  667 236 0.143830 16.22  -10.2 40.86 type I asym-NEL AGN
117 J025220.89+004331.3 51877  410 382 0.169580 17.47 -137.7 41.01 type I asym-NEL AGN
118 J030201.22-010117.9 51873  411 248 0.166420 17.68 -100.0 41.89 type I asym-NEL AGN
119 J030956.89+004151.0 52258  412 444 0.129630 17.85  -72.6 40.91 type I asym-NEL AGN
120 J031832.76+005206.3 52172  672 454 0.298980 18.92  -21.8 41.40 type I asym-NEL AGN
121 J074433.08+201102.7 52708 1263 248 0.197150 16.97  174.5 41.87 type I asym-NEL AGN
122 J074559.60+450434.4 53052 1736 577 0.120040 17.56  -12.8 41.63 type I asym-NEL AGN
123 J075244.64+434105.3 51885  434 567 0.179160 17.38   87.8 41.74 type I asym-NEL AGN
124 J075549.71+451138.6 51883  436 426 0.129590 17.63  -39.2 40.86 type I asym-NEL AGN
125 J081347.49+494109.9 51885  440 451 0.093800 17.28 -202.1 41.06 type I asym-NEL AGN
126 J083406.11+300718.5 52672 1208  18 0.149930 17.82  -48.0 40.77 type I asym-NEL AGN
127 J083551.52+312100.3 52672 1208 613 0.178030 17.68   36.2 41.00 type I asym-NEL AGN
128 J083844.80+132737.0 53795 2426 553 0.184380 17.54    3.2 41.18 type I asym-NEL AGN
129 J084118.94+053350.9 52708 1187 517 0.225140 17.57 -398.0 41.33 type I asym-NEL AGN
130 J084254.66+180148.6 53711 2278 567 0.207040 16.90 -244.7 41.50 type I asym-NEL AGN
131 J085315.22+020255.7 51912  468 526 0.129030 17.68  -37.5 40.61 type I asym-NEL AGN
