  1 J090012.70+183439.2 53729 2283 160 0.08118 16.97 J090012.30+183436.8 53700 2285 316 0.08040 17.17 normal galaxy
 78 J095957.05+231028.0 53737 2298 546 0.14726 17.49
 79 J100719.27+095220.9 53053 1308  96 0.05739 15.22
 80 J101635.84+552734.3 52407  946 141 0.11800 18.66
 81 J102750.98+230119.8 53741 2366 618 0.24674 17.59
 82 J104027.53-000113.8 51913  274 197 0.14032 17.63
 83 J111346.88+430634.3 53061 1364 199 0.06078 16.71
 84 J113026.02+315846.4 53430 1974 454 0.12707 16.93
 85 J113413.31+074637.9 53084 1619 438 0.07477 16.16
 86 J114106.58+554012.3 52759 1016 338 0.15134 17.87
 87 J115406.36+491227.3 52412  968 199 0.11713 16.97
 88 J115520.81+325819.0 53469 2099 246 0.12955 17.17
 89 J115610.77+045943.4 52374  840 557 0.07972 15.16 J115610.40+045935.0 52375  841 399 0.07896 18.93 pp-galaxy
 90 J115930.31+532055.8 52370  882 409 0.04503 15.38
 91 J120633.28+121950.5 53149 1612 291 0.14057 17.45
 92 J121346.11+024841.4 52024  517 631 0.07300 16.42 J121345.95+024839.0 52282  518 467 0.07295 19.32 normal galaxy
 93 J122454.58+181200.9 54231 2597 608 0.13369 17.16
 94 J133038.03+014934.8 52342  527 156 0.15477 17.06
 95 J134330.05+090614.6 53886 1804 177 0.13666 17.30
 96 J135326.10+081015.7 53875 1805 540 0.15015 16.76
 97 J141104.81-001906.6 51615  303 320 0.13867 17.52 J141105.01-001910.4 51688  302  66 0.13868 18.39 normal galaxy
 98 J141721.07+265126.8 53859 2127 518 0.03688 13.65
 99 J142722.83+200549.4 54534 2774 375 0.07552 16.06 J142723.13+200547.9 54533 2773 626 0.07582 16.29 normal galaxy
100 J143031.19+524225.8 52781 1327 355 0.04485 14.43
101 J145025.97-010631.1 52380  921 328 0.11966 16.94
102 J151839.16+281837.3 54173 1846 226 0.07577 15.55
103 J151919.81+061814.7 54562 1834 405 0.09821 16.54
104 J152430.72+592638.8 52345  613 116 0.12945 17.73
105 J152617.76+271100.7 54176 1847  41 0.12231 16.99
106 J152807.16+151803.7 54243 2767 601 0.13174 16.19 J152807.47+151809.2 54266 2781  44 0.13149 17.37 normal galaxy
107 J153840.87+070146.9 54208 1820 638 0.12709 15.74
108 J154925.70+063116.3 53167 1821 618 0.11937 17.19
109 J155452.73+411601.4 52516 1054 447 0.07050 16.59
110 J155940.09+102525.6 54572 2523 198 0.06928 16.23
111 J160446.38+215726.2 53874 2173 615 0.04015 15.70
112 J160746.14+305222.6 52876 1406 325 0.07014 15.70 J160746.42+305221.5 52826 1405 113 0.06949 16.23 normal galaxy
113 J160932.11+534557.9 52055  621 570 0.06453 15.76
114 J163419.70+295725.5 53463 1685  51 0.07855 15.45
115 J170341.46+245139.9 53446 1693  76 0.06281 16.18 J170341.27+245138.1 53260 1687 453 0.06312 19.21 normal galaxy
116 J171040.80+221732.4 53177 1689 497 0.12151 16.64
117 J171124.83+292114.1 52411  975  77 0.12267 18.08
118 J172028.50+303006.0 54592 2974 281 0.14057 17.18
119 J220225.68+120515.9 52224  734 117 0.12342 16.83
120 J233726.63-085726.6 52553  647 529 0.16539 17.42
121 J234929.84-001600.6 51788  386 225 0.22013 18.32 J234929.93-001558.5 52937 1538 227 0.21970 19.03 normal galaxy
