SDSS,Plate,Fiber,MJD,z,sep,rp,dV,rmag,FAGN,FTid,RA,Dec
J000249.07+004504.8,388,345,51793,0.0868,5.9,9.5,63,16.08,0,3,00:02:49.07,+00:45:04.8
J000249.44+004506.7,685,593,52203,0.0865,5.9,9.5,63,16.43,1,3,00:02:49.44,+00:45:06.7
J000257.21+000750.5,685,531,52203,0.0901,45.4,76.0,109,16.15,2,2,00:02:57.21,+00:07:50.5
J000258.59+000831.0,387,72,51791,0.0897,45.4,76.0,109,16.67,2,2,00:02:58.59,+00:08:31.0
J000323.74+010547.3,1490,321,52994,0.0993,12.2,22.4,22,17.98,2,2,00:03:23.74,+01:05:47.3
J000323.74+010559.5,387,620,51791,0.0994,12.2,22.4,22,17.42,2,2,00:03:23.74,+01:05:59.5
J000425.78-095854.4,650,598,52143,0.1122,24.1,49.1,53,16.41,0,2,00:04:25.78,-09:58:54.4
J000426.66-095834.4,651,392,52141,0.112,24.1,49.1,53,16.57,2,2,00:04:26.66,-09:58:34.4
J000431.92-011411.7,388,282,51793,0.0887,42.3,70.1,45,17.22,0,0,00:04:31.92,-01:14:11.7
J000433.25-011334.4,1490,241,52994,0.0889,42.3,70.1,45,18.47,2,0,00:04:33.25,-01:13:34.4
J000621.33-100412.6,651,228,52141,0.1062,45.6,88.3,165,17.46,0,1,00:06:21.33,-10:04:12.6
J000623.74-100345.0,650,33,52143,0.1056,45.6,88.3,165,17.34,1,1,00:06:23.74,-10:03:45.0
J000700.56+005410.5,388,441,51793,0.0925,56.2,96.7,250,15.44,1,2,00:07:00.56,+00:54:10.5
J000704.18+005425.0,686,407,52519,0.0935,56.2,96.7,250,16.96,1,2,00:07:04.18,+00:54:25.0
J000948.47+135819.8,752,283,52251,0.1179,7.9,16.7,281,17.39,1,2,00:09:48.47,+13:58:19.8
J000948.49+135811.9,751,3,52251,0.1169,7.9,16.7,281,17.92,2,2,00:09:48.49,+13:58:11.9
J000956.72+000958.4,686,558,52519,0.1023,36.7,69.3,114,16.65,1,0,00:09:56.72,+00:09:58.4
J000958.76+000938.2,389,360,51795,0.1027,36.7,69.3,114,16.81,2,0,00:09:58.76,+00:09:38.2
J001010.89-001430.2,669,61,52559,0.114,4.0,8.3,182,17.26,1,2,00:10:10.89,-00:14:30.2
J001011.16-001430.8,389,315,51795,0.1133,4.0,8.3,182,16.84,2,2,00:10:11.16,-00:14:30.8
J001050.37-010257.6,686,20,52519,0.113,5.2,10.6,54,17.6,0,2,00:10:50.37,-01:02:57.6
J001050.70-010259.1,1541,295,53732,0.1132,5.2,10.6,54,19.3,0,2,00:10:50.70,-01:02:59.1
J001112.89-100122.4,652,307,52138,0.0838,53.7,84.7,59,17.7,1,0,00:11:12.89,-10:01:22.4
J001116.45-100126.8,651,594,52141,0.084,53.7,84.7,59,17.41,0,0,00:11:16.45,-10:01:26.8
J001734.86+150524.9,753,351,52233,0.0843,40.9,64.1,257,17.15,2,0,00:17:34.86,+15:05:24.9
J001737.25+150544.6,752,638,52251,0.0834,40.9,64.1,257,17.35,2,0,00:17:37.25,+15:05:44.6
J001842.19-101613.9,653,303,52145,0.1215,14.6,32.0,140,17.02,2,2,00:18:42.19,-10:16:13.9
J001842.81-101625.1,652,71,52138,0.122,14.6,32.0,140,16.85,2,2,00:18:42.81,-10:16:25.1
J001907.45+010941.1,390,380,51900,0.1051,6.0,11.6,183,17.29,1,1,00:19:07.45,+01:09:41.1
J001907.61+010946.6,1542,367,53734,0.1058,6.0,11.6,183,18.96,1,1,00:19:07.61,+01:09:46.6
J002208.69+002200.5,688,474,52203,0.071,3.1,4.2,87,15.63,1,2,00:22:08.69,+00:22:00.5
J002208.83+002202.8,390,497,51900,0.0707,3.1,4.2,87,15.57,1,2,00:22:08.83,+00:22:02.8
J002339.83-004855.3,390,102,51900,0.0634,48.9,59.6,158,15.73,1,1,00:23:39.83,-00:48:55.3
J002343.09-004854.4,391,297,51782,0.064,48.9,59.6,158,15.78,2,1,00:23:43.09,-00:48:54.4
J002345.08-010029.9,390,9,51900,0.0663,56.7,72.1,480,17.19,2,0,00:23:45.08,-01:00:29.9
J002348.45-010004.0,390,13,51900,0.0646,56.7,72.1,480,16.32,2,0,00:23:48.45,-01:00:04.0
J002618.12+001005.6,1543,412,53738,0.1101,16.4,33.1,169,17.95,2,0,00:26:18.12,+00:10:05.6
J002618.66+000951.3,1542,637,53734,0.1107,16.4,33.1,169,18.2,2,0,00:26:18.66,+00:09:51.3
J002636.14-002507.0,1543,163,53738,0.118,17.6,37.7,104,18.54,2,0,00:26:36.14,-00:25:07.0
J002636.97-002454.7,1493,233,52933,0.1184,17.6,37.7,104,17.6,2,0,00:26:36.97,-00:24:54.7
J004239.54-093053.8,655,595,52162,0.0574,77.0,85.7,176,15.92,2,0,00:42:39.54,-09:30:53.8
J004244.64-093102.8,656,423,52148,0.0568,77.0,85.7,176,15.91,2,0,00:42:44.64,-09:31:02.8
J005113.94+002047.2,1084,495,52591,0.1124,3.4,6.9,64,19.28,2,2,00:51:13.94,+00:20:47.2
J005114.12+002049.2,394,425,51913,0.1126,3.4,6.9,64,16.77,2,2,00:51:14.12,+00:20:49.2
J005125.23+160340.1,420,405,51871,0.0623,72.9,87.1,86,14.97,1,0,00:51:25.23,+16:03:40.1
J005127.67+160443.1,420,402,51871,0.062,72.9,87.1,86,15.83,2,0,00:51:27.67,+16:04:43.1
J005141.33+010127.2,692,379,52201,0.0666,28.0,36.1,182,15.01,1,2,00:51:41.33,+01:01:27.2
J005142.87+010143.1,394,445,51913,0.0672,28.0,36.1,182,15.82,1,2,00:51:42.87,+01:01:43.1
J005214.82+003456.4,1084,510,52591,0.1156,2.9,6.0,158,19.18,2,2,00:52:14.82,+00:34:56.4
J005214.90+003458.9,394,489,51913,0.115,2.9,6.0,158,16.21,2,2,00:52:14.90,+00:34:58.9
J005619.38+135326.2,420,41,51871,0.0386,104.5,80.0,345,16.72,2,0,00:56:19.38,+13:53:26.2
J005620.79+135143.8,420,53,51871,0.0398,104.5,80.0,345,14.57,1,0,00:56:20.79,+13:51:43.8
J005639.15+000701.0,692,595,52201,0.071,61.0,82.9,75,15.73,2,0,00:56:39.15,+00:07:01.0
J005643.20+000707.1,394,635,51913,0.0713,61.0,82.9,75,16.55,2,0,00:56:43.20,+00:07:07.1
J005920.65+002927.4,395,506,51783,0.0625,26.0,31.3,213,16.43,1,0,00:59:20.65,+00:29:27.4
J005922.26+002917.6,693,430,52254,0.0633,26.0,31.3,213,15.05,1,0,00:59:22.26,+00:29:17.6
J010121.58+002305.4,396,386,51816,0.0925,45.8,78.9,318,16.58,2,0,01:01:21.58,+00:23:05.4
J010124.56+002254.8,693,485,52254,0.0937,45.8,78.9,318,16.81,1,0,01:01:24.56,+00:22:54.8
J010125.46+000027.6,693,499,52254,0.11,39.4,77.8,496,14.7,5,0,01:01:25.46,+00:00:27.6
J010127.81+000045.3,395,599,51783,0.1082,39.4,77.8,496,16.75,1,0,01:01:27.81,+00:00:45.3
J010621.81+143455.8,421,24,51821,0.0396,70.2,55.0,208,15.93,2,0,01:06:21.81,+14:34:55.8
J010623.75-001010.4,396,77,51816,0.0485,88.9,84.5,153,17.51,2,0,01:06:23.75,-00:10:10.4
J010623.93-000841.5,396,560,51816,0.048,88.9,84.5,153,14.73,1,0,01:06:23.93,-00:08:41.5
J010625.69+143416.7,421,32,51821,0.0404,70.2,55.0,208,14.34,2,0,01:06:25.69,+14:34:16.7
J010829.53+142628.0,422,199,51811,0.0605,62.4,73.1,51,15.66,1,0,01:08:29.53,+14:26:28.0
J010833.69+142625.8,422,166,51811,0.0607,62.4,73.1,51,15.9,1,0,01:08:33.69,+14:26:25.8
J010847.30+001155.2,397,391,51794,0.0508,57.1,56.7,24,15.91,2,0,01:08:47.30,+00:11:55.2
J010850.35+001229.3,397,394,51794,0.0507,57.1,56.7,24,17.26,1,0,01:08:50.35,+00:12:29.3
J010922.00+142032.3,422,146,51811,0.0384,126.8,96.4,245,13.58,1,1,01:09:22.00,+14:20:32.3
J010928.81+142147.3,422,148,51811,0.0375,126.8,96.4,245,14.15,1,1,01:09:28.81,+14:21:47.3
J010941.83-004425.6,1082,62,52523,0.0889,9.7,16.0,71,16.67,2,2,01:09:41.83,-00:44:25.6
J010942.19-004417.6,397,259,51794,0.0887,9.7,16.0,71,16.53,2,2,01:09:42.19,-00:44:17.6
J010959.03+135815.2,422,95,51811,0.0564,67.3,73.6,539,16.6,1,0,01:09:59.03,+13:58:15.2
J011003.16+135841.2,422,96,51811,0.0583,67.3,73.6,539,14.5,2,0,01:10:03.16,+13:58:41.2
J011014.12+002157.3,694,550,52209,0.0451,88.2,77.9,59,16.08,2,0,01:10:14.12,+00:21:57.3
J011017.14+002041.6,397,465,51794,0.0449,88.2,77.9,59,14.97,2,0,01:10:17.14,+00:20:41.6
J011129.70+153353.7,422,536,51811,0.06,30.9,35.8,433,16.11,2,1,01:11:29.70,+15:33:53.7
J011131.69+153345.6,423,340,51821,0.0615,30.9,35.8,433,17.04,2,1,01:11:31.69,+15:33:45.6
J011202.71-001549.4,397,108,51794,0.0433,73.0,62.2,270,15.63,2,0,01:12:02.71,-00:15:49.4
J011204.62-001442.4,397,111,51794,0.0442,73.0,62.2,270,14.86,1,0,01:12:04.62,-00:14:42.4
J011544.85+001400.0,695,514,52202,0.0445,45.0,39.4,394,15.77,1,0,01:15:44.85,+00:14:00.0
J011545.23+001444.6,1080,394,52614,0.0431,45.0,39.4,394,16.43,2,0,01:15:45.23,+00:14:44.6
J011832.49-001030.0,1499,31,53001,0.0776,60.5,89.1,38,17.86,2,0,01:18:32.49,-00:10:30.0
J011832.93+010930.8,695,575,52202,0.0442,45.8,39.9,228,14.56,1,0,01:18:32.93,+01:09:30.8
J011834.47-000937.3,696,307,52209,0.0778,60.5,89.1,38,15.71,2,0,01:18:34.47,-00:09:37.3
J011835.90+010919.9,1080,407,52614,0.045,45.8,39.9,228,16.79,0,0,01:18:35.90,+01:09:19.9
J012129.27+003732.6,1551,344,53327,0.0439,4.0,3.5,44,14.7,5,2,01:21:29.27,+00:37:32.6
J012129.32+003728.7,399,350,51817,0.0437,4.0,3.5,44,16.93,2,2,01:21:29.32,+00:37:28.7
J012154.53-100815.8,660,22,52177,0.1046,16.4,31.4,4,16.85,0,1,01:21:54.53,-10:08:15.8
J012155.59-100811.6,661,225,52163,0.1046,16.4,31.4,4,16.81,1,1,01:21:55.59,-10:08:11.6
J012612.09-000126.9,697,312,52226,0.1048,4.2,8.0,234,17.44,2,2,01:26:12.09,-00:01:26.9
J012612.34-000128.7,1501,172,53740,0.1039,4.2,8.0,234,17.65,0,2,01:26:12.34,-00:01:28.7
J013705.74-090937.3,663,399,52145,0.0691,43.7,58.3,239,16.69,1,1,01:37:05.74,-09:09:37.3
J013706.95-090857.5,662,558,52147,0.0699,43.7,58.3,239,15.31,0,1,01:37:06.95,-09:08:57.5
J013848.33-000221.1,401,280,51788,0.0742,34.6,48.9,129,17.42,2,0,01:38:48.33,-00:02:21.1
J013848.45-000255.7,698,171,52203,0.0738,34.6,48.9,129,17.87,0,0,01:38:48.45,-00:02:55.7
J014402.61-000708.9,401,113,51788,0.0794,55.0,82.5,3,17.4,0,0,01:44:02.61,-00:07:08.9
J014405.76-000737.3,401,108,51788,0.0794,55.0,82.5,3,17.54,2,0,01:44:05.76,-00:07:37.3
J015232.94-005745.9,1504,93,52940,0.0598,2.3,2.7,69,17.74,2,1,01:52:32.94,-00:57:45.9
J015233.06-005744.3,402,138,51793,0.06,2.3,2.7,69,16.27,2,1,01:52:33.06,-00:57:44.3
J015235.35-083236.6,665,463,52168,0.0517,58.5,58.9,157,16.49,1,0,01:52:35.35,-08:32:36.6
J015235.99-083138.9,665,466,52168,0.0511,58.5,58.9,157,14.87,1,0,01:52:35.99,-08:31:38.9
J015303.50+010123.0,402,580,51793,0.0595,77.0,88.5,198,16.35,1,0,01:53:03.50,+01:01:23.0
J015308.29+010150.7,700,444,52199,0.0602,77.0,88.5,198,15.54,2,0,01:53:08.29,+01:01:50.7
J015343.54+001111.0,1075,354,52933,0.0806,10.2,15.7,418,15.87,2,2,01:53:43.54,+00:11:11.0
J015343.83+001101.8,402,637,51793,0.0821,10.2,15.7,418,15.96,2,2,01:53:43.83,+00:11:01.8
J015806.03-093258.2,665,30,52168,0.0777,38.8,57.1,393,17.07,1,1,01:58:06.03,-09:32:58.2
J015807.61-093328.9,666,221,52149,0.0791,38.8,57.1,393,17.2,2,1,01:58:07.61,-09:33:28.9
J015816.15-003121.1,701,233,52179,0.0802,3.8,5.8,18,16.71,2,2,01:58:16.15,-00:31:21.1
J015816.36-003118.9,700,74,52199,0.0803,3.8,5.8,18,16.58,2,2,01:58:16.36,-00:31:18.9
J020101.49+000232.6,701,480,52179,0.0788,41.0,61.5,197,17.11,2,0,02:01:01.49,+00:02:32.6
J020102.09+000152.6,404,360,51812,0.0795,41.0,61.5,197,17.01,2,0,02:01:02.09,+00:01:52.6
J020120.32+004821.1,701,460,52179,0.1377,11.6,28.2,106,17.63,0,1,02:01:20.32,+00:48:21.1
J020120.43+004832.6,1555,542,53287,0.1373,11.6,28.2,106,19.5,2,1,02:01:20.43,+00:48:32.6
J020320.97+004006.3,404,337,51877,0.0759,1.5,2.1,14,15.75,2,2,02:03:20.97,+00:40:06.3
J020321.03+004005.1,701,548,52179,0.076,1.5,2.1,14,18.24,1,2,02:03:21.03,+00:40:05.1
J020442.35-001749.4,404,193,51877,0.1118,5.7,11.7,102,17.2,2,2,02:04:42.35,-00:17:49.4
J020442.65-001746.0,1074,238,52937,0.1114,5.7,11.7,102,17.96,2,2,02:04:42.65,-00:17:46.0
J020733.93+133350.4,428,400,51883,0.1318,2.1,4.8,21,16.35,1,2,02:07:33.93,+13:33:50.4
J020734.06+133351.0,427,35,51900,0.1319,2.1,4.8,21,19.39,1,2,02:07:34.06,+13:33:51.0
J020838.64+000742.1,702,485,52178,0.067,3.7,4.8,57,19.4,2,2,02:08:38.64,+00:07:42.1
J020838.89+000742.6,404,636,51812,0.0672,3.7,4.8,57,15.01,1,2,02:08:38.89,+00:07:42.6
J020918.15-005217.7,702,140,52178,0.1198,13.9,30.1,90,17.72,2,1,02:09:18.15,-00:52:17.7
J020918.86-005226.5,404,57,51812,0.1202,13.9,30.1,90,17.26,2,1,02:09:18.86,-00:52:26.5
J021242.19+002906.0,405,467,51816,0.1491,2.5,6.4,298,17.22,2,2,02:12:42.19,+00:29:06.0
J021242.27+002903.8,1507,421,53763,0.1502,2.5,6.4,298,17.48,2,2,02:12:42.27,+00:29:03.8
J021510.90+005440.9,1557,531,53301,0.1219,24.7,54.1,4,19.09,2,0,02:15:10.90,+00:54:40.9
J021511.69+005419.3,405,533,51816,0.1219,24.7,54.1,4,17.04,1,0,02:15:11.69,+00:54:19.3
J022245.48+010202.4,704,411,52205,0.0996,28.3,52.0,87,16.35,2,2,02:22:45.48,+01:02:02.4
J022245.84+010230.1,2636,423,54082,0.0999,28.3,52.0,87,16.49,1,2,02:22:45.84,+01:02:30.1
J022301.55-081852.5,454,348,51908,0.0546,78.6,83.4,15,15.42,0,0,02:23:01.55,-08:18:52.5
J022304.33-081959.2,454,357,51908,0.0547,78.6,83.4,15,15.94,1,0,02:23:04.33,-08:19:59.2
J022531.29-082508.7,454,480,51908,0.0549,87.0,92.4,80,15.6,0,1,02:25:31.29,-08:25:08.7
J022536.71-082539.5,454,474,51908,0.0546,87.0,92.4,80,17.11,2,1,02:25:36.71,-08:25:39.5
J022554.47+011205.3,2636,581,54082,0.0741,66.4,93.5,335,16.42,2,0,02:25:54.47,+01:12:05.3
J022557.12+011112.1,2636,590,54082,0.0729,66.4,93.5,335,15.47,2,0,02:25:57.12,+01:11:12.1
J023148.26-010925.2,407,86,51820,0.0538,72.9,76.8,89,14.88,1,0,02:31:48.26,-01:09:25.2
J023149.26+011539.9,407,445,51820,0.0221,138.1,61.5,16,14.12,2,0,02:31:49.26,+01:15:39.9
J023150.81-010823.1,407,82,51820,0.0541,72.9,76.8,89,16.72,2,0,02:31:50.81,-01:08:23.1
J023157.77+011447.4,407,526,51820,0.022,138.1,61.5,16,13.2,2,0,02:31:57.77,+01:14:47.4
J023211.78+001326.6,407,513,51820,0.054,71.2,74.9,438,16.06,2,0,02:32:11.78,+00:13:26.6
J023211.84+001215.4,407,517,51820,0.0556,71.2,74.9,438,15.98,1,0,02:32:11.84,+00:12:15.4
J023324.60+001245.0,407,594,51820,0.0538,40.4,42.3,66,16.73,2,0,02:33:24.60,+00:12:45.0
J023327.26+001238.4,408,351,51821,0.0541,40.4,42.3,66,14.5,1,0,02:33:27.26,+00:12:38.4
J023411.42-002736.9,407,66,51820,0.1115,39.8,80.7,3,17.15,2,0,02:34:11.42,-00:27:36.9
J023414.08-002736.3,408,315,51821,0.1115,39.8,80.7,3,17.37,2,0,02:34:14.08,-00:27:36.3
J024035.65-083249.6,455,74,51909,0.0375,1.7,1.3,69,14.3,1,1,02:40:35.65,-08:32:49.6
J024037.96-083200.1,455,72,51909,0.0387,60.5,45.0,337,13.82,1,1,02:40:37.96,-08:32:00.1
J024531.46-011525.7,1561,267,53032,0.1144,14.2,29.7,256,18.71,2,1,02:45:31.46,-01:15:25.7
J024532.13-011515.7,1069,243,52590,0.1153,14.2,29.7,256,17.12,1,1,02:45:32.13,-01:15:15.7
J025014.56+000539.7,409,551,51871,0.0282,35.4,20.0,43,15.66,2,1,02:50:14.56,+00:05:39.7
J025016.86+000531.1,410,317,51816,0.028,35.4,20.0,43,13.89,1,1,02:50:16.86,+00:05:31.1
J025445.27+010259.5,410,453,51816,0.1366,9.2,22.1,3,17.52,0,1,02:54:45.27,+01:02:59.5
J025445.36+010308.5,1562,460,53052,0.1366,9.2,22.1,3,17.98,2,1,02:54:45.36,+01:03:08.5
J025855.30-064327.9,458,334,51929,0.0295,148.9,87.8,15,15.35,1,0,02:58:55.30,-06:43:27.9
J025900.15-064537.8,457,606,51901,0.0294,148.9,87.8,15,14.94,0,0,02:59:00.15,-06:45:37.8
J030526.94+005145.0,411,614,51817,0.1178,3.1,6.7,104,17.43,1,2,03:05:26.94,+00:51:45.0
J030527.11+005147.0,710,333,52203,0.1182,3.1,6.7,104,16.89,2,2,03:05:27.11,+00:51:47.0
J031142.22+000853.4,412,517,51931,0.0369,120.9,88.6,244,16.55,2,0,03:11:42.22,+00:08:53.4
J031149.89+000930.4,412,518,51931,0.0378,120.9,88.6,244,14.49,1,0,03:11:49.89,+00:09:30.4
J031518.96-004038.1,413,293,51821,0.1162,26.7,56.4,58,15.75,0,1,03:15:18.96,-00:40:38.1
J031520.60-004048.6,412,29,52258,0.1164,26.7,56.4,58,17.49,2,1,03:15:20.60,-00:40:48.6
J031710.96+000634.3,413,232,51929,0.1159,31.4,65.8,332,16.35,2,2,03:17:10.96,+00:06:34.3
J031712.87+000647.0,711,500,52202,0.1147,31.4,65.8,332,16.82,1,2,03:17:12.87,+00:06:47.0
J031722.06+004801.8,809,376,52647,0.1572,2.9,7.8,270,19.25,0,2,03:17:22.06,+00:48:01.8
J031722.24+004800.9,413,418,51929,0.1562,2.9,7.8,270,17.18,0,2,03:17:22.24,+00:48:00.9
J031734.35-001551.5,1515,184,52932,0.1417,5.5,13.7,31,17.58,2,2,03:17:34.35,-00:15:51.5
J031734.63-001548.0,1065,194,52586,0.1418,5.5,13.7,31,18.23,1,2,03:17:34.63,-00:15:48.0
J031910.25+005852.6,413,452,51929,0.0374,97.5,73.0,107,15.22,1,2,03:19:10.25,+00:58:52.6
J031913.09+005724.9,413,449,51929,0.0377,97.5,73.0,107,15.47,2,2,03:19:13.09,+00:57:24.9
J032015.52+412355.1,1665,177,52976,0.0224,121.3,58.0,373,13.53,2,0,03:20:15.52,+41:23:55.1
J032020.97+412225.5,1665,142,52976,0.0237,121.3,58.0,373,14.76,1,0,03:20:20.97,+41:22:25.5
J032033.21-002024.0,711,73,52202,0.0383,7.2,5.4,125,14.2,1,2,03:20:33.21,-00:20:24.0
J032033.65-002021.2,413,105,51929,0.0378,7.2,5.4,125,18.49,1,2,03:20:33.65,-00:20:21.2
J032216.83+010338.5,1565,608,53002,0.2145,19.3,66.9,182,19.52,2,0,03:22:16.83,+01:03:38.5
J032218.08+010334.1,413,607,51929,0.2138,19.3,66.9,182,17.94,0,0,03:22:18.08,+01:03:34.1
J032224.28+421721.7,1665,579,52976,0.051,77.3,77.0,152,15.63,2,0,03:22:24.28,+42:17:21.7
J032227.88+421626.4,1666,575,52991,0.0516,77.3,77.0,152,15.97,0,0,03:22:27.88,+42:16:26.4
J032259.32+002141.1,413,591,51929,0.0521,93.0,94.4,59,16.9,2,0,03:22:59.32,+00:21:41.1
J032305.28+002115.4,413,635,51929,0.0523,93.0,94.4,59,14.88,1,0,03:23:05.28,+00:21:15.4
J032345.63+000026.8,414,371,51901,0.0361,83.8,60.2,121,15.14,0,0,03:23:45.63,+00:00:26.8
J032346.35+000149.9,414,415,51901,0.0357,83.8,60.2,121,14.49,0,0,03:23:46.35,+00:01:49.9
J032512.84+003711.6,414,400,51901,0.1502,22.8,59.7,508,17.04,1,1,03:25:12.84,+00:37:11.6
J032513.30+003733.3,712,489,52199,0.1483,22.8,59.7,508,17.92,0,1,03:25:13.30,+00:37:33.3
J032658.52-010301.7,805,181,52586,0.1346,37.4,89.2,46,18.15,1,0,03:26:58.52,-01:03:01.7
J032700.94-010252.9,414,189,51901,0.1344,37.4,89.2,46,17.62,2,0,03:27:00.94,-01:02:52.9
J033006.28+003657.5,415,384,51879,0.0497,33.2,32.2,45,15.62,1,2,03:30:06.28,+00:36:57.5
J033007.12+003626.9,713,384,52178,0.0499,33.2,32.2,45,17.92,1,2,03:30:07.12,+00:36:26.9
J033213.21+001546.6,414,608,51901,0.0861,3.5,5.7,188,16.79,1,2,03:32:13.21,+00:15:46.6
J033213.36+001549.4,805,608,52586,0.0867,3.5,5.7,188,18.22,1,2,03:32:13.36,+00:15:49.4
J033406.11+010540.0,713,523,52178,0.0478,73.8,69.0,40,19.56,2,2,03:34:06.11,+01:05:40.0
J033410.54+010612.1,415,444,51810,0.0477,73.8,69.0,40,15.56,1,2,03:34:10.54,+01:06:12.1
J040342.50-055705.2,464,8,51908,0.1335,40.3,95.5,16,17.27,2,0,04:03:42.50,-05:57:05.2
J040345.17-055701.1,465,291,51910,0.1334,40.3,95.5,16,17.11,2,0,04:03:45.17,-05:57:01.1
J073140.36+392552.9,1733,568,53047,0.1107,43.2,87.2,103,17.34,2,0,07:31:40.36,+39:25:52.9
J073142.37+392623.8,1734,129,53034,0.1103,43.2,87.2,103,17.11,0,0,07:31:42.37,+39:26:23.8
J073346.19+423735.9,1865,9,53312,0.0871,26.4,43.0,8,16.27,2,0,07:33:46.19,+42:37:35.9
J073347.59+423751.9,1735,352,53035,0.0872,26.4,43.0,8,17.23,1,0,07:33:47.59,+42:37:51.9
J073423.82+314628.2,541,255,51959,0.0625,65.1,76.0,589,15.91,1,0,07:34:23.82,+31:46:28.2
J073426.45+314536.4,541,249,51959,0.0604,65.1,76.0,589,14.76,1,0,07:34:26.45,+31:45:36.4
J073811.17+280740.8,888,487,52339,0.0794,61.8,92.7,481,17.15,0,0,07:38:11.17,+28:07:40.8
J073813.15+280646.5,888,500,52339,0.0812,61.8,92.7,481,17.13,2,0,07:38:13.15,+28:06:46.5
J073905.83+442410.4,1736,354,53052,0.1341,5.2,12.3,102,16.72,1,2,07:39:05.83,+44:24:10.4
J073906.17+442410.0,1866,34,53314,0.1345,5.2,12.3,102,17.36,1,2,07:39:06.17,+44:24:10.0
J074010.76+491835.7,1868,247,53318,0.0216,113.2,49.4,29,14.5,1,0,07:40:10.76,+49:18:35.7
J074014.63+491658.6,1868,255,53318,0.0215,113.2,49.4,29,14.7,5,0,07:40:14.63,+49:16:58.6
J074535.73+335746.7,542,41,51993,0.0625,59.1,71.2,399,15.23,2,0,07:45:35.73,+33:57:46.7
J074537.24+335652.0,542,58,51993,0.0611,59.1,71.2,399,16.55,1,0,07:45:37.24,+33:56:52.0
J074747.14+170408.7,1920,241,53314,0.0994,9.7,17.9,109,16.41,1,2,07:47:47.14,+17:04:08.7
J074747.52+170416.6,1921,345,53317,0.0998,9.7,17.9,109,16.16,2,2,07:47:47.52,+17:04:16.6
J074939.00+425801.4,434,470,51885,0.0307,144.3,88.7,98,14.36,1,0,07:49:39.00,+42:58:01.4
J074948.62+425801.0,434,490,51885,0.0311,144.3,88.7,98,15.95,0,0,07:49:48.62,+42:58:01.0
J075029.71+444931.0,1736,623,53052,0.0487,59.8,57.1,5,17.74,2,0,07:50:29.71,+44:49:31.0
J075031.11+445027.0,1736,630,53052,0.0487,59.8,57.1,5,15.73,1,0,07:50:31.11,+44:50:27.0
J075133.82+425457.4,434,509,51885,0.0321,131.8,84.5,18,15.47,2,0,07:51:33.82,+42:54:57.4
J075135.63+425248.4,434,513,51885,0.032,131.8,84.5,18,13.99,1,0,07:51:35.63,+42:52:48.4
J075234.30+314537.6,890,171,52583,0.0588,76.5,87.0,33,16.48,2,0,07:52:34.30,+31:45:37.6
J075234.43+314421.1,890,178,52583,0.0589,76.5,87.0,33,16.17,2,0,07:52:34.43,+31:44:21.1
J075321.86+361734.4,543,32,52017,0.046,68.0,61.1,69,15.64,2,2,07:53:21.86,+36:17:34.4
J075322.76+361627.8,543,26,52017,0.0457,68.0,61.1,69,14.72,1,2,07:53:22.76,+36:16:27.8
J075322.80+243302.5,928,7,52578,0.0615,4.8,5.7,171,15.86,2,2,07:53:22.80,+24:33:02.5
J075323.10+243300.6,1204,323,52669,0.0609,4.8,5.7,171,15.99,1,2,07:53:23.10,+24:33:00.6
J075421.71+314635.5,890,117,52583,0.0616,72.4,86.0,95,16.0,1,0,07:54:21.71,+31:46:35.5
J075424.56+314733.9,890,120,52583,0.0612,72.4,86.0,95,15.69,1,0,07:54:24.56,+31:47:33.9
J075625.09+270045.2,859,129,52317,0.0218,55.9,24.1,148,13.73,2,0,07:56:25.09,+27:00:45.2
J075628.36+270112.0,858,627,52316,0.0213,55.9,24.1,148,17.57,2,0,07:56:28.36,+27:01:12.0
J075629.67+113429.4,2418,343,53794,0.0701,9.1,12.2,19,16.77,1,2,07:56:29.67,+11:34:29.4
J075629.77+113438.4,2265,209,53674,0.0701,9.1,12.2,19,17.26,2,2,07:56:29.77,+11:34:38.4
J075640.36+445211.3,436,474,51883,0.0501,69.0,67.6,65,14.64,1,2,07:56:40.36,+44:52:11.3
J075643.72+445124.2,436,493,51883,0.0499,69.0,67.6,65,15.12,0,2,07:56:43.72,+44:51:24.2
J075925.27+375216.0,544,82,52201,0.0408,123.1,98.6,74,16.16,2,0,07:59:25.27,+37:52:16.0
J075931.83+375252.2,758,334,52253,0.0422,28.2,22.6,488,16.88,0,2,07:59:31.83,+37:52:52.2
J075932.30+375319.5,544,99,52201,0.0405,28.2,22.6,488,16.9,2,2,07:59:32.30,+37:53:19.5
J075943.29+182803.8,1922,205,53315,0.0378,89.8,67.4,330,16.82,1,0,07:59:43.29,+18:28:03.8
J075945.44+182640.0,1923,239,53319,0.039,89.8,67.4,330,15.5,2,0,07:59:45.44,+18:26:40.0
J075958.51+290208.5,859,535,52317,0.0587,63.8,72.4,110,16.03,0,0,07:59:58.51,+29:02:08.5
J080002.59+290150.7,860,251,52319,0.0591,63.8,72.4,110,15.73,2,0,08:00:02.59,+29:01:50.7
J080014.30+264152.8,929,141,52581,0.028,82.9,46.6,50,14.99,1,0,08:00:14.30,+26:41:52.8
J080019.77+264205.2,929,146,52581,0.0278,82.9,46.6,50,14.02,1,0,08:00:19.77,+26:42:05.2
J080035.41+302406.3,1061,83,52641,0.0457,70.8,63.6,38,16.1,2,2,08:00:35.41,+30:24:06.3
