SDSSJ0449+0058A SDSSJ0449+0058B 2.622        56.7                9.5 04 49 21.37 +00 58 05.9 20.89 19.92 19.63 19.59 19.30 04 49 17.60 +00 58 01.9 19.36 18.47 18.19 18.13 18.13
SDSSJ0451-0025A SDSSJ0451-0024B 2.849        41.8                4.6 04 51 22.66 -00 25 11.6 21.17 20.16 20.01 19.92 19.87 04 51 25.07 -00 24 50.6 21.52 20.46 20.22 20.19 20.31
SDSSJ0733+3749A SDSSJ0733+3749B 0.000        28.2               12.8 07 33 08.22 +37 49 19.6 20.68 20.34 20.14 20.10 19.95 07 33 10.48 +37 49 28.7 20.46 20.34 20.26 20.17 20.16
SDSSJ0741+2415A SDSSJ0741+2415B 3.134         9.0                6.2 07 41 00.65 +24 15 42.6 23.84 20.44 19.88 19.63 19.50 07 41 01.23 +24 15 38.3 23.58 21.80 21.15 20.81 20.37
SDSSJ0742+2507A SDSSJ0742+2507B 4.520        52.3               19.2 07 42 11.16 +25 07 30.7 23.70 22.98 20.61 19.85 19.56 07 42 14.38 +25 07 02.0 23.13 22.35 20.77 19.81 19.33
SDSSJ0756+2644A SDSSJ0756+2644B 3.391        31.1                8.3 07 56 45.99 +26 44 36.5 23.28 20.91 20.41 20.21 20.05 07 56 44.29 +26 44 57.6 21.52 19.82 19.18 18.97 18.89
SDSSJ0801+3450A SDSSJ0801+3450B 2.846         2.3                4.0 08 01 05.01 +34 50 06.7 21.79 20.06 19.78 19.64 19.57 08 01 04.84 +34 50 05.9 21.16 19.59 19.07 18.85 19.04
SDSSJ0815+4619A SDSSJ0815+4619B 2.420         6.1               26.0 08 15 47.92 +46 19 30.7 21.23 20.42 20.44 20.50 20.02 08 15 48.31 +46 19 26.2 20.13 19.82 19.84 19.91 19.91
SDSSJ0816+3054A SDSSJ0816+3055B 3.942        20.7               16.3 08 16 33.22 +30 54 46.1 23.58 20.35 19.24 18.91 18.68 08 16 32.43 +30 55 04.2 24.03 21.66 20.44 19.95 19.80
SDSSJ0833+3023A SDSSJ0833+3023B 4.095        25.3               71.1 08 33 53.25 +30 23 18.5 23.56 21.75 19.98 19.70 19.73 08 33 55.19 +30 23 21.7 22.85 20.87 19.64 19.10 18.77
SDSSJ0854+0117A SDSSJ0854+0118B 3.535        19.4               47.4 08 54 13.27 +01 17 43.4 21.75 20.91 20.07 19.84 20.22 08 54 13.91 +01 18 00.2 21.07 18.98 18.22 18.06 17.74
SDSSJ0942+5545A SDSSJ0942+5546B 2.506        36.4              156.8 09 42 32.18 +55 45 57.3 20.65 20.05 19.98 20.04 19.90 09 42 36.34 +55 46 07.0 20.42 19.45 19.13 19.00 19.01
SDSSJ0948+5635A SDSSJ0948+5636B 2.293        49.4                4.9 09 48 21.38 +56 35 45.9 21.56 20.87 20.38 20.29 20.25 09 48 16.23 +56 36 11.0 19.00 18.12 17.72 17.57 17.59
SDSSJ0958+0351A SDSSJ0958+0351B 3.678        27.9               20.6 09 58 33.61 +03 51 44.3 22.29 20.34 19.39 19.28 19.28 09 58 31.91 +03 51 33.0 22.24 20.95 20.22 19.97 20.00
2QZJ1004+0159A  SDSSJ1004+0159B 2.418        11.1               17.0 10 04 46.62 +01 59 41.1 20.96 19.98 19.91 19.77 19.48 10 04 47.34 +01 59 38.8 21.03 20.36 20.13 20.02 19.96
2QZJ1010-0241A  SDSSJ1010-0242B 2.892        41.0                5.7 10 10 36.25 -02 41 22.6 20.61 19.91 19.69 19.58 19.44 10 10 35.90 -02 42 03.2 17.76 17.00 16.77 16.68 16.72
2QZJ1017-0219A  SDSSJ1017-0218B 2.853        16.4                4.3 10 17 37.46 -02 19 10.0 25.01 20.62 20.45 20.43 20.42 10 17 36.73 -02 18 57.8 24.43 21.12 20.86 20.73 20.92
SDSSJ1038+6121A SDSSJ1038+6121B 4.112        30.9               12.2 10 38 43.93 +61 21 14.8 23.92 21.78 20.16 19.93 19.83 10 38 40.39 +61 21 32.2 24.09 21.90 20.60 20.20 20.07
SDSSJ1049+6247A SDSSJ1050+6247B 3.454        49.3               16.7 10 49 58.58 +62 47 07.9 22.38 20.92 20.28 20.19 20.17 10 50 00.83 +62 47 54.7 21.18 19.67 19.02 18.78 18.66
SDSSJ1051+5922A SDSSJ1051+5922B 2.924        48.1                7.6 10 51 46.04 +59 22 14.3 20.31 19.04 18.85 18.71 18.63 10 51 50.77 +59 22 46.0 21.70 21.01 20.75 20.69 20.51
SDSSJ1108+0311A SDSSJ1109+0311B 3.459        46.7                9.2 11 08 59.30 +03 11 28.0 25.25 20.14 19.42 19.37 19.13 11 09 02.42 +03 11 30.4 23.89 21.00 20.17 20.02 19.77
2QZJ1110+0028A  SDSSJ1110+0028B 2.060         6.3               25.5 11 10 16.26 +00 28 54.2 21.01 20.63 20.50 20.22 19.87 11 10 16.18 +00 28 48.0 21.55 21.36 20.95 20.39 20.26
SDSSJ1157-0138A SDSSJ1157-0137B 4.408        47.3               12.6 11 57 54.25 -01 38 15.8 22.65 21.89 20.17 19.51 19.37 11 57 54.19 -01 37 28.6 23.69 21.93 20.58 20.06 19.85
SDSSJ1205-0017A SDSSJ1205-0016B 2.510        11.3                4.8 12 05 53.15 -00 17 01.0 21.04 20.19 19.87 19.72 19.49 12 05 52.56 -00 16 54.1 21.04 20.65 20.36 20.24 20.16
SDSSJ1217+6632A SDSSJ1217+6631B 2.971        16.3               10.0 12 17 09.96 +66 32 03.6 21.71 20.05 19.94 19.79 19.70 12 17 10.64 +66 31 47.8 21.40 20.20 19.96 19.86 19.99
2QZJ1223+0144A  SDSSJ1223+0144B 2.470        29.8                6.1 12 23 13.29 +01 44 31.2 21.25 20.48 20.31 20.29 20.01 12 23 15.23 +01 44 38.1 21.46 20.42 20.21 20.10 20.16
SDSSJ1244+0255A SDSSJ1244+0255B 2.235        17.9               23.1 12 44 56.43 +02 55 36.3 20.39 19.95 19.87 19.89 19.67 12 44 56.46 +02 55 18.4 20.93 20.06 19.96 20.07 20.12
SDSSJ1308+0316A SDSSJ1308+0317B 3.359        39.7                6.9 13 08 09.43 +03 16 27.2 22.01 20.63 20.29 20.23 20.26 13 08 08.21 +03 17 02.3 20.07 19.10 18.81 18.71 18.68
SDSSJ1345-0159A SDSSJ1345-0200B 4.713        59.0               11.1 13 45 46.97 -01 59 40.4 25.50 22.77 21.06 19.77 19.69 13 45 45.46 -02 00 35.0 22.84 22.33 20.81 19.72 19.35
SDSSJ1419-0150A SDSSJ1419-0150B 4.585        42.3                3.9 14 19 14.19 -01 50 12.6 26.42 22.87 20.00 18.98 18.67 14 19 12.65 -01 50 48.1 24.12 23.43 21.51 20.44 20.04
2QZJ1423-0027A  SDSSJ1423-0026B 2.982        53.5                1.7 14 23 11.55 -00 27 05.1 21.85 20.80 20.63 20.48 20.49 14 23 10.65 -00 26 13.3 16.53 15.54 15.31 15.23 15.24
SDSSJ1431+6302A SDSSJ1431+6302B 0.000         2.4               29.0 14 31 42.65 +63 02 13.2 20.39 20.04 20.06 20.16 20.30 14 31 42.72 +63 02 15.5 21.21 20.52 20.44 20.16 20.20
SDSSJ1442+0204A SDSSJ1442+0204B 2.823         8.7                8.4 14 42 39.55 +02 04 19.0 20.71 19.39 19.11 18.98 18.96 14 42 39.11 +02 04 24.6 21.53 20.67 20.42 20.37 20.57
SDSSJ1447+0401A SDSSJ1447+0401B 4.624        12.0                3.6 14 47 17.98 +04 01 12.5 23.23 21.87 20.31 19.11 18.89 14 47 18.18 +04 01 00.8 23.56 22.50 21.25 20.01 19.67
SDSSJ1456+4149A SDSSJ1456+4148B 2.660        56.0                5.4 14 56 27.73 +41 49 44.2 20.82 19.84 19.64 19.52 19.49 14 56 25.17 +41 48 56.1 18.68 17.76 17.48 17.39 17.39
SDSSJ1533+0305A SDSSJ1533+0305B 2.210        19.9               24.7 15 33 57.13 +03 05 25.0 20.22 20.13 19.89 19.95 19.98 15 33 57.70 +03 05 43.0 20.98 20.46 20.46 20.34 19.97
SDSSJ1550+0236A SDSSJ1550+0236B 2.369        24.8               24.3 15 50 07.07 +02 36 07.7 20.70 20.09 19.95 19.86 19.49 15 50 06.36 +02 36 30.0 20.08 19.39 19.07 18.97 18.95
SDSSJ1554+0100A SDSSJ1554+0100B 2.607        26.9               11.7 15 54 07.75 +01 00 10.1 20.10 19.46 19.30 19.30 18.82 15 54 09.38 +01 00 21.4 21.15 20.45 20.15 20.11 19.85
SDSSJ1636+3138A SDSSJ1636+3137B 3.563        56.7               16.8 16 36 09.73 +31 38 28.0 23.95 20.67 19.68 19.66 19.43 16 36 09.56 +31 37 31.3 23.07 21.32 20.68 20.60 20.40
SDSSJ1642+3934A SDSSJ1642+3934B 3.738        23.9               16.1 16 42 32.39 +39 34 51.0 24.32 21.05 20.09 19.91 19.69 16 42 32.77 +39 34 27.5 23.80 21.06 20.08 19.70 19.55
SDSSJ1704+2125A SDSSJ1704+2125B 2.969        36.0               14.7 17 04 23.42 +21 25 55.9 20.38 19.26 19.03 18.98 18.98 17 04 23.32 +21 25 19.9 19.12 18.16 17.86 17.77 17.78
SDSSJ1724+5837A SDSSJ1724+5837B 1.922        11.2                8.3 17 24 11.45 +58 37 11.3 20.56 20.37 20.33 20.35 20.28 17 24 10.25 +58 37 05.1 21.18 20.56 20.57 20.56 20.27
SDSSJ2100-0048A SDSSJ2100-0049B 3.510        33.2               15.8 21 00 54.59 -00 48 42.9 26.04 20.50 19.88 19.82 19.69 21 00 52.71 -00 49 00.3 22.01 20.30 19.83 19.67 19.55
SDSSJ2105-0043A SDSSJ2105-0043B 3.250        41.8                7.6 21 05 14.03 -00 43 26.7 22.84 20.83 20.39 20.19 20.12 21 05 11.46 -00 43 42.7 20.77 19.44 18.88 18.68 18.63
SDSSJ2113-0752A SDSSJ2113-0752B 1.829        11.0               16.4 21 13 01.95 -07 52 41.8 20.12 20.00 20.04 19.65 19.65 21 13 01.75 -07 52 31.2 20.66 20.36 20.33 20.20 19.75
SDSSJ2117+1151A SDSSJ2117+1151B 3.633        30.4               11.8 21 17 06.86 +11 51 29.9 26.90 21.30 20.20 20.08 20.03 21 17 07.56 +11 51 01.2 23.06 21.46 20.32 20.02 19.96
SDSSJ2122-0010A SDSSJ2122-0011B 3.468        55.7                6.9 21 22 04.46 -00 10 12.6 24.54 21.14 20.21 20.10 20.12 21 22 03.11 -00 11 04.5 22.91 21.21 20.42 20.23 20.09
SDSSJ2122-0113A SDSSJ2122-0113B 3.726         5.0               70.5 21 22 58.31 -01 13 13.7 23.28 20.66 19.72 19.68 19.69 21 22 58.64 -01 13 12.8 22.43 20.63 19.73 19.37 19.14
SDSSJ2128-0107A SDSSJ2128-0107B 3.310        27.5               94.0 21 28 11.62 -01 07 04.9 24.06 20.09 19.57 19.36 19.35 21 28 13.17 -01 07 19.6 19.22 18.10 17.69 17.56 17.49
SDSSJ2145-0024A SDSSJ2145-0024B 2.555        28.3               39.1 21 45 22.26 -00 24 35.1 21.20 20.52 20.48 20.54 20.23 21 45 23.94 -00 24 22.2 21.35 20.51 20.25 20.11 20.11
SDSSJ2154-0025A SDSSJ2154-0025B 2.688        25.1                3.9 21 54 40.61 -00 25 11.0 21.80 20.83 20.58 20.60 20.69 21 54 38.96 -00 25 06.8 18.80 17.89 17.62 17.54 17.54
SDSSJ2204-0036A SDSSJ2204-0036B 3.369        25.4                4.7 22 04 50.34 -00 36 05.6 22.55 20.77 20.31 20.19 19.91 22 04 50.85 -00 36 29.9 20.58 19.07 18.57 18.43 18.36
SDSSJ2209-0926A SDSSJ2209-0925B 2.178        18.2               12.8 22 09 17.97 -09 26 08.4 20.53 20.01 20.07 20.04 19.67 22 09 17.21 -09 25 54.1 21.00 20.23 20.52 20.49 20.26
SDSSJ2210+1205A SDSSJ2210+1205B 2.701        57.6                3.2 22 10 03.55 +12 05 47.7 20.17 19.43 19.23 19.11 19.08 22 10 00.78 +12 05 06.8 21.47 20.64 20.39 20.35 20.36
SDSSJ2211-0013A SDSSJ2211-0012B 2.616        59.1               31.8 22 11 58.29 -00 13 39.8 21.13 20.44 20.31 20.33 19.86 22 11 57.89 -00 12 41.0 20.30 19.39 19.12 19.05 19.05
SDSSJ2215-0100A SDSSJ2215-0100B 2.895        22.2                1.6 22 15 34.86 -01 00 15.1 21.21 19.90 19.35 19.19 19.13 22 15 33.63 -01 00 27.5 19.75 18.52 18.02 17.85 17.81
SDSSJ2218-0834A SDSSJ2218-0833B 2.557        56.0                9.7 22 18 38.21 -08 34 50.1 19.00 18.46 18.20 18.19 18.06 22 18 37.91 -08 33 54.3 20.96 20.17 19.86 19.81 20.06
SDSSJ2247+1323A SDSSJ2247+1323B 1.866        23.6               41.5 22 47 09.21 +13 23 18.7 19.86 19.96 19.91 19.69 19.62 22 47 08.05 +13 23 35.2 20.66 20.32 20.15 19.87 19.59
SDSSJ2248-1024A SDSSJ2248-1024B 2.143        25.6               10.9 22 48 10.77 -10 24 24.8 19.16 19.08 19.03 18.90 18.72 22 48 10.46 -10 24 50.0 19.93 19.71 19.79 19.52 19.33
SDSSJ2311+1454A SDSSJ2311+1455B 1.260        14.2               13.7 23 11 52.84 +14 54 55.0 19.54 19.35 19.08 19.04 19.17 23 11 52.38 +14 55 07.5 20.34 20.09 19.90 19.93 19.77
SDSSJ2321+1328A SDSSJ2321+1328B 2.622        41.5               25.9 23 21 33.25 +13 28 21.8 20.19 19.42 19.18 19.11 19.04 23 21 31.73 +13 28 56.9 21.00 20.32 19.89 19.76 19.90
SDSSJ2330+0047A SDSSJ2330+0046B 2.637        18.1               18.4 23 30 48.43 +00 47 00.1 20.86 20.02 19.84 19.68 19.56 23 30 47.37 +00 46 51.4 21.63 20.48 20.14 20.03 20.15
SDSSJ2342-0042A SDSSJ2342-0042B 2.886        25.8                6.3 23 42 36.91 -00 42 32.8 21.83 20.60 20.41 20.33 20.17 23 42 38.42 -00 42 45.2 20.21 19.38 19.11 19.04 19.00
SDSSJ2348+1522A SDSSJ2348+1522B 3.380        16.9               16.6 23 48 06.23 +15 22 29.2 24.07 20.58 19.90 19.61 19.56 23 48 05.54 +15 22 42.9 23.04 21.73 20.80 20.39 20.31
