RA,Dec,Name1,Name2,z1,z2,z1_type,z2_type,RA1,Dec1,RA1_deg,Dec1_deg,RA2,Dec2,RA2_deg,Dec2_deg,Equinox,Coordinate_waveband,Coordinate_Source,System Type,Brightness1,Brightness_band1,Brightness_type1,Brightness2,Brightness_band2,Brightness_type2,Sep,dV,Selection Method,Confirmation Method,Paper(s),BibCode(s),DOI(s),Notes
15:25:04.63,+46:40:06.2,152504.63+464006.2,152504.63+464006.2,0.2963,0.2963,spec,spec,15:25:04.63,+46:40:06.2,231.26929166666665,46.668388888888884,,,,,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Liu+2014,2014ApJ...789..140L,https://doi.org/10.1088/0004-637X/789/2/140, 
15:27:45.61,+21:57:25.7,152745.61+215725.7,152745.61+215725.7,0.431,0.431,spec,spec,15:27:45.61,+21:57:25.7,231.94004166666664,21.95713888888889,,,,,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Liu+2014,2014ApJ...789..140L,https://doi.org/10.1088/0004-637X/789/2/140, 
15:27:53.80,+06:10:18.9,152753.80+061018.9,152753.80+061018.9,0.1743,0.1743,spec,spec,15:27:53.80,+06:10:18.9,231.9741666666666,6.171916666666667,,,,,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Liu+2014,2014ApJ...789..140L,https://doi.org/10.1088/0004-637X/789/2/140, 
15:28:09.55,-00:00:44.9,152809.55-000044.9,152809.55-000044.9,0.6057,0.6057,spec,spec,15:28:09.55,-00:00:44.9,232.03979166666664,-0.012472222222222221,,,,,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Liu+2014,2014ApJ...789..140L,https://doi.org/10.1088/0004-637X/789/2/140, 
15:35:33.21,+06:58:32.9,153533.21+065832.9,153533.21+065832.9,0.2978,0.2978,spec,spec,15:35:33.21,+06:58:32.9,233.888375,6.975805555555556,,,,,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Liu+2014,2014ApJ...789..140L,https://doi.org/10.1088/0004-637X/789/2/140, 
15:36:41.66,+54:35:05.5,153641.66+543505.5,153641.66+543505.5,0.4471,0.4471,spec,spec,15:36:41.66,+54:35:05.5,234.1735833333333,54.58486111111112,,,,,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Liu+2014,2014ApJ...789..140L,https://doi.org/10.1088/0004-637X/789/2/140, 
15:38:48.47,+10:18:43.3,153848.47+101843.3,153848.47+101843.3,0.2343,0.2343,spec,spec,15:38:48.47,+10:18:43.3,234.7019583333333,10.312027777777779,,,,,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Liu+2014,2014ApJ...789..140L,https://doi.org/10.1088/0004-637X/789/2/140, 
15:38:50.81,+13:25:23.1,153850.81+132523.1,153850.81+132523.1,0.4021,0.4021,spec,spec,15:38:50.81,+13:25:23.1,234.71170833333332,13.423083333333333,,,,,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Liu+2014,2014ApJ...789..140L,https://doi.org/10.1088/0004-637X/789/2/140, 
15:43:41.64,+38:53:19.3,154341.64+385319.3,154341.64+385319.3,0.4322,0.4322,spec,spec,15:43:41.64,+38:53:19.3,235.9235,38.88869444444445,,,,,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Liu+2014,2014ApJ...789..140L,https://doi.org/10.1088/0004-637X/789/2/140, 
15:46:44.19,+30:26:11.0,154644.19+302611.0,154644.19+302611.0,0.5368,0.5368,spec,spec,15:46:44.19,+30:26:11.0,236.684125,30.43638888888889,,,,,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Liu+2014,2014ApJ...789..140L,https://doi.org/10.1088/0004-637X/789/2/140, 
