System Type,Literature Name,Name1,Selection Method,Confirmation Method,z1,z1_type,RA1,Dec1,Equinox,Coordinate_waveband1,Coordinate_Source1,Brightness1,Brightness_band1,Brightness_type1,Name2,z2,z2_type,RA2,Dec2,Equinox,Coordinate_waveband2,Coordinate_Source2,Brightness2,Brightness_band2,Brightness_type2,Sep,Sep(kpc),Paper(s),BibCode(s),DOI(s),Notes

Non-pair,SDSS J15244+3032 - RXS J15244+3032,Optical Imaging,Optical Spectroscopy,SDSS J15244+3032,0.27,spec,RXS J15244+3032, G-type Star,7,,Farina+2013,2013Ap&SS.345..199F,https://doi:10.1007/s10509-013-1387-4,Farina+ reclassifies this `quasar pair' as a quasar-star pair

Non-Pair,Q 01323-4037 - Q 0132-4037,Optical Imaging,Optical Spectroscopy,Q 01323-4037,2.10,spec,Q 0132-4037,M-type Star,35,,Cupani+2011,2011A&A...529A..99C,https://doi:10.1051/0004-6361/201116786,Star-quasar pair. Redshift adopted to be 2.10 (lower of the two) from Cupani+2011.

Co-spatial WIDE pair,SDSS J030000.57+004828.0,0.891,spec,03:00:00.57,+00:48:28.0,J2000,,,,,,SDSS J025959.69+004813.5,0.894,spec,02:59:59.69,+00:48:13.5,J2000,,,,,,19.5,,Hall+2002,2002ApJS..141..267H,https://10.1086/340546,330 km s^-1 velocity offset. Projected separation is >120 kpc
