System Type 1: Triple AGNs,System Type 2: Dual AGNs,System Type 3: Recoils,ST1 Confidence Flag,ST2 Confidence Flag,ST3 Confidence Flag,ST1 Num AGNs,ST2 Num AGNs,ST3 Num AGNs,Literature Name,Selection Method,Confirmation Method,Name1,RA1,Dec1,z1,z1_type,Equinox1,Coordinate_waveband1,Coordinate_Source1,Name2,RA2,Dec2,z2,z2_type,Equinox2,Coordinate_waveband2,Coordinate_Source2,Name3,RA3,Dec3,z3,z3_type,Equinox3,Coordinate_waveband3,Coordinate_Source3,Sep12,Sep13,Sep23,Sep(kpc)12_z1,Sep(kpc)12_z2,Sep(kpc)13_z1,Sep(kpc)13_z3,Sep(kpc)23_z2,Sep(kpc)23_z3,dV_12,dV_13,dV_23,Paper(s),BibCode(s),DOI(s)
Triple AGN Candidate,Dual AGN Candidate,-99,0.5,0.5,-99,3,2,-99,,"{'Optical':['Spectroscopy','Fiber Spectroscopy','Spectroscopic Emission Line Ratios']}",-99,J120550.07+202837.2,12:05:50.07,+20:28:37.2,0.0225,spec,J2000,Optical,SDSS,J120551.47+203119.1,12:05:51.47,+20:31:19.1,0.0238,spec,J2000,Optical,SDSS,J120554.22+203421.1,12:05:54.22,+20:34:21.1,0.0238,spec,J2000,Optical,SDSS,163.09054549273844,348.80641361748866,186.05362775545757,74.13628663831878,78.29689350400388,158.55739634141756,167.45580522776547,89.32106416341128,89.32106416341128,-379.9050414131757,-379.9050414131757,0.0,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Triple AGN Candidate,Dual AGN Candidate,-99,0.5,0.5,-99,3,2,-99,,"{'Optical':['Spectroscopy','Fiber Spectroscopy','Spectroscopic Emission Line Ratios']}",-99,J120718.36+204450.9,12:07:18.36,+20:44:50.9,0.0591,spec,J2000,Optical,SDSS,J120721.00+204503.5,12:07:21.00,+20:45:03.5,0.0594,spec,J2000,Optical,SDSS,J120722.37+204353.6,12:07:22.37,+20:43:53.6,0.0591,spec,J2000,Optical,SDSS,39.11643268089743,80.29700624933595,72.49377104531438,44.711966744633536,44.92306071983528,91.78334595084992,91.78334595084992,83.2550888534598,82.86387224042765,-84.68255671579911,0.0,84.68255671579911,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Triple AGN Candidate,Dual AGN Candidate,-99,0.5,0.5,-99,3,2,-99,,"{'Optical':['Spectroscopy','Fiber Spectroscopy','Spectroscopic Emission Line Ratios']}",-99,J121425.18+082251.9,12:14:25.18,+08:22:51.9,0.0733,spec,J2000,Optical,SDSS,J121428.15+082225.6,12:14:28.15,+08:22:25.6,0.0724,spec,J2000,Optical,SDSS,J121431.24+082225.7,12:14:31.24,+08:22:25.7,0.074,spec,J2000,Optical,SDSS,51.325082720177875,93.6688768150687,45.85597404956169,71.56192356178649,70.75755438085004,130.60134825896895,131.7409376640962,63.21775641723631,64.4943040228478,250.82719173830387,-194.94246519604053,-445.76941312577935,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Triple AGN Candidate,Dual AGN Candidate,-99,0.5,0.5,-99,3,2,-99,,"{'Optical':['Spectroscopy','Fiber Spectroscopy','Spectroscopic Emission Line Ratios']}",-99,J121442.50+125924.8,12:14:42.50,+12:59:24.8,0.0579,spec,J2000,Optical,SDSS,J121442.95+125746.4,12:14:42.95,+12:57:46.4,0.059,spec,J2000,Optical,SDSS,J121443.11+125837.4,12:14:43.11,+12:58:37.4,0.057,spec,J2000,Optical,SDSS,98.61959778250048,48.2312799544156,51.05359780387034,110.59429816016014,112.54946364049017,54.0876729966881,53.30345041096964,58.264839635784035,56.42257309804302,-310.7373151237426,254.48007117829894,565.2168863596789,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Triple AGN Candidate,Dual AGN Candidate,-99,0.5,0.5,-99,3,2,-99,,"{'Optical':['Spectroscopy','Fiber Spectroscopy','Spectroscopic Emission Line Ratios']}",-99,J131628.81+525737.2,13:16:28.81,+52:57:37.2,0.0335,spec,J2000,Optical,SDSS,J131629.82+525601.2,13:16:29.82,+52:56:01.2,0.0327,spec,J2000,Optical,SDSS,J131637.18+525447.6,13:16:37.18,+52:54:47.6,0.0322,spec,J2000,Optical,SDSS,96.43304877651121,185.7144993054485,99.23176824017146,64.40934201343943,62.93147913063664,124.04200483530587,119.41425335162874,64.75790230976921,63.80593630264977,231.5361186150445,376.33717001954045,144.80119253653803,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Triple AGN Candidate,Dual AGN Candidate,-99,0.5,0.5,-99,3,2,-99,,"{'Optical':['Spectroscopy','Fiber Spectroscopy','Spectroscopic Emission Line Ratios']}",-99,J132356.94+305917.0,13:23:56.94,+30:59:17.0,0.0228,spec,J2000,Optical,SDSS,J132359.96+305556.7,13:23:59.96,+30:55:56.7,0.0223,spec,J2000,Optical,SDSS,J132404.73+305723.5,13:24:04.73,+30:57:23.5,0.0246,spec,J2000,Optical,SDSS,204.03208254282725,151.39386868161674,106.3015827439821,93.94976304016791,91.94489748210907,69.71167431664395,75.05222373323745,47.903682625646795,52.698106209814824,146.20311091271213,-525.7395565204214,-671.9420897140186,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Triple AGN Candidate,Dual AGN Candidate,-99,0.5,0.5,-99,3,2,-99,,"{'Optical':['Spectroscopy','Fiber Spectroscopy','Spectroscopic Emission Line Ratios']}",-99,J133227.93+071859.2,13:32:27.93,+07:18:59.2,0.0227,spec,J2000,Optical,SDSS,J133232.26+071739.1,13:32:32.26,+07:17:39.1,0.0225,spec,J2000,Optical,SDSS,J133242.55+071938.1,13:32:42.55,+07:19:38.1,0.0234,spec,J2000,Optical,SDSS,102.79252994825866,220.9628868846243,193.90500268442474,47.13051338256996,46.726537344627246,101.31178114410731,104.3478188705393,88.14365551470024,91.56996626664613,58.47838786246063,-204.58430722165173,-263.06265988071806,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Triple AGN Candidate,Dual AGN Candidate,-99,0.5,0.5,-99,3,2,-99,,"{'Optical':['Spectroscopy','Fiber Spectroscopy','Spectroscopic Emission Line Ratios']}",-99,J141057.24+252950.0,14:10:57.24,+25:29:50.0,0.031,spec,J2000,Optical,SDSS,J141102.54+253109.7,14:11:02.54,+25:31:09.7,0.0315,spec,J2000,Optical,SDSS,J141105.14+252857.9,14:11:05.14,+25:28:57.9,0.0294,spec,J2000,Optical,SDSS,107.23914902555055,118.97890149900103,136.41963315022497,66.48051240325849,67.51228623039546,73.75830942994374,70.08586932497099,85.88282734777371,80.35952981468253,-144.9696884499357,464.37556931850145,609.3447989220662,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Triple AGN Candidate,Dual AGN Candidate,-99,0.5,0.5,-99,3,2,-99,,"{'Optical':['Spectroscopy','Fiber Spectroscopy','Spectroscopic Emission Line Ratios']}",-99,J141151.61-000303.2,14:11:51.61,-00:03:03.2,0.055,spec,J2000,Optical,SDSS,J141153.47-000302.3,14:11:53.47,-00:03:02.3,0.0538,spec,J2000,Optical,SDSS,J141153.81-000203.0,14:11:53.81,-00:02:03.0,0.0531,spec,J2000,Optical,SDSS,27.914501409693212,68.65157967811137,59.51890443863463,29.83795508660184,29.228341061432065,73.38202896751176,71.00621263458845,62.32025473079423,61.560302095931405,340.28820544063007,538.9683018110211,198.6805039598996,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Triple AGN Candidate,Dual AGN Candidate,-99,0.5,0.5,-99,3,2,-99,,"{'Optical':['Spectroscopy','Fiber Spectroscopy','Spectroscopic Emission Line Ratios']}",-99,J141421.15+025721.2,14:14:21.15,+02:57:21.2,0.0263,spec,J2000,Optical,SDSS,J141422.72+025834.5,14:14:22.72,+02:58:34.5,0.026,spec,J2000,Optical,SDSS,J141422.99+025840.8,14:14:22.99,+02:58:40.8,0.0262,spec,J2000,Optical,SDSS,76.98056602993654,84.23704159152331,7.486538225916037,40.71629032760862,40.2663791093397,44.55435986850892,44.390292467653325,3.915998569094272,3.945172042368132,87.41411887473792,29.135200905268444,-58.278919629701235,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
