,System Type,Literature Name,Selection Method,Confirmation Method,Name1,z1,z1_type,RA1,Dec1,Coordinate_waveband1,Coordinate_Source1,Equinox1,Brightness1,Brightness_band1,Brightness_type1,Name2,z2,z2_type,RA2,Dec2,Equinox2,Coordinate_waveband2,Coordinate_Source2,Brightness2,Brightness_band2,Brightness_type2,dV,Sep,Sep(kpc),dV_rwp,Paper(s),BibCode(s),DOI(s),Notes
626,Dual AGN Candidate,,Double-Peaked Optical Spectroscopic Emission Lines,-99,J113617.76-011508.4,,spec,11:36:17.76,-01:15:08.4,,,,16.74,SDSS r-band,mag,J113617.76-011508.4,0.14214,spec,-99,-99,,,,16.74,SDSS r-band,mag,0.0,3,,,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,
627,Dual AGN Candidate,,Double-Peaked Optical Spectroscopic Emission Lines,-99,J113629.11+470933.5,,spec,11:36:29.11,+47:09:33.5,,,,16.42,SDSS r-band,mag,J113629.11+470933.5,0.06568,spec,-99,-99,,,,16.42,SDSS r-band,mag,0.0,3,,,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,
628,Dual AGN Candidate,,Double-Peaked Optical Spectroscopic Emission Lines,-99,J113630+135848,,spec,11:36:30,+13:58:48,,,,-100.0,-100.0,-100.0,J113630+135848,0.08173,spec,-99,-99,,,,-100.0,-100.0,-100.0,0.0,3.0,,,Wang+2009 ; Shi+2014,2009ApJ...705L..76W ; 2014RAA....14.1234S,https://doi.org/10.1088/0004-637X/705/1/L76 ; https://doi:10.1088/1674-4527/14/10/003, Shi+ also selected this in LAMOST.
629,Dual AGN Candidate,,Double-Peaked Optical Spectroscopic Emission Lines,-99,J113721.36+612001.2,,spec,11:37:21.36,+61:20:01.2,,,,-100.0,-100.0,-100.0,J113721.36+612001.2,0.1112,spec,-99,-99,,,,-100.0,-100.0,-100.0,0.0,3.0,,,Liu+2010a ; Ge+2012 ; Liu+2018 ; Yuan+2016,2010ApJ...708..427L ; 2012ApJS..201...31G ; 2018ApJ...854..169L ; 2016MNRAS.462.1603Y,https://doi.org/10.1088/0004-637X/708/1/427 ; https://doi:10.1088/0067-0049/201/2/31 ; https://doi.org/10.3847/1538-4357/aaab47 ; https://doi.org/10.1093/mnras/stw1747,Detected in follow-up 8.4 GHz VLBA imaging but unambiguous sub-kpc dual AGNs are not identified.
630,Dual AGN Candidate,,Double-Peaked Optical Spectroscopic Emission Lines,-99,J113746.71+495124.0,,spec,11:37:46.71,+49:51:24.0,,,,17.19,SDSS r-band,mag,J113746.71+495124.0,0.23352,spec,-99,-99,,,,17.19,SDSS r-band,mag,0.0,3,,,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,
631,Dual AGN Candidate,,Double-Peaked Optical Spectroscopic Emission Lines,-99,J113759+143733,,spec,11:37:59,+14:37:33,,,,-100.0,-100.0,-100.0,J113759+143733,0.08103,spec,-99,-99,,,,-100.0,-100.0,-100.0,0.0,3.0,,,Wang+2009 ; Ge+2012,2009ApJ...705L..76W ; 2012ApJS..201...31G,https://doi.org/10.1088/0004-637X/705/1/L76 ; https://doi:10.1088/0067-0049/201/2/31,
632,Dual AGN Candidate,,Double-Peaked Spectroscopic Emission Lines,-99,J113811.59+382119.5,,spec,11:38:11.59,+38:21:19.5,,,,-99.0,-99,-99,J113811.59+382119.5,0.9002,spec,-99,-99,,,,-99.0,-99,-99,0.0,3,,,Barrows+2013,2013ApJ...769...95B,https://doi:10.1088/0004-637X/769/2/95, 
633,Dual AGN Candidate,,Double-Peaked Optical Spectroscopic Emission Lines,-99,J113831.47+594852.1,,spec,11:38:31.47,+59:48:52.1,,,,17.49,SDSS r-band,mag,J113831.47+594852.1,0.11141,spec,-99,-99,,,,17.49,SDSS r-band,mag,0.0,3,,,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,
634,Dual AGN Candidate,,Double-Peaked Optical Spectroscopic Emission Lines,-99,J113850.50+072546.2,,spec,11:38:50.50,+07:25:46.2,,,,15.81,SDSS r-band,mag,J113850.50+072546.2,0.08305,spec,-99,-99,,,,15.81,SDSS r-band,mag,0.0,3,,,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,
635,Dual AGN Candidate,,Double-Peaked Optical Spectroscopic Emission Lines,-99,J113917.74+355147.9,,spec,11:39:17.74,+35:51:47.9,,,,17.26,SDSS r-band,mag,J113917.74+355147.9,0.11878,spec,-99,-99,,,,17.26,SDSS r-band,mag,0.0,3,,,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,
636,Dual AGN Candidate,,Double-Peaked Optical Spectroscopic Emission Lines,-99,J113927.40+090014.0,,spec,11:39:27.40,+09:00:14.0,,,,-100.0,-100.0,-100.0,J113927.40+090014.0,0.1044,spec,-99,-99,,,,-100.0,-100.0,-100.0,0.0,3.0,,,Liu+2010a ; Ge+2012 ; Comerford+2018,2010ApJ...708..427L ; 2012ApJS..201...31G ; 2018ApJ...867...66C,https://doi.org/10.1088/0004-637X/708/1/427 ; https://doi:10.1088/0067-0049/201/2/31 ; https://doi.org/10.3847/1538-4357/aae2b4, Comerford+2018 studied the kinematics that give rise to the double-peaks.
637,Dual AGN Candidate,,Double-Peaked Optical Spectroscopic Emission Lines,-99,J113949.57+550007.5,,spec,11:39:49.57,+55:00:07.5,,,,15.03,SDSS r-band,mag,J113949.57+550007.5,0.07598,spec,-99,-99,,,,15.03,SDSS r-band,mag,0.0,3,,,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,
638,Dual AGN Candidate,,Double-Peaked Optical Spectroscopic Emission Lines,-99,J114010.55+384408.1,,spec,11:40:10.55,+38:44:08.1,,,,17.36,SDSS r-band,mag,J114010.55+384408.1,0.20949,spec,-99,-99,,,,17.36,SDSS r-band,mag,0.0,3,,,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,
639,Dual AGN Candidate,,Double-Peaked Optical Spectroscopic Emission Lines,-99,J114023.55+035828.5,,spec,11:40:23.55,+03:58:28.5,,,,16.91,SDSS r-band,mag,J114023.55+035828.5,0.15685,spec,-99,-99,,,,16.91,SDSS r-band,mag,0.0,3,,,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,
