Literature_Name, component_name, Discovery_type, z, z_type, RA_Chandra, Dec_Chandra, RA_HST, Dec_HST, Coord_flag, Coord_lamda_nu, Coord_source, Coord_ref, sep(OIII kpc), Type, Bibcode(s) , DOI , Notes
J1006+4647 , W  , Optical Spectroscopy / X-ray source(s) , 0.123 , spec , 10:06:54.222 , +46:47:16.62 , 10:06:54.237 , +46:47:16.71 , 1 , X-ray/Optical , Chandra/Hubble , Comerford+2015 , 1.82 , Dual AGN Candidate , 2015ApJ...806..219C , https://doi.org/10.1088/0004-637X/806/2/219 ,
J1006+4647 , E  , Optical Spectroscopy / X-ray source(s) , 0.123 , spec , 10:06:54.300 , +46:47:16.63 ,          -99 ,          -99 , 0 ,         X-ray ,        Chandra , Comerford+2015 , 1.82 , Dual AGN Candidate , 2015ApJ...806..219C , https://doi.org/10.1088/0004-637X/806/2/219 ,
J1126+2944 , NW , Optical Spectroscopy / X-ray source(s) , 0.102 , spec , 11:26:59.558 , +29:44:42.48 , 11:26:59.569 , +29:44:42.63 , 1 , X-ray/Optical , Chandra/Hubble , Comerford+2015 , 1.76 , Dual AGN           , 2015ApJ...806..219C , https://doi.org/10.1088/0004-637X/806/2/219 , 
J1126+2944 , SE , Optical Spectroscopy / X-ray source(s) , 0.102 , spec , 11:26:59.622 , +29:44:41.69 , 11:26:59.631 , +29:44:41.92 , 1 , X-ray/Optical , Chandra/Hubble , Comerford+2015 , 1.76 , Dual AGN           , 2015ApJ...806..219C , https://doi.org/10.1088/0004-637X/806/2/219 ,
J1239+5314 , NE , Optical Spectroscopy / X-ray source(s) , 0.201 , spec , 12:39:15.452 , +53:14:15.14 , 12:39:15.454 , +53:14:15.14 , 1 , X-ray/Optical , Chandra/Hubble , Comerford+2015 , 1.29 , Dual AGN Candidate , 2015ApJ...806..219C , https://doi.org/10.1088/0004-637X/806/2/219 ,
J1239+5314 , SW , Optical Spectroscopy / X-ray source(s) , 0.201 , spec , 12:39:15.417 , +53:14:14.77 , 12:39:15.454 , +53:14:15.14 , 1 , X-ray/Optical , Chandra/Hubble , Comerford+2015 , 1.29 , Dual AGN Candidate , 2015ApJ...806..219C , https://doi.org/10.1088/0004-637X/806/2/219 ,
J1322+2631 , SW , Optical Spectroscopy / X-ray source(s) , 0.144 , spec , 13:22:31.803 , +26:31:58.72 , 13:22:31.796 , +26:31:58.65 , 1 , X-ray/Optical , Chandra/Hubble , Comerford+2015 , 5.94 , Dual AGN Candidate , 2015ApJ...806..219C , https://doi.org/10.1088/0004-637X/806/2/219 , 
J1322+2631 , NE , Optical Spectroscopy / X-ray source(s) , 0.144 , spec , 13:22:31.976 , +26:31:59.23 , 13:22:31.968 , +26:31:59.02 , 1 , X-ray/Optical , Chandra/Hubble , Comerford+2015 , 5.94 , Dual AGN Candidate , 2015ApJ...806..219C , https://doi.org/10.1088/0004-637X/806/2/219 , 
J1356+1026 , NE , Optical Spectroscopy / X-ray source(s) , 0.123 , spec , 13:56:46.115 , +10:26:08.83 , 13:56:46.128 , +10:26:08.61 , 1 , X-ray/Optical , Chandra/Hubble , Comerford+2015 , 2.94 , Dual AGN Candidate , 2015ApJ...806..219C , https://doi.org/10.1088/0004-637X/806/2/219 , 
J1356+1026 , SW , Optical Spectroscopy / X-ray source(s) , 0.123 , spec , 13:56:46.104 , +10:26:07.59 , 13:56:46.120 , +10:26:07.29 , 1 , X-ray/Optical , Chandra/Hubble , Comerford+2015 , 2.94 , Dual AGN Candidate , 2015ApJ...806..219C , https://doi.org/10.1088/0004-637X/806/2/219 , 
J1448+1825 , SE , Optical Spectroscopy / X-ray source(s) , 0.038 , spec , 14:48:04.183 , +18:25:37.68 , 14:48:04.186 , +18:25:37.75 , 1 , X-ray/Optical , Chandra/Hubble , Comerford+2015 , 0.63 , Dual AGN Candidate , 2015ApJ...806..219C , https://doi.org/10.1088/0004-637X/806/2/219 ,
J1448+1825 , NW , Optical Spectroscopy / X-ray source(s) , 0.038 , spec , 14:48:04.173 , +18:25:38.68 ,          -99 ,          -99 , 0 ,         X-ray ,        Chandra , Comerford+2015 , 0.63 , Dual AGN Candidate , 2015ApJ...806..219C , https://doi.org/10.1088/0004-637X/806/2/219 ,
J1604+5009 , NW , Optical Spectroscopy / X-ray source(s) , 0.146 , spec , 16:04:36.21  ,  +50:09:58.1 ,          -99 ,          -99 , 0 ,       Optical ,           SDSS , Comerford+2015 , 2.69 , Dual AGN Candidate , 2015ApJ...806..219C , https://doi.org/10.1088/0004-637X/806/2/219 , No unique coordinates listed in Comerford+2015; Coordinates drawn from SDSS designation in Table 1 of Comerford+2015.
J1604+5009 , SE , Optical Spectroscopy / X-ray source(s) , 0.146 , spec , 16:04:36.21  ,  +50:09:58.1 ,          -99 ,          -99 , 0 ,       Optical ,           SDSS , Comerford+2015 , 2.69 , Dual AGN Candidate , 2015ApJ...806..219C , https://doi.org/10.1088/0004-637X/806/2/219 , No unique coordinates listed in Comerford+2015; Coordinates drawn from SDSS designation in Table 1 of Comerford+2015.
