System Type,Name1,Name2,Selection Method,Confirmation Method,z1,z1_type,z2,z2_type,RA1,Dec1,RA1_deg,Dec1_deg,RA2,Dec2,RA2_deg,Dec2_deg,Equinox1,Coordinate_waveband1,Coordinate_Source1,Equinox2,Coordinate_waveband2,Coordinate_Source2,Brightness1,Brightness_band1,Brightness_type1,Brightness2,Brightness_band2,Brightness_type2,Sep,dV,Paper(s),BibCode(s),DOI(s),ra1_sexagesimal,dec1_sexagesimal,ra2_sexagesimal,dec2_sexagesimal
Binary Quasar,SDSSJ1343-0156A,SDSSJ1343-0155B,Fiber Spectroscopy / Optical Spectroscopy,Slit Optical Spectroscopy,1.43,spec,1.427,spec,13:43:14.72,-1:56:14.9,205.81133333333332,-1.9374722222222223,13:43:16.15,-1:55:15.0,205.81729166666665,-1.9208333333333332,J2000,Optical,SDSS,J2000,Optical,SDSS,18.38,SDSS g PSF ext-corr,asinh,19.71,SDSS g PSF ext-corr,asinh,63.5,369.363663901693,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,,,,
Binary Quasar,SDSSJ1352-0146A,2QZJ1352-0149B,Fiber Spectroscopy / Optical Spectroscopy,Slit Optical Spectroscopy,0.579,spec,0.58,spec,13:52:4.19,-1:46:12.4,208.01745833333334,-1.770111111111111,13:52:4.33,-1:49:34.4,208.01804166666665,-1.8262222222222222,J2000,Optical,SDSS,J2000,Optical,SDSS,18.88,SDSS g PSF ext-corr,asinh,19.91,SDSS g PSF ext-corr,asinh,202.0,-189.30039255332653,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,,,,
Binary Quasar,2QZJ1354-0108A,2QZJ1354-0107B,Fiber Spectroscopy / Optical Spectroscopy,Slit Optical Spectroscopy,1.986,spec,1.993,spec,13:54:40.4,-1:8:45.4,208.66833333333332,-1.1459444444444444,13:54:39.97,-1:7:50.3,208.66654166666663,-1.130638888888889,J2000,Optical,SDSS,J2000,Optical,SDSS,19.54,SDSS g PSF ext-corr,asinh,20.13,SDSS g PSF ext-corr,asinh,55.5,-700.1161167926797,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,,,,
Binary Quasar,SDSSJ1407+6049A,SDSSJ1407+6047B,Fiber Spectroscopy / Optical Spectroscopy,Slit Optical Spectroscopy,1.587,spec,1.588,spec,14:7:2.09,+60:49:14.6,211.7587083333333,60.82072222222222,14:7:4.2,+60:47:38.8,211.76749999999998,60.79411111111111,J2000,Optical,SDSS,J2000,Optical,SDSS,19.25,SDSS g PSF ext-corr,asinh,20.0,SDSS g PSF ext-corr,asinh,97.1,-115.55555124069,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,,,,
Binary Quasar,2QZJ1411-0129A,2QZJ1411-0131B,Fiber Spectroscopy / Optical Spectroscopy,Slit Optical Spectroscopy,0.99,spec,0.978,spec,14:11:7.51,-1:29:59.4,212.78129166666665,-1.4998333333333334,14:11:14.33,-1:31:52.5,212.8097083333333,-1.53125,J2000,Optical,SDSS,J2000,Optical,SDSS,19.96,SDSS g PSF ext-corr,asinh,19.75,SDSS g PSF ext-corr,asinh,152.5,1808.4512022990202,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,,,,
Binary Quasar,SDSSJ1426+6451A,SDSSJ1426+6452B,Fiber Spectroscopy / Optical Spectroscopy,Slit Optical Spectroscopy,1.979,spec,1.975,spec,14:26:0.41,+64:51:33.1,216.5017083333333,64.85919444444444,14:26:18.91,+64:52:54.0,216.57879166666666,64.88166666666666,J2000,Optical,SDSS,J2000,Optical,SDSS,18.45,SDSS g PSF ext-corr,asinh,18.92,SDSS g PSF ext-corr,asinh,142.9,401.746543567173,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,,,,
Binary Quasar,SDSSJ1435-0220A,2QZJ1436-0220B,Fiber Spectroscopy / Optical Spectroscopy,Slit Optical Spectroscopy,1.817,spec,1.828,spec,14:35:59.57,-2:20:56.4,218.9982083333333,-2.349,14:36:9.14,-2:20:5.5,219.0380833333333,-2.334861111111111,J2000,Optical,SDSS,J2000,Optical,SDSS,18.69,SDSS g PSF ext-corr,asinh,19.44,SDSS g PSF ext-corr,asinh,152.3,-1165.274583252086,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,,,,
Binary Quasar,SDSSJ1441-0200A,2QZJ1441-0203B,Fiber Spectroscopy / Optical Spectroscopy,Slit Optical Spectroscopy,2.059,spec,2.048,spec,14:41:48.31,-2:0:46.0,220.45129166666663,-2.012777777777778,14:41:45.96,-2:3:19.8,220.44149999999996,-2.0555,J2000,Optical,SDSS,J2000,Optical,SDSS,19.0,SDSS g PSF ext-corr,asinh,20.31,SDSS g PSF ext-corr,asinh,157.9,1077.1211165294042,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,,,,
Binary Quasar,2QZJ1444+0025A,2QZJ1444+0023B,Fiber Spectroscopy / Optical Spectroscopy,Slit Optical Spectroscopy,1.46,spec,1.444,spec,14:44:40.61,+0:25:17.7,221.1692083333333,0.42158333333333337,14:44:45.03,+0:23:45.7,221.18762499999997,0.3960277777777778,J2000,Optical,SDSS,J2000,Optical,SDSS,20.59,SDSS g PSF ext-corr,asinh,20.68,SDSS g PSF ext-corr,asinh,113.3,1951.039590391015,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,,,,
Binary Quasar,SDSSJ1445+0226A,SDSSJ1445+0224B,Fiber Spectroscopy / Optical Spectroscopy,Slit Optical Spectroscopy,0.606,spec,0.605,spec,14:45:7.84,+2:26:36.6,221.28266666666664,2.4435000000000002,14:45:3.6,+2:24:45.2,221.26499999999996,2.4125555555555556,J2000,Optical,SDSS,J2000,Optical,SDSS,18.27,SDSS g PSF ext-corr,asinh,19.17,SDSS g PSF ext-corr,asinh,128.3,186.23479975113256,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,,,,
Binary Quasar,SDSSJ1448+4948A,SDSSJ1448+4948B,Fiber Spectroscopy / Optical Spectroscopy,Slit Optical Spectroscopy,2.093,spec,2.087,spec,14:48:44.81,+49:48:34.9,222.1867083333333,49.80969444444444,14:48:53.02,+49:48:18.1,222.22091666666665,49.805027777777774,J2000,Optical,SDSS,J2000,Optical,SDSS,20.17,SDSS g PSF ext-corr,asinh,20.34,SDSS g PSF ext-corr,asinh,81.2,580.5819770176413,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,,,,
Binary Quasar,SDSSJ1504+0331A,SDSSJ1504+0333B,Fiber Spectroscopy / Optical Spectroscopy,Slit Optical Spectroscopy,0.557,spec,0.553,spec,15:4:39.5,+3:31:34.7,226.1645833333333,3.5263055555555556,15:4:33.09,+3:33:13.0,226.13787499999995,3.553611111111111,J2000,Optical,SDSS,J2000,Optical,SDSS,18.89,SDSS g PSF ext-corr,asinh,20.29,SDSS g PSF ext-corr,asinh,137.4,769.1305604688645,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,,,,
Binary Quasar,SDSSJ1509+5057A,SDSSJ1509+5056B,Fiber Spectroscopy / Optical Spectroscopy,Slit Optical Spectroscopy,2.362,spec,2.367,spec,15:9:32.23,+50:57:51.7,227.38429166666663,50.96436111111112,15:9:25.65,+50:56:9.6,227.35687499999997,50.936,J2000,Optical,SDSS,J2000,Optical,SDSS,18.74,SDSS g PSF ext-corr,asinh,18.94,SDSS g PSF ext-corr,asinh,119.6,-444.34512544825407,Hennawi+2006 ; Kirkman+2008 ; Tytler+2009,2006AJ....131....1H ; 2008MNRAS.391.1457K ; 2009MNRAS.392.1539T,https://doi.org/10.1086/498235 ; https://doi.org/10.1111/j.1365-2966.2008.13994.x ; https://doi.org/10.1111/j.1365-2966.2008.14159.x,,,,
Binary Quasar,SDSSJ1514+5359A,SDSSJ1515+5357B,Fiber Spectroscopy / Optical Spectroscopy,Slit Optical Spectroscopy,1.65,spec,1.638,spec,15:14:53.34,+53:59:40.0,228.72224999999995,53.99444444444445,15:15:4.89,+53:57:55.5,228.77037499999997,53.96541666666667,J2000,Optical,SDSS,J2000,Optical,SDSS,18.98,SDSS g PSF ext-corr,asinh,20.08,SDSS g PSF ext-corr,asinh,146.0,1357.027807515402,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,,,,
Binary Quasar,SDSSJ1534+5156A,SDSSJ1534+5157B,Fiber Spectroscopy / Optical Spectroscopy,Slit Optical Spectroscopy,1.327,spec,1.319,spec,15:34:49.5,+51:56:19.0,233.70624999999995,51.93861111111111,15:34:40.62,+51:57:19.3,233.66924999999998,51.95536111111112,J2000,Optical,SDSS,J2000,Optical,SDSS,18.96,SDSS g PSF ext-corr,asinh,19.07,SDSS g PSF ext-corr,asinh,101.9,1029.6999172588198,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,,,,
Binary Quasar,SDSSJ1539+3333A,SDSSJ1539+3335B,Fiber Spectroscopy / Optical Spectroscopy,Slit Optical Spectroscopy,1.919,spec,1.926,spec,15:39:13.57,+33:33:33.9,234.80654166666665,33.559416666666664,15:39:9.63,+33:35:7.4,234.790125,33.58538888888889,J2000,Optical,SDSS,J2000,Optical,SDSS,19.4,SDSS g PSF ext-corr,asinh,20.16,SDSS g PSF ext-corr,asinh,105.7,-716.1666375034787,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,,,,
Binary Quasar,SDSSJ1546+4727A,SDSSJ1546+4728B,Fiber Spectroscopy / Optical Spectroscopy,Slit Optical Spectroscopy,1.9,spec,1.89,spec,15:46:31.4,+47:27:52.9,236.6308333333333,47.46469444444445,15:46:34.35,+47:28:47.9,236.643125,47.47997222222222,J2000,Optical,SDSS,J2000,Optical,SDSS,19.22,SDSS g PSF ext-corr,asinh,19.26,SDSS g PSF ext-corr,asinh,62.6,1032.8121178134336,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,,,,
Binary Quasar,SDSSJ1547+3145A,SDSSJ1547+3146B,Fiber Spectroscopy / Optical Spectroscopy,Slit Optical Spectroscopy,1.982,spec,1.99,spec,15:47:20.76,+31:45:21.4,236.83649999999997,31.755944444444445,15:47:33.18,+31:46:2.2,236.88824999999997,31.767277777777778,J2000,Optical,SDSS,J2000,Optical,SDSS,17.97,SDSS g PSF ext-corr,asinh,20.02,SDSS g PSF ext-corr,asinh,163.7,-801.0702302726584,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,,,,
Binary Quasar,SDSSJ1555-0036A,SDSSJ1556-0036B,Fiber Spectroscopy / Optical Spectroscopy,Slit Optical Spectroscopy,0.763,spec,0.753,spec,15:55:57.07,-0:36:8.4,238.98779166666662,-0.6023333333333333,15:56:1.32,-0:36:59.3,239.00549999999998,-0.6164722222222222,J2000,Optical,SDSS,J2000,Optical,SDSS,17.37,SDSS g PSF ext-corr,asinh,18.8,SDSS g PSF ext-corr,asinh,81.6,1700.7826016335116,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,,,,
Binary Quasar,SDSSJ1707+3329A,SDSSJ1707+3329B,Fiber Spectroscopy / Optical Spectroscopy,Slit Optical Spectroscopy,1.711,spec,1.728,spec,17:7:57.55,+33:29:34.4,256.98979166666663,33.49288888888889,17:7:51.64,+33:29:20.1,256.9651666666666,33.48891666666667,J2000,Optical,SDSS,J2000,Optical,SDSS,17.94,SDSS g PSF ext-corr,asinh,18.8,SDSS g PSF ext-corr,asinh,75.4,-1869.0753239781252,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,,,,
Binary Quasar,SDSSJ1710+3212A,SDSSJ1710+3214B,Fiber Spectroscopy / Optical Spectroscopy,Slit Optical Spectroscopy,1.327,spec,1.333,spec,17:10:27.92,+32:12:35.3,257.61633333333333,32.20980555555556,17:10:36.79,+32:14:28.5,257.6532916666667,32.24125,J2000,Optical,SDSS,J2000,Optical,SDSS,20.1,SDSS g PSF ext-corr,asinh,20.36,SDSS g PSF ext-corr,asinh,159.6,-769.9558051166752,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,,,,
Binary Quasar,SDSSJ1718+3028A,SDSSJ1718+3026B,Fiber Spectroscopy / Optical Spectroscopy,Slit Optical Spectroscopy,2.046,spec,2.026,spec,17:18:37.17,+30:28:52.8,259.654875,30.481333333333332,17:18:45.05,+30:26:47.2,259.6877083333333,30.446444444444445,J2000,Optical,SDSS,J2000,Optical,SDSS,19.49,SDSS g PSF ext-corr,asinh,19.62,SDSS g PSF ext-corr,asinh,161.8,1969.675600353936,Hennawi+2006 ; Kirkman+2008 ; Tytler+2009,2006AJ....131....1H ; 2008MNRAS.391.1457K ; 2009MNRAS.392.1539T,https://doi.org/10.1086/498235 ; https://doi.org/10.1111/j.1365-2966.2008.13994.x ; https://doi.org/10.1111/j.1365-2966.2008.14159.x,,,,
Binary Quasar,SDSSJ1718+6119A,SDSSJ1718+6118B,Fiber Spectroscopy / Optical Spectroscopy,Slit Optical Spectroscopy,1.789,spec,1.806,spec,17:18:59.23,+61:19:34.4,259.7467916666667,61.32622222222223,17:18:48.29,+61:18:5.2,259.7012083333333,61.30144444444444,J2000,Optical,SDSS,J2000,Optical,SDSS,18.69,SDSS g PSF ext-corr,asinh,19.77,SDSS g PSF ext-corr,asinh,119.1,-1816.9626716624734,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,,,,
Binary Quasar,SDSSJ2051+0021A,SDSSJ2051+0021B,Fiber Spectroscopy / Optical Spectroscopy,Slit Optical Spectroscopy,2.4,spec,2.401,spec,20:51:46.39,+0:21:37.0,312.94329166666665,0.36027777777777775,20:51:36.52,+0:21:19.5,312.9021666666667,0.35541666666666666,J2000,Optical,SDSS,J2000,Optical,SDSS,19.82,SDSS g PSF ext-corr,asinh,20.01,SDSS g PSF ext-corr,asinh,149.0,-87.92824394518802,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,,,,
Binary Quasar,SDSSJ2058+0003A,SDSSJ2058+0005B,Fiber Spectroscopy / Optical Spectroscopy,Slit Optical Spectroscopy,1.275,spec,1.273,spec,20:58:47.75,+0:3:44.9,314.6989583333333,0.06247222222222222,20:58:49.59,+0:5:35.1,314.7066249999999,0.09308333333333332,J2000,Optical,SDSS,J2000,Optical,SDSS,20.09,SDSS g PSF ext-corr,asinh,20.14,SDSS g PSF ext-corr,asinh,113.6,262.9726844137238,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,,,,
Binary Quasar,SDSSJ2117-0601A,SDSSJ2117-0602B,Fiber Spectroscopy / Optical Spectroscopy,Slit Optical Spectroscopy,1.771,spec,1.776,spec,21:17:28.92,-6:1:49.4,319.3705,-6.030388888888889,21:17:21.65,-6:2:36.7,319.3402083333333,-6.043527777777777,J2000,Optical,SDSS,J2000,Optical,SDSS,17.97,SDSS g PSF ext-corr,asinh,19.45,SDSS g PSF ext-corr,asinh,118.3,-539.0296684018818,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,,,,
Binary Quasar,SDSSJ2224-0103A,SDSSJ2224-0102B,Fiber Spectroscopy / Optical Spectroscopy,Slit Optical Spectroscopy,1.603,spec,1.603,spec,22:24:49.73,-1:3:28.8,336.2072083333333,-1.058,22:24:46.92,-1:2:45.6,336.1954999999999,-1.046,J2000,Optical,SDSS,J2000,Optical,SDSS,18.87,SDSS g PSF ext-corr,asinh,19.27,SDSS g PSF ext-corr,asinh,60.3,0.0,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,,,,
Binary Quasar,SDSSJ2243-0109A,SDSSJ2242-0109B,Fiber Spectroscopy / Optical Spectroscopy,Slit Optical Spectroscopy,1.044,spec,1.033,spec,22:43:4.09,-1:9:46.5,340.7670416666666,-1.1629166666666666,22:42:55.23,-1:9:24.8,340.730125,-1.1568888888888889,J2000,Optical,SDSS,J2000,Optical,SDSS,19.63,SDSS g PSF ext-corr,asinh,20.15,SDSS g PSF ext-corr,asinh,134.6,1613.4295108004076,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,,,,
Binary Quasar,SDSSJ2300-0010A,SDSSJ2300-0008B,Fiber Spectroscopy / Optical Spectroscopy,Slit Optical Spectroscopy,1.893,spec,1.885,spec,23:0:9.1,-0:10:1.7,345.03791666666666,-0.1671388888888889,23:0:13.83,-0:8:13.4,345.057625,-0.13705555555555554,J2000,Optical,SDSS,J2000,Optical,SDSS,19.6,SDSS g PSF ext-corr,asinh,19.97,SDSS g PSF ext-corr,asinh,129.5,827.9665678488749,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,,,,
Binary Quasar,SDSSJ2313+0009A,SDSSJ2313+0007B,Fiber Spectroscopy / Optical Spectroscopy,Slit Optical Spectroscopy,1.379,spec,1.385,spec,23:13:12.48,+0:9:12.7,348.30199999999996,0.15352777777777776,23:13:14.58,+0:7:19.8,348.3107499999999,0.12216666666666667,J2000,Optical,SDSS,J2000,Optical,SDSS,19.95,SDSS g PSF ext-corr,asinh,20.31,SDSS g PSF ext-corr,asinh,117.2,-753.1474199642339,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,,,,
