Sep12,RA1,Dec1,Sep23,RA2,Dec2,Sep13,RA3,Dec3,Equinox1,Coordinate_waveband1,Coordinate_Source1,Equinox2,Coordinate_waveband2,Coordinate_Source2,Equinox3,Coordinate_waveband3,Coordinate_Source3,dV12,dV23,dV13,Paper(s),BibCode(s),DOI(s),Selection Method,RA1_deg,Dec1_deg,RA2_deg,Dec2_deg,RA3_deg,Dec3_deg,System Type 1: Triple AGNs,System Type 2: Dual AGNs,System Type 3: Recoilings,ST1 Confidence Flag,ST2 Confidence Flag,ST3 Confidence Flag,ST1 Num AGNs,ST2 Num AGNs,ST3 Num AGNs,Confirmation Method,z1,z2,z3,Sep(kpc)12_z1,Sep(kpc)12_z2,Sep(kpc)13_z1,Sep(kpc)13_z3,Sep(kpc)23_z2,Sep(kpc)23_z3
130.92,9:56:58.73,+69:38:52.5,108.83,9:57:21.22,+69:37:54.5,217.08,9:57:25.94,+69:36:8.5,J2000,,,J2000,,,J2000,,,-588.0033646269114,588.0033646269114,0.0,Tytler+2009,2009MNRAS.392.1539T,https://doi.org/10.1111/j.1365-2966.2008.14159.x,{'Optical':['Spectroscopy']},149.2447083333333,69.64791666666667,149.33841666666666,69.63180555555554,149.35808333333333,69.60236111111111,Triple AGN Candidate,-99,-99,-1,-99,-99,3,-99,-99,-99,2.048,2.054,2.048,1092.9319571643555,1092.5435439491923,1812.2034010177083,1812.2034010177083,908.1997699968729,908.5226466406724
142.19,11:19:22.4,+60:48:51.0,164.79,11:19:28.9,+60:46:37.0,70.35,11:19:31.1,+60:49:21.0,J2000,,,J2000,,,J2000,,,-26401.799423877284,-30261.68408504744,-56161.57618648472,Tytler+2009,2009MNRAS.392.1539T,https://doi.org/10.1111/j.1365-2966.2008.14159.x,{'Optical':['Spectroscopy']},169.8433333333333,60.814166666666665,169.87041666666664,60.776944444444446,169.8795833333333,60.822500000000005,Triple AGN Candidate,-99,-99,-1,-99,-99,3,-99,-99,-99,2.014,2.293,2.645,1189.3365986347108,1167.3248585954923,588.436807890512,560.6166667908421,1352.8621101902465,1313.2056932546254
387.74,14:58:38.04,+0:24:18.0,180.73,14:59:1.28,+0:21:23.7,91.46,14:59:7.19,+0:21:1.2,J2000,,,J2000,,,J2000,,,-10174.04449023574,-85646.07312703565,-94895.2002006164,Tytler+2009,2009MNRAS.392.1539T,https://doi.org/10.1111/j.1365-2966.2008.14159.x,{'Optical':['Spectroscopy']},224.6585,0.405,224.7553333333333,0.3565833333333333,224.7799583333333,0.3503333333333333,Triple AGN Candidate,-99,-99,-1,-99,-99,3,-99,-99,-99,1.888,1.988,3.012,3263.5677509692964,3247.8357878715924,769.8094251396601,703.7077681345905,1513.8529992831095,1390.5653283945392
216.0,8:31:15.9,+38:14:24.0,288.08,8:30:53.0,+38:12:43.0,417.03,8:30:52.9,+38:9:7.0,J2000,,,J2000,,,J2000,,,-7107.680710351099,1581.2389440462618,-5527.1366037806965,Tytler+2009,2009MNRAS.392.1539T,https://doi.org/10.1111/j.1365-2966.2008.14159.x,{'Optical':['Spectroscopy']},127.81624999999998,38.24,127.72083333333332,38.21194444444445,127.72041666666664,38.151944444444446,Triple AGN Candidate,-99,-99,-1,-99,-99,3,-99,-99,-99,3.073,3.171,3.149,1651.8768555654424,1635.6819694626004,3189.269467946557,3165.0239276108396,2181.5151007536388,2186.3657124574506
146.44,16:25:48.0,+26:44:32.5,180.33,16:25:48.75,+26:46:58.6,129.86,16:25:57.66,+26:44:43.4,J2000,,,J2000,,,J2000,,,-3068.334266723888,-6624.064320076759,-9690.195572193872,Tytler+2009,2009MNRAS.392.1539T,https://doi.org/10.1111/j.1365-2966.2008.14159.x,{'Optical':['Spectroscopy']},246.45,26.742361111111112,246.453125,26.782944444444443,246.49025,26.74538888888889,Triple AGN Candidate,-99,-99,-1,-99,-99,3,-99,-99,-99,2.49,2.526,2.605,1183.1103615355928,1179.4333508500335,1049.1580958004104,1038.604838175172,1452.3847047171987,1442.2578967205354
