SDSS1,z1,dV,rmag1,RA1,Dec1,SDSS2,z2,rmag2,RA2,Dec2,System Type,Selection Method,Name1,Name2,RA1_deg,Dec1_deg,RA2_deg,Dec2_deg,Equinox1,Coordinate_waveband1,Coordinate_Source1,Equinox2,Coordinate_waveband2,Coordinate_Source2,Sep,Sep(kpc),dV_rwp,z1_type,z2_type,Paper(s),BibCode(s),DOI(s),Notes,Confirmation Method,Brightness1,Brightness_band1,Brightness_type1,Brightness2,Brightness_band2,Brightness_type2
J000249.07+004504.8,0.0868,63.0,16.08,00:02:49.07,+00:45:04.8,J000249.44+004506.7,0.0865,16.43,00:02:49.44,+00:45:06.7,Dual AGN Candidate,Fiber Spectra / Optical Spectroscopic Emission Line Ratios,J000249.07+004504.8,J000249.44+004506.7,0.7044583333333332,0.7513333333333333,0.706,0.7518611111111111,J2000,Optical,SDSS,J2000,Optical,SDSS,5.865765071553234,9.534117089044093,82.54727675956427,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101, ,,,,,,,
J000257.21+000750.5,0.0901,109.0,16.15,00:02:57.21,+00:07:50.5,J000258.59+000831.0,0.0897,16.67,00:02:58.59,+00:08:31.0,Dual AGN Candidate,Fiber Spectra / Optical Spectroscopic Emission Line Ratios,J000257.21+000750.5,J000258.59+000831.0,0.738375,0.13069444444444445,0.7441249999999999,0.14194444444444443,J2000,Optical,SDSS,J2000,Optical,SDSS,45.48337688731339,76.44641007118935,109.73483436337021,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101, ,,,,,,,
J000323.74+010547.3,0.0993,22.0,17.98,00:03:23.74,+01:05:47.3,J000323.74+010559.5,0.0994,17.42,00:03:23.74,+01:05:59.5,Dual AGN Candidate,Fiber Spectra / Optical Spectroscopic Emission Line Ratios,J000323.74+010547.3,J000323.74+010559.5,0.8489166666666667,1.096472222222222,0.8489166666666667,1.099861111111111,J2000,Optical,SDSS,J2000,Optical,SDSS,12.19999999999931,22.36085687731286,-27.197889605813938,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101, ,,,,,,,
J000425.78-095854.4,0.1122,53.0,16.41,00:04:25.78,-09:58:54.4,J000426.66-095834.4,0.112,16.57,00:04:26.66,-09:58:34.4,Dual AGN Candidate,Fiber Spectra / Optical Spectroscopic Emission Line Ratios,J000425.78-095854.4,J000426.66-095834.4,1.1074166666666665,-9.981777777777777,1.1110833333333332,-9.976222222222223,J2000,Optical,SDSS,J2000,Optical,SDSS,23.85388524267597,48.677088255153095,53.772142358121,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101, ,,,,,,,
J000431.92-011411.7,0.0887,45.0,17.22,00:04:31.92,-01:14:11.7,J000433.25-011334.4,0.0889,18.47,00:04:33.25,-01:13:34.4,Dual AGN Candidate,Fiber Spectra / Optical Spectroscopic Emission Line Ratios,J000431.92-011411.7,J000433.25-011334.4,1.1329999999999998,-1.2365833333333334,1.1385416666666666,-1.2262222222222223,J2000,Optical,SDSS,J2000,Optical,SDSS,42.297856764701855,70.10095305648748,-54.9228503816616,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101, ,,,,,,,
J000621.33-100412.6,0.1062,165.0,17.46,00:06:21.33,-10:04:12.6,J000623.74-100345.0,0.1056,17.34,00:06:23.74,-10:03:45.0,Dual AGN Candidate,Fiber Spectra / Optical Spectroscopic Emission Line Ratios,J000621.33-100412.6,J000623.74-100345.0,1.5888749999999998,-10.070166666666667,1.5989166666666665,-10.0625,J2000,Optical,SDSS,J2000,Optical,SDSS,45.040624678921034,87.59415886582008,162.22080368773248,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101, ,,,,,,,
J000700.56+005410.5,0.0925,250.0,15.44,00:07:00.56,+00:54:10.5,J000704.18+005425.0,0.0935,16.96,00:07:04.18,+00:54:25.0,Dual AGN Candidate,Fiber Spectra / Optical Spectroscopic Emission Line Ratios,J000700.56+005410.5,J000704.18+005425.0,1.7523333333333333,0.9029166666666667,1.7674166666666664,0.9069444444444444,J2000,Optical,SDSS,J2000,Optical,SDSS,56.19612581105498,96.69969977569548,-273.5589546471234,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101, ,,,,,,,
J000948.47+135819.8,0.1179,281.0,17.39,00:09:48.47,+13:58:19.8,J000948.49+135811.9,0.1169,17.92,00:09:48.49,+13:58:11.9,Dual AGN Candidate,Fiber Spectra / Optical Spectroscopic Emission Line Ratios,J000948.47+135819.8,J000948.49+135811.9,2.451958333333333,13.972166666666666,2.4520416666666662,13.969972222222223,J2000,Optical,SDSS,J2000,Optical,SDSS,7.905362354502719,16.841984126509075,267.5854126831453,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101, ,,,,,,,
J000956.72+000958.4,0.1023,114.0,16.65,00:09:56.72,+00:09:58.4,J000958.76+000938.2,0.1027,16.81,00:09:58.76,+00:09:38.2,Dual AGN Candidate,Fiber Spectra / Optical Spectroscopic Emission Line Ratios,J000956.72+000958.4,J000958.76+000938.2,2.486333333333333,0.16622222222222222,2.494833333333333,0.1606111111111111,J2000,Optical,SDSS,J2000,Optical,SDSS,36.665956719567795,68.99594495284816,-108.48072205369452,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101, ,,,,,,,
J001010.89-001430.2,0.114,182.0,17.26,00:10:10.89,-00:14:30.2,J001011.16-001430.8,0.1133,16.84,00:10:11.16,-00:14:30.8,Dual AGN Candidate,Fiber Spectra / Optical Spectroscopic Emission Line Ratios,J001010.89-001430.2,J001011.16-001430.8,2.5453749999999995,-0.24172222222222223,2.5464999999999995,-0.2418888888888889,J2000,Optical,SDSS,J2000,Optical,SDSS,4.094167541452331,8.471359169347705,187.94053726649784,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101, ,,,,,,,
J001050.37-010257.6,0.113,54.0,17.6,00:10:50.37,-01:02:57.6,J001050.70-010259.1,0.1132,19.3,00:10:50.70,-01:02:59.1,Dual AGN Candidate,Fiber Spectra / Optical Spectroscopic Emission Line Ratios,J001050.37-010257.6,J001050.70-010259.1,2.7098749999999994,-1.0493333333333335,2.7112499999999997,-1.0497500000000002,J2000,Optical,SDSS,J2000,Optical,SDSS,5.171487132827476,10.618687417746361,-53.723833902916475,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101, ,,,,,,,
