Name1,Name2,z1,z2,z1_type,z2_type,RA1,Dec1,RA1_deg,Dec1_deg,RA2,Dec2,RA2_deg,Dec2_deg,Equinox1,Coordinate_waveband1,Coordinate_Source1,Equinox2,Coordinate_waveband2,Coordinate_Source2,System Type,Brightness1,Brightness_band1,Brightness_type1,Brightness2,Brightness_band2,Brightness_type2,Sep,dV,Selection Method,Confirmation Method,Paper(s),BibCode(s),DOI(s),Notes
J081931.49+450801.5,-99,1.88,-99,spec,-99,08:19:31.49,+45:08:01.5,124.88120833333332,45.13375,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013,2013ApJ...777...44J,https://doi.org/10.1088/0004-637X/777/1/44, 
J015454.88+004044.0,-99,1.65,-99,spec,-99,01:54:54.88,+00:40:44.0,28.728666666666662,0.6788888888888889,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts / Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013 ; Wang+2017,2013ApJ...777...44J ; 2017ApJ...834..129W,https://doi.org/10.1088/0004-637X/777/1/44 ; https://doi.org/ 10.3847/1538-4357/834/2/129, 
J025331.93+001624.8,-99,1.83,-99,spec,-99,02:53:31.93,+00:16:24.8,43.383041666666664,0.27355555555555555,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts / Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013 ; Wang+2017,2013ApJ...777...44J ; 2017ApJ...834..129W,https://doi.org/10.1088/0004-637X/777/1/44 ; https://doi.org/ 10.3847/1538-4357/834/2/129, 
J230745.14-004542.7,-99,1.84,-99,spec,-99,23:07:45.14,-00:45:42.7,346.93808333333334,-0.7618611111111111,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013,2013ApJ...777...44J,https://doi.org/10.1088/0004-637X/777/1/44, 
J025156.31+005706.4,-99,0.47,-99,spec,-99,02:51:56.31,+00:57:06.4,42.984625,0.9517777777777777,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013,2013ApJ...777...44J,https://doi.org/10.1088/0004-637X/777/1/44, 
J135831.39+010339.2,-99,0.41,-99,spec,-99,13:58:31.39,+01:03:39.2,209.63079166666665,1.060888888888889,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013,2013ApJ...777...44J,https://doi.org/10.1088/0004-637X/777/1/44, 
J140140.44+325116.7,-99,0.4,-99,spec,-99,14:01:40.44,+32:51:16.7,210.4185,32.85463888888889,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013,2013ApJ...777...44J,https://doi.org/10.1088/0004-637X/777/1/44, 
J115115.38+003827.0,-99,1.88,-99,spec,-99,11:51:15.38,+00:38:27.0,177.8140833333333,0.6408333333333333,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013,2013ApJ...777...44J,https://doi.org/10.1088/0004-637X/777/1/44, 
J105014.02+275230.3,-99,1.71,-99,spec,-99,10:50:14.02,+27:52:30.3,162.55841666666666,27.875083333333333,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013,2013ApJ...777...44J,https://doi.org/10.1088/0004-637X/777/1/44, 
J011310.39-003133.3,-99,0.41,-99,spec,-99,01:13:10.39,-00:31:33.3,18.29329166666667,-0.5259166666666667,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts / Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013 ; Wang+2017,2013ApJ...777...44J ; 2017ApJ...834..129W,https://doi.org/10.1088/0004-637X/777/1/44 ; https://doi.org/ 10.3847/1538-4357/834/2/129, 
