,System Type,Name1,Name2,Selection Method,Confirmation Method,z1,z1_type,z2,z2_type,RA1,Dec1,RA1_deg,Dec1_deg,RA2,Dec2,RA2_deg,Dec2_deg,Equinox,Coordinate_waveband,Coordinate_Source,Brightness1,Brightness_band1,Brightness_type1,Brightness2,Brightness_band2,Brightness_type2,Sep,Sep(kpc),delta_z,dV,Paper(s),BibCode(s),DOI(s)
0,Binary Quasar,SDSSJ0048-1051A,SDSSJ0048-1051B,{chi}^2^,Optical Spectroscopy,1.555,spec,1.56,spec,0:48:0.77,-10:51:48.6,12.003208333333331,-10.8635,0:48:0.96,-10:51:46.2,12.004,-10.862833333333333,J2000,Optical,SDSS,20.52,SDSS g PSF ext-corr,asinh,20.05,SDSS g PSF ext-corr,asinh,3.6,30.493065570179276,-0.0050000000000001155,-584.5546711513671,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
1,Binary Quasar,SDSSJ0054-0946A,SDSSJ0054-0946B,{chi}^2^,Optical Spectroscopy,2.127,spec,2.11,spec,0:54:8.47,-9:46:38.3,13.535291666666666,-9.777305555555557,0:54:8.04,-9:46:25.7,13.533499999999998,-9.773805555555557,J2000,Optical,SDSS,17.9,SDSS g PSF ext-corr,asinh,20.7,SDSS g PSF ext-corr,asinh,14.1,117.13046216084473,0.016999999999999904,1629.9381873601515,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
2,Binary Quasar,SDSSJ0117+3153A,SDSSJ0117+3153B,,Optical Spectroscopy,2.626,spec,2.64,spec,1:17:8.39,+31:53:38.7,19.28495833333333,31.894083333333334,1:17:7.52,+31:53:41.2,19.28133333333333,31.894777777777776,J2000,Optical,SDSS,20.42,SDSS g PSF ext-corr,asinh,19.77,SDSS g PSF ext-corr,asinh,11.3,90.20492591288534,-0.014000000000000234,-1152.2115220410003,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
3,Binary Quasar,SDSSJ0201+0032A,SDSSJ0201+0032B,{chi}^2^,Optical Spectroscopy,2.299,spec,2.293,spec,2:1:43.49,+0:32:22.7,30.431208333333327,0.5396388888888889,2:1:42.25,+0:32:18.5,30.42604166666666,0.5384722222222222,J2000,Optical,SDSS,19.42,SDSS g PSF ext-corr,asinh,20.33,SDSS g PSF ext-corr,asinh,19.0,155.91106886798028,0.005999999999999783,544.2956655812224,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
4,Binary Quasar,SDSSJ0248+0009A,SDSSJ0248+0009B,{chi}^2^,Optical Spectroscopy,1.641,spec,1.64,spec,2:48:20.8,+0:9:56.7,42.08666666666666,0.16575,2:48:21.26,+0:9:57.3,42.088583333333325,0.16591666666666666,J2000,Optical,SDSS,19.26,SDSS g PSF ext-corr,asinh,20.73,SDSS g PSF ext-corr,asinh,6.9,58.452965172752734,0.001000000000000112,113.23612546071516,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
5,Binary Quasar,SDSSJ0332-0722A,SDSSJ0332-0722B,photo,Optical Spectroscopy,2.102,spec,2.112,spec,3:32:38.38,-7:22:15.9,53.15991666666666,-7.371083333333333,3:32:37.19,-7:22:19.6,53.154958333333326,-7.372111111111111,J2000,Optical,SDSS,20.35,SDSS g PSF ext-corr,asinh,20.63,SDSS g PSF ext-corr,asinh,18.1,150.60140484411335,-0.010000000000000231,-962.3406040146976,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
6,Binary Quasar,SDSSJ0846+2749A,SDSSJ0846+2749B,{chi}^2^,Optical Spectroscopy,2.119,spec,2.114,spec,8:46:31.77,+27:49:21.9,131.632375,27.82275,8:46:30.38,+27:49:18.1,131.62658333333334,27.821694444444443,J2000,Optical,SDSS,19.69,SDSS g PSF ext-corr,asinh,19.87,SDSS g PSF ext-corr,asinh,18.8,156.2553088667159,0.0050000000000003375,479.70448836016936,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
7,Binary Quasar,SDSSJ0939+5953A,SDSSJ0939+5953B,{chi}^2^,Optical Spectroscopy,2.527,spec,2.53,spec,9:39:48.78,+59:53:48.7,144.95325,59.89686111111111,9:39:46.56,+59:53:20.7,144.944,59.88908333333333,J2000,Optical,SDSS,19.86,SDSS g PSF ext-corr,asinh,18.68,SDSS g PSF ext-corr,asinh,32.6,262.5387570118203,-0.0029999999999996696,-254.2156264405671,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
8,Binary Quasar,SDSSJ0955+6045A,SDSSJ0955+6045B,{chi}^2^,Optical Spectroscopy,0.716,spec,0.719,spec,9:55:24.37,+60:45:51.0,148.85154166666663,60.76416666666667,9:55:25.37,+60:45:33.8,148.85570833333333,60.759388888888886,J2000,Optical,SDSS,20.37,SDSS g PSF ext-corr,asinh,20.65,SDSS g PSF ext-corr,asinh,18.6,134.10484215574,-0.0030000000000000027,-522.2703439901161,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
9,Binary Quasar,SDSSJ0959+5449A,SDSSJ0959+5449B,photo,Optical Spectroscopy,1.954,spec,1.956,spec,9:59:7.46,+54:49:6.7,149.78108333333333,54.81852777777778,9:59:7.05,+54:49:8.4,149.77937499999996,54.819,J2000,Optical,SDSS,20.07,SDSS g PSF ext-corr,asinh,20.61,SDSS g PSF ext-corr,asinh,3.9,32.725231658112044,-0.0020000000000000018,-202.36884315278317,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
