System Type,Equinox,Brightness1,Brightness_band1,Brightness_type1,Paper(s),BibCode(s),DOI(s),Notes,Name1,Name2,Selection Method,Confirmation Method,z1,z1_type,z2,z2_type,RA1,Dec1,RA2,Dec2,RA1_deg,Dec1_deg,RA2_deg,Dec2_deg,Brightness2,Brightness_band2,Brightness_type2,dV,Coordinate_waveband1,Coordinate_Source1,Equinox1,Sep
Recoil Candidate,J2000,17.0,B (Simbad),mag (Check Simbad),Spinrad+1985 ; Merritt+2002 ; Cheung+2007, ; 2002Sci...297.1310M ; 2007AJ....133.2097C, ; https://doi.org/10.1126/science.1074688 ; https://doi.org/10.1086/513095, ,3C 136.1,3C 136.1,X-Shaped Radio Source,-99,0.064,-99,-99,-99,05:16:03.133,+24:58:25.47,05:16:03.133,+24:58:25.47,79.01305416666665,24.973741666666665,79.01305416666665,24.973741666666665,17.0,B (Simbad),mag (Check Simbad),-99,Infrared,2MASS,-99,0.0
Recoil Candidate,J2000,15.46,B (Simbad),mag (Check Simbad),Sandage+1966 ; Cheung+2007,nan ; 2007AJ....133.2097C,nan ; https://doi.org/10.1086/513095, ,3C 192,3C 192,X-Shaped Radio Source,-99,0.05968,-99,-99,-99,08:05:35.0057673498,+24:09:50.334614040,08:05:35.0057673498,+24:09:50.334614040,121.39585736395749,24.163981837233333,121.39585736395749,24.163981837233333,15.46,B (Simbad),mag (Check Simbad),-99,Optical,Gaia,-99,0.0
Recoil Candidate,J2000,16.4,V (Simbad),mag (Check Simbad),Sandage+1966 ; Dennett-Thorpe+2002 ; Merritt+2002 ; Cheung+2007, ; 2002MNRAS.330..609D ; 2002Sci...297.1310M ; 2007AJ....133.2097C, ; https://doi.org/10.1046/j.1365-8711.2002.05106.x ; https://doi.org/10.1126/science.1074688 ; https://doi.org/10.1086/513095, ,3C 223.1,3C 223.1,X-Shaped Radio Source,-99,0.1075,-99,-99,-99,09:41:24.0272828657,+39:44:41.806341013,09:41:24.0272828657,+39:44:41.806341013,145.35011367860707,39.744946205836946,145.35011367860707,39.744946205836946,16.4,V (Simbad),mag (Check Simbad),-99,Optical,Gaia,-99,0.0
Recoil Candidate,J2000,16.3,B (Simbad),mag (Check Simbad),Schmidt+1965 ; Merritt+2002 ; Cheung+2007, ; 2002Sci...297.1310M ; 2007AJ....133.2097C, ; https://doi.org/10.1126/science.1074688 ; https://doi.org/10.1086/513095, ,3C 315,3C 315,X-Shaped Radio Source,-99,0.1083,-99,-99,-99,15:13:40.0227468596,+26:07:23.710955469,15:13:40.0227468596,+26:07:23.710955469,228.4167614452483,26.123253043185834,228.4167614452483,26.123253043185834,16.3,B (Simbad),mag (Check Simbad),-99,Optical,Gaia,-99,0.0
Recoil Candidate,J2000,18.0,V (Simbad),mag (Check Simbad),Smith+1976 ; Cheung+2007,nan ; 2007AJ....133.2097C,nan ; https://doi.org/10.1086/513095, ,3C 379.1,3C 379.1,X-Shaped Radio Source,-99,0.256,-99,-99,-99,18:24:33.061,+74:20:58.57,18:24:33.061,+74:20:58.57,276.13775416666664,74.34960277777778,276.13775416666664,74.34960277777778,18.0,V (Simbad),mag (Check Simbad),-99,Infrared,2MASS,-99,0.0
Recoil Candidate,J2000,16.5,V (Simbad),mag (Check Simbad),Sandage+1972 ; Dennett-Thorpe+2002 ; Merritt+2002 ; Cheung+2007, ; 2002MNRAS.330..609D ; 2002Sci...297.1310M ; 2007AJ....133.2097C, ; https://doi.org/10.1046/j.1365-8711.2002.05106.x ; https://doi.org/10.1126/science.1074688 ; https://doi.org/10.1086/513095, ,3C 403,3C 403,X-Shaped Radio Source,-99,0.059,-99,-99,-99,19:52:15.7997953344,+02:30:24.235518851,19:52:15.7997953344,+02:30:24.235518851,298.06583248055995,2.506732088569722,298.06583248055995,2.506732088569722,16.5,V (Simbad),mag (Check Simbad),-99,Optical,Gaia,-99,0.0
Recoil Candidate,J2000,16.35,V (Simbad),mag (Check Simbad),Schmidt+1965 ; Merritt+2002 ; Cheung+2007, 2002Sci...297.1310M ; 2007AJ....133.2097C, ; https://doi.org/10.1126/science.1074688 ; https://doi.org/10.1086/513095, ,3C 433,3C 433,X-Shaped Radio Source,-99,0.101757,-99,-99,-99,21:23:44.582,+25:04:27.23,21:23:44.582,+25:04:27.23,320.9357583333333,25.074230555555555,320.9357583333333,25.074230555555555,16.35,V (Simbad),mag (Check Simbad),-99,Infrared,-99,-99,0.0
Recoil Candidate,J2000,18.5,B (Simbad),mag (Check Simbad),Spinrad+1985 ; Merritt+2002 ; Cheung+2007, ; 2002Sci...297.1310M ; 2007AJ....133.2097C, ; https://doi.org/10.1126/science.1074688 ; https://doi.org/10.1086/513095, ,3C 52,3C 52,X-Shaped Radio Source,-99,0.29,-99,-99,-99,01:48:28.884,+53:32:28.19,01:48:28.884,+53:32:28.19,27.120349999999995,53.54116388888889,27.120349999999995,53.54116388888889,18.5,B (Simbad),mag (Check Simbad),-99,Infrared,2MASS,-99,0.0
Recoil Candidate,J2000,18.5,B (Simbad),mag (Check Simbad),Smith+1980 ; Cheung+2009 ; Cheung+2007,nan ; 2007AJ....133.2097C,nan ; https://doi.org/10.1086/513095, ,3C 63,3C 63,X-Shaped Radio Source,-99,0.175,-99,-99,-99,02:20:54.3,-01:56:51,02:20:54.3,-01:56:51,35.22624999999999,-1.9475,35.22624999999999,-1.9475,18.5,B (Simbad),mag (Check Simbad),-99,Optical,-99,-99,0.0
Recoil Candidate,J2000,17.75,V (Simbad),mag (Check Simbad),Wang+2003 ; Liu+2004 ; Cheung+2007 ; Proctor+2011, ; 2004MNRAS.347.1357L ; 2007AJ....133.2097C ; 2011ApJS..194...31P, ; https://doi.org/10.1111/j.1365-2966.2004.07325.x ; https://doi.org/10.1086/513095 ; https://doi.org/10.1088/0067-0049/194/2/31, ,4C 01.30,4C 01.30,X-Shaped Radio Source,-99,0.13258,-99,-99,-99,11:30:21.4202517083,+00:58:23.044644843,11:30:21.4202517083,+00:58:23.044644843,172.58925104878458,0.9730679569008334,172.58925104878458,0.9730679569008334,17.75,V (Simbad),mag (Check Simbad),-99,Optical,Gaia,-99,0.0
Recoil Candidate,J2000,-99.0,nan (Simbad),mag (Check Simbad),nan ; Cheung+2007,nan ; 2007AJ....133.2097C,nan ; https://doi.org/10.1086/513095, ,4C 04.40,4C 04.40,X-Shaped Radio Source,-99,0.531,-99,-99,-99,12:06:20.12496,+04:06:10.7892,12:06:20.12496,+04:06:10.7892,181.58385399999997,4.102996999999999,181.58385399999997,4.102996999999999,-99.0,nan (Simbad),mag (Check Simbad),-99,Optical,SDSS,-99,0.0
Recoil Candidate,J2000,17.8,B (Simbad),mag (Check Simbad),Perryman+1984 ; Merritt+2002 ; Cheung+2007, 2002Sci...297.1310M ; 2007AJ....133.2097C, ; https://doi.org/10.1126/science.1074688 ; https://doi.org/10.1086/513095, ,4C 12.03,4C 12.03,X-Shaped Radio Source,-99,0.156,-99,-99,-99,00:09:52.6115865762,+12:44:04.664804414,00:09:52.6115865762,+12:44:04.664804414,2.4692149440674993,12.734629112337222,2.4692149440674993,12.734629112337222,17.8,B (Simbad),mag (Check Simbad),-99,Optical,Gaia,-99,0.0
Recoil Candidate,J2000,16.0,B (Simbad),mag (Check Simbad),de Ruiter+1986 ; Merritt+2002 ; Cheung+2007, 2002Sci...297.1310M ; 2007AJ....133.2097C, ; https://doi.org/10.1126/science.1074688 ; https://doi.org/10.1086/513095, ,4C 32.25,4C 32.25,X-Shaped Radio Source,-99,0.0512,-99,-99,-99,08:31:27.521,+32:19:27.06,08:31:27.521,+32:19:27.06,127.86467083333334,32.32418333333334,127.86467083333334,32.32418333333334,16.0,B (Simbad),mag (Check Simbad),-99,Infrared,2MASS,-99,0.0
Recoil Candidate,J2000,16.0,B (Simbad),mag (Check Simbad),Miley+1979 ; Merritt+2002 ; Cheung+2007, 2002Sci...297.1310M ; 2007AJ....133.2097C, ; https://doi.org/10.1126/science.1074688 ; https://doi.org/10.1086/513095, ,4C 48.29,4C 48.29,X-Shaped Radio Source,-99,0.05315,-99,-99,-99,10:20:53.676,+48:31:24.31,10:20:53.676,+48:31:24.31,155.22365,48.52341944444444,155.22365,48.52341944444444,16.0,B (Simbad),mag (Check Simbad),-99,Optical,SDSS,-99,0.0
Recoil Candidate,J2000,-99.0,nan (Simbad),mag (Check Simbad),Owen+1997 ; Merritt+2002 ; Cheung+2007, 2002Sci...297.1310M ; 2007AJ....133.2097C, ; https://doi.org/10.1126/science.1074688 ; https://doi.org/10.1086/513095, ,Abell 1145,Abell 1145,X-Shaped Radio Source,-99,0.068,-99,-99,-99,11:01:32.0,+16:43:54,11:01:32.0,+16:43:54,165.38333333333333,16.731666666666666,165.38333333333333,16.731666666666666,-99.0,nan (Simbad),mag (Check Simbad),-99,-99,-99,-99,0.0
Recoil Candidate / Binary AGN Candidate,-99,17.4,r SDSS,asinh model mag,Cheung+2007 ; Roberts+2018 ; Saripalli+2018 ; Saripalli+2018,2007AJ....133.2097C ; 2018ApJ...852...47R ; 2018ApJ...852...48S ; 2018ApJ...852...48S,https://doi.org/10.1086/513095 ; https://doi.org/10.3847/1538-4357/aa9c49 ; https://doi.org/10.3847/1538-4357/aa9c4b ; https://doi.org/10.3847/1538-4357/aa9c4b,  Saripalli+ reject this object for reasons listed in their Table 3.,J0001-0033,J0001-0033,X-Shaped Radio Source,-99,0.2469,-99,-99,-99,0:1:40.18,-0:33:50.6,0:1:40.18,-0:33:50.6,0.4174166666666666,-0.5640555555555556,0.4174166666666666,-0.5640555555555556,17.4,17.4,asinh model mag,-99,Optical,SDSS,J2000,-99.0
Binary AGN Candidate / Recoil Candidate,,-100.0,-100,-100,Yang+2019 ; Joshi+2019,2019ApJS..245...17Y ; 2019ApJ...887..266J,https://doi.org/10.3847/1538-4365/ab4811 ; https://doi.org/ 10.3847/1538-4357/ab536f, ,J0004+1248,J0004+1248,X-Shaped Radio Source,-99,0.143,SPEC,-99,-99,0:4:50.27,+12:48:39.5,0:4:50.27,+12:48:39.5,1.209458333333333,12.810972222222222,1.209458333333333,12.810972222222222,-100.0,-100,-100,-99,Radio,VLA / FIRST,J2000,
Binary AGN Candidate / Recoil Candidate,,-100.0,-100,-100,Yang+2019,2019ApJS..245...17Y,https://doi.org/10.3847/1538-4365/ab4811, ,J0009+0457,J0009+0457,X-Shaped Radio Source,-99,0.545,PHOT,-99,-99,0:9:18.92,+4:57:53.2,0:9:18.92,+4:57:53.2,2.3288333333333333,4.964777777777778,2.3288333333333333,4.964777777777778,-100.0,-100,-100,-99,Radio,VLA / FIRST,J2000,
Binary AGN Candidate / Recoil Candidate,,-100.0,-100,-100,Yang+2019 ; Joshi+2019,2019ApJS..245...17Y ; 2019ApJ...887..266J,https://doi.org/10.3847/1538-4365/ab4811 ; https://doi.org/ 10.3847/1538-4357/ab536f, ,J0028-0026,J0028-0026,X-Shaped Radio Source,-99,0.287,PHOT,-99,-99,0:28:28.94,-0:26:24.6,0:28:28.94,-0:26:24.6,7.120583333333332,-0.4401666666666667,7.120583333333332,-0.4401666666666667,-100.0,-100,-100,-99,Radio,VLA / FIRST,J2000,
Binary AGN Candidate / Recoil Candidate,,-100.0,-100,-100,Yang+2019,2019ApJS..245...17Y,https://doi.org/10.3847/1538-4365/ab4811, ,J0028-0428,J0028-0428,X-Shaped Radio Source,-99,0.267,SPEC,-99,-99,0:28:15.26,-4:28:55.3,0:28:15.26,-4:28:55.3,7.063583333333333,-4.482027777777778,7.063583333333333,-4.482027777777778,-100.0,-100,-100,-99,Radio,VLA / FIRST,J2000,
Binary AGN Candidate / Recoil Candidate,-99,-100.0,-100,-100,Proctor+2011,2011ApJS..194...31P,https://doi.org/10.1088/0067-0049/194/2/31,-99,J002828.2-002634,-99,X-Shaped Radio Source,-99,-99.0,-99,-99,-99,0:28:28.288,-0:26:34.65,0:28:28.288,-0:26:34.65,7.117866666666666,-0.44295833333333334,7.117866666666666,-0.44295833333333334,-100.0,-100,-100,-99,Radio,FIRST,J2000,-99.0
Binary AGN Candidate / Recoil Candidate,,-100.0,-100,-100,Yang+2019 ; Joshi+2019,2019ApJS..245...17Y ; 2019ApJ...887..266J,https://doi.org/10.3847/1538-4365/ab4811 ; https://doi.org/ 10.3847/1538-4357/ab536f, ,J0030+1121,J0030+1121,X-Shaped Radio Source,-99,0.449,SPEC,-99,-99,0:30:23.86,+11:21:12.5,0:30:23.86,+11:21:12.5,7.599416666666666,11.353472222222221,7.599416666666666,11.353472222222221,-100.0,-100,-100,-99,Radio,VLA / FIRST,J2000,
Binary AGN Candidate / Recoil Candidate,,-100.0,-100,-100,Yang+2019,2019ApJS..245...17Y,https://doi.org/10.3847/1538-4365/ab4811, ,J0031-0421,J0031-0421,X-Shaped Radio Source,-99,0.485,SPEC,-99,-99,0:31:41.91,-4:21:56.0,0:31:41.91,-4:21:56.0,7.924625,-4.365555555555555,7.924625,-4.365555555555555,-100.0,-100,-100,-99,Radio,VLA / FIRST,J2000,
Recoil Candidate / Binary AGN Candidate,-99,87.0,1.4 GHz NVSS,Flux: mJy,Cheung+2007 ; Roberts+2018,2007AJ....133.2097C ; 2018ApJ...852...47R,https://doi.org/10.1086/513095 ; https://doi.org/10.3847/1538-4357/aa9c49, ,J0033-0149,J0033-0149,X-Shaped Radio Source,-99,0.1301,-99,-99,-99,0:33:2.41,-1:49:56.6,0:33:2.41,-1:49:56.6,8.260041666666666,-1.8323888888888888,8.260041666666666,-1.8323888888888888,87.0,87.0,Flux: mJy,-99,Optical,USNO,J2000,-99.0
Recoil Candidate / Binary AGN Candidate,-99,20.4,r SDSS,asinh model mag,Cheung+2007 ; Roberts+2018 ; Saripalli+2018 ; Saripalli+2018,2007AJ....133.2097C ; 2018ApJ...852...47R ; 2018ApJ...852...48S ; 2018ApJ...852...48S,https://doi.org/10.1086/513095 ; https://doi.org/10.3847/1538-4357/aa9c49 ; https://doi.org/10.3847/1538-4357/aa9c4b ; https://doi.org/10.3847/1538-4357/aa9c4b,  Saripalli+ reject this object for reasons listed in their Table 3.,J0036+0048,J0036+0048,X-Shaped Radio Source,-99,0.591,-99,-99,-99,0:36:36.21,+0:48:53.4,0:36:36.21,+0:48:53.4,9.150874999999997,0.8148333333333334,9.150874999999997,0.8148333333333334,20.4,20.4,asinh model mag,-99,Optical,SDSS,J2000,-99.0
Recoil Candidate / Binary AGN Candidate,-99,509.0,1.4 GHz NVSS,Flux: mJy,Cheung+2007 ; Roberts+2018 ; Saripalli+2018 ; Saripalli+2018,2007AJ....133.2097C ; 2018ApJ...852...47R ; 2018ApJ...852...48S ; 2018ApJ...852...48S,https://doi.org/10.1086/513095 ; https://doi.org/10.3847/1538-4357/aa9c49 ; https://doi.org/10.3847/1538-4357/aa9c4b ; https://doi.org/10.3847/1538-4357/aa9c4b,  Saripalli+ reject this object for reasons listed in their Table 3.,J0045+0021,J0045+0021,X-Shaped Radio Source,-99,0.433,-99,-99,-99,0:45:42.11,+0:21:5.5,0:45:42.11,+0:21:5.5,11.425458333333331,0.3515277777777778,11.425458333333331,0.3515277777777778,509.0,509.0,Flux: mJy,-99,Optical,D89,J2000,-99.0
Recoil Candidate / Binary AGN Candidate,-99,18.1,r SDSS,asinh model mag,Cheung+2007 ; Roberts+2018,2007AJ....133.2097C ; 2018ApJ...852...47R,https://doi.org/10.1086/513095 ; https://doi.org/10.3847/1538-4357/aa9c49, ,J0049+0059,J0049+0059,X-Shaped Radio Source,-99,0.3044,-99,-99,-99,0:49:39.45,+0:59:53.8,0:49:39.45,+0:59:53.8,12.414374999999998,0.9982777777777777,12.414374999999998,0.9982777777777777,18.1,18.1,asinh model mag,-99,Optical,SDSS,J2000,-99.0
Binary AGN Candidate / Recoil Candidate,,-100.0,-100,-100,Yang+2019,2019ApJS..245...17Y,https://doi.org/10.3847/1538-4365/ab4811, ,J0049-0507,J0049-0507,X-Shaped Radio Source,-99,,,-99,-99,0:49:55.56,-5:7:4.3,0:49:55.56,-5:7:4.3,12.481499999999997,-5.117861111111111,12.481499999999997,-5.117861111111111,-100.0,-100,-100,-99,Radio,VLA / FIRST,J2000,
Binary AGN Candidate / Recoil Candidate,-99,-100.0,-100,-100,Proctor+2011,2011ApJS..194...31P,https://doi.org/10.1088/0067-0049/194/2/31,-99,J004938.8+005947,-99,X-Shaped Radio Source,-99,-99.0,-99,-99,-99,0:49:38.814,+0:59:47.2,0:49:38.814,+0:59:47.2,12.411724999999999,0.9964444444444444,12.411724999999999,0.9964444444444444,-100.0,-100,-100,-99,Radio,FIRST,J2000,-99.0
Binary AGN Candidate / Recoil Candidate,,-100.0,-100,-100,Yang+2019,2019ApJS..245...17Y,https://doi.org/10.3847/1538-4365/ab4811, ,J0051+0728,J0051+0728,X-Shaped Radio Source,-99,0.512,PHOT,-99,-99,0:51:27.9,+7:28:56.5,0:51:27.9,+7:28:56.5,12.866249999999999,7.4823611111111115,12.866249999999999,7.4823611111111115,-100.0,-100,-100,-99,Radio,VLA / FIRST,J2000,
Binary AGN Candidate / Recoil Candidate,,-100.0,-100,-100,Yang+2019,2019ApJS..245...17Y,https://doi.org/10.3847/1538-4365/ab4811, ,J0055-0829,J0055-0829,X-Shaped Radio Source,-99,0.705,SPEC,-99,-99,0:55:51.49,-8:29:53.8,0:55:51.49,-8:29:53.8,13.964541666666664,-8.498277777777776,13.964541666666664,-8.498277777777776,-100.0,-100,-100,-99,Radio,VLA / FIRST,J2000,
Recoil Candidate / Binary AGN Candidate,-99,18.1,r SDSS,asinh model mag,Cheung+2007 ; Roberts+2018 ; Saripalli+2018 ; Saripalli+2018 ; Lal+2019,2007AJ....133.2097C ; 2018ApJ...852...47R ; 2018ApJ...852...48S ; 2018ApJ...852...48S ; 2019AJ....157..195L,https://doi.org/10.1086/513095 ; https://doi.org/10.3847/1538-4357/aa9c49 ; https://doi.org/10.3847/1538-4357/aa9c4b ; https://doi.org/10.3847/1538-4357/aa9c4b ; https://doi.org/10.3847/1538-3881/ab1419,  Saripalli+ reject this object for reasons listed in their Table 3. Lal+2019 obtained additional radio imaging.,J0113+0106,J0113+0106,X-Shaped Radio Source,-99,0.281,-99,-99,-99,1:13:41.11,+1:6:8.5,1:13:41.11,+1:6:8.5,18.421291666666665,1.1023611111111111,18.421291666666665,1.1023611111111111,18.1,18.1,asinh model mag,-99,Optical,SDSS,J2000,-99.0
Recoil Candidate / Binary AGN Candidate,-99,20.5,r SDSS,asinh model mag,Cheung+2007 ; Proctor+2011 ; Roberts+2018 ; Saripalli+2018 ; Saripalli+2018 ; Lal+2019,2007AJ....133.2097C ; 2011ApJS..194...31P ; 2018ApJ...852...47R ; 2018ApJ...852...48S ; 2018ApJ...852...48S ; 2019AJ....157..195L,https://doi.org/10.1086/513095 ; https://doi.org/10.1088/0067-0049/194/2/31 ; https://doi.org/10.3847/1538-4357/aa9c49 ; https://doi.org/10.3847/1538-4357/aa9c4b ; https://doi.org/10.3847/1538-4357/aa9c4b ; https://doi.org/10.3847/1538-3881/ab1419,  Saripalli+ reject this object for reasons listed in their Table 3. Lal+2019 obtained additional radio imaging.,J0115-0000,J0115-0000,X-Shaped Radio Source,-99,0.381,-99,-99,-99,1:15:27.37,-0:0:1.5,1:15:27.37,-0:0:1.5,18.864041666666665,-0.0004166666666666667,18.864041666666665,-0.0004166666666666667,20.5,20.5,asinh model mag,-99,Optical,SDSS,J2000,-99.0
Binary AGN Candidate / Recoil Candidate,,-100.0,-100,-100,Yang+2019 ; Joshi+2019,2019ApJS..245...17Y ; 2019ApJ...887..266J,https://doi.org/10.3847/1538-4365/ab4811 ; https://doi.org/ 10.3847/1538-4357/ab536f, ,J0121+0051,J0121+0051,X-Shaped Radio Source,-99,0.238,SPEC,-99,-99,1:21:1.23,+0:51:0.3,1:21:1.23,+0:51:0.3,20.255125,0.8500833333333333,20.255125,0.8500833333333333,-100.0,-100,-100,-99,Radio,VLA / FIRST,J2000,
Binary AGN Candidate / Recoil Candidate,,-100.0,-100,-100,Yang+2019,2019ApJS..245...17Y,https://doi.org/10.3847/1538-4365/ab4811, ,J0125+0617,J0125+0617,X-Shaped Radio Source,-99,0.274,PHOT,-99,-99,1:25:25.82,+6:17:31.5,1:25:25.82,+6:17:31.5,21.35758333333333,6.292083333333333,21.35758333333333,6.292083333333333,-100.0,-100,-100,-99,Radio,VLA / FIRST,J2000,
Binary AGN Candidate / Recoil Candidate,,-100.0,-100,-100,Yang+2019,2019ApJS..245...17Y,https://doi.org/10.3847/1538-4365/ab4811, ,J0131+0314,J0131+0314,X-Shaped Radio Source,-99,0.468,PHOT,-99,-99,1:31:5.68,+3:14:52.6,1:31:5.68,+3:14:52.6,22.77366666666666,3.2479444444444443,22.77366666666666,3.2479444444444443,-100.0,-100,-100,-99,Radio,VLA / FIRST,J2000,
Binary AGN Candidate / Recoil Candidate,,-100.0,-100,-100,Yang+2019,2019ApJS..245...17Y,https://doi.org/10.3847/1538-4365/ab4811, ,J0138-0654,J0138-0654,X-Shaped Radio Source,-99,,,-99,-99,1:38:19.05,-6:54:58.0,1:38:19.05,-6:54:58.0,24.579374999999995,-6.916111111111111,24.579374999999995,-6.916111111111111,-100.0,-100,-100,-99,Radio,VLA / FIRST,J2000,
Recoil Candidate / Binary AGN Candidate,-99,823.0,1.4 GHz NVSS,Flux: mJy,Cheung+2007 ; Roberts+2018,2007AJ....133.2097C ; 2018ApJ...852...47R,https://doi.org/10.1086/513095 ; https://doi.org/10.3847/1538-4357/aa9c49, ,J0143-0119,J0143-0119,X-Shaped Radio Source,-99,0.52,-99,-99,-99,1:43:16.75,-1:19:0.8,1:43:16.75,-1:19:0.8,25.819791666666667,-1.3168888888888888,25.819791666666667,-1.3168888888888888,823.0,823.0,Flux: mJy,-99,Optical,USNO,J2000,-99.0
Recoil Candidate / Binary AGN Candidate,-99,18.6,r SDSS,asinh model mag,Cheung+2007 ; Roberts+2018 ; Saripalli+2018 ; Saripalli+2018,2007AJ....133.2097C ; 2018ApJ...852...47R ; 2018ApJ...852...48S ; 2018ApJ...852...48S,https://doi.org/10.1086/513095 ; https://doi.org/10.3847/1538-4357/aa9c49 ; https://doi.org/10.3847/1538-4357/aa9c4b ; https://doi.org/10.3847/1538-4357/aa9c4b,  Saripalli+ reject this object for reasons listed in their Table 3.,J0144-0830,J0144-0830,X-Shaped Radio Source,-99,0.181,-99,-99,-99,1:44:9.98,-8:30:2.8,1:44:9.98,-8:30:2.8,26.04158333333333,-8.500777777777778,26.04158333333333,-8.500777777777778,18.6,18.6,asinh model mag,-99,Optical,SDSS,J2000,-99.0
Recoil Candidate / Binary AGN Candidate,-99,272.0,1.4 GHz NVSS,Flux: mJy,Cheung+2007 ; Roberts+2018 ; Saripalli+2018 ; Saripalli+2018,2007AJ....133.2097C ; 2018ApJ...852...47R ; 2018ApJ...852...48S ; 2018ApJ...852...48S,https://doi.org/10.1086/513095 ; https://doi.org/10.3847/1538-4357/aa9c49 ; https://doi.org/10.3847/1538-4357/aa9c4b ; https://doi.org/10.3847/1538-4357/aa9c4b,  Saripalli+ reject this object for reasons listed in their Table 3.,J0145-0159,J0145-0159,X-Shaped Radio Source,-99,0.1264,-99,-99,-99,1:45:19.99,-1:59:47.9,1:45:19.99,-1:59:47.9,26.333291666666664,-1.9966388888888889,26.333291666666664,-1.9966388888888889,272.0,272.0,Flux: mJy,-99,Optical,USNO,J2000,-99.0
Recoil Candidate / Binary AGN Candidate,-99,20.2,r SDSS,asinh model mag,Cheung+2007 ; Roberts+2018 ; Saripalli+2018 ; Saripalli+2018,2007AJ....133.2097C ; 2018ApJ...852...47R ; 2018ApJ...852...48S ; 2018ApJ...852...48S,https://doi.org/10.1086/513095 ; https://doi.org/10.3847/1538-4357/aa9c49 ; https://doi.org/10.3847/1538-4357/aa9c4b ; https://doi.org/10.3847/1538-4357/aa9c4b,  Saripalli+ reject this object for reasons listed in their Table 3.,J0147-0851,J0147-0851,X-Shaped Radio Source,-99,0.455,-99,-99,-99,1:47:19.28,-8:51:19.6,1:47:19.28,-8:51:19.6,26.83033333333333,-8.855444444444444,26.83033333333333,-8.855444444444444,20.2,20.2,asinh model mag,-99,Optical,SDSS,J2000,-99.0
Binary AGN Candidate / Recoil Candidate,-99,-100.0,-100,-100,Proctor+2011,2011ApJS..194...31P,https://doi.org/10.1088/0067-0049/194/2/31,-99,J015043.7-081850,-99,X-Shaped Radio Source,-99,-99.0,-99,-99,-99,1:50:43.762,-8:18:50.06,1:50:43.762,-8:18:50.06,27.682341666666666,-8.313905555555555,27.682341666666666,-8.313905555555555,-100.0,-100,-100,-99,Radio,FIRST,J2000,-99.0
Binary AGN Candidate / Recoil Candidate,-99,-100.0,-100,-100,Proctor+2011,2011ApJS..194...31P,https://doi.org/10.1088/0067-0049/194/2/31,-99,J015757.1-020625,-99,X-Shaped Radio Source,-99,-99.0,-99,-99,-99,1:57:57.184,-2:6:25.2,1:57:57.184,-2:6:25.2,29.48826666666666,-2.107,29.48826666666666,-2.107,-100.0,-100,-100,-99,Radio,FIRST,J2000,-99.0
Binary AGN Candidate / Recoil Candidate,,-100.0,-100,-100,Yang+2019,2019ApJS..245...17Y,https://doi.org/10.3847/1538-4365/ab4811, ,J0158+1150,J0158+1150,X-Shaped Radio Source,-99,0.535,SPEC,-99,-99,1:58:46.34,+11:50:54.6,1:58:46.34,+11:50:54.6,29.69308333333333,11.848500000000001,29.69308333333333,11.848500000000001,-100.0,-100,-100,-99,Radio,VLA / FIRST,J2000,
Recoil Candidate / Binary AGN Candidate,-99,18.5,r SDSS,asinh model mag,Cheung+2007 ; Roberts+2018 ; Saripalli+2018 ; Saripalli+2018,2007AJ....133.2097C ; 2018ApJ...852...47R ; 2018ApJ...852...48S ; 2018ApJ...852...48S,https://doi.org/10.1086/513095 ; https://doi.org/10.3847/1538-4357/aa9c49 ; https://doi.org/10.3847/1538-4357/aa9c4b ; https://doi.org/10.3847/1538-4357/aa9c4b,  Saripalli+ reject this object for reasons listed in their Table 3.,J0211-0920,J0211-0920,X-Shaped Radio Source,-99,0.236,-99,-99,-99,2:11:46.96,-9:20:36.6,2:11:46.96,-9:20:36.6,32.94566666666666,-9.3435,32.94566666666666,-9.3435,18.5,18.5,asinh model mag,-99,Optical,SDSS,J2000,-99.0
Binary AGN Candidate / Recoil Candidate,-99,-100.0,-100,-100,Proctor+2011,2011ApJS..194...31P,https://doi.org/10.1088/0067-0049/194/2/31,-99,J021216.6-045038,-99,X-Shaped Radio Source,-99,-99.0,-99,-99,-99,2:12:16.648,-4:50:38.12,2:12:16.648,-4:50:38.12,33.06936666666667,-4.843922222222222,33.06936666666667,-4.843922222222222,-100.0,-100,-100,-99,Radio,FIRST,J2000,-99.0
Binary AGN Candidate / Recoil Candidate,,-100.0,-100,-100,Yang+2019,2019ApJS..245...17Y,https://doi.org/10.3847/1538-4365/ab4811, ,J0213+0518,J0213+0518,X-Shaped Radio Source,-99,0.34,PHOT,-99,-99,2:13:36.3,+5:18:18.9,2:13:36.3,+5:18:18.9,33.40125,5.30525,33.40125,5.30525,-100.0,-100,-100,-99,Radio,VLA / FIRST,J2000,
Binary AGN Candidate / Recoil Candidate,,-100.0,-100,-100,Yang+2019,2019ApJS..245...17Y,https://doi.org/10.3847/1538-4365/ab4811, ,J0214+0042,J0214+0042,X-Shaped Radio Source,-99,0.29,SPEC,-99,-99,2:14:37.24,+0:42:35.3,2:14:37.24,+0:42:35.3,33.65516666666666,0.7098055555555555,33.65516666666666,0.7098055555555555,-100.0,-100,-100,-99,Radio,VLA / FIRST,J2000,
