System Type,Equinox,Brightness1,Brightness_band1,Brightness_type1,Paper(s),BibCode(s),DOI(s),Notes,Name1,Name2,Selection Method,Confirmation Method,z1,z1_type,z2,z2_type,RA1,Dec1,RA2,Dec2,RA1_deg,Dec1_deg,RA2_deg,Dec2_deg,Brightness2,Brightness_band2,Brightness_type2,dV,Coordinate_waveband1,Coordinate_Source1,Equinox1,Sep
Binary AGN Candidate / Recoil Candidate,,-100.0,-100,-100,Yang+2019 ; Joshi+2019,2019ApJS..245...17Y ; 2019ApJ...887..266J,https://doi.org/10.3847/1538-4365/ab4811 ; https://doi.org/ 10.3847/1538-4357/ab536f, ,J0924+4034,J0924+4034,X-Shaped Radio Source,-99,0.16,SPEC,-99,-99,9:24:1.16,+40:34:57.2,9:24:1.16,+40:34:57.2,141.00483333333332,40.58255555555556,141.00483333333332,40.58255555555556,-100.0,-100,-100,-99,Radio,VLA / FIRST,J2000,
Recoil Candidate / Binary AGN Candidate,-99,17.8,r SDSS,asinh model mag,Cheung+2007 ; Roberts+2018 ; Saripalli+2018 ; Saripalli+2018 ; Lal+2019,2007AJ....133.2097C ; 2018ApJ...852...47R ; 2018ApJ...852...48S ; 2018ApJ...852...48S ; 2019AJ....157..195L,https://doi.org/10.1086/513095 ; https://doi.org/10.3847/1538-4357/aa9c49 ; https://doi.org/10.3847/1538-4357/aa9c4b ; https://doi.org/10.3847/1538-4357/aa9c4b ; https://doi.org/10.3847/1538-3881/ab1419,  Saripalli+ reject this object for reasons listed in their Table 3. Lal+2019 obtained additional radio imaging.,J0924+4233,J0924+4233,X-Shaped Radio Source,-99,0.2274,-99,-99,-99,9:24:46.98,+42:33:47.1,9:24:46.98,+42:33:47.1,141.19574999999998,42.56308333333333,141.19574999999998,42.56308333333333,17.8,17.8,asinh model mag,-99,Optical,SDSS,J2000,-99.0
Binary AGN Candidate / Recoil Candidate,,-100.0,-100,-100,Yang+2019,2019ApJS..245...17Y,https://doi.org/10.3847/1538-4365/ab4811, ,J0926+4652,J0926+4652,X-Shaped Radio Source,-99,0.808,PHOT,-99,-99,9:26:39.77,+46:52:52.3,9:26:39.77,+46:52:52.3,141.66570833333333,46.881194444444446,141.66570833333333,46.881194444444446,-100.0,-100,-100,-99,Radio,VLA / FIRST,J2000,
Binary AGN Candidate / Recoil Candidate,-99,-100.0,-100,-100,Proctor+2011,2011ApJS..194...31P,https://doi.org/10.1088/0067-0049/194/2/31,-99,J092639.0+292121,-99,X-Shaped Radio Source,-99,-99.0,-99,-99,-99,9:26:39.044,+29:21:21.84,9:26:39.044,+29:21:21.84,141.66268333333332,29.356066666666667,141.66268333333332,29.356066666666667,-100.0,-100,-100,-99,Radio,FIRST,J2000,-99.0
Binary AGN Candidate / Recoil Candidate,,-100.0,-100,-100,Yang+2019 ; Joshi+2019,2019ApJS..245...17Y ; 2019ApJ...887..266J,https://doi.org/10.3847/1538-4365/ab4811 ; https://doi.org/ 10.3847/1538-4357/ab536f, ,J0928-0607,J0928-0607,X-Shaped Radio Source,-99,,,-99,-99,9:28:2.68,-6:7:52.6,9:28:2.68,-6:7:52.6,142.01116666666667,-6.131277777777777,142.01116666666667,-6.131277777777777,-100.0,-100,-100,-99,Radio,VLA / FIRST,J2000,
Binary AGN Candidate / Recoil Candidate,,-100.0,-100,-100,Yang+2019,2019ApJS..245...17Y,https://doi.org/10.3847/1538-4365/ab4811, ,J0929+3121,J0929+3121,X-Shaped Radio Source,-99,0.572,PHOT,-99,-99,9:29:54.13,+31:21:28.3,9:29:54.13,+31:21:28.3,142.47554166666666,31.357861111111113,142.47554166666666,31.357861111111113,-100.0,-100,-100,-99,Radio,VLA / FIRST,J2000,
Binary AGN Candidate / Recoil Candidate,-99,-100.0,-100,-100,Proctor+2011 ; Yang+2019 ; Joshi+2019,2011ApJS..194...31P ; 2019ApJS..245...17Y ; 2019ApJ...887..266J,https://doi.org/10.1088/0067-0049/194/2/31 ; https://doi.org/10.3847/1538-4365/ab4811 ; https://doi.org/ 10.3847/1538-4357/ab536f,-99,J093014.7+234357,-99,X-Shaped Radio Source,-99,-99.0,-99,-99,-99,9:30:14.76,+23:43:57.91,9:30:14.76,+23:43:57.91,142.56149999999997,23.732752777777776,142.56149999999997,23.732752777777776,-100.0,-100,-100,-99,Radio,FIRST,J2000,-99.0
Binary AGN Candidate / Recoil Candidate,-99,-100.0,-100,-100,Proctor+2011,2011ApJS..194...31P,https://doi.org/10.1088/0067-0049/194/2/31,-99,J093206.8+095201,-99,X-Shaped Radio Source,-99,-99.0,-99,-99,-99,9:32:6.8,+9:52:1.71,9:32:6.8,+9:52:1.71,143.0283333333333,9.867141666666667,143.0283333333333,9.867141666666667,-100.0,-100,-100,-99,Radio,FIRST,J2000,-99.0
Binary AGN Candidate / Recoil Candidate,-99,-100.0,-100,-100,Proctor+2011 ; Yang+2019 ; Joshi+2019,2011ApJS..194...31P ; 2019ApJS..245...17Y ; 2019ApJ...887..266J,https://doi.org/10.1088/0067-0049/194/2/31 ; https://doi.org/10.3847/1538-4365/ab4811 ; https://doi.org/ 10.3847/1538-4357/ab536f,-99,J093238.3+161155,-99,X-Shaped Radio Source,-99,-99.0,-99,-99,-99,9:32:38.381,+16:11:55.61,9:32:38.381,+16:11:55.61,143.1599208333333,16.198780555555555,143.1599208333333,16.198780555555555,-100.0,-100,-100,-99,Radio,FIRST,J2000,-99.0
Binary AGN Candidate / Recoil Candidate,,-100.0,-100,-100,Yang+2019,2019ApJS..245...17Y,https://doi.org/10.3847/1538-4365/ab4811, ,J0937-0214,J0937-0214,X-Shaped Radio Source,-99,,,-99,-99,9:37:7.94,-2:14:26.4,9:37:7.94,-2:14:26.4,144.2830833333333,-2.240666666666667,144.2830833333333,-2.240666666666667,-100.0,-100,-100,-99,Radio,VLA / FIRST,J2000,
Binary AGN Candidate / Recoil Candidate,-99,-100.0,-100,-100,Proctor+2011,2011ApJS..194...31P,https://doi.org/10.1088/0067-0049/194/2/31,-99,J093723.8+245110,-99,X-Shaped Radio Source,-99,-99.0,-99,-99,-99,9:37:23.874,+24:51:10.0,9:37:23.874,+24:51:10.0,144.349475,24.852777777777778,144.349475,24.852777777777778,-100.0,-100,-100,-99,Radio,FIRST,J2000,-99.0
