Name1,z,Name2,z1,z2,z1_type,z2_type,RA1,Dec1,RA1_deg,Dec1_deg,RA2,Dec2,RA2_deg,Dec2_deg,Equinox1,Coordinate_waveband1,Coordinate_Source1,System Type,Brightness1,Brightness_band1,Brightness_type1,Brightness2,Brightness_band2,Brightness_type2,Sep,dV,Selection Method,Confirmation Method,Paper(s),BibCode(s),DOI(s),Notes,Coordinate_Source
J000249.07+004504.8,0.0868,J000249.07+004504.8,0.0868,-99.0,spec,-99,00:02:49.07,+00:45:04.8,0.7044583333333332,0.7513333333333333,00:02:49.07,+00:45:04.8,0.7044583333333332,0.7513333333333333,J2000,Optical,,Likely Single AGN,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.58,511.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Wang+2009 ; Liu+2010a ; Tingay+2011 ; Shen+2011 ; Ge+2012 ; Fu+2012 ; Comerford+2012 ; McGurk+2015 ; Muller-Sanchez+2015,2009ApJ...705L..76W ; 2010ApJ...708..427L ; 2011AJ....141..174T ; 2011ApJ...735...48S ; 2012ApJS..201...31G ; 2012ApJ...745...67F ; 2012ApJ...753...42C ; 2015ApJ...811...14M ; 2015ApJ...813..103M,https://doi.org/10.1088/0004-637X/705/1/L76 ; https://doi.org/10.1088/0004-637X/708/1/427 ; https://doi.org/10.1088/0004-6256/141/6/174 ; https://doi.org/10.1088/0004-637X/735/1/48 ; https://doi:10.1088/0067-0049/201/2/31 ; https://doi.org/10.1088/0004-637X/745/1/67 ; https://doi.org/10.1088/0004-637X/753/1/42 ; https://doi.org/10.1088/0004-637X/811/1/14 ; https://doi.org/10.1088/0004-637X/813/2/103, Tingay+ find no evidence of double radio cores in VLBA imaging.  Shen+2011 attribute the double-peaked lines to NLR kinematics. Only a single nucleus is resolved in near-IR imaging and the spatial offset observed between the two velocity components of the emission lines is larger than >0.6. If the double-peaks were due to two NLRs from dual AGNs there should be two nuclei visible in the imaging. No companion within 3 arcseconds. Comerford+ examined long slit spectra of this target. Two spatially distinct emission peaks observed. No companion within 3 arcseconds.Muller-Sanchez+2015 find that the origin of the double-peaked emission is still ambiguous.,SDSS
J000531.41+001455.9,,J000531.41+001455.9,0.9918,-99.0,spec,-99,00:05:31.41,+00:14:55.9,1.3808749999999996,0.24886111111111112,00:05:31.41,+00:14:55.9,1.3808749999999996,0.24886111111111112,J2000,Optical,,Dual AGN Candidate,-99,-99,-99,-99,-99,-99,3.0,-99.0,Double-Peaked Narrow UV Spectroscopic Emission Lines,-99,Barrows+2013,2013ApJ...769...95B,https://doi:10.1088/0004-637X/769/2/95, ,AGES
J000656+154847,0.12515,J000656+154847,0.12515,-99.0,spec,-99,00:06:56,+15:48:47,1.7333333333333332,15.813055555555556,00:06:56,+15:48:47,1.7333333333333332,15.813055555555556,J2000,Optical,SDSS,Dual AGN Candidate,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.37,359.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Wang+2009 ; Ge+2012 ; Fu+2012 ; Comerford+2012 ; McGurk+2015 ; Comerford+2018,2009ApJ...705L..76W ; 2012ApJS..201...31G ; 2012ApJ...745...67F ; 2012ApJ...753...42C ; 2015ApJ...811...14M ; 2018ApJ...867...66C,https://doi.org/10.1088/0004-637X/705/1/L76 ; https://doi:10.1088/0067-0049/201/2/31 ; https://doi.org/10.1088/0004-637X/745/1/67 ; https://doi.org/10.1088/0004-637X/753/1/42 ; https://doi.org/10.1088/0004-637X/811/1/14 ; https://doi.org/10.3847/1538-4357/aae2b4, No companion within 3 arcseconds. Comerford+ examined long slit spectra of this target. Two spatially distinct emission peaks observed. No companion within 3 arcseconds. Comerford+2018 studied the kinematics that give rise to the double-peaks.,
J000816.67+040006.6,0.574,J000816.67+040006.6,0.574,-99.0,spec,-99,00:08:16.67,+04:00:06.6,2.069458333333333,4.001833333333333,00:08:16.67,+04:00:06.6,2.069458333333333,4.001833333333333,J2000,Optical,,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,2.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Lyu+2016 ; Yuan+2016,2016MNRAS.463...24L ; 2016MNRAS.462.1603Y,https://doi.org/10.1093/mnras/stw1945 ; https://doi.org/10.1093/mnras/stw1747,,SDSS
J000911.58-003654.7,0.0733,J000911.58-003654.7,0.0733,-99.0,spec,-99,00:09:11.58,-00:36:54.7,2.29825,-0.6151944444444444,00:09:11.58,-00:36:54.7,2.29825,-0.6151944444444444,J2000,Optical,,Likely Single AGN,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.25,304.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Liu+2010a ; Shen+2011 ; Comerford+2012 ; Liu+2018 ; Muller-Sanchez+2015,2010ApJ...708..427L ; 2011ApJ...735...48S ; 2012ApJ...753...42C ; 2018ApJ...854..169L ; 2015ApJ...813..103M,https://doi.org/10.1088/0004-637X/708/1/427 ; https://doi.org/10.1088/0004-637X/735/1/48 ; https://doi.org/10.1088/0004-637X/753/1/42 ; https://doi.org/10.3847/1538-4357/aaab47 ; https://doi.org/10.1088/0004-637X/813/2/103,  Shen+2011 find only a single resolved nucleus in near-IR imaging but the velocity separation of the emission lines are spatially offset by <0.4 which is below the resolution limit of the near-IR imaging. These could be single AGNs or closer dual AGNs. Angular separation is derived from the separation observed between the velocity separated lines in the slit spectrum.  Comerford+ examined long slit spectra of this target. Two spatially distinct emission peaks observed.Detected in follow-up 8.4 GHz VLBA imaging but unambiguous sub-kpc dual AGNs are not identified.Muller-Sanchez+2015 find that the origin of the double-peaked lines is likely an jet-driven outflow. ,SDSS
J001630.41-003801.6,0.06346,J001630.41-003801.6,0.06346,-99.0,spec,-99,00:16:30.41,-00:38:01.6,4.126708333333332,-0.6337777777777778,00:16:30.41,-00:38:01.6,4.126708333333332,-0.6337777777777778,J2000,Optical,,Dual AGN Candidate,16.2,SDSS r-band,mag,16.2,SDSS r-band,mag,3.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,,SDSS
J002127.73+071740.8,0.2296,J002127.73+071740.8,0.2296,-99.0,spec,-99,00:21:27.73,+07:17:40.8,5.365541666666665,7.294666666666666,00:21:27.73,+07:17:40.8,5.365541666666665,7.294666666666666,J2000,Optical,,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,2.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Lyu+2016,2016MNRAS.463...24L,https://doi.org/10.1093/mnras/stw1945,,SDSS
J002202.11-100744.1,0.24761,J002202.11-100744.1,0.24761,-99.0,spec,-99,00:22:02.11,-10:07:44.1,5.508791666666665,-10.128916666666667,00:22:02.11,-10:07:44.1,5.508791666666665,-10.128916666666667,J2000,Optical,,Dual AGN Candidate,17.7,SDSS r-band,mag,17.7,SDSS r-band,mag,3.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,,SDSS
J002455.45+160815.0,0.08129,J002455.45+160815.0,0.08129,-99.0,spec,-99,00:24:55.45,+16:08:15.0,6.231041666666666,16.1375,00:24:55.45,+16:08:15.0,6.231041666666666,16.1375,J2000,Optical,,Dual AGN Candidate,16.78,SDSS r-band,mag,16.78,SDSS r-band,mag,3.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,,SDSS
J003159.87+063518.8,,J003159.87+063518.8,1.0921,-99.0,spec,-99,00:31:59.87,+06:35:18.8,7.999458333333334,6.588555555555555,00:31:59.87,+06:35:18.8,7.999458333333334,6.588555555555555,J2000,Optical,,Dual AGN Candidate,-99,-99,-99,-99,-99,-99,3.0,-99.0,Double-Peaked Narrow UV Spectroscopic Emission Lines,-99,Barrows+2013,2013ApJ...769...95B,https://doi:10.1088/0004-637X/769/2/95, ,AGES
J003441.57-000904.2,0.10746,J003441.57-000904.2,0.10746,-99.0,spec,-99,00:34:41.57,-00:09:04.2,8.673208333333333,-0.15116666666666667,00:34:41.57,-00:09:04.2,8.673208333333333,-0.15116666666666667,J2000,Optical,,Dual AGN Candidate,16.48,SDSS r-band,mag,16.48,SDSS r-band,mag,3.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,,SDSS
J003448.97+153629.3,0.08031,J003448.97+153629.3,0.08031,-99.0,spec,-99,00:34:48.97,+15:36:29.3,8.704041666666665,15.608138888888888,00:34:48.97,+15:36:29.3,8.704041666666665,15.608138888888888,J2000,Optical,,Dual AGN Candidate,16.99,SDSS r-band,mag,16.99,SDSS r-band,mag,3.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,,SDSS
J003735.77+001309.9,0.20031,J003735.77+001309.9,0.20031,-99.0,spec,-99,00:37:35.77,+00:13:09.9,9.399041666666667,0.21941666666666668,00:37:35.77,+00:13:09.9,9.399041666666667,0.21941666666666668,J2000,Optical,,Dual AGN Candidate,17.72,SDSS r-band,mag,17.72,SDSS r-band,mag,3.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,,SDSS
J003852.58-092443.5,0.09383,J003852.58-092443.5,0.09383,-99.0,spec,-99,00:38:52.58,-09:24:43.5,9.719083333333332,-9.412083333333333,00:38:52.58,-09:24:43.5,9.719083333333332,-9.412083333333333,J2000,Optical,,Dual AGN Candidate,17.04,SDSS r-band,mag,17.04,SDSS r-band,mag,3.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,,SDSS
J003952.73+014829.2,0.2101,J003952.73+014829.2,0.2101,-99.0,spec,-99,00:39:52.73,+01:48:29.2,9.969708333333333,1.8081111111111112,00:39:52.73,+01:48:29.2,9.969708333333333,1.8081111111111112,J2000,Optical,,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,2.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Lyu+2016,2016MNRAS.463...24L,https://doi.org/10.1093/mnras/stw1945,,SDSS
J004305.92-004637.6,,J004305.92-004637.6,0.8482,-99.0,spec,-99,00:43:05.92,-00:46:37.6,10.774666666666665,-0.7771111111111112,00:43:05.92,-00:46:37.6,10.774666666666665,-0.7771111111111112,J2000,Optical,,Dual AGN Candidate,-99,-99,-99,-99,-99,-99,3.0,-99.0,Double-Peaked Narrow UV Spectroscopic Emission Lines,-99,Barrows+2013,2013ApJ...769...95B,https://doi:10.1088/0004-637X/769/2/95, ,AGES
J004312.70+005605.0,,J004312.70+005605.0,0.9036,-99.0,spec,-99,00:43:12.70,+00:56:05.0,10.802916666666667,0.9347222222222222,00:43:12.70,+00:56:05.0,10.802916666666667,0.9347222222222222,J2000,Optical,,Dual AGN Candidate,-99,-99,-99,-99,-99,-99,3.0,-99.0,Double-Peaked Narrow UV Spectroscopic Emission Lines,-99,Barrows+2013,2013ApJ...769...95B,https://doi:10.1088/0004-637X/769/2/95, ,AGES
J004326.81-105421.8,0.12732,J004326.81-105421.8,0.12732,-99.0,spec,-99,00:43:26.81,-10:54:21.8,10.861708333333333,-10.906055555555556,00:43:26.81,-10:54:21.8,10.861708333333333,-10.906055555555556,J2000,Optical,,Dual AGN Candidate,15.83,SDSS r-band,mag,15.83,SDSS r-band,mag,3.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,,SDSS
J005021.52+073544.8,0.3932,J005021.52+073544.8,0.3932,-99.0,spec,-99,00:50:21.52,+07:35:44.8,12.589666666666666,7.595777777777777,00:50:21.52,+07:35:44.8,12.589666666666666,7.595777777777777,J2000,Optical,,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,2.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Lyu+2016 ; Yuan+2016,2016MNRAS.463...24L ; 2016MNRAS.462.1603Y,https://doi.org/10.1093/mnras/stw1945 ; https://doi.org/10.1093/mnras/stw1747,,SDSS
J005357.14-092123.1,0.09776,J005357.14-092123.1,0.09776,-99.0,spec,-99,00:53:57.14,-09:21:23.1,13.48808333333333,-9.356416666666666,00:53:57.14,-09:21:23.1,13.48808333333333,-9.356416666666666,J2000,Optical,,Dual AGN Candidate,16.25,SDSS r-band,mag,16.25,SDSS r-band,mag,3.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,,SDSS
J005407.03+073611.9,0.10719,J005407.03+073611.9,0.10719,-99.0,spec,-99,00:54:07.03,+07:36:11.9,13.529291666666666,7.603305555555555,00:54:07.03,+07:36:11.9,13.529291666666666,7.603305555555555,J2000,Optical,,Dual AGN Candidate,17.05,LAMOST r-band,mag,17.05,LAMOST r-band,mag,3.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Shi+2014,2014RAA....14.1234S,https://doi:10.1088/1674-4527/14/10/003,,LAMOST
J010101.74+022640.9,0.4482,J010101.74+022640.9,0.4482,-99.0,spec,-99,01:01:01.74,+02:26:40.9,15.257249999999997,2.4446944444444445,01:01:01.74,+02:26:40.9,15.257249999999997,2.4446944444444445,J2000,Optical,,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,2.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Lyu+2016 ; Yuan+2016,2016MNRAS.463...24L ; 2016MNRAS.462.1603Y,https://doi.org/10.1093/mnras/stw1945 ; https://doi.org/10.1093/mnras/stw1747,,SDSS
J010156.59+154753.1,0.17999,J010156.59+154753.1,0.17999,-99.0,spec,-99,01:01:56.59,+15:47:53.1,15.485791666666664,15.798083333333333,01:01:56.59,+15:47:53.1,15.485791666666664,15.798083333333333,J2000,Optical,,Dual AGN Candidate,17.63,SDSS r-band,mag,17.63,SDSS r-band,mag,3.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,,SDSS
J010750.48-005352.9,0.5202,J010750.48-005352.9,0.5202,-99.0,spec,-99,01:07:50.48,-00:53:52.9,16.96033333333333,-0.8980277777777778,01:07:50.48,-00:53:52.9,16.96033333333333,-0.8980277777777778,J2000,Optical,,Dual AGN Candidate,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,3.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Liu+2010a ; Yuan+2016 ; Comerford+2018,2010ApJ...708..427L ; 2016MNRAS.462.1603Y ; 2018ApJ...867...66C,https://doi.org/10.1088/0004-637X/708/1/427 ; https://doi.org/10.1093/mnras/stw1747 ; https://doi.org/10.3847/1538-4357/aae2b4, Comerford+2018 studied the kinematics that give rise to the double-peaks.,SDSS
J011659.59-102539.1,0.1503,J011659.59-102539.1,0.1503,-99.0,spec,-99,01:16:59.59,-10:25:39.1,19.248291666666663,-10.427527777777778,01:16:59.59,-10:25:39.1,19.248291666666663,-10.427527777777778,J2000,Optical,,Likely Single AGN,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.02,288.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Liu+2010a ; Shen+2011 ; Ge+2012 ; Comerford+2012 ; Comerford+2018,2010ApJ...708..427L ; 2011ApJ...735...48S ; 2012ApJS..201...31G ; 2012ApJ...753...42C ; 2018ApJ...867...66C,https://doi.org/10.1088/0004-637X/708/1/427 ; https://doi.org/10.1088/0004-637X/735/1/48 ; https://doi:10.1088/0067-0049/201/2/31 ; https://doi.org/10.1088/0004-637X/753/1/42 ; https://doi.org/10.3847/1538-4357/aae2b4,  Shen+2011 attribute the double-peaked lines to NLR kinematics. Only a single nucleus is resolved in near-IR imaging and the spatial offset observed between the two velocity components of the emission lines is larger than >0.6. If the double-peaks were due to two NLRs from dual AGNs there should be two nuclei visible in the imaging. Comerford+ examined long slit spectra of this target. Two spatially distinct emission peaks observed. Comerford+2012 consider this a strong dual AGN candidate. Double optical emission line peaks observed oriented along the plane of the galaxy. Comerford+2018 studied the kinematics that give rise to the double-peaks.,SDSS
J011802.94-082647.2,0.137,J011802.94-082647.2,0.137,-99.0,spec,-99,01:18:02.94,-08:26:47.2,19.512249999999998,-8.446444444444445,01:18:02.94,-08:26:47.2,19.512249999999998,-8.446444444444445,J2000,Optical,,Dual AGN Candidate,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.71,349.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Smith+2010 ; Ge+2012 ; Comerford+2012 ; McGurk+2015 ; Comerford+2018 ; Song+2020,2010ApJ...716..866S ; 2012ApJS..201...31G ; 2012ApJ...753...42C ; 2015ApJ...811...14M ; 2018ApJ...867...66C ; 2020MNRAS.491.4023S,https://doi.org/10.1088/0004-637X/716/1/866 ; https://doi:10.1088/0067-0049/201/2/31 ; https://doi.org/10.1088/0004-637X/753/1/42 ; https://doi.org/10.1088/0004-637X/811/1/14 ; https://doi.org/10.3847/1538-4357/aae2b4 ; https://doi.org/10.1093/mnras/stz3354, Comerford+ examined long slit spectra of this target. Two spatially distinct emission peaks observed. No companion within 3 arcseconds. Comerford+2018 studied the kinematics that give rise to the double-peaks. Song+2020 examined a subsample of the double-peaked objects in Smith+2010 but did not include a table specifying the objects. We include a reference to all of them for now. Song+ disfavor a binary hypothesis.,SDSS
J011935.64-102613.2,0.12479,J011935.64-102613.2,0.12479,-99.0,spec,-99,01:19:35.64,-10:26:13.2,19.8985,-10.437,01:19:35.64,-10:26:13.2,19.8985,-10.437,J2000,Optical,,Dual AGN Candidate,17.32,SDSS r-band,mag,17.32,SDSS r-band,mag,3.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,,SDSS
J012201.38-103346.7,0.08467,J012201.38-103346.7,0.08467,-99.0,spec,-99,01:22:01.38,-10:33:46.7,20.50575,-10.562972222222223,01:22:01.38,-10:33:46.7,20.50575,-10.562972222222223,J2000,Optical,,Dual AGN Candidate,17.07,SDSS r-band,mag,17.07,SDSS r-band,mag,3.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,,SDSS
J012523.55+212612.2,0.1593,J012523.55+212612.2,0.1593,-99.0,spec,-99,01:25:23.55,+21:26:12.2,21.348125,21.436722222222222,01:25:23.55,+21:26:12.2,21.348125,21.436722222222222,J2000,Optical,,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,2.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Lyu+2016,2016MNRAS.463...24L,https://doi.org/10.1093/mnras/stw1945,,SDSS
J012613.31+142013.4,0.573,J012613.31+142013.4,0.573,-99.0,spec,-99,01:26:13.31,+14:20:13.4,21.55545833333333,14.337055555555557,01:26:13.31,+14:20:13.4,21.55545833333333,14.337055555555557,J2000,Optical,,Dual AGN Candidate,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,580.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Smith+2010 ; Fu+2012 ; Comerford+2018 ; Song+2020,2010ApJ...716..866S ; 2012ApJ...745...67F ; 2018ApJ...867...66C ; 2020MNRAS.491.4023S,https://doi.org/10.1088/0004-637X/716/1/866 ; https://doi.org/10.1088/0004-637X/745/1/67 ; https://doi.org/10.3847/1538-4357/aae2b4 ; https://doi.org/10.1093/mnras/stz3354, Fu+2011 argue the origin of the double-peaked lines is Extended narrow-line region Comerford+2018 studied the kinematics that give rise to the double-peaks. Song+2020 examined a subsample of the double-peaked objects in Smith+2010 but did not include a table specifying the objects. We include a reference to all of them for now. Song+ disfavor a binary hypothesis.,SDSS
J012638.50+192908.7,0.5092,J012638.50+192908.7,0.5092,-99.0,spec,-99,01:26:38.50,+19:29:08.7,21.660416666666663,19.48575,01:26:38.50,+19:29:08.7,21.660416666666663,19.48575,J2000,Optical,,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,2.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Lyu+2016,2016MNRAS.463...24L,https://doi.org/10.1093/mnras/stw1945,,SDSS
J012818.55+004348.5,0.25555,J012818.55+004348.5,0.25555,-99.0,spec,-99,01:28:18.55,+00:43:48.5,22.077291666666667,0.7301388888888889,01:28:18.55,+00:43:48.5,22.077291666666667,0.7301388888888889,J2000,Optical,,Dual AGN Candidate,17.73,SDSS r-band,mag,17.73,SDSS r-band,mag,3.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,,SDSS
J012924.79+113432.3,0.1067,J012924.79+113432.3,0.1067,-99.0,spec,-99,01:29:24.79,+11:34:32.3,22.353291666666667,11.57563888888889,01:29:24.79,+11:34:32.3,22.353291666666667,11.57563888888889,J2000,Optical,,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,2.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Lyu+2016,2016MNRAS.463...24L,https://doi.org/10.1093/mnras/stw1945,,SDSS
J012937.26-003838.6,0.1794,J012937.26-003838.6,0.1794,-99.0,spec,-99,01:29:37.26,-00:38:38.6,22.40525,-0.6440555555555555,01:29:37.26,-00:38:38.6,22.40525,-0.6440555555555555,J2000,Optical,,Dual AGN Candidate,17.31,SDSS r-band,mag,17.31,SDSS r-band,mag,3.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,,SDSS
J012941.10+060132.4,0.4755,J012941.10+060132.4,0.4755,-99.0,spec,-99,01:29:41.10,+06:01:32.4,22.421249999999997,6.025666666666667,01:29:41.10,+06:01:32.4,22.421249999999997,6.025666666666667,J2000,Optical,,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,2.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Lyu+2016 ; Yuan+2016,2016MNRAS.463...24L ; 2016MNRAS.462.1603Y,https://doi.org/10.1093/mnras/stw1945 ; https://doi.org/10.1093/mnras/stw1747,,SDSS
J013546.93-005858.5,0.1595,J013546.93-005858.5,0.1595,-99.0,spec,-99,01:35:46.93,-00:58:58.5,23.945541666666664,-0.9829166666666667,01:35:46.93,-00:58:58.5,23.945541666666664,-0.9829166666666667,J2000,Optical,,Likely Single AGN,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.29,314.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Liu+2010a ; Shen+2011 ; Ge+2012 ; Comerford+2012 ; Comerford+2018,2010ApJ...708..427L ; 2011ApJ...735...48S ; 2012ApJS..201...31G ; 2012ApJ...753...42C ; 2018ApJ...867...66C,https://doi.org/10.1088/0004-637X/708/1/427 ; https://doi.org/10.1088/0004-637X/735/1/48 ; https://doi:10.1088/0067-0049/201/2/31 ; https://doi.org/10.1088/0004-637X/753/1/42 ; https://doi.org/10.3847/1538-4357/aae2b4,  Shen+2011 attribute the double-peaked lines to NLR kinematics. Only a single nucleus is resolved in near-IR imaging and the spatial offset observed between the two velocity components of the emission lines is larger than >0.6. If the double-peaks were due to two NLRs from dual AGNs there should be two nuclei visible in the imaging. Comerford+ examined long slit spectra of this target. Two spatially distinct emission peaks observed. Comerford+2018 studied the kinematics that give rise to the double-peaks.,SDSS
