Name1,z,Name2,z1,z2,z1_type,z2_type,RA1,Dec1,RA1_deg,Dec1_deg,RA2,Dec2,RA2_deg,Dec2_deg,Equinox1,Coordinate_waveband1,Coordinate_Source1,System Type,Brightness1,Brightness_band1,Brightness_type1,Brightness2,Brightness_band2,Brightness_type2,Sep,dV,Selection Method,Confirmation Method,Paper(s),BibCode(s),DOI(s),Notes,Coordinate_Source
J102004.36+324342.5,0.484,J102004.36+324342.5,0.484,-99.0,spec,-99,10:20:04.36,+32:43:42.5,155.01816666666664,32.72847222222222,10:20:04.36,+32:43:42.5,155.01816666666664,32.72847222222222,J2000,Optical,,Dual AGN Candidate,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,3.0,340.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Smith+2010 ; Fu+2012 ; McGurk+2015 ; Song+2020,2010ApJ...716..866S ; 2012ApJ...745...67F ; 2015ApJ...811...14M ; 2020MNRAS.491.4023S,https://doi.org/10.1088/0004-637X/716/1/866 ; https://doi.org/10.1088/0004-637X/745/1/67 ; https://doi.org/10.1088/0004-637X/811/1/14 ; https://doi.org/10.1093/mnras/stz3354, No companion within 3 arcseconds. No companion within 3 arcseconds. Song+2020 examined a subsample of the double-peaked objects in Smith+2010 but did not include a table specifying the objects. We include a reference to all of them for now. Song+ disfavor a binary hypothesis.,SDSS
J102034.30+432740.9,,J102034.30+432740.9,1.0478,-99.0,spec,-99,10:20:34.30,+43:27:40.9,155.14291666666668,43.46136111111112,10:20:34.30,+43:27:40.9,155.14291666666668,43.46136111111112,J2000,Optical,,Dual AGN Candidate,-99,-99,-99,-99,-99,-99,3.0,-99.0,Double-Peaked Narrow UV Spectroscopic Emission Lines,-99,Barrows+2013,2013ApJ...769...95B,https://doi:10.1088/0004-637X/769/2/95, ,AGES
J102038.74+212806.5,0.137,J102038.74+212806.5,0.137,-99.0,spec,-99,10:20:38.74,+21:28:06.5,155.16141666666667,21.46847222222222,10:20:38.74,+21:28:06.5,155.16141666666667,21.46847222222222,J2000,Optical,,Dual AGN Candidate,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,3.0,660.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Smith+2010 ; Song+2020,2010ApJ...716..866S ; 2020MNRAS.491.4023S,https://doi.org/10.1088/0004-637X/716/1/866 ; https://doi.org/10.1093/mnras/stz3354, Song+2020 examined a subsample of the double-peaked objects in Smith+2010 but did not include a table specifying the objects. We include a reference to all of them for now. Song+ disfavor a binary hypothesis.,SDSS
J102045.58+030306.9,0.535,J102045.58+030306.9,0.535,-99.0,spec,-99,10:20:45.58,+03:03:06.9,155.18991666666665,3.0519166666666666,10:20:45.58,+03:03:06.9,155.18991666666665,3.0519166666666666,J2000,Optical,,Dual AGN Candidate,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,3.0,260.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Smith+2010 ; Song+2020,2010ApJ...716..866S ; 2020MNRAS.491.4023S,https://doi.org/10.1088/0004-637X/716/1/866 ; https://doi.org/10.1093/mnras/stz3354, Song+2020 examined a subsample of the double-peaked objects in Smith+2010 but did not include a table specifying the objects. We include a reference to all of them for now. Song+ disfavor a binary hypothesis.,SDSS
J102049.35+284009.7,0.13426,J102049.35+284009.7,0.13426,-99.0,spec,-99,10:20:49.35,+28:40:09.7,155.205625,28.66936111111111,10:20:49.35,+28:40:09.7,155.205625,28.66936111111111,J2000,Optical,,Dual AGN Candidate,16.8,SDSS r-band,mag,16.8,SDSS r-band,mag,3.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,,SDSS
J102157.91+263823.9,,J102157.91+263823.9,0.8747,-99.0,spec,-99,10:21:57.91,+26:38:23.9,155.49129166666665,26.639972222222223,10:21:57.91,+26:38:23.9,155.49129166666665,26.639972222222223,J2000,Optical,,Dual AGN Candidate,-99,-99,-99,-99,-99,-99,3.0,-99.0,Double-Peaked Narrow UV Spectroscopic Emission Lines,-99,Barrows+2013,2013ApJ...769...95B,https://doi:10.1088/0004-637X/769/2/95, ,AGES
J102207.37-000415.5,0.12538,J102207.37-000415.5,0.12538,-99.0,spec,-99,10:22:07.37,-00:04:15.5,155.5307083333333,-0.07097222222222221,10:22:07.37,-00:04:15.5,155.5307083333333,-0.07097222222222221,J2000,Optical,,Dual AGN Candidate,17.26,SDSS r-band,mag,17.26,SDSS r-band,mag,3.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,,SDSS
J102210.09+521014.0,0.06875,J102210.09+521014.0,0.06875,-99.0,spec,-99,10:22:10.09,+52:10:14.0,155.54204166666665,52.17055555555555,10:22:10.09,+52:10:14.0,155.54204166666665,52.17055555555555,J2000,Optical,,Dual AGN Candidate,15.78,SDSS r-band,mag,15.78,SDSS r-band,mag,3.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,,SDSS
J102306.01+105645.8,0.12452,J102306.01+105645.8,0.12452,-99.0,spec,-99,10:23:06.01,+10:56:45.8,155.77504166666662,10.946055555555557,10:23:06.01,+10:56:45.8,155.77504166666662,10.946055555555557,J2000,Optical,,Dual AGN Candidate,17.06,SDSS r-band,mag,17.06,SDSS r-band,mag,3.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,,SDSS
J102307.26+474252.6,0.12117,J102307.26+474252.6,0.12117,-99.0,spec,-99,10:23:07.26,+47:42:52.6,155.78024999999997,47.71461111111111,10:23:07.26,+47:42:52.6,155.78024999999997,47.71461111111111,J2000,Optical,,Dual AGN Candidate,17.56,SDSS r-band,mag,17.56,SDSS r-band,mag,3.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,,SDSS
J102325.57+324348.4,0.12701,J102325+324348,0.12701,-99.0,spec,-99,10:23:25,+32:43:48,155.85416666666666,32.730000000000004,10:23:25,+32:43:48,155.85416666666666,32.730000000000004,J2000,Optical,SDSS,Dual AGN,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.58,371.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Wang+2009 ; Ge+2012 ; Comerford+2012 ; Gabanyi+2016 ; McGurk+2015 ; Muller-Sanchez+2015 ; Comerford+2018,2009ApJ...705L..76W ; 2012ApJS..201...31G ; 2012ApJ...753...42C ; 2016ApJ...826..106G ; 2015ApJ...811...14M ; 2015ApJ...813..103M ; 2018ApJ...867...66C,https://doi.org/10.1088/0004-637X/705/1/L76 ; https://doi:10.1088/0067-0049/201/2/31 ; https://doi.org/10.1088/0004-637X/753/1/42 ; https://doi.org/10.3847/0004-637X/826/2/106 ; https://doi.org/10.1088/0004-637X/811/1/14 ; https://doi.org/10.1088/0004-637X/813/2/103 ; https://doi.org/10.3847/1538-4357/aae2b4, Comerford+ examined long slit spectra of this target. Two spatially distinct emission peaks observed. Comerford+2012 consider this a strong dual AGN candidate. Double optical emission line peaks observed oriented along the plane of the galaxy. Gabanyi+ do not detect a source in this system but Muller-Sanchez+ do detect two components. No companion within 3 arcseconds.  Comerford+2018 studied the kinematics that give rise to the double-peaks.,
J102326.34+093242.7,0.4642,J102326.34+093242.7,0.4642,-99.0,spec,-99,10:23:26.34,+09:32:42.7,155.85974999999996,9.545194444444444,10:23:26.34,+09:32:42.7,155.85974999999996,9.545194444444444,J2000,Optical,,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,2.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Lyu+2016 ; Yuan+2016,2016MNRAS.463...24L ; 2016MNRAS.462.1603Y,https://doi.org/10.1093/mnras/stw1945 ; https://doi.org/10.1093/mnras/stw1747,,SDSS
J102410.27+091925.9,0.4027,J102410.27+091925.9,0.4027,-99.0,spec,-99,10:24:10.27,+09:19:25.9,156.04279166666663,9.32386111111111,10:24:10.27,+09:19:25.9,156.04279166666663,9.32386111111111,J2000,Optical,,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,2.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Lyu+2016,2016MNRAS.463...24L,https://doi.org/10.1093/mnras/stw1945,,SDSS
J102411.20+530141.9,0.18235,J102411.20+530141.9,0.18235,-99.0,spec,-99,10:24:11.20,+53:01:41.9,156.04666666666665,53.028305555555555,10:24:11.20,+53:01:41.9,156.04666666666665,53.028305555555555,J2000,Optical,,Dual AGN Candidate,17.42,SDSS r-band,mag,17.42,SDSS r-band,mag,3.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,,SDSS
J102421.08+354837.8,0.14502,J102421.08+354837.8,0.14502,-99.0,spec,-99,10:24:21.08,+35:48:37.8,156.08783333333332,35.8105,10:24:21.08,+35:48:37.8,156.08783333333332,35.8105,J2000,Optical,,Dual AGN Candidate,16.26,SDSS r-band,mag,16.26,SDSS r-band,mag,3.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,,SDSS
J102432.64+181217.4,0.14991,J102432.64+181217.4,0.14991,-99.0,spec,-99,10:24:32.64,+18:12:17.4,156.136,18.204833333333333,10:24:32.64,+18:12:17.4,156.136,18.204833333333333,J2000,Optical,,Dual AGN Candidate,17.23,SDSS r-band,mag,17.23,SDSS r-band,mag,3.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,,SDSS
J102507.44+423024.8,,J102507.44+423024.8,1.1042,-99.0,spec,-99,10:25:07.44,+42:30:24.8,156.28099999999995,42.50688888888889,10:25:07.44,+42:30:24.8,156.28099999999995,42.50688888888889,J2000,Optical,,Dual AGN Candidate,-99,-99,-99,-99,-99,-99,3.0,-99.0,Double-Peaked Narrow UV Spectroscopic Emission Lines,-99,Barrows+2013,2013ApJ...769...95B,https://doi:10.1088/0004-637X/769/2/95, ,AGES
J102618.86+073444.5,0.119,J102618.86+073444.5,0.119,-99.0,spec,-99,10:26:18.86,+07:34:44.5,156.5785833333333,7.579027777777777,10:26:18.86,+07:34:44.5,156.5785833333333,7.579027777777777,J2000,Optical,,Dual AGN Candidate,16.74,SDSS r-band,mag,16.74,SDSS r-band,mag,3.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,,SDSS
J102635.44+203503.0,0.5099,J102635.44+203503.0,0.5099,-99.0,spec,-99,10:26:35.44,+20:35:03.0,156.64766666666665,20.584166666666665,10:26:35.44,+20:35:03.0,156.64766666666665,20.584166666666665,J2000,Optical,,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,2.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Lyu+2016,2016MNRAS.463...24L,https://doi.org/10.1093/mnras/stw1945,,SDSS
J102714.66+201710.6,0.12363,J102714.66+201710.6,0.12363,-99.0,spec,-99,10:27:14.66,+20:17:10.6,156.8110833333333,20.28627777777778,10:27:14.66,+20:17:10.6,156.8110833333333,20.28627777777778,J2000,Optical,,Dual AGN Candidate,16.62,SDSS r-band,mag,16.62,SDSS r-band,mag,3.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,,SDSS
J102727.90+305902.4,0.1245,J102727.90+305902.4,0.1245,-99.0,spec,-99,10:27:27.90,+30:59:02.4,156.86624999999998,30.984,10:27:27.90,+30:59:02.4,156.86624999999998,30.984,J2000,Optical,,Dual AGN Candidate,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.31,365.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Liu+2010a ; Smith+2010 ; Ge+2012 ; Comerford+2012 ; Muller-Sanchez+2015 ; Comerford+2018 ; Song+2020,2010ApJ...708..427L ; 2010ApJ...716..866S ; 2012ApJS..201...31G ; 2012ApJ...753...42C ; 2015ApJ...813..103M ; 2018ApJ...867...66C ; 2020MNRAS.491.4023S,https://doi.org/10.1088/0004-637X/708/1/427 ; https://doi.org/10.1088/0004-637X/716/1/866 ; https://doi:10.1088/0067-0049/201/2/31 ; https://doi.org/10.1088/0004-637X/753/1/42 ; https://doi.org/10.1088/0004-637X/813/2/103 ; https://doi.org/10.3847/1538-4357/aae2b4 ; https://doi.org/10.1093/mnras/stz3354, Comerford+ examined long slit spectra of this target. Two spatially distinct emission peaks observed.Muller-Sanchez+2015 find that the origin of the double-peaked emission is still ambiguous. Comerford+2018 studied the kinematics that give rise to the double-peaks. Song+2020 examined a subsample of the double-peaked objects in Smith+2010 but did not include a table specifying the objects. We include a reference to all of them for now. Song+ disfavor a binary hypothesis.,SDSS
J102753.64+104950.3,0.0649,J102753.64+104950.3,0.0649,-99.0,spec,-99,10:27:53.64,+10:49:50.3,156.97349999999997,10.830638888888888,10:27:53.64,+10:49:50.3,156.97349999999997,10.830638888888888,J2000,Optical,,Dual AGN Candidate,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,3.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Liu+2010a ; Ge+2012,2010ApJ...708..427L ; 2012ApJS..201...31G,https://doi.org/10.1088/0004-637X/708/1/427 ; https://doi:10.1088/0067-0049/201/2/31,,SDSS
J102756.57+323009.2,0.13429,J102756.57+323009.2,0.13429,-99.0,spec,-99,10:27:56.57,+32:30:09.2,156.98570833333332,32.50255555555555,10:27:56.57,+32:30:09.2,156.98570833333332,32.50255555555555,J2000,Optical,,Dual AGN Candidate,16.75,SDSS r-band,mag,16.75,SDSS r-band,mag,3.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,,SDSS
J102842.11+495249.4,0.17197,J102842.11+495249.4,0.17197,-99.0,spec,-99,10:28:42.11,+49:52:49.4,157.17545833333332,49.88038888888889,10:28:42.11,+49:52:49.4,157.17545833333332,49.88038888888889,J2000,Optical,,Dual AGN Candidate,17.77,SDSS r-band,mag,17.77,SDSS r-band,mag,3.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,,SDSS
J103018.34+122219.4,0.10923,J103018.34+122219.4,0.10923,-99.0,spec,-99,10:30:18.34,+12:22:19.4,157.57641666666663,12.372055555555557,10:30:18.34,+12:22:19.4,157.57641666666663,12.372055555555557,J2000,Optical,,Dual AGN Candidate,16.99,SDSS r-band,mag,16.99,SDSS r-band,mag,3.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,,SDSS
J103034.11+373721.0,0.14906,J103034.11+373721.0,0.14906,-99.0,spec,-99,10:30:34.11,+37:37:21.0,157.642125,37.6225,10:30:34.11,+37:37:21.0,157.642125,37.6225,J2000,Optical,,Dual AGN Candidate,17.47,SDSS r-band,mag,17.47,SDSS r-band,mag,3.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,,SDSS
J103130.95+224836.9,0.07869,J103130.95+224836.9,0.07869,-99.0,spec,-99,10:31:30.95,+22:48:36.9,157.87895833333334,22.81025,10:31:30.95,+22:48:36.9,157.87895833333334,22.81025,J2000,Optical,,Dual AGN Candidate,16.56,SDSS r-band,mag,16.56,SDSS r-band,mag,3.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,,SDSS
J103138.67+380651.7,0.492,J103138.67+380651.7,0.492,-99.0,spec,-99,10:31:38.67,+38:06:51.7,157.911125,38.114361111111116,10:31:38.67,+38:06:51.7,157.911125,38.114361111111116,J2000,Optical,,Dual AGN Candidate,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,3.0,730.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Smith+2010 ; Fu+2012 ; McGurk+2015 ; Comerford+2018 ; Song+2020,2010ApJ...716..866S ; 2012ApJ...745...67F ; 2015ApJ...811...14M ; 2018ApJ...867...66C ; 2020MNRAS.491.4023S,https://doi.org/10.1088/0004-637X/716/1/866 ; https://doi.org/10.1088/0004-637X/745/1/67 ; https://doi.org/10.1088/0004-637X/811/1/14 ; https://doi.org/10.3847/1538-4357/aae2b4 ; https://doi.org/10.1093/mnras/stz3354, No companion within 3 arcseconds. No companion within 3 arcseconds. Comerford+2018 studied the kinematics that give rise to the double-peaks. Song+2020 examined a subsample of the double-peaked objects in Smith+2010 but did not include a table specifying the objects. We include a reference to all of them for now. Song+ disfavor a binary hypothesis.,SDSS
J103231.31+145038.7,0.09808,J103231.31+145038.7,0.09808,-99.0,spec,-99,10:32:31.31,+14:50:38.7,158.1304583333333,14.844083333333334,10:32:31.31,+14:50:38.7,158.1304583333333,14.844083333333334,J2000,Optical,,Dual AGN Candidate,17.55,SDSS r-band,mag,17.55,SDSS r-band,mag,3.0,-99.0,Double-Peaked Optical Spectroscopic Emission Lines / Optical Spectroscopy / Optical Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,-99,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,,SDSS
