Name1,z1,imag1,Name2,z2,imag2,theta,Com,z1_type,z2_type,RA1,Dec1,RA2,Dec2,RA1_deg,Dec1_deg,RA2_deg,Dec2_deg,Equinox1,Coordinate_waveband1,Coordinate_Source1,Equinox2,Coordinate_waveband2,Coordinate_Source2,System Type,Brightness1,Brightness_band1,Brightness_type1,Brightness2,Brightness_band2,Brightness_type2,Sep,Selection Method,Confirmation Method,Paper(s),BibCode(s),DOI(s),Notes,dV
SDSSJ104143.09+195722.1,1.843,18.81,SDSSJ104143.86+195724.4,2.144,19.31,10.91,QSO pair,spec,spec,10:41:43.09,+19:57:22.1,10:41:43.86,+19:57:24.4,160.42954166666667,19.956138888888887,160.43274999999997,19.956777777777777,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,10.91,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-29989.00580134505
SDSSJ104836.68+213843.9,1.856,19.04,SDSSJ104836.59+213823.9,-99.0,18.26,20.09,no lensing object,spec,-99,10:48:36.68,+21:38:43.9,10:48:36.59,+21:38:23.9,162.15283333333332,21.645527777777776,162.15245833333333,21.639972222222223,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,20.09,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-99.0
SDSSJ105406.95+315644.6,1.389,18.88,SDSSJ105407.57+315659.2,-99.0,19.74,16.55,no lensing object,spec,-99,10:54:06.95,+31:56:44.6,10:54:07.57,+31:56:59.2,163.52895833333332,31.945722222222223,163.53154166666664,31.94977777777778,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,16.55,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-99.0
SDSSJ110049.03+205129.7,2.161,18.88,SDSSJ110049.81+205135.2,-99.0,17.97,12.03,no lensing object,spec,-99,11:00:49.03,+20:51:29.7,11:00:49.81,+20:51:35.2,165.20429166666665,20.85825,165.20754166666666,20.85977777777778,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,12.03,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-99.0
SDSSJ110807.90+330611.2,1.508,18.75,SDSSJ110808.29+330608.9,2.34,19.67,5.41,QSO pair,spec,spec,11:08:07.90,+33:06:11.2,11:08:08.29,+33:06:08.9,167.03291666666664,33.10311111111111,167.03454166666666,33.102472222222225,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,5.41,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-83390.0769841721
SDSSJ111427.40+232729.2,1.111,18.67,SDSSJ111427.30+232730.2,-99.0,19.84,1.71,no lensing object,spec,-99,11:14:27.40,+23:27:29.2,11:14:27.30,+23:27:30.2,168.61416666666662,23.458111111111112,168.61374999999995,23.458388888888887,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,1.71,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-99.0
SDSSJ112713.53+170954.8,1.501,18.98,SDSSJ112713.18+171011.9,-99.0,20.03,17.82,no lensing object,spec,-99,11:27:13.53,+17:09:54.8,11:27:13.18,+17:10:11.9,171.80637499999997,17.16522222222222,171.80491666666663,17.169972222222224,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,17.82,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-99.0
SDSSJ113120.92+172217.9,1.522,18.74,SDSSJ113121.26+172159.7,-99.0,20.01,18.83,no lensing object,spec,-99,11:31:20.92,+17:22:17.9,11:31:21.26,+17:21:59.7,172.83716666666666,17.37163888888889,172.83858333333333,17.366583333333335,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,18.83,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-99.0
SDSSJ123316.04+174854.8,2.187,19.03,SDSSJ123315.30+174908.8,1.643,20.29,17.5,QSO pair,spec,spec,12:33:16.04,+17:48:54.8,12:33:15.30,+17:49:08.8,188.3168333333333,17.81522222222222,188.31375,17.81911111111111,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,17.5,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,55318.0117297338
SDSSJ125150.47+250438.4,1.526,18.81,SDSSJ125150.46+250452.8,-99.0,17.61,14.3,no lensing object,spec,-99,12:51:50.47,+25:04:38.4,12:51:50.46,+25:04:52.8,192.96029166666665,25.077333333333332,192.96024999999997,25.081333333333333,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,14.3,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-99.0
