z1,z2,Name1,Name2,z2_type,RA,Dec,RA1,Dec1,RA1_deg,Dec1_deg,RA2,Dec2,RA2_deg,Dec2_deg,Equinox1,Coordinate_waveband1,Coordinate_Source1,Equinox2,Coordinate_waveband2,Coordinate_Source2,System Type,Brightness1,Brightness_band1,Brightness_type1,Brightness2,Brightness_band2,Brightness_type2,Sep,dV,Selection Method,Confirmation Method,Paper(s),BibCode(s),DOI(s),Notes,z1_type
2.245,2.225,SDSS J1043+4320A,SDSS J1043+4320B,spec,-99,-99,10:43:24.87,+43:20:49.4,160.853625,43.347055555555556,10:43:25.025,+43:20:48.958,160.85427083333332,43.34693277777778,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,1.7,1848.514021303692,-99,-99,More+2016,2016MNRAS.456.1595M,https://doi.org/10.1093/mnras/stv2813,-99,spec
2.309,2.315,SDSS J1124+5710A,SDSS J1124+5710B,spec,-99,-99,11:24:55.24,+57:10:56.5,171.23016666666666,57.182361111111106,11:24:55.440,+57:10:58.120,171.23099999999997,57.18281111111111,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,2.0,-541.6662222466389,-99,-99,More+2016,2016MNRAS.456.1595M,https://doi.org/10.1093/mnras/stv2813,-99,spec
2.513,2.515,SDSS J1309+5617A,SDSS J1309+5617B,spec,-99,-99,13:09:27.55,+56:17:38.9,197.36479166666666,56.29413888888889,13:09:27.338,+56:17:41.161,197.3639083333333,56.29476694444444,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,2.8,-170.1764233272498,-99,-99,More+2016,2016MNRAS.456.1595M,https://doi.org/10.1093/mnras/stv2813,-99,spec
2.345,2.361,SDSS J1405+1350A,SDSS J1405+1350B,spec,-99,-99,14:05:56.92,+13:50:38.3,211.48716666666664,13.843972222222224,14:05:56.865,+13:50:39.827,211.48693749999998,13.844396388888889,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,1.7,-1426.773864186922,-99,-99,More+2016,2016MNRAS.456.1595M,https://doi.org/10.1093/mnras/stv2813,-99,spec
2.294,-99.0,SDSS J0035+2659,-99,-99,-99,-99,00:35:31.98,+26:59:59.9,8.88325,26.999972222222222,-99,-99,-99.0,-99.0,J2000,Optical,SDSS,-99,-99,-99,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,-99.0,-99.0,-99,-99,More+2016,2016MNRAS.456.1595M,https://doi.org/10.1093/mnras/stv2813,-99,spec
3.095,-99.0,SDSS J0139+1908,-99,-99,-99,-99,01:39:40.69,+19:08:40.7,24.919541666666664,19.14463888888889,-99,-99,-99.0,-99.0,J2000,Optical,SDSS,-99,-99,-99,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,-99.0,-99.0,-99,-99,More+2016,2016MNRAS.456.1595M,https://doi.org/10.1093/mnras/stv2813,-99,spec
2.396,-99.0,SDSS J0206+0440,-99,-99,-99,-99,02:06:49.50,+04:40:19.0,31.706249999999997,4.671944444444445,-99,-99,-99.0,-99.0,J2000,Optical,SDSS,-99,-99,-99,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,-99.0,-99.0,-99,-99,More+2016,2016MNRAS.456.1595M,https://doi.org/10.1093/mnras/stv2813,-99,spec
3.28,-99.0,SDSS J0847+1504,-99,-99,-99,-99,08:47:21.96,+15:04:50.2,131.8415,15.08061111111111,-99,-99,-99.0,-99.0,J2000,Optical,SDSS,-99,-99,-99,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,-99.0,-99.0,-99,-99,More+2016,2016MNRAS.456.1595M,https://doi.org/10.1093/mnras/stv2813,-99,spec
2.202,-99.0,SDSS J1001+0156,-99,-99,-99,-99,10:01:40.95,+01:56:43.1,150.42062499999997,1.9453055555555556,-99,-99,-99.0,-99.0,J2000,Optical,SDSS,-99,-99,-99,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,-99.0,-99.0,-99,-99,More+2016,2016MNRAS.456.1595M,https://doi.org/10.1093/mnras/stv2813,-99,spec
2.758,-99.0,SDSS J1138+5254,-99,-99,-99,-99,11:38:38.54,+52:54:18.2,174.6605833333333,52.905055555555556,-99,-99,-99.0,-99.0,J2000,Optical,SDSS,-99,-99,-99,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,-99.0,-99.0,-99,-99,More+2016,2016MNRAS.456.1595M,https://doi.org/10.1093/mnras/stv2813,-99,spec
3.904,-99.0,SDSS J1429+2523,-99,-99,-99,-99,14:29:38.20,+25:23:43.4,217.4091666666666,25.39538888888889,-99,-99,-99.0,-99.0,J2000,Optical,SDSS,-99,-99,-99,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,-99.0,-99.0,-99,-99,More+2016,2016MNRAS.456.1595M,https://doi.org/10.1093/mnras/stv2813,-99,spec
3.806,-99.0,SDSS J1551+3303,-99,-99,-99,-99,15:51:37.02,+33:03:19.6,237.90424999999996,33.05544444444444,-99,-99,-99.0,-99.0,J2000,Optical,SDSS,-99,-99,-99,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,-99.0,-99.0,-99,-99,More+2016,2016MNRAS.456.1595M,https://doi.org/10.1093/mnras/stv2813,-99,spec
4.548,-99.0,SDSS J1611+0844,-99,-99,-99,-99,16:11:05.64,+08:44:35.4,242.77349999999996,8.743166666666665,-99,-99,-99.0,-99.0,J2000,Optical,SDSS,-99,-99,-99,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,-99.0,-99.0,-99,-99,More+2016,2016MNRAS.456.1595M,https://doi.org/10.1093/mnras/stv2813,-99,spec
4.072,-99.0,SDSS J1627+5553,-99,-99,-99,-99,16:27:16.69,+55:53:37.0,246.81954166666662,55.89361111111111,-99,-99,-99.0,-99.0,J2000,Optical,SDSS,-99,-99,-99,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,-99.0,-99.0,-99,-99,More+2016,2016MNRAS.456.1595M,https://doi.org/10.1093/mnras/stv2813,-99,spec
2.023,-99.0,SDSS J1715+2831,-99,-99,-99,-99,17:15:17.32,+28:31:29.5,258.8221666666666,28.52486111111111,-99,-99,-99.0,-99.0,J2000,Optical,SDSS,-99,-99,-99,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,-99.0,-99.0,-99,-99,More+2016,2016MNRAS.456.1595M,https://doi.org/10.1093/mnras/stv2813,-99,spec
3.455,-99.0,SDSS J2314-0108,-99,-99,-99,-99,23:14:24.50,-01:08:58.7,348.6020833333333,-1.1496388888888889,-99,-99,-99.0,-99.0,J2000,Optical,SDSS,-99,-99,-99,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,-99.0,-99.0,-99,-99,More+2016,2016MNRAS.456.1595M,https://doi.org/10.1093/mnras/stv2813,-99,spec
1.942,-99.0,SDSS J0826+4248,-99,-99,-99,-99,08:26:52.99,+42:48:17.8,126.72079166666667,42.804944444444445,-99,-99,-99.0,-99.0,J2000,Optical,SDSS,-99,-99,-99,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,-99.0,-99.0,-99,-99,More+2016,2016MNRAS.456.1595M,https://doi.org/10.1093/mnras/stv2813,-99,spec
2.449,-99.0,SDSS J1508+3037,-99,-99,-99,-99,15:08:22.32,+30:37:47.2,227.09299999999996,30.62977777777778,-99,-99,-99.0,-99.0,J2000,Optical,SDSS,-99,-99,-99,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,-99.0,-99.0,-99,-99,More+2016,2016MNRAS.456.1595M,https://doi.org/10.1093/mnras/stv2813,-99,spec
-99.0,2.013,J121645.94+352941.57,J121646.06+352941.50,spec,-99,-99,12:16:45.94,35:29:41.57,184.1914,35.49488,12:16:46.06,35:29:41.50,184.1919,35.49486,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,1.449,-99.0,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,-99
2.241,2.237,J133907.14+131039.65,J133907.24+131038.68,spec,-99,-99,13:39:07.14,13:10:39.65,204.77974,13.17768,13:39:07.24,13:10:38.68,204.78015,13.17741,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,1.693,369.24962766147485,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
2.052,2.054,J151538.48+151134.80,J151538.59+151135.92,spec,-99,-99,15:15:38.48,15:11:34.80,228.91032,15.193,15:15:38.59,15:11:35.92,228.9108,15.19331,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,1.999,-195.87289087533358,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
0.899,0.904,J120957.67+113659.36,J120957.72+113656.63,spec,-99,-99,12:09:57.67,11:36:59.36,182.49029,11.61649,12:09:57.72,11:36:56.63,182.49049,11.61573,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,2.829,-786.2200451170039,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
0.877,0.878,J150842.20+332802.60,J150842.22+332805.52,spec,-99,-99,15:08:42.20,33:28:02.60,227.17583,33.46739,15:08:42.22,33:28:05.52,227.1759,33.4682,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,2.903,-159.2543162686535,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
1.087,1.083,J100817.53+171520.09,J100817.68+171518.22,spec,-99,-99,10:08:17.53,17:15:20.09,152.07303,17.25558,10:08:17.68,17:15:18.22,152.07367,17.25506,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,2.912,573.6205753135476,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
1.721,1.73,J133713.08+601209.68,J133713.13+601206.59,spec,-99,-99,13:37:13.08,60:12:09.68,204.30452,60.20269,13:37:13.13,60:12:06.59,204.30472,60.20183,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,3.118,-987.3390806233789,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
2.062,2.08,J115850.88+135537.85,J115851.05+135535.98,spec,-99,-99,11:58:50.88,13:55:37.85,179.71198,13.92718,11:58:51.05,13:55:35.98,179.71272,13.92666,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,3.237,-1752.5085562460245,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
1.584,1.584,J144422.21+541321.47,J144422.59+541320.64,spec,-99,-99,14:44:22.21,54:13:21.47,221.09255,54.22263,14:44:22.59,54:13:20.64,221.09413,54.2224,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,3.446,0.0,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
1.529,1.514,J123554.78+683624.80,J123555.27+683627.07,spec,-99,-99,12:35:54.78,68:36:24.80,188.97826,68.60689,12:35:55.27,68:36:27.07,188.9803,68.60752,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,3.513,1778.6874165276224,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
2.18,2.189,J125955.46+124151.07,J125955.62+124153.81,spec,-99,-99,12:59:55.46,12:41:51.07,194.9811,12.69752,12:59:55.62,12:41:53.81,194.98174,12.69828,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,3.554,-845.0289296666747,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
0.599,0.599,J115822.78+123518.60,J115822.99+123520.33,spec,-99,-99,11:58:22.78,12:35:18.60,179.5949,12.5885,11:58:22.99,12:35:20.33,179.59579,12.58898,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,3.558,0.0,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
2.08,2.08,J164928.79+173306.55,J164929.00+173308.60,spec,-99,-99,16:49:28.79,17:33:06.55,252.36997,17.55182,16:49:29.00,17:33:08.60,252.37083,17.55239,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,3.618,0.0,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
1.559,1.56,J004800.77-105148.56,J004800.96-105146.22,spec,-99,-99,0:48:00.77,-10:51:48.56,12.00321,-10.86349,0:48:00.96,-10:51:46.22,12.004,-10.86284,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,3.649,-116.81968688789938,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
1.597,1.599,J172317.31+590442.78,J172317.42+590446.42,spec,-99,-99,17:23:17.31,59:04:42.78,260.82211,59.07855,17:23:17.42,59:04:46.42,260.8226,59.07956,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,3.721,-230.17702517409427,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
1.494,1.493,J154515.73+275559.30,J154515.98+275601.07,spec,-99,-99,15:45:15.73,27:55:59.30,236.31556,27.93314,15:45:15.98,27:56:01.07,236.31659,27.93363,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,3.735,119.91176578199178,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
0.44,0.439,J125454.87+084652.18,J125455.09+084653.98,spec,-99,-99,12:54:54.87,8:46:52.18,193.72861,8.78116,12:54:55.09,8:46:53.98,193.72955,8.78166,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,3.799,207.71098570788558,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
1.686,1.683,J130326.14+510051.01,J130326.18+510047.20,spec,-99,-99,13:03:26.14,51:00:51.01,195.85893,51.01417,13:03:26.18,51:00:47.20,195.85907,51.01311,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,3.806,334.1403315112595,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
1.153,1.153,J144059.92+151544.39,J144059.96+151548.20,spec,-99,-99,14:40:59.92,15:15:44.39,220.24968,15.26233,14:40:59.96,15:15:48.20,220.24983,15.26339,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,3.852,0.0,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
1.799,1.782,J133901.91+620847.72,J133901.98+620851.58,spec,-99,-99,13:39:01.91,62:08:47.72,204.75796,62.14659,13:39:01.98,62:08:51.58,204.75824,62.14766,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,3.89,1821.5204580733393,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
1.961,1.961,J163700.88+263613.72,J163700.93+263609.86,spec,-99,-99,16:37:00.88,26:36:13.72,249.25367,26.60381,16:37:00.93,26:36:09.86,249.25389,26.60274,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,3.904,0.0,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
1.956,1.954,J095907.06+544908.11,J095907.47+544906.38,spec,-99,-99,9:59:07.06,54:49:08.11,149.77942,54.81892,9:59:07.47,54:49:06.38,149.78113,54.81844,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,3.945,202.36884315278317,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
1.795,1.8,J120727.10+140817.20,J120727.26+140820.40,spec,-99,-99,12:07:27.10,14:08:17.20,181.86292,14.13811,12:07:27.26,14:08:20.40,181.86359,14.139,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,3.949,-534.405292605902,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
2.173,2.169,J114504.36+285713.07,J114504.67+285712.71,spec,-99,-99,11:45:04.36,28:57:13.07,176.26818,28.95363,11:45:04.67,28:57:12.71,176.26947,28.95353,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,4.085,377.16793573898764,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
1.535,1.533,J153038.56+530404.04,J153038.82+530400.66,spec,-99,-99,15:30:38.56,53:04:04.04,232.66068,53.06779,15:30:38.82,53:04:00.66,232.66176,53.06685,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,4.114,235.99049205620645,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
1.324,1.322,J142604.27+071925.86,J142604.32+071930.04,spec,-99,-99,14:26:04.27,7:19:25.86,216.51778,7.32385,14:26:04.32,7:19:30.04,216.51802,7.32501,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,4.271,257.4256948703618,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
0.863,0.863,J150746.91+290334.16,J150747.23+290333.26,spec,-99,-99,15:07:46.91,29:03:34.16,226.94545,29.05949,15:07:47.23,29:03:33.26,226.94681,29.05924,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,4.349,0.0,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
1.744,1.745,J095429.48+192011.76,J095429.78+192010.75,spec,-99,-99,9:54:29.48,19:20:11.76,148.62282,19.3366,9:54:29.78,19:20:10.75,148.62408,19.33632,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,4.376,-108.94515943748732,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
1.666,1.673,J104846.21+095011.47,J104846.50+095013.02,spec,-99,-99,10:48:46.21,9:50:11.47,162.19254,9.83652,10:48:46.50,9:50:13.02,162.19373,9.83695,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,4.447,-784.0406076554484,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
0.573,0.575,J141855.42+244108.92,J141855.54+244104.70,spec,-99,-99,14:18:55.42,24:41:08.92,214.73091,24.68581,14:18:55.54,24:41:04.70,214.7314,24.68464,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,4.504,-379.9236077670867,-99,-99,Eftekharzadeh+2017 ; Rusu+2019,2017MNRAS.468...77E ; 2019MNRAS.486.4987R,https://doi.org/10.1093/mnras/stx412 ; https://doi.org/10.1093/mnras/stz1142,-99,spec
2.195,2.195,J084624.34+270958.39,J084624.51+271002.39,spec,-99,-99,8:46:24.34,27:09:58.39,131.6014,27.16622,8:46:24.51,27:10:02.39,131.60213,27.16733,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,4.637,0.0,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
1.164,1.172,J114743.98+330508.34,J114744.35+330507.69,spec,-99,-99,11:47:43.98,33:05:08.34,176.93325,33.08565,11:47:44.35,33:05:07.69,176.93478,33.08547,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,4.691,-1103.3172774156233,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
1.534,1.521,J134430.92+194834.52,J134430.93+194839.20,spec,-99,-99,13:44:30.92,19:48:34.52,206.12883,19.80959,13:44:30.93,19:48:39.20,206.12888,19.81089,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,4.694,1537.8731128484153,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
1.597,1.593,J132022.55+305622.88,J132022.64+305618.31,spec,-99,-99,13:20:22.55,30:56:22.88,200.09394,30.93969,13:20:22.64,30:56:18.31,200.09435,30.93842,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,4.745,460.8860460802911,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
1.587,1.587,J163510.15+291120.65,J163510.31+291116.19,spec,-99,-99,16:35:10.15,29:11:20.65,248.79228,29.18907,16:35:10.31,29:11:16.19,248.79294,29.18783,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,4.917,0.0,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
0.778,0.779,J081312.64+541649.94,J081313.11+541646.99,spec,-99,-99,8:13:12.64,54:16:49.94,123.30266,54.28054,8:13:13.11,54:16:46.99,123.30461,54.27972,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,5.042,-168.11918828663843,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
1.905,1.91,J145826.16+544814.87,J145826.73+544813.21,spec,-99,-99,14:58:26.16,54:48:14.87,224.60902,54.80413,14:58:26.73,54:48:13.21,224.61137,54.80367,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,5.142,-514.1870661037988,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
1.809,1.817,J151258.07+295148.13,J151258.43+295150.44,spec,-99,-99,15:12:58.07,29:51:48.13,228.24194,29.86337,15:12:58.43,29:51:50.44,228.24347,29.86401,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,5.312,-850.3359983621885,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
2.018,2.017,J160227.48+131412.48,J160227.70+131416.66,spec,-99,-99,16:02:27.48,13:14:12.48,240.61448,13.2368,16:02:27.70,13:14:16.66,240.61542,13.23796,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,5.324,99.08864682367762,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
1.151,1.151,J143949.67+060108.00,J143949.83+060103.22,spec,-99,-99,14:39:49.67,6:01:08.00,219.95697,6.01889,14:39:49.83,6:01:03.22,219.95763,6.01756,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,5.329,0.0,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
0.87,0.867,J155908.22+264036.70,J155908.39+264031.87,spec,-99,-99,15:59:08.22,26:40:36.70,239.78424,26.67686,15:59:08.39,26:40:31.87,239.78497,26.67552,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,5.367,480.0639132562755,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
1.376,1.376,J145758.61+251646.45,J145758.95+251649.87,spec,-99,-99,14:57:58.61,25:16:46.45,224.49422,25.27957,14:57:58.95,25:16:49.87,224.49562,25.28052,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,5.689,0.0,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
1.445,1.445,J121546.62+022552.50,J121546.72+022558.04,spec,-99,-99,12:15:46.62,2:25:52.50,183.94425,2.43125,12:15:46.72,2:25:58.04,183.94466,2.43279,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,5.729,0.0,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
1.995,2.002,J221426.79+132652.37,J221427.03+132657.01,spec,-99,-99,22:14:26.79,13:26:52.37,333.61163,13.44788,22:14:27.03,13:26:57.01,333.61264,13.44917,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,5.813,-698.014723477497,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
1.596,1.598,J121934.93+254119.03,J121935.30+254122.24,spec,-99,-99,12:19:34.93,25:41:19.03,184.89556,25.68862,12:19:35.30,25:41:22.24,184.89709,25.68951,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,5.897,-230.26565704039993,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
2.261,2.253,J143104.65+270524.65,J143104.98+270528.64,spec,-99,-99,14:31:04.65,27:05:24.65,217.76937,27.09018,14:31:04.98,27:05:28.64,217.77074,27.09129,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,5.913,734.4170685228542,-99,-99,Eftekharzadeh+2017,2017MNRAS.468...77E,https://doi.org/10.1093/mnras/stx412,-99,spec
