RA1,Dec1,Name1,Name2,z1,z2,z1_type,z2_type,RA1_deg,Dec1_deg,RA2,Dec2,RA2_deg,Dec2_deg,Equinox1,Coordinate_waveband1,Coordinate_Source1,System Type,Brightness1,Brightness_band1,Brightness_type1,Brightness2,Brightness_band2,Brightness_type2,Sep,dV,Selection Method,Confirmation Method,Paper(s),BibCode(s),DOI(s)
14:19:39.0,+53:02:23,EGSD2 J141939.0+530223,-99,0.76309,-99,spec,-99,214.9125,53.03972222222222,14:19:39.0,+53:02:23,214.9125,53.03972222222222,J2000,Optical,EGSD2,Dual SMBH Candidate,-99,-99,-99,-99,-99,-99,3,-111.4,Optical Spectroscopy / Slit Optical Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2009a,2009ApJ...698..956C,https://doi.org/10.1088/0004-637X/698/1/956
14:19:29.7,+53:01:04,EGSD2 J141929.7+530104,-99,0.67789,-99,spec,-99,214.87374999999997,53.01777777777777,14:19:29.7,+53:01:04,214.87374999999997,53.01777777777777,J2000,Optical,EGSD2,Dual SMBH Candidate,-99,-99,-99,-99,-99,-99,3,-110.9,Optical Spectroscopy / Slit Optical Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2009a,2009ApJ...698..956C,https://doi.org/10.1088/0004-637X/698/1/956
14:20:10.1,+53:07:38,EGSD2 J142010.1+530738,-99,0.5738,-99,spec,-99,215.04208333333332,53.12722222222222,14:20:10.1,+53:07:38,215.04208333333332,53.12722222222222,J2000,Optical,EGSD2,Dual SMBH Candidate,-99,-99,-99,-99,-99,-99,3,167.6,Optical Spectroscopy / Slit Optical Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2009a,2009ApJ...698..956C,https://doi.org/10.1088/0004-637X/698/1/956
14:21:53.6,+53:13:52,EGSD2 J142153.6+531352,-99,0.67257,-99,spec,-99,215.4733333333333,53.23111111111111,14:21:53.6,+53:13:52,215.4733333333333,53.23111111111111,J2000,Optical,EGSD2,Dual SMBH Candidate,-99,-99,-99,-99,-99,-99,3,-93.9,Optical Spectroscopy / Slit Optical Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2009a,2009ApJ...698..956C,https://doi.org/10.1088/0004-637X/698/1/956
14:20:57.2,+53:11:04,EGSD2 J142057.2+531104,-99,0.71417,-99,spec,-99,215.23833333333332,53.18444444444444,14:20:57.2,+53:11:04,215.23833333333332,53.18444444444444,J2000,Optical,EGSD2,Dual SMBH Candidate,-99,-99,-99,-99,-99,-99,3,-78.8,Optical Spectroscopy / Slit Optical Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2009a,2009ApJ...698..956C,https://doi.org/10.1088/0004-637X/698/1/956
14:21:43.0,+53:18:20,EGSD2 J142143.0+531820,-99,0.76479,-99,spec,-99,215.42916666666662,53.30555555555555,14:21:43.0,+53:18:20,215.42916666666662,53.30555555555555,J2000,Optical,EGSD2,Dual SMBH Candidate,-99,-99,-99,-99,-99,-99,3,37.1,Optical Spectroscopy / Slit Optical Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2009a,2009ApJ...698..956C,https://doi.org/10.1088/0004-637X/698/1/956
16:47:14.9,+35:04:05,DEEP2 J164714.9+350405,-99,0.76186,-99,spec,-99,251.81208333333333,35.06805555555556,16:47:14.9,+35:04:05,251.81208333333333,35.06805555555556,J2000,Optical,EGSD2,Dual SMBH Candidate,-99,-99,-99,-99,-99,-99,3,-65.7,Optical Spectroscopy / Slit Optical Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2009a,2009ApJ...698..956C,https://doi.org/10.1088/0004-637X/698/1/956
16:46:46.6,+35:06:48,DEEP2 J164646.6+350648,-99,0.74588,-99,spec,-99,251.6941666666666,35.11333333333334,16:46:46.6,+35:06:48,251.6941666666666,35.11333333333334,J2000,Optical,EGSD2,Dual SMBH Candidate,-99,-99,-99,-99,-99,-99,3,69.2,Optical Spectroscopy / Slit Optical Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2009a,2009ApJ...698..956C,https://doi.org/10.1088/0004-637X/698/1/956
16:51:28.8,+34:48:41,DEEP2 J165128.8+344841,-99,0.70433,-99,spec,-99,252.86999999999998,34.811388888888885,16:51:28.8,+34:48:41,252.86999999999998,34.811388888888885,J2000,Optical,EGSD2,Dual SMBH Candidate,-99,-99,-99,-99,-99,-99,3,-90.7,Optical Spectroscopy / Slit Optical Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2009a,2009ApJ...698..956C,https://doi.org/10.1088/0004-637X/698/1/956
23:27:17.4,+00:08:03,DEEP2 J232717.4+000803,-99,0.74173,-99,spec,-99,351.82249999999993,0.13416666666666666,23:27:17.4,+00:08:03,351.82249999999993,0.13416666666666666,J2000,Optical,EGSD2,Dual SMBH Candidate,-99,-99,-99,-99,-99,-99,3,-54.3,Optical Spectroscopy / Slit Optical Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2009a,2009ApJ...698..956C,https://doi.org/10.1088/0004-637X/698/1/956
23:29:07.8,+00:17:42,DEEP2 J232907.8+001742,-99,0.79166,-99,spec,-99,352.28249999999997,0.295,23:29:07.8,+00:17:42,352.28249999999997,0.295,J2000,Optical,EGSD2,Dual SMBH Candidate,-99,-99,-99,-99,-99,-99,3,-47.8,Optical Spectroscopy / Slit Optical Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2009a,2009ApJ...698..956C,https://doi.org/10.1088/0004-637X/698/1/956
23:30:30.0,+00:24:18,DEEP2 J233030.0+002418,-99,0.77831,-99,spec,-99,352.62499999999994,0.405,23:30:30.0,+00:24:18,352.62499999999994,0.405,J2000,Optical,EGSD2,Dual SMBH Candidate,-99,-99,-99,-99,-99,-99,3,153.7,Optical Spectroscopy / Slit Optical Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2009a,2009ApJ...698..956C,https://doi.org/10.1088/0004-637X/698/1/956
23:32:50.1,+00:19:29,DEEP2 J233250.1+001929,-99,0.70228,-99,spec,-99,353.20875,0.3247222222222222,23:32:50.1,+00:19:29,353.20875,0.3247222222222222,J2000,Optical,EGSD2,Dual SMBH Candidate,-99,-99,-99,-99,-99,-99,3,110.1,Optical Spectroscopy / Slit Optical Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2009a,2009ApJ...698..956C,https://doi.org/10.1088/0004-637X/698/1/956
02:27:35.0,+00:38:16,DEEP2 J022735.0+003816,-99,0.67491,-99,spec,-99,36.895833333333336,0.6377777777777778,02:27:35.0,+00:38:16,36.895833333333336,0.6377777777777778,J2000,Optical,EGSD2,Dual SMBH Candidate,-99,-99,-99,-99,-99,-99,3,-75.7,Optical Spectroscopy / Slit Optical Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2009a,2009ApJ...698..956C,https://doi.org/10.1088/0004-637X/698/1/956
02:30:50.3,+00:24:08,DEEP2 J023050.3+002408,-99,0.62009,-99,spec,-99,37.70958333333333,0.40222222222222226,02:30:50.3,+00:24:08,37.70958333333333,0.40222222222222226,J2000,Optical,EGSD2,Dual SMBH Candidate,-99,-99,-99,-99,-99,-99,3,100.4,Optical Spectroscopy / Slit Optical Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2009a,2009ApJ...698..956C,https://doi.org/10.1088/0004-637X/698/1/956
02:30:59.6,+00:44:18,DEEP2 J023059.6+004418,-99,0.77672,-99,spec,-99,37.74833333333333,0.7383333333333333,02:30:59.6,+00:44:18,37.74833333333333,0.7383333333333333,J2000,Optical,EGSD2,Dual SMBH Candidate,-99,-99,-99,-99,-99,-99,3,-90.4,Optical Spectroscopy / Slit Optical Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2009a,2009ApJ...698..956C,https://doi.org/10.1088/0004-637X/698/1/956
02:29:07.1,+00:43:53,DEEP2 J022907.1+004353,-99,0.65378,-99,spec,-99,37.27958333333333,0.7313888888888889,02:29:07.1,+00:43:53,37.27958333333333,0.7313888888888889,J2000,Optical,EGSD2,Dual SMBH Candidate,-99,-99,-99,-99,-99,-99,3,-143.0,Optical Spectroscopy / Slit Optical Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2009a,2009ApJ...698..956C,https://doi.org/10.1088/0004-637X/698/1/956
02:31:21.3,+00:51:10,DEEP2 J023121.3+005110,-99,0.77503,-99,spec,-99,37.83875,0.8527777777777777,02:31:21.3,+00:51:10,37.83875,0.8527777777777777,J2000,Optical,EGSD2,Dual SMBH Candidate,-99,-99,-99,-99,-99,-99,3,273.9,Optical Spectroscopy / Slit Optical Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2009a,2009ApJ...698..956C,https://doi.org/10.1088/0004-637X/698/1/956
