Name1,RA1,Dec1,Name2,RA2,Dec2,Name3,RA3,Dec3,Name4,RA4,Dec4
J135632.71+232118.3,13:56:32.71,+23:21:18.3,J135635.73+232136.0,13:56:35.73,+23:21:36.0,J135638.42+232151.5,13:56:38.42,+23:21:51.5,J135639.45+232210.3,13:56:39.45,+23:22:10.3
J144702.08+134006.2,14:47:02.08,+13:40:06.2,J144705.78+133953.1,14:47:05.78,+13:39:53.1,J144708.49+133917.0,14:47:08.49,+13:39:17.0,J144712.81+133939.3,14:47:12.81,+13:39:39.3
