RA1,Dec1,Name1,Name2,z1,z2,z1_type,z2_type,RA1_deg,Dec1_deg,RA2,Dec2,RA2_deg,Dec2_deg,Equinox1,Coordinate_waveband1,Coordinate_Source1,System Type,Brightness1,Brightness_band1,Brightness_type1,Brightness2,Brightness_band2,Brightness_type2,Sep,dV,Selection Method,Confirmation Method,Paper(s),BibCode(s),DOI(s),RA,Dec,Notes
14:11:40.10,+19:20:47.3,J141140.10+192047.3,-99,0.082754,-99,spec,-99,212.9170833333333,19.34647222222222,14:11:40.10,+19:20:47.3,212.9170833333333,19.34647222222222,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-61.9,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,14:11:40.10,+19:20:47.3,
14:12:35.35,+33:46:51.4,J141235.35+334651.4,-99,0.12899,-99,spec,-99,213.14729166666663,33.780944444444444,14:12:35.35,+33:46:51.4,213.14729166666663,33.780944444444444,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,67.7,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,14:12:35.35,+33:46:51.4,
14:15:30.05,+30:42:49.0,J141530.05+304249.0,-99,0.192127,-99,spec,-99,213.8752083333333,30.71361111111111,14:15:30.05,+30:42:49.0,213.8752083333333,30.71361111111111,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-77.6,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,14:15:30.05,+30:42:49.0,
14:16:41.77,-01:39:32.5,J141641.77-013932.5,-99,0.125977,-99,spec,-99,214.17404166666665,-1.6590277777777778,14:16:41.77,-01:39:32.5,214.17404166666665,-1.6590277777777778,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-50.5,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,14:16:41.77,-01:39:32.5,
14:20:59.78,+17:56:52.8,J142059.78+175652.8,-99,0.135479,-99,spec,-99,215.24908333333332,17.948,14:20:59.78,+17:56:52.8,215.24908333333332,17.948,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,59.3,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,14:20:59.78,+17:56:52.8,
14:21:48.98,+25:36:16.3,J142148.98+253616.3,-99,0.146485,-99,spec,-99,215.4540833333333,25.60452777777778,14:21:48.98,+25:36:16.3,215.4540833333333,25.60452777777778,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,57.2,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,14:21:48.98,+25:36:16.3,
14:23:17.05,+00:09:01.2,J142317.05+000901.2,-99,0.141365,-99,spec,-99,215.82104166666662,0.15033333333333332,14:23:17.05,+00:09:01.2,215.82104166666662,0.15033333333333332,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,81.2,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,14:23:17.05,+00:09:01.2,
14:27:42.68,+05:03:18.4,J142742.68+050318.4,-99,0.158978,-99,spec,-99,216.9278333333333,5.055111111111111,14:27:42.68,+05:03:18.4,216.9278333333333,5.055111111111111,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-79.1,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,14:27:42.68,+05:03:18.4,
14:31:07.40,+24:12:45.0,J143107.40+241245.0,-99,0.136397,-99,spec,-99,217.78083333333333,24.2125,14:31:07.40,+24:12:45.0,217.78083333333333,24.2125,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,66.5,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,14:31:07.40,+24:12:45.0,
14:33:39.50,+23:41:52.5,J143339.50+234152.5,-99,0.095068,-99,spec,-99,218.4145833333333,23.697916666666668,14:33:39.50,+23:41:52.5,218.4145833333333,23.697916666666668,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,59.6,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,14:33:39.50,+23:41:52.5,
14:36:24.57,+02:52:21.5,J143624.57+025221.5,-99,0.1922,-99,spec,-99,219.10237499999997,2.872638888888889,14:36:24.57,+02:52:21.5,219.10237499999997,2.872638888888889,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-100.8,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,14:36:24.57,+02:52:21.5,
14:36:29.00,+06:58:13.1,J143629.00+065813.1,-99,0.112792,-99,spec,-99,219.1208333333333,6.970305555555556,14:36:29.00,+06:58:13.1,219.1208333333333,6.970305555555556,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-97.4,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,14:36:29.00,+06:58:13.1,
14:36:42.64,+39:56:36.9,J143642.64+395636.9,-99,0.020037,-99,spec,-99,219.17766666666662,39.94358333333333,14:36:42.64,+39:56:36.9,219.17766666666662,39.94358333333333,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-51.6,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,14:36:42.64,+39:56:36.9,
14:40:32.50,+21:38:03.1,J144032.50+213803.1,-99,0.084798,-99,spec,-99,220.13541666666663,21.634194444444443,14:40:32.50,+21:38:03.1,220.13541666666663,21.634194444444443,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-57.7,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,14:40:32.50,+21:38:03.1,
14:41:47.36,+17:55:34.4,J144147.36+175534.4,-99,0.185574,-99,spec,-99,220.4473333333333,17.926222222222222,14:41:47.36,+17:55:34.4,220.4473333333333,17.926222222222222,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,62.6,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,14:41:47.36,+17:55:34.4,
14:42:31.20,+26:04:39.3,J144231.20+260439.3,-99,0.072098,-99,spec,-99,220.62999999999997,26.077583333333333,14:42:31.20,+26:04:39.3,220.62999999999997,26.077583333333333,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-61.5,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,14:42:31.20,+26:04:39.3,
14:43:24.07,+35:33:20.9,J144324.07+353320.9,-99,0.098142,-99,spec,-99,220.85029166666666,35.55580555555555,14:43:24.07,+35:33:20.9,220.85029166666666,35.55580555555555,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,64.4,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,14:43:24.07,+35:33:20.9,
14:44:12.18,+07:56:58.7,J144412.18+075658.7,-99,0.027693,-99,spec,-99,221.05074999999997,7.949638888888889,14:44:12.18,+07:56:58.7,221.05074999999997,7.949638888888889,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-66.7,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,14:44:12.18,+07:56:58.7,
14:51:14.27,+51:22:31.3,J145114.27+512231.3,-99,0.095746,-99,spec,-99,222.80945833333328,51.37536111111111,14:51:14.27,+51:22:31.3,222.80945833333328,51.37536111111111,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,57.1,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,14:51:14.27,+51:22:31.3,
14:51:25.15,+07:13:32.8,J145125.15+071332.8,-99,0.035822,-99,spec,-99,222.85479166666664,7.225777777777778,14:51:25.15,+07:13:32.8,222.85479166666664,7.225777777777778,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-50.8,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,14:51:25.15,+07:13:32.8,
14:55:35.41,+30:51:39.8,J145535.41+305139.8,-99,0.064157,-99,spec,-99,223.89754166666663,30.861055555555556,14:55:35.41,+30:51:39.8,223.89754166666663,30.861055555555556,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-58.9,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,14:55:35.41,+30:51:39.8,
14:57:53.81,+28:32:18.7,J145753.81+283218.7,-99,0.14404,-99,spec,-99,224.4742083333333,28.53852777777778,14:57:53.81,+28:32:18.7,224.4742083333333,28.53852777777778,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,84.9,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,14:57:53.81,+28:32:18.7,
15:01:21.30,+13:02:34.0,J150121.30+130234.0,-99,0.123774,-99,spec,-99,225.33874999999998,13.042777777777777,15:01:21.30,+13:02:34.0,225.33874999999998,13.042777777777777,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,55.0,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,15:01:21.30,+13:02:34.0,
15:03:11.27,+43:20:27.2,J150311.27+432027.2,-99,0.167674,-99,spec,-99,225.79695833333332,43.34088888888889,15:03:11.27,+43:20:27.2,225.79695833333332,43.34088888888889,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,81.1,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,15:03:11.27,+43:20:27.2,
