Literature_name , component_name , Discovery_type , z , z_type , RA , Dec , Coord_lambda_nu , Coord_source , sep , Type , Bibcode(s) , DOI , Notes
COSMOS J100043.15+020637.2 , -99 , Optical Spectroscopy , 0.36 , spec , 10:00:43.15 , +02:06:37.2 , -99 , -99 , 1.75h^-1 , Dual AGN , 2009ApJ...702L..82C , https://doi.org/10.1088/0004-637X/702/1/L82 , 
COSMOS J100043.15+020637.2 , -99 , Optical Spectroscopy , 0.36 , spec , 10:00:43.15 , +02:06:37.2 , -99 , -99 , 1.75h^-1 , Dual AGN , 2009ApJ...702L..82C , https://doi.org/10.1088/0004-637X/702/1/L82 , 
