System Type 1: Dual AGNs,ST1 Num AGNs,ST1 Confidence Flag,System Type 2: Binary AGNs,ST2 Num AGNs,ST2 Confidence Flag,System Type 3: Recoiling AGNs,ST3 Num AGNs,ST3 Confidence Flag,Literature Name,Selection Method,Analysis Method,Confirmation Method,Name1,z1,z1_type,RA1,Dec1,Coordinate_waveband1,Coordinate_Source1,Equinox1,Name2,z2,z2_type,RA2,Dec2,Equinox2,Coordinate_waveband2,Coordinate_Source2,Sep,Sep(kpc),dV,Paper(s),BibCode(s),DOI(s)
Dual AGN Candidate,2,0.5,-99,-99,-99.0,-99,-99,-99.0,2MASS J00105036-0102576,"{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}","{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}",{},J001050.37-010257.6,0.113,spec,00:10:50.37,-01:02:57.6,Optical,SDSS,J2000,J001050.70-010259.1,0.1132,spec,00:10:50.70,-01:02:59.1,J2000,Optical,SDSS,5.171487132827476,10.63505974015493,-53.72383390291648,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Dual AGN Candidate,2,0.5,-99,-99,-99.0,-99,-99,-99.0,2MASS J00111289-1001225,"{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}","{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}",{},J001112.89-100122.4,0.0838,spec,00:11:12.89,-10:01:22.4,Optical,SDSS,J2000,J001116.45-100126.8,0.084,spec,00:11:16.45,-10:01:26.8,J2000,Optical,SDSS,52.768688401832605,83.27216488796088,-55.171140779565576,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Dual AGN Candidate,2,0.5,-99,-99,-99.0,-99,-99,-99.0,2MASS J00173488+1505253,"{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}","{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}",{},J001734.86+150524.9,0.0843,spec,00:17:34.86,+15:05:24.9,Optical,SDSS,J2000,J001737.25+150544.6,0.0834,spec,00:17:37.25,+15:05:44.6,J2000,Optical,SDSS,39.82678851660506,63.051603839214586,248.28154598201388,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Dual AGN Candidate,2,0.5,-99,-99,-99.0,-99,-99,-99.0,2MASS J00184219-1016141,"{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}","{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}",{},J001842.19-101613.9,0.1215,spec,00:18:42.19,-10:16:13.9,Optical,SDSS,J2000,J001842.81-101625.1,0.122,spec,00:18:42.81,-10:16:25.1,J2000,Optical,SDSS,14.463046097019827,31.73645776591455,-133.2738957650259,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Dual AGN Candidate,2,0.5,-99,-99,-99.0,-99,-99,-99.0,2MASS J00190745+0109411,"{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}","{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}",{},J001907.45+010941.1,0.1051,spec,00:19:07.45,+01:09:41.1,Optical,SDSS,J2000,J001907.61+010946.6,0.1058,spec,00:19:07.61,+01:09:46.6,J2000,Optical,SDSS,6.000635837573006,11.631287509485793,-189.3346411134971,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Dual AGN Candidate,2,0.5,-99,-99,-99.0,-99,-99,-99.0,2MASS J00220868+0022003,"{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}","{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}",{},J002208.69+002200.5,0.071,spec,00:22:08.69,+00:22:00.5,Optical,SDSS,J2000,J002208.83+002202.8,0.0707,spec,00:22:08.83,+00:22:02.8,J2000,Optical,SDSS,3.114453233390204,4.217498533156381,83.76523158237418,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Dual AGN Candidate,2,0.5,-99,-99,-99.0,-99,-99,-99.0,2MASX J00233983-0048559,"{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}","{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}",{},J002339.83-004855.3,0.0634,spec,00:23:39.83,-00:48:55.3,Optical,SDSS,J2000,J002343.09-004854.4,0.064,spec,00:23:43.09,-00:48:54.4,J2000,Optical,SDSS,48.90333248352203,60.18574718318415,-168.6565626868315,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Dual AGN Candidate,2,0.5,-99,-99,-99.0,-99,-99,-99.0,2MASX J00234510-0100299,"{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}","{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}",{},J002345.08-010029.9,0.0663,spec,00:23:45.08,-01:00:29.9,Optical,SDSS,J2000,J002348.45-010004.0,0.0646,spec,00:23:48.45,-01:00:04.0,J2000,Optical,SDSS,56.79196105456946,72.21110725087787,477.0751105046377,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Dual AGN Candidate,2,0.5,-99,-99,-99.0,-99,-99,-99.0,2MASS J00261811+0010056,"{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}","{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}",{},J002618.12+001005.6,0.1101,spec,00:26:18.12,+00:10:05.6,Optical,SDSS,J2000,J002618.66+000951.3,0.1107,spec,00:26:18.66,+00:09:51.3,J2000,Optical,SDSS,16.43470254293251,33.145491744180454,-161.56338878326343,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Dual AGN Candidate,2,0.5,-99,-99,-99.0,-99,-99,-99.0,2MASS J00263612-0025069,"{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}","{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}",{},J002636.14-002507.0,0.118,spec,00:26:36.14,-00:25:07.0,Optical,SDSS,J2000,J002636.97-002454.7,0.1184,spec,00:26:36.97,-00:24:54.7,J2000,Optical,SDSS,17.50097978696157,37.42185136110625,-106.95760702376988,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Dual AGN Candidate,2,0.5,-99,-99,-99.0,-99,-99,-99.0,2MASX J00423957-0930532,"{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}","{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}",{},J004239.54-093053.8,0.0574,spec,00:42:39.54,-09:30:53.8,Optical,SDSS,J2000,J004244.64-093102.8,0.0568,spec,00:42:44.64,-09:31:02.8,J2000,Optical,SDSS,75.98217928785286,84.52214579718436,169.70956915252586,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
