AGN1 Name,ICRF_Designation,SX_defining_flag,XKa_defining_flag,K_defining_flag,Sep_SX,Sep_XKa,Sep_K
PKS 0537-441,ICRFJ053850.3-440508,0,0,0,0.00013270122203743763,0.0009027565362977376,0.00036593137906877805
CSO 0402+379 C1,ICRFJ040549.2+380332,0,0,0,0.0014155156557610865,,
3C 345,ICRFJ164258.8+394836,0,0,0,0.0056332368004484885,,
3C 279,ICRFJ125611.1-054721,0,0,0,1.017962844705173e-10,0.00041469817919693465,0.00012534285629068828
1823+568,ICRFJ182407.0+565101,0,0,0,0.0,,9.740581875157201e-05
3C 454.3,ICRFJ225357.7+160853,0,0,0,0.001621584022688032,0.0012386481562748919,0.001210871391662406
S4 0954+658,ICRFJ095847.2+653354,1,0,0,0.0013945165440960737,,0.0014204496446632642
AO 0235+164,ICRFJ023838.9+163659,1,1,0,0.0016021590302132463,0.001920753994491125,0.0015348948636708703
S0528+134,ICRFJ053056.4+133155,0,0,0,0.0031961839950734924,0.0034214671441056316,0.0033037626943952757
1308+326,ICRFJ131028.6+322043,0,0,0,0.008971764275922082,0.008675446162810182,0.00892304352195494
BL LAC,ICRFJ220243.2+421639,0,0,0,0.0005105212034398907,0.0006062035070987519,0.0005642534121346955
Mrk 501,ICRFJ165352.2+394536,0,0,0,0.0,0.0005054847766841978,0.00011889874695290147
PKS 2155-304,ICRFJ215852.0-301332,1,0,0,0.0013773192690240432,,
M87*,ICRFJ123049.4+122328,0,0,0,0.00017429724096044467,,0.0002735701254318684
PG 1553+113,ICRFJ155543.0+111124,0,0,0,0.0007064121524678782,,
Mrk 231,ICRFJ125614.2+565225,0,0,0,0.0010051378591718536,,
3C 275.1,ICRFJ124357.6+162253,0,0,0,0.0024533511649906595,,
S5 0716+714,ICRFJ072153.4+712036,1,1,0,0.0009653175996570046,0.0010282611061889198,0.0009468989771576368
PKS 0805-077,ICRFJ080815.5-075109,0,0,0,0.0,0.0002673611790445896,5.818330362217317e-05
4C+01.28,ICRFJ105829.6+013358,0,0,0,0.0,0.0004984576253755998,6.319056412238175e-05
PKS 2052-474,ICRFJ205616.3-471447,1,0,1,0.0,,0.00029065709057064223
4C 67.05 (0224 + 671),ICRFJ022850.0+672103,0,0,0,0.0,0.00025887961521215894,1.8758401011686347e-05
ON 231,ICRFJ122131.6+281358,0,0,0,0.001020440600212535,,
3C 273,ICRFJ122906.6+020308,0,0,0,0.001347146360762186,,
3C 66A,ICRFJ022239.6+430207,0,0,0,0.0007328122204006874,0.0011357008436165767,0.0006735350390179699
3C 446,ICRFJ222547.2-045701,0,0,0,0.0,0.0002702260820577906,9.847066604162302e-05
PKS 1151-34,ICRFJ115421.7-350529,0,0,0,0.038577864221059854,,
3C 303,ICRFJ144302.7+520137,0,0,0,0.0,,0.00010247008313957164
Pictor A,ICRFJ051949.7-454643,0,0,0,0.07689682179095009,,
PKS 0921-213,ICRFJ092338.8-213547,0,0,0,0.0019186372838468006,,
PKS 1020-103,ICRFJ102232.8-103744,0,0,0,0.12019535911085635,,
3C 382,ICRFJ183503.3+324146,0,0,0,0.057067260227195216,,
PKS 2005-489,ICRFJ200925.3-484953,0,0,0,0.0020000157426164943,,
PKS 1510-089,ICRFJ151250.5-090559,1,1,0,0.0018468264145583895,0.00226189672645663,0.0015821116372117935
IC 4296,ICRFJ133639.0-335757,0,0,0,0.07954574583591806,,
NGC 4278,ICRFJ122006.8+291650,0,0,0,0.01772018909232208,,
3C 459 N1,ICRFJ231635.1+040518,0,0,0,0.6042715283356277,,
PKS 1155+251 C,ICRFJ115825.7+245017,0,0,0,5.923709209534221,,
B2 1213 + 350 (J121555.60+344815.2),ICRFJ121555.6+344815,0,0,0,8.40141619461744e-11,,
3C 84,ICRFJ031948.1+413042,0,0,0,0.005391665893503141,,
J1043+2408,ICRFJ104309.0+240835,1,0,0,0.0,,7.549848613558354e-05
0735+178,ICRFJ073807.3+174218,0,0,0,0.0,0.0003253073613487761,8.41430109927281e-05
J1110+4817,ICRFJ111036.3+481752,0,0,0,0.014219871185326602,,
J1918+4937 (Spikey),ICRFJ191845.5+493756,0,0,0,0.0006554309568976481,,
PKS 0426-380,ICRFJ042840.4-375619,0,0,0,0.0019001859552177328,0.002316877188921554,0.0017005255865826159
