03 40 27.31 +00 34 41.5  1.874 P 47b 217.35
08 54 06.10 +42 38 10.0  2.387 P 49a 283.22
08 54 15.40 +42 42 34.0  2.174 P 49b 449.63
08 54 25.00 +42 35 17.0  1.850 P 49c 271.04
10 05 38.50 +57 07 44.0  1.866 P 50a 122.15
10 05 41.30 +57 05 44.0  2.306 P 50b 122.15
10 40 32.20 -27 27 48.6  2.331 P 51a 291.12
10 40 33.50 -27 22 58.0  1.937 P 51b 133.92
10 40 40.32 -27 24 36.4  2.460 P 51c 220.51
10 41 21.90 +56 30 01.0  2.052 P 52a  65.09
10 41 29.30 +56 30 23.0  2.267 P 52b  65.09
10 43 30.46 -02 30 12.7  2.246 P 53a 258.44
10 43 42.53 -02 33 17.3  1.993 P 53b 258.44
11 06 10.70 +64 00 09.0  2.201 P 54a 170.00
11 06 26.60 +63 57 55.0  1.960 P 54b 170.00
11 11 12.30 +01 22 01.6  2.417 P 55a  91.33
11 11 14.11 +01 20 34.4  2.150 P 55b 280.80
11 11 31.30 +01 22 25.0  2.010 P 55c 285.96
11 19 22.40 +60 48 51.0  2.014 P 56a 142.19
11 19 28.90 +60 46 37.0  2.293 P 56b 164.79
11 19 31.10 +60 49 21.0  2.645 P 56c  70.35
12 24 27.80 -11 20 50.0  2.495 P 57a 253.03
12 24 41.40 -11 23 25.0  2.171 P 57b 253.03
13 31 25.93 +00 44 14.0  2.020 P 58a 219.75
13 31 38.50 +00 42 21.1  2.429 P 58b 252.96
13 31 50.51 +00 45 10.7  1.893 P 58c 247.41
14 16 47.60 +63 02 51.0  2.034 P 60a 284.83
14 16 50.80 +63 07 35.0  1.961 P 60b 284.83
14 26 05.80 +50 04 26.0  2.242 P 61a 235.17
14 26 28.00 +50 02 48.0  2.324 P 61b 235.17
14 53 29.53 +00 23 57.3  2.538 P 62a 259.89
14 53 37.99 +00 20 10.5  1.859 P 62b 259.89
14 58 38.04 +00 24 18.0  1.888 P 63a 387.74
14 59 01.28 +00 21 23.7  1.988 P 63b 180.73
14 59 07.19 +00 21 01.2  3.012 P 63c  91.46
15 22 43.99 +03 27 19.8  1.998 P 64a 249.33
15 22 46.66 +03 31 25.9  2.287 P 64b 249.33
16 06 28.39 +17 31 26.0  2.040 P 65a 265.05
16 06 37.60 +17 35 16.0  2.323 P 65b 265.05
16 32 52.30 +37 47 47.99 1.888 P 66a 156.19
16 32 57.60 +37 50 11.0  2.152 P 66b 156.19
22 40 26.20 +00 39 38.0  2.200 P 67a 213.50
22 40 40.10 +00 40 24.0  2.200 P 67b 213.50
23 31 32.84 +01 06 20.9  2.641 P 68a 153.99
23 31 39.75 +01 04 27.0  2.245 P 68b 153.99
23 46 46.02 +12 45 30.18 2.763 P 69a 334.44
23 46 28.21 +12 48 59.89 2.525 P 69b 334.44
20 45 33.15 -06 21 54.3  2.014 P 70a 182.84
20 45 22.28 -06 23 19.0  2.157 P 70b 182.84
13 48 08.70 +28 40 07.0  2.464 P 71a  59.09
13 48 04.40 +28 40 24.0  2.464 P 71b  59.09
09 00 06.90 +03 33 07.   1.872 P 72a 212.87
08 59 52.70 +03 33 18.   2.163 P 72b 212.87
08 04 00.30 +30 20 46.   3.446 P 73a 269.22
08 03 42.00 +30 22 54.   2.031 P 73b 269.22
15 45 44.20 +51 13 07.   2.242 P 74a  98.27
15 45 34.60 +51 12 28.   2.453 P 74b  98.27
17 17 30.70 +26 22 27.   2.203 P 75a 211.93
17 17 15.20 +26 21 48.   1.934 P 75b 211.93
17 29 43.36 +60 21 54.20 1.928 P 76a 370.01
17 30 30.20 +60 19 47.40 2.215 P 76b 370.01
17 18 45.00 +30 26 47.   2.028 P 77a 160.61
17 18 37.20 +30 28 52.   2.028 P 77b 160.61
17 28 40.02 +56 39 57.74 1.984 P 78a 148.43
17 28 52.65 +56 41 43.58 1.769 P 78b 148.43
14 57 56.27 +57 44 46.90 2.130 P 79a  73.63
14 57 47.55 +57 44 23.50 2.016 P 79b  73.63
15 34 12.70 +50 34 05.   2.118 P 80a 280.61
15 33 48.30 +50 31 28.   2.215 P 80b 280.61
15 08 38.11 +60 35 40.10 2.179 P 81a 120.46
15 08 27.67 +60 34 07.40 1.893 P 81b 120.46
16 50 51.10 +34 43 10.   2.002 P 82a 169.84
16 50 43.30 +34 45 30.   1.984 P 82b 169.84
07 55 45.60 +40 56 43.61 2.348 P 83a 138.18
07 55 35.61 +40 58 02.90 2.418 P 83b 138.18
11 09 52.30 +55 42 24.   3.177 P 84a 221.68
11 09 27.20 +55 41 20.   3.472 P 84b 221.68
11 26 34.30 -01 24 36.   3.741 P 85a 278.71
11 26 17.40 -01 26 32.   3.607 P 85b 278.71
12 19 33.26 +00 32 26.40 2.871 P 86a 260.71
12 19 22.19 +00 29 05.40 2.627 P 86b 260.71
13 54 42.90 +59 28 56.   2.554 P 87a 161.67
13 54 38.40 +59 31 34.   2.992 P 87b 161.67
14 19 19.50 +57 45 13.   3.339 P 88a 248.30
14 19 00.60 +57 48 30.   2.937 P 88b 248.30
14 29 51.87 +63 16 31.90 2.403 P 89a 188.86
14 29 33.01 +63 14 12.40 2.749 P 89b 188.86
14 35 00.27 +03 54 03.50 2.491 P 90a 224.84
14 34 55.38 +03 50 30.90 2.853 P 90b 224.84
14 41 34.30 +61 39 19.   2.435 P 91a 296.10
14 40 52.90 +61 38 52.   2.898 P 91b 296.10
15 59 22.70 +52 00 27.   3.101 P 92a 145.47
15 59 17.40 +52 02 44.   3.042 P 92b 145.47
21 36 29.40 +10 29 52.   2.555 P 93a 237.83
21 36 15.40 +10 27 54.   2.966 P 93b 237.83
08 25 50.20 +35 48 03.   3.203 P 94a 259.91
08 25 40.10 +35 44 14.   3.846 P 94b 259.91
08 31 15.90 +38 14 24.   3.073 P 95a 216.00
08 30 53.00 +38 12 43.   3.171 P 95b 288.08
08 30 52.90 +38 09 07.   3.149 P 95c 417.03
10 19 37.00 +55 23 55.   3.231 P 96a 125.37
10 19 22.90 +55 24 31.   3.720 P 96b 125.37
11 08 19.15 -00 58 24.00 4.564 P 97a 113.03
11 08 13.86 -00 59 44.50 4.033 P 97b 113.03
13 02 16.91 -03 38 03.70 3.714 P 98a 141.24
13 02 08.17 -03 37 10.50 3.718 P 98b 141.24
13 48 08.79 +00 37 23.20 3.626 P 99a 236.72
13 47 55.68 +00 39 35.00 3.814 P 99b 236.72
17 19 37.90 +29 18 05.   3.079 P100a 106.46
17 19 32.90 +29 19 29.   3.294 P100b 106.46
20 53 03.70 -01 04 42.   3.115 P101a 137.52
20 53 02.90 -01 02 25.   3.251 P101b 137.52
08 59 59.14 +02 05 19.70 2.980 P102a 275.29
08 59 56.83 +02 09 52.80 2.233 P102b 275.29
13 37 57.87 +02 18 20.90 3.332 P103a 172.33
13 37 56.34 +02 15 30.10 2.314 P103b 172.33
