002542.72+352851.2   6.428021  35.480893 0.5802 20.143 0.038 19.599 0.017 19.462 0.016 19.202 0.021 19.287 0.055 0.055 0        4 3366  20 1  32  359 52999 1468 595
010016.61+461000.9  15.069223  46.166936 1.8267 19.802 0.030 19.614 0.014 19.503 0.017 19.199 0.022 19.144 0.043 0.043 0        4 3366  20 5 115  294 52883 1471 317
010016.91+463001.7  15.070465  46.500487 2.0057 19.727 0.043 19.656 0.023 19.345 0.014 19.091 0.016 18.862 0.053 0.053 0        4 3367  20 6 117  876 52913 1472 306
010046.18+464244.6  15.192428  46.712416 0.7617 18.843 0.035 18.453 0.017 18.210 0.015 18.244 0.018 17.938 0.033 0.033 0        4 3367  20 6 119   66 52913 1472 347
010106.94+453944.8  15.278925  45.662456 1.5744 20.258 0.046 19.638 0.013 19.269 0.012 18.869 0.014 18.840 0.042 0.042 0        4 3366  20 4 113  770 52883 1471 289
010207.40+464640.0  15.530860  46.777800 0.9279 19.081 0.033 18.702 0.022 18.372 0.011 18.363 0.019 18.253 0.033 0.033 0        4 3367  20 6 120  282 52883 1471 351
010219.09+471702.0  15.579560  47.283910 1.8447 19.259 0.032 18.984 0.011 18.872 0.013 18.562 0.011 18.495 0.033 0.033 0        4 3366  20 6 122  478 52913 1472 339
010242.85+461805.4  15.678570  46.301513 2.0292 19.271 0.030 19.028 0.020 18.869 0.011 18.730 0.016 18.525 0.036 0.036 0        4 3367  20 5 118  274 52913 1472 276
010258.06+471425.3  15.741954  47.240381 0.8414 21.133 0.106 20.530 0.024 20.126 0.021 20.077 0.032 19.752 0.088 0.088 0     8192 3366  20 6 122 1012 52913 1472 385
010300.63+462803.3  15.752638  46.467600 1.7087 19.559 0.036 19.363 0.021 19.222 0.012 18.871 0.015 18.802 0.051 0.051 0        4 3367  20 5 119  789 52883 1471 227
010319.88+452117.4  15.832838  45.354843 1.6570 19.701 0.030 19.478 0.012 19.273 0.014 19.014 0.015 18.962 0.041 0.041 0        4 3366  20 3 113  438 52913 1472 248
010331.12+460925.4  15.879694  46.157079 0.2189 19.423 0.030 19.042 0.015 18.552 0.010 18.120 0.012 17.851 0.023 0.023 1        4 3366  20 4 118   21 52883 1471 222
010339.18+473301.0  15.913265  47.550305 0.1979 18.250 0.019 18.030 0.010 17.632 0.009 16.894 0.015 17.338 0.018 0.018 0        4 3366  20 6 125   55 52883 1471 332
010339.88+461320.8  15.916181  46.222458 0.2060 20.771 0.068 20.348 0.022 19.698 0.016 19.215 0.017 18.799 0.045 0.045 1        4 3366  20 4 118  277 52913 1472 234
010409.04+470436.8  16.037700  47.076903 1.8811 19.562 0.053 19.213 0.017 19.087 0.024 18.881 0.023 18.951 0.061 0.061 0        4 3367  20 6 123  228 52913 1472 432
010441.33+462750.0  16.172238  46.463904 0.1830 19.159 0.026 18.992 0.014 18.602 0.010 18.196 0.011 18.063 0.028 0.028 1        4 3366  20 4 120  273 52883 1471 198
010531.52+473932.3  16.381362  47.658986 0.5098 18.809 0.025 18.380 0.010 18.298 0.010 18.036 0.012 17.976 0.024 0.024 0        4 3366  20 6 126  537 52883 1471 366
010558.50+453809.3  16.493784  45.635920 1.5343 19.167 0.026 18.916 0.018 18.596 0.010 18.372 0.011 18.376 0.039 0.039 0        4 3367  20 3 117  422 52883 1471 127
010606.42+471728.9  16.526783  47.291369 1.4412 19.811 0.035 19.637 0.015 19.344 0.014 19.192 0.018 19.077 0.049 0.049 0        4 3366  20 5 125  914 52883 1471 415
010614.83+470003.5  16.561800  47.000974 1.8070 18.761 0.029 18.602 0.022 18.374 0.014 18.081 0.018 18.024 0.034 0.034 0        4 3367  20 5 124  347 52913 1472 470
010703.47+453456.7  16.764499  45.582432 1.7245 19.776 0.035 19.427 0.014 19.185 0.013 18.813 0.012 18.666 0.035 0.035 0        4 3366  20 2 117  626 52913 1472 132
010708.47+452804.2  16.785317  45.467852 1.1637 19.004 0.022 18.962 0.012 18.578 0.011 18.578 0.011 18.736 0.036 0.036 0        4 3366  20 2 117  334 52913 1472  87
010727.82+472328.6  16.865955  47.391299 2.2850 19.865 0.036 19.236 0.012 19.139 0.011 18.986 0.028 18.676 0.034 0.034 0        4 3366  20 5 127  669 52913 1472 407
010754.83+473208.1  16.978473  47.535595 0.3805 18.588 0.020 18.383 0.010 18.226 0.009 18.143 0.010 17.897 0.020 0.020 1        4 3366  20 5 128  138 52913 1472 403
010757.61+463856.0  16.990065  46.648911 1.5869 20.292 0.073 19.855 0.030 19.630 0.023 19.330 0.022 19.311 0.087 0.087 0        4 3367  20 4 124  637 52913 1472 491
010759.91+464321.7  16.999663  46.722720 0.3061 20.279 0.072 20.130 0.033 19.544 0.022 19.211 0.020 18.701 0.059 0.059 1        4 3367  20 4 124  774 52883 1471 491
010802.92+464133.2  17.012197  46.692564 0.7588 19.731 0.053 19.222 0.028 18.902 0.019 18.715 0.016 18.461 0.050 0.050 0        4 3367  20 4 124  721 52913 1472 493
010828.95+455554.8  17.120638  45.931896 0.7200 19.397 0.030 19.112 0.013 19.130 0.013 19.192 0.017 19.222 0.054 0.054 0        4 3366  20 2 120  611 52913 1472 163
010907.79+465948.5  17.282491  46.996827 1.8629 19.400 0.037 19.067 0.016 18.748 0.018 18.267 0.036 18.159 0.040 0.040 0        4 3367  20 4 126  838 52913 1472 506
010913.89+465320.1  17.307877  46.888924 1.2201 18.371 0.026 18.162 0.012 17.765 0.015 17.694 0.035 17.724 0.031 0.031 0        4 3367  20 4 126  247 52913 1472 516
010920.67+472212.9  17.336133  47.370277 1.5831 19.854 0.041 19.599 0.014 19.412 0.013 19.042 0.015 18.991 0.055 0.055 0        4 3366  20 4 128  497 52883 1471 535
010933.05+474252.3  17.387719  47.714540 0.9045 19.775 0.043 19.532 0.015 19.098 0.017 19.067 0.021 18.858 0.052 0.052 0        4 3367  20 5 130  768 52913 1472 449
010933.10+473130.1  17.387920  47.525054 2.1470 20.520 0.079 20.059 0.032 19.552 0.072 19.209 0.022 18.667 0.042 0.042 0        4 3367  20 5 129  965 52913 1472 444
010935.21+453525.5  17.396723  45.590441 0.9306 20.011 0.038 19.642 0.016 19.194 0.014 19.075 0.019 18.912 0.043 0.043 0        4 3366  20 1 120  544 52913 1472  59
010959.46+460727.4  17.497771  46.124299 3.1157 20.847 0.078 18.785 0.010 18.628 0.012 18.448 0.012 18.250 0.027 0.027 0        4 3366  20 2 122  882 52883 1471 141
011001.69+464441.9  17.507042  46.744995 1.3309 19.309 0.028 18.745 0.010 18.425 0.009 18.324 0.010 18.365 0.031 0.031 0        4 3366  20 3 126   33 52913 1472 512
011005.58+474945.9  17.523262  47.829432 1.8827 19.743 0.042 19.589 0.018 19.484 0.020 18.952 0.022 18.879 0.059 0.059 0        4 3367  20 5 131  705 52883 1471 522
011016.81+475633.8  17.570053  47.942723 1.9138 19.710 0.034 19.564 0.016 19.394 0.014 19.135 0.018 19.096 0.046 0.046 0        4 3366  20 5 132   33 52883 1471 524
011045.00+475135.0  17.687527  47.859745 1.8272 19.889 0.051 19.727 0.017 19.672 0.027 19.297 0.024 19.323 0.082 0.082 0        4 3367  20 5 132  646 52883 1471 569
011055.76+462952.5  17.732355  46.497926 1.9009 19.352 0.032 19.195 0.036 19.152 0.061 18.721 0.018 18.501 0.046 0.046 0        4 3367  20 3 125  485 52913 1472 152
011102.96+463407.4  17.762337  46.568737 1.2155 19.620 0.041 19.384 0.024 18.908 0.048 18.962 0.022 19.026 0.061 0.061 0        4 3367  20 3 126  608 52883 1471 115
011103.96+462550.1  17.766500  46.430590 1.2216 19.421 0.031 19.363 0.012 18.984 0.012 18.873 0.013 18.878 0.043 0.043 0        4 3366  20 2 125  167 52883 1471 103
011114.28+462154.2  17.809531  46.365082 1.1207 18.088 0.018 17.443 0.008 17.104 0.008 17.076 0.008 17.033 0.016 0.016 0        4 3366  20 2 125  104 52883 1471 117
011141.54+462520.0  17.923088  46.422245 1.5806 19.007 0.025 18.687 0.010 18.400 0.010 18.164 0.009 18.167 0.026 0.026 0        4 3366  20 2 125  459 52883 1471 113
011216.44+474723.7  18.068508  47.789925 1.2219 18.318 0.019 18.090 0.008 17.772 0.010 17.701 0.012 17.744 0.022 0.022 0        4 3366  20 4 132  486 52883 1471 562
011233.85+472713.4  18.141044  47.453732 2.7506 21.912 0.280 20.412 0.027 20.091 0.032 20.213 0.050 19.979 0.200 0.200 0     8192 3367  20 4 131 1221 52883 1471 615
011259.30+455922.4  18.247095  45.989569 1.5480 19.667 0.031 19.276 0.014 18.872 0.013 18.629 0.014 18.613 0.037 0.037 0        4 3366  20 1 124  341 52883 1471  69
011325.53+471936.1  18.356405  47.326718 1.1423 19.461 0.032 19.368 0.011 19.007 0.010 18.848 0.015 18.909 0.045 0.045 0        4 3366  20 3 131  320 52883 1471 613
011334.59+464147.3  18.394154  46.696498 2.2516 19.876 0.040 19.364 0.013 19.296 0.016 19.221 0.017 18.993 0.045 0.045 0        4 3366  20 2 128  841 52883 1471 591
011337.32+454949.3  18.405512  45.830382 2.4649 20.131 0.053 19.440 0.036 19.157 0.020 19.166 0.020 18.860 0.052 0.052 0        4 3367  20 1 124  419 52883 1471   5
011432.83+472505.7  18.636812  47.418261 1.4921 19.793 0.036 19.619 0.015 19.301 0.014 19.018 0.015 18.893 0.045 0.045 1        4 3366  20 3 132 1048 52883 1471 610
011437.24+462825.2  18.655190  46.473684 0.8493 19.593 0.031 19.213 0.013 19.062 0.011 19.118 0.018 19.031 0.048 0.048 0        4 3366  20 1 128  213 52883 1471  33
