SDSS J143820.60+055447.9  14 38 20.6 +05 54 48.1 0.614 18.71 1851  8.19 0.006 6.9e+05  0.07  lightcurves8.png
SDSS J144754.62+132610.0  14 47 54.6 +13 26 10.4 0.572 18.39 1960  8.58 0.008 1.9e+05  0.35  lightcurves8.png
SDSS J144755.57+100040.0  14 47 55.6 +10 00 40.4 0.678 17.65 0862  8.93 0.006 4.7e+03  0.90  lightcurves8.png
SDSS J150450.16+012215.5  15 04 50.2 +01 22 15.8 0.967 17.75 1724  9.20 0.010   7e+03  2.70  lightcurves8.png
QNZ3:54                   15 18 06.6 +01 31 34.9 1.402 18.64 1724  9.27 0.009 3.1e+03  3.17  lightcurves8.png
SDSS J152035.23+095925.2  15 20 35.2 +09 59 25.7 1.049 18.88 1204  9.12 0.007 3.3e+03  1.70  lightcurves8.png
SDSS J152157.02+181018.6  15 21 57.0 +18 10 19.2 0.731 18.23 1960  7.95 0.005 1.6e+06  0.03  lightcurves8.png
SDSS J153636.22+044127.0  15 36 36.2 +04 41 26.9 0.379 16.75 1111  8.82 0.007 2.4e+04  0.94  lightcurves8.png
SDSS J154409.61+024040.0  15 44 09.6 +02 40 39.8 0.964 18.72 2000  8.76 0.008 5.5e+04  0.53  lightcurves9.png
SDSS J155449.11+084204.8  15 54 49.1 +08 42 05.4 0.786 17.03 1562  8.85 0.008 2.6e+04  0.76  lightcurves9.png
SDSS J155647.78+181531.5  15 56 47.8 +18 15 32.1 1.502 18.79 1428  9.51 0.010 6.7e+02  7.24  lightcurves9.png
SDSS J160730.33+144904.3  16 07 30.3 +14 49 04.2 1.800 17.57 1724  9.82 0.013 2.5e+02 24.58  lightcurves9.png
SDSS J161013.67+311756.4  16 10 13.7 +31 17 56.6 0.245 17.19 1724  7.92 0.005 3.2e+06  0.05  lightcurves9.png
SDSS J161854.64+230859.1  16 18 54.6 +23 08 59.3 0.561 18.22 1666  8.37 0.006 2.9e+05  0.14  lightcurves9.png
163107.34+560905.3        16 31 07.4 +56 09 05.1 0.731 19.13 1724  8.38 0.006 2.2e+05  0.14  lightcurves9.png
HS 1630+2355              16 33 02.7 +23 49 28.8 0.821 15.23 2040  9.86 0.020 1.1e+03 38.71  lightcurves9.png
SDSS J164452.71+430752.2  16 44 52.7 +43 07 52.9 1.715 17.06 2000 10.15 0.019 1.1e+02 91.56  lightcurves9.png
SDSS J165136.76+434741.3  16 51 36.8 +43 47 41.9 1.604 18.13 1923  9.34 0.010 2.6e+03  4.12  lightcurves9.png
MCG 5-40-026              17 01 07.8 +29 24 24.6 0.036 14.65 1408  0.00 0.000       0  0.00  lightcurves10.png
SDSS J170616.24+370927.0  17 06 16.2 +37 09 27.0 1.267 18.19 1388  9.10 0.007 3.9e+03  1.57  lightcurves10.png
HS 1715+2131              17 17 20.1 +21 28 15.0 0.590 16.19 1250  0.00 0.000       0  0.00  lightcurves10.png
FBQS J17239+3748          17 23 54.3 +37 48 41.7 0.828 17.55 1960  9.38 0.013   6e+03  6.05  lightcurves10.png
SDSS J172656.96+600348.5  17 26 56.9 +60 03 49.1 0.991 18.50 1923  9.15 0.010 1.1e+04  2.33  lightcurves10.png
4C 50.43                  17 31 03.7 +50 07 35.7 1.111 16.74 1075  0.00 0.000       0  0.00  lightcurves10.png
BZQJ2156-2012             21 56 33.7 -20 12 30.2 1.309 17.01 1333  0.00 0.000       0  0.00  lightcurves10.png
SDSS J221016.97+122213.9  22 10 17.0 +12 22 14.0 0.717 18.32 1333  9.00 0.008 1.1e+04  1.35  lightcurves10.png
6QZ J221925.1-305408      22 19 25.2 -30 54 08.1 0.579 19.15 1408  0.00 0.000       0  0.00  lightcurves10.png
HS 2219+1944              22 22 21.1 +19 59 48.1 0.211 16.33 1724  0.00 0.000       0  0.00  lightcurves10.png
SDSS J224829.47+144418.0  22 48 29.4 +14 44 18.4 0.424 18.82 1219  8.86 0.008 2.4e+04  1.02  lightcurves11.png
