Name,Selection Method,Confirmation Method,RAdeg,DEdeg,Num_comp,i_mag,Sep(as),Rank,Confirmation_flag,Notes
170858-030510,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",257.240718,-3.086224,2,17.60,2.5,C,2,p-l; companion has large pm
170943+334304,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",257.427474,33.717724,2,19.13,3.3,C,2,similar colour p-l; both have large pm
171102+292951,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",257.757094,29.497482,2,17.92,2.2,C,2,similar colour p-l; includes SDSS z=1.329 QSO; SQLS candidate; companion has large pm; no lensing object
172634+530300,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",261.639624,53.050095,2,18.76,1.3,C,2,similar colour p-l; includes white dwarf (Kleinman et al. 2013)
173152+743615,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",262.968365,74.604272,3,16.60,5.9,C,2,p-l (one has large p and pm) + red inner component
173316+084954,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",263.31709,8.831643,2,17.78,2.4,C,2,similar colour p-l; companion has large pm
173509+094022,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",263.787393,9.672832,2,17.07,2.4,C,2,similar colour p-l; companion has large pm
173703+271724,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",264.262899,27.290003,2,18.37,2.5,C,2,p-l; companion has large pm
173820+041756,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",264.581302,4.298981,2,18.88,2.0,C,2,similar colour p-l; companion has large pm
173905+120306,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",264.77013,12.051664,2,17.77,2.8,C,2,similar colour p-l; companion has large pm
173915+112257,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",264.813269,11.382484,2,18.84,3.4,C,2,similar colour p-l; companion has large pm
174006+221101,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",265.024352,22.183576,2,17.45,1.8,C,2,similar colour p-l; includes z=1.406 QSO (Healey et al. 2008); companion has large pm
174154+333616,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",265.474939,33.604416,3,16.54,8.5,C,2,p-l; outer components have large p and pm
174213+402717,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",265.55245,40.454758,2,18.30,3.1,C,2,similar colour p-l; companion has large pm
175243+093822,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",268.179389,9.639313,2,18.29,2.6,C,2,similar colour p-l; companion has large pm
175826+191732,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",269.608868,19.292361,2,17.57,2.5,C,2,similar colour p-l; companion has large pm
180257+244143,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",270.737205,24.695406,3,17.27,4.3,C,2,similar colour p-l (one companion has large pm) + red central component
180901+160103,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",272.254121,16.017515,2,18.59,3.1,C,2,similar colour p-l; companion has large pm
181045+742546,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",272.686785,74.429515,2,18.39,2.0,C,2,similar colour p-l; companion has large pm
181400+705410,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",273.499637,70.902881,2,17.69,2.4,C,2,similar colour p-l; companion has large pm
182159+275657,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",275.494183,27.949111,2,18.43,2.4,C,2,similar colour p-l; companion has large pm
182301+500140,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",275.753046,50.027664,2,17.91,2.0,C,2,p-l; companion has large pm
183204+491637,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",278.015957,49.276889,2,18.06,1.9,C,2,similar colour p-l; companion has large pm
183852+520350,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",279.718445,52.063814,2,18.13,3.1,C,2,p-l; companion has large pm
183916+454103,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",279.818168,45.684238,2,18.70,3.0,C,2,similar colour p-l; 4C 45.38; z=0.958 QSO; companion has large pm
184256+442102,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",280.733259,44.350567,2,18.33,3.1,C,2,similar colour p-l; companion has large pm
185008+441126,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",282.533367,44.190435,2,17.64,2.7,C,2,similar colour p-l; companion has large pm
185824+475553,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",284.600174,47.931329,3,18.54,3.6,B,2,p-l (one component has large pm); red inner component
190003+522319,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",285.012245,52.388677,3,18.18,2.8,C,2,similar colour p-l (one component has large pm) + red inner component
190433+575031,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",286.139132,57.841829,2,19.00,3.2,C,2,similar colour p-l; companion has large pm
192457+492126,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",291.239533,49.357218,2,18.71,2.8,C,2,similar colour p-l; companion has large pm
195629-064134,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",299.121219,-6.692813,2,19.12,1.6,C,2,similar colour p-l; companion has large pm
200550-030100,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",301.456704,-3.016733,2,18.49,3.7,C,2,similar colour p-l; companion has large pm
201810-022908,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",304.540147,-2.485511,2,18.25,1.8,C,2,similar colour p-l; companion has large pm
202339-290706,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",305.91091,-29.1182,2,17.93,2.0,C,2,similar colour p-l; companion has large pm
203106-122005,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",307.776472,-12.334677,3,17.59,3.1,C,2,similar colour p-l (one component has large pm) + red companion
204541+122718,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",311.419538,12.454995,2,17.86,3.0,C,2,similar colour p-l; companion has large pm
204628-120049,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",311.615311,-12.01355,2,19.12,1.9,C,2,similar colour p-l; companion has large pm
210519+161334,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",316.330544,16.226221,2,18.71,1.7,C,2,similar colour p-l; companion has large pm
210820+122340,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",317.08394,12.394343,2,17.89,1.8,C,2,similar colour p-l; one component has large p
211017+050707,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",317.571284,5.118593,2,18.60,2.8,C,2,similar colour p-l; companion has large pm
211945+153713,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",319.938477,15.620234,2,17.58,2.9,C,2,similar colour p-l; companion has large pm
212753+085302,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",321.972353,8.883872,2,18.50,2.2,C,2,similar colour p-l; companion has large pm
213147-030935,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",322.946983,-3.159735,3,18.52,6.9,C,2,similar colour p-l (one has large pm) + extended inner component
213707+124621,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",324.279402,12.772593,2,18.67,1.8,C,2,similar colour p-l; BL Lac (D'Abrusco et al. 2014); companion has large pm
214102+265252,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",325.257922,26.881249,2,17.78,2.8,C,2,p-l; companion has large pm
214210+255233,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",325.543115,25.875914,2,16.95,2.4,C,2,similar colour p-l; companion has large pm
214248+290427,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",325.698926,29.074187,2,17.38,3.6,C,2,similar colour p-l; X-ray source (D'Abrusco et al. 2014); companion has large p and pm
214605+264507,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",326.52051,26.75202,2,19.2,2.3,C,2,similar colour p-l; companion has large pm
215502+190303,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",328.756839,19.050739,2,16.86,2.1,B,2,similar colour p-l; QSO+star (NTT run 0100.A-0297(A); PI. T. Anguita)
220822-142722,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",332.093734,-14.455987,2,17.25,2.1,C,2,similar colour p-l; companion has large p and pm
222238+354225,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",335.656449,35.707081,2,18.30,2.1,C,2,similar colour p-l; companion has large pm
222611-282413,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",336.547769,-28.403508,2,19.18,2.7,C,2,similar colour p-l; includes z=0.016 galaxy (Maddox et al. 1990); companion has large pm
223604+221604,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",339.015242,22.267863,2,17.98,3.1,C,2,similar colour p-l; companion has large pm
223713+245120,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",339.304497,24.85563,2,18.26,1.7,B,2,similar brightness p-l; companion has large pm
223831+140027,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",339.629583,14.007554,2,19.50,3.1,B,2,similar colour p-l + extended? HS 2236+1344 (blue compact galaxy); both have large AEN; no other Gaia data
230258-281314,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",345.740301,-28.220566,2,18.24,1.7,C,2,similar colour p-l; QSO+star (Lemon et al. 2018)
231209+203543,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",348.036702,20.595139,2,19.16,3.1,C,2,p-l +extended; companion has large pm
231313+194722,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",348.302961,19.7895,2,17.63,3.2,C,2,similar colour p-l; companion has large pm
231445+303530,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",348.687176,30.591695,2,17.20,3.0,C,2,p-l; companion has large p and pm
232837+435308,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",352.152836,43.885431,2,17.33,2.1,B,2,p-l; companion has large pm
233611-093523,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",354.043989,-9.589647,2,15.63,4.1,C,2,similar colour p-l; companion has large p and pm
233700+180520,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",354.249022,18.088753,2,17.63,3.7,C,2,p-l; companion has large pm
234155+132902,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",355.480568,13.483904,2,18.82,3.2,C,2,similar colour p-l; includes SDSS z=0.729 QSO; companion has large pm
235351-053956,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",358.462667,-5.665505,3,16.5,6.2,B,2,similar colour p-l (companion has large p and pm) +red inner component; QSO+star (Williams et al. 2017)
