Name,Selection Method,Confirmation Method,RAdeg,DEdeg,Num_comp,i_mag,Sep(as),Rank,Confirmation_flag,Notes
005801-231711,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",14.502676,-23.286411,2,17.82,3.1,C,2,similar colour p-l; one component has large AEN
011305+454905,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",18.269259,45.818058,2,17.60,1.7,C,2,similar colour p-l; companion has large pm
011639+405252,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",19.163546,40.881125,2,18.72,1.3,C,2,similar colour p-l; includes SDSS z=1.86 QSO; one component has large p
015109+315521,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",27.786404,31.922389,2,18.11,3.1,C,2,includes galaxy (Ochner et al. 2014); companion has large pm
020122+212637,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",30.340775,21.443685,2,17.45,3.6,C,2,similar colour p-l; SQLS candidate; companion has large pm
020649+803347,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",31.703677,80.563065,2,17.36,2.2,C,2,similar colour p-l; companion has large pm and p
020722+374720,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",31.843188,37.788868,2,16.60,2.2,C,2,similar colour p-l +extended; companion has large pm and p
024414-073747,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",41.059791,-7.629853,2,19.75,1.4,C,2,p-l; includes z=0.319 galaxy (Szabo et al. 2011); companion has no Gaia pm and p
024722-172547,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",41.843352,-17.429683,2,18.67,1.6,C,2,similar colour p-l; companion has large pm
025339+070440,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",43.414166,7.077896,2,18.17,2.8,C,2,similar colour p-l; companion has large pm
025644+394153,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",44.183373,39.697932,2,19.28,2.4,C,2,similar colour p-l; companion has large pm
034955-071723,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",57.479613,-7.289607,2,16.12,2.5,C,2,p-l; companion has large pm and p
035119-182302,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",57.829409,-18.383904,2,16.92,1.8,C,2,p-l; companion has large pm and p
041304+155206,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",63.266175,15.868444,2,17.60,3.5,C,2,similar colour p-l; companion has large pm
043324-111537,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",68.348462,-11.260161,2,18.31,2.7,C,2,similar colour p-l; companion has large pm
045230-295335,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",73.125436,-29.893138,2,15.36,2.0,B,2,similar colour p-l + extended? star + interacting galaxy + QSO HE0450-2958 (Magain et al. 2005)
