J1321-0014 2.5000E+40 1.17E+40 8.400E+40 3.90E+40 1.2000E+43 5.600E+42 1.55 10 1  3260  380
J1328+2752 2.2030E+41 3.58E+40 5.260E+41 8.50E+40 7.4700E+43 1.210E+43 1.70 24 1  8580  420
J1337+0353 9.3000E+39 2.70E+39 6.400E+40 1.80E+40 9.1000E+42 2.600E+42 0.47 55 8  1490  210
J1350+2311 2.0750E+41 1.92E+40 1.281E+42 1.19E+41 5.8180E+44 5.400E+43 1.10 28 2  6480  380
J1352+0525 2.2120E+41 4.31E+40 6.990E+41 1.36E+41 9.9200E+43 1.930E+43 1.49 34 1  3010  100
J1420+4959 4.2640E+40 1.34E+40 1.008E+42 3.18E+41 4.5760E+44 1.445E+44 1.22 25 3  6160  850
J1431+4358 2.7000E+40 2.61E+40 6.730E+41 6.52E+41 9.5600E+43 9.260E+43 1.78  4 2  1500  670
J1434+1405 2.9200E+40 1.67E+40 4.060E+41 2.33E+41 5.7700E+43 3.310E+43 1.33 33 4  2530  290
J1448+1825 7.1100E+40 8.90E+39 2.350E+41 2.90E+40 3.3300E+43 4.100E+42 0.75 15 2  4120  670
J1452+5110 1.1600E+41 1.84E+40 2.950E+41 4.70E+40 4.1800E+43 6.600E+42 1.44 33 2  2730  170
J1516+0517 7.5200E+40 9.20E+39 1.480E+41 1.80E+40 2.1100E+43 2.500E+42 1.00 33 1  6740  250
J1524+2743 3.6070E+41 3.48E+40 8.890E+41 8.50E+40 1.2620E+44 1.220E+43 1.31 20 3  5510  910
J1526+4140 1.5100E+40 6.00E+38 5.800E+40 2.00E+39 8.2000E+42 3.000E+41 0.17 27 3   950  100
J1532+4532 4.7800E+40 2.38E+40 3.320E+41 1.65E+41 4.7100E+43 2.350E+43 1.36 17 1  4580  360
J1532+2601 1.6970E+41 4.55E+40 5.640E+41 1.51E+41 8.0100E+43 2.150E+43 1.81 10 2  3800  620
J1533+5750 6.3300E+40 1.47E+40 6.120E+41 1.42E+41 8.7000E+43 2.020E+43 1.29 28 2  2140  140
J1552+0433 5.9500E+40 8.70E+39 2.160E+41 3.10E+40 3.0700E+43 4.500E+42 1.52 33 1  2870  110
J1556+0948 1.7730E+41 8.90E+39 4.240E+41 2.10E+40 6.0200E+43 3.000E+42 1.30 11 4  5070 1850
J1605+1522 2.4400E+40 4.70E+39 3.900E+40 7.00E+39 5.5000E+42 1.000E+42 0.83 18 2  2160  260
J1606+3427 3.6300E+40 8.90E+39 1.280E+41 3.10E+40 1.8300E+43 4.500E+42 1.07 34 2  2150  150
J1629+2408 2.0900E+40 7.70E+39 2.900E+42 1.07E+42 1.3167E+45 4.848E+44 1.15 10 2  4480  750
J1630+1649 1.7970E+41 9.70E+39 3.360E+41 1.80E+40 4.7700E+43 2.500E+42 0.68 38 2  1540   80
J1633+2627 3.1400E+40 2.24E+40 3.170E+41 2.26E+41 4.5000E+43 3.210E+43 1.36 10 1  5300  740
J1652+3107 3.4500E+40 1.25E+40 1.230E+41 4.40E+40 1.7500E+43 6.300E+42 1.43 32 3  2700  280
J1720+3106 2.0030E+41 3.39E+40 9.480E+41 1.60E+41 1.3470E+44 2.280E+43 1.77 31 4  3150  430
J2254-0051 4.5700E+40 9.80E+39 3.480E+41 7.50E+40 4.9500E+43 1.070E+43 1.51 13 1  2600  240
J2304-0933 2.0200E+40 3.00E+39 1.107E+42 1.65E+41 5.0270E+44 7.510E+43 0.64 21 3  1850  260
J2310-0900 2.0280E+41 3.18E+40 4.080E+41 6.40E+40 5.8000E+43 9.100E+42 1.75 22 1  5550  230
