J1140+4452 144 1/11  385.2 171.6  779.2 443.4  190.5  93.6  787.8 379.3 144 131
J1148-0216  29 1/9   336.9 130.6  721.9 258.3 1024.7 385.9  444.9 193.7  29  31
J1148-0216 119 1/11  664.4 265.7  775.5 289.0  348.2 175.9  327.9  45.0  29  31
J1150+0441  55 6/7   120.1   0.5  404.2   1.1  565.7  22.2  216.1  94.3  55  82
J1150+0441 145 3/7    91.7  18.3  446.3   3.9  295.9  56.5  230.7   0.5  55  82
J1152+1016  56 8/13  183.2   1.0  596.5   2.0  268.3  81.7  530.8  15.4  56 101
J1152+1016 146 3/5   259.6   1.0  638.7   1.5  461.5 138.0  661.0  42.0  56 101
J1152+1903  17 8/13   91.2   0.8  651.4   4.2  561.9  17.4  238.6   0.8  37  60
J1152+1903 107 3/13   40.9   0.2  644.2   1.5  404.6  13.6  219.7   0.7  37  60
J1156+0459  26 0/11  243.3   4.0  537.8  17.7  428.6 192.8  524.3  69.9  26  32
J1156+0459 116 3/13  246.1  37.5  559.3  15.7  319.6 104.7  583.1  40.5  26  32
J1203+1319  57 0/5   134.3  56.2  477.8 239.4  357.6 239.4  473.8 141.7  57  87
J1203+1319 147 5/5   286.9   3.8  531.7   3.0  539.3  25.5  463.1 191.8  57  87
J1203+2808  35 2/19  213.7 227.8  502.4 210.0  232.8  99.0  693.1 314.9  35  36
J1203+2808 125 1/11  236.8  76.3  571.0 187.9  369.5 155.0  498.1 181.2  35  36
J1208+2304  37 1/13  241.0 100.6  539.3  34.5  233.5  91.6  598.6  48.3  37  44
J1208+2304 127 0/11  221.4  92.4  534.1 166.6  424.1 203.7  487.0 157.9  37  44
J1221+6049  79 0/11  248.9  13.7  900.0  49.4  985.2 122.8  502.3  21.1  79 112
J1221+6049 169 4/9   234.9   6.1  888.1 308.8 1071.2 103.4  551.6 166.9  79 112
J1235+0608  84 5/19  171.7 146.7  950.6 506.7  436.1 376.7  266.3 121.5  84 103
