|plate|fiber|  mjd|     z|  amp1|      vel1|  sig1|     amp2|      vel2|  sig2|  amp3|      vel3|  sig3|  amp4|  vel4|  sig4|  fwhm|  fwqm|    w50|    w80|    w90|     relasym|  r9050|  dp|
| long| long| long|double|double|    double|double|   double|    double|double|double|    double|double|double|double|double|double|double| double| double| double|      double| double|long|
|     |     |     |      |      |          |      |         |          |      |      |          |      |      |      |      |      |      |       |       |       |            |       |    |
| null| null| null|  null|  null|      null|  null|     null|      null|  null|  null|      null|  null|  null|  null|  null|  null|  null|   null|   null|   null|        null|   null|null|
  3674   945 55182 0.5153  6.338     -304.0  224.3     12.82      143.8  171.1  16.66     -9.886  108.3    0.0    0.0    0.1  376.2  647.1   281.3   638.7   843.9    -0.187496     3.0    0 
  3674   999 55182 0.5857  2.732      496.9  947.9       0.0        0.0    0.1    0.0        0.0    0.1    0.0    0.0    0.1 2232.1 3156.7  1278.4  2429.8  3118.0  6.41437e-05 2.43899    0 
  3675   355 55183 0.5548  4.119      10.77  940.1      3.39      427.3  184.8  12.95      151.8  483.8    0.0    0.0    0.1 1221.1 1831.7   794.6  1608.3  2219.0    -0.091753  2.7926    0 
  3675   834 55183  0.594   1.08    -1139.0  421.2     11.81      158.3  465.2    0.0        0.0    0.1    0.0    0.0    0.1 1110.8 1608.7   693.6  1407.8  1944.4    -0.181958 2.80334    0 
  3676   183 55186 0.5211  11.42     -94.83  187.2     18.73      76.28  111.0  1.655     -507.7  557.4    0.0    0.0    0.1  365.9  590.2   301.7   682.9  1089.9    -0.499532 3.61253    0 
  3677   443 55205 0.3996  20.33     -283.9  99.67     27.18      225.4  97.25  11.04     -64.45  294.8    0.0   -0.0    0.1  738.0  863.3   480.1   696.5   825.7   -0.0991246 1.71985    2 
  3678   446 55208 0.3584  2.471      158.6  223.2     18.62     -17.12  78.85   1.22      59.95  545.4    0.0    0.0    0.1  207.0  317.0  199.66   575.4   975.0     0.158012  4.8833    0 
  3678   905 55208 0.6387  2.949      43.98  730.2     2.219      146.1  232.5    0.0        0.0    0.1    0.0    0.0    0.1  999.3 1883.3   781.8  1687.9  2246.0   -0.0388246 2.87286    0 
  3679   775 55209 0.5635  4.808     -145.6  457.3     11.07      143.2  151.9  7.341     -202.9  144.8    0.0   -0.0    0.1  711.2  967.4   439.8   840.8  1152.0    -0.164931 2.61937    1 
  3680   644 55210  0.512  9.181      39.12  399.4     6.425     -56.39  149.3    0.0        0.0    0.1    0.0    0.0    0.1  618.2 1060.5   440.8   918.2  1222.0    0.0633234 2.77223    0 
