|plate|fiber|  mjd|     z|  amp1|   vel1|  sig1|  amp2|    vel2|  sig2|  amp3|   vel3|  sig3|  fwhm|  fwqm|   w50|   w80|   w90|   relasym| r9050|  dp|      ra|      dec| oiiilum|
| long| long| long|double|double| double|double|double|  double|double|double| double|double|double|double|double|double|double|    double|double|long|  double|   double|  double|
|     |     |     |      |      |       |      |      |        |      |      |       |      |      |      |      |      |      |          |      |    |        |         |        |
| null| null| null|  null|  null|   null|  null|  null|    null|  null|  null|   null|  null|  null|  null|  null|  null|  null|      null|  null|null|    null|     null|    null|
   406   314 51869  0.344  11.63  -193.8  630.8  16.37    90.72  276.4  7.059  -152.1  119.8  812.4 1395.0  595.2 1297.0 1753.0    -0.1406  2.946    0  34.4924 -0.217429  2.81838 
   406   371 51869 0.4001  8.422  -307.5  545.8  26.71   -2.681  104.2  11.19  -53.11  181.2  328.8  581.8  396.9  979.1 1394.0    -0.3316  3.512    0  35.3327  0.941207   3.0903 
   408   378 51821 0.2066  154.1   127.6  272.3  70.24    217.7  114.7  87.37   -20.8  578.9  668.3 1117.0  506.4 1092.0 1519.0    -0.1435    3.0    0  39.1461  0.857459  6.30957 
   409   554 51871  0.408  6.743  -63.17  516.5  20.42   -34.63  163.6  6.715  -111.7  85.73  412.6  661.8  334.1  843.0 1288.0   -0.01281  3.856    0  42.4421  0.167526   2.5704 
   413   169 51929 0.6353  7.994  -264.6  797.3  6.411   -121.4  106.2  3.377   566.4  311.1 1271.0 2255.0 1043.0 1977.0 2510.0   -0.09116  2.407    0  49.7901 -0.321297  9.54993 
   415   191 51810 0.3098  17.12  -10.18  259.9  7.027   -38.18  593.8    0.0    -0.0    0.1  736.5 1135.0  499.7 1066.0 1513.0   -0.02349  3.028    0  53.2021 -0.170094  1.47911 
   416   320 51811 0.4317  9.138  -23.46  407.8  1.454   -649.4  841.9  7.373   12.63  152.4  629.6 1155.0  545.9 1257.0 1847.0    -0.2757  3.384    0   54.028 -0.131878  2.45471 
   426   590 51882 0.3896   10.4  -79.78  657.0  22.49   -17.77  206.9    0.0    -0.0    0.1  626.1 1080.0  518.0 1269.0 1811.0   -0.04678  3.496    0  25.6562   14.6883  3.54813 
   432   103 51884 0.4872  4.377  -24.31  322.8  2.914   -475.0  735.5  2.151  -116.3   36.4  773.6 1545.0  770.0 1594.0 2100.0    -0.2302  2.728    0  116.129   39.7514  2.04174 
   432   359 51884 0.6142  13.59   -51.6  169.9   16.8   -73.74  341.9    0.0    -0.0    0.1  570.8  893.9  369.5  755.2 1012.0    -0.0184  2.739    0  114.441   40.3629  8.51138 
   434   437 51885 0.1807  42.69   242.3  112.7  274.0   -38.84  119.2    0.0    -0.0    0.1  297.0  453.9  190.0  385.4  508.1     0.1749  2.674    0  116.811   42.7556  1.69824 
   436    67 51883 0.5561  82.15   -18.3  180.0  41.82   -204.8  133.1  8.764   144.0  45.82  489.4  644.3  266.9  486.3  612.6    0.04074  2.296    0  120.476   44.2094  16.9824 
   436   361 51883 0.5936  19.43   -63.9  222.5  14.37   -6.852  91.58  2.034  -596.4  628.3  371.5  631.5  319.9  776.0 1270.0    -0.4343  3.968    0   119.03   46.2365  6.76083 
   437    64 51869 0.4939  2.918  -188.0  496.1  11.31   -10.62  214.5  2.599  -210.4  69.93  591.0  863.0  379.1  808.0 1155.0    -0.1475  3.048    0  121.213   42.2815  2.34423 
   438   189 51884 0.1206  121.4   61.73  192.9  108.9   -152.3  95.86  121.0   66.15  439.4  625.4  961.4  431.1  881.7 1226.0    0.08474  2.844    1  120.601   46.7168  1.54882 
   447   190 51877 0.7637  3.735   47.49  243.7    0.0      0.0    0.1    0.0     0.0    0.1  573.9  811.6  328.8  624.8  801.8  2.499e-05  2.439    0  131.914   51.7536   1.8197 
   454   628 51908 0.1001  211.5   187.8  177.4  266.9   -150.9  342.2  112.1  -71.74  57.11  715.6 1072.0  451.8  856.0 1086.0    -0.1379  2.403    2   38.101  -8.19451  1.58489 
   455   428 51909 0.3098  14.55    26.3  84.86  26.26    172.8  280.8  9.925  -185.4  505.9  578.6 1012.0  456.2 1007.0 1366.0    -0.1789  2.994    0  38.5491  -7.76068  2.29087 
   457   106 51901 0.4634  6.568  -2.987  188.2  4.499   -94.85  410.7    0.0    -0.0    0.1  582.3  931.9  397.9  837.6 1145.0   -0.08751  2.877    0  44.0068  -8.32037  1.51356 
   457   296 51901 0.2682  3.231 -1235.0  577.8  19.91    147.4  261.9   32.3   81.22  673.6 1101.0 1932.0  817.6 1742.0 2344.0    -0.1188  2.867    0  42.4174  -8.46795  3.38844 
   459   511 51924 0.2075  399.2   11.98  121.9  46.86   -33.24  72.71  96.64  -14.22  264.6  308.7  460.7  200.6  414.6  584.3   -0.03349  2.913    0  48.6178  -7.42162  4.89779 
   464   104 51908 0.1705  73.18  -287.9  163.7  109.6    95.21  137.1  49.59   18.16  485.3  723.1  992.2  462.8  896.0 1241.0    0.04061  2.682    1  60.0066   -6.8817  1.99526 
   467   358 51901 0.1106  372.0  -16.05  90.34  908.1    17.28  177.8    0.0     0.0    0.1  343.8  521.9  212.6  421.4  552.8    0.03304    2.6    0  130.396   1.03231  2.81838 
   469   592 51913 0.5142  10.22  -56.16  520.9  22.52   -289.2  81.32  27.67   -7.62  223.6  654.8  902.9  436.9  838.5 1219.0    0.05128   2.79    2  135.696   1.34122  8.70964 
   470   167 51929  0.353   14.0   1.414  241.7  3.482   -393.3  568.3  72.79  0.2411  120.6  316.5  468.9  223.7  525.3  902.2    -0.3333  4.033    0  136.059 -0.362482  3.38844 
   471   599 51924 0.6032  4.663  -73.34  124.9  3.443    38.03  564.3    0.0    -0.0    0.1  457.9 1172.0  548.7 1272.0 1709.0    0.07428  3.115    0   137.99   1.72434   2.5704 
   472   161 51955 0.5614  3.294    90.0  266.2  2.105   -240.9  751.7  7.673  -98.54  98.64  346.4  767.2  477.7 1354.0 1931.0    -0.1608  4.042    0  138.676  0.110322  2.69153 
   474   416 52000 0.3873  7.123  -149.2  86.28  17.04    1.339  369.5  1.632   41.72  982.6  720.6 1179.0  536.5 1130.0 1607.0    0.05966  2.995    0  140.825    1.0291   2.5704 
   475   205 51965 0.1174  591.8   21.89  87.78  50.03    -55.9  297.4  95.73  -69.73  105.3  228.9  336.0  151.3  318.8  473.6    -0.1581   3.13    0  142.282  0.443665  1.28825 
   476    95 52314 0.6148   2.58   23.72  117.3  1.073   -155.3  265.6    0.0    -0.0    0.1  338.7  576.9  258.0  550.6  730.8    -0.2652  2.833    0  144.249 -0.829566 0.630957 
   477   580 52026 0.5925  8.206   196.4  252.2  35.97   -147.6  165.7    0.0    -0.0    0.1  433.8  674.9  293.6  613.1  814.4     0.2466  2.774    0  145.803   2.72382  7.76247 
   480    44 51989 0.3241  18.93   12.37  228.5  5.043   -113.9  459.3    0.0    -0.0    0.1  604.4  896.4  385.9  787.0 1086.0    -0.1068  2.813    0   147.15  0.351281  1.25893 
   486   154 51910 0.3413  1.687  -5.561  627.5  19.42   -25.48  216.1  23.63  -43.87  100.1  328.5  537.9  246.1  560.7  833.7    0.03618  3.388    0  145.962   61.0489  1.65959 
   489    56 51930 0.4018  62.57  -7.088  279.1  109.2    13.93  105.1  17.47  -419.2  632.5  349.2  653.5  367.9  957.1 1428.0    -0.3512  3.882    0  159.965   64.5012  13.4896 
   496   172 51988 0.2235  54.91   33.95  447.2  151.3   -168.5  137.1   95.4   41.18  126.5  493.4  719.8  337.1  740.0 1078.0      0.171  3.197    0  200.121   66.3925  4.36516 
   497    76 51989 0.2063  280.9   51.28  302.7  81.62   -86.25  95.74  25.34  -626.2  508.3  638.7  983.2  428.2  906.7 1291.0    -0.1729  3.015    0  208.213    65.687  6.60693 
   501   523 52235 0.4686  9.539  -86.42  289.9  21.49    1.252  106.1    0.0    -0.0    0.1  313.4  525.3  243.1  552.7  776.2    -0.1521  3.193    0  151.248   3.03389   2.5704 
   505   134 52317 0.1068  231.6   170.2  93.38  456.2   -56.79  124.6  68.89  -15.03  331.8  443.1  588.0  256.3  478.3  634.7  -0.004074  2.476    0  159.002   1.61488  1.34896 
   515   452 52051 0.5748  33.88  -111.2  270.7  43.58   -46.86  113.9   15.6   43.24  449.7  427.8  778.7  341.7  784.3 1094.0    0.07113  3.202    0   178.31   3.44961  18.6209 
   518    74 52282 0.2132   54.7  -175.0  100.4  65.96   -33.46  379.6  110.7   42.43  129.2  505.5  753.9  336.7  715.3 1021.0   -0.02298  3.032    0  184.648   2.37776  3.01995 
   519     8 52283 0.7321  58.18  -68.11  232.5    0.0   -45.35  73.47  7.029   71.64  60.32  544.5  769.4  310.7  587.8  757.8   -0.02338  2.439    0  186.735   1.52343  24.5471 
   519   258 52283  0.267  17.88  -82.74  260.3  59.81    54.34  139.7  2.893  -243.4  730.8  383.7  589.3  281.0  639.9  967.8    -0.2826  3.444    0   185.34   1.67166  1.77828 
   520   190 52288 0.4807  78.87  -44.96  226.9  115.5   -55.07  112.3  4.954  -185.9  722.3  344.2  540.4  245.1  544.0  810.7   -0.04872  3.308    0  188.066   2.10278  18.6209 
   523   437 52026 0.4505  9.385   31.35  218.9  10.22   -85.36  99.28    0.0    -0.0    0.1  350.7  577.2  245.0  490.8  644.4     0.1647   2.63    0  193.514   2.86995  1.38038 
   526   616 52312 0.2691   32.9  -266.6  222.7  79.58    188.7  116.8    0.0     0.0    0.1  305.5  859.4  437.2  731.6  883.1    -0.3743   2.02    2  200.828   3.13532  1.99526 
   532   497 51993 0.3094  14.01   109.7  91.89  76.07   -6.866  169.2  23.42  -113.2  410.5  459.6  691.3  316.4  680.0  978.1    -0.1673  3.091    0  211.917   2.29675   4.0738 
   536    43 52024 0.6513  3.901  -36.09  362.8    0.0     -0.0    0.1    0.0    -0.0    0.1  854.3 1208.0  489.4  929.8 1193.0 -1.677e-05  2.438    0   220.13  0.704911  1.77828 
   537   487 52027 0.3857  3.807   169.5  65.74  3.212   -561.4  636.5   10.7   2.347  236.6  615.0 1019.0  595.6 1307.0 1722.0    -0.4124  2.891    0  221.797    2.1934  1.44544 
   538   593 52029  0.265  50.69   74.53  109.8   19.0   -130.8  274.9  12.81  -159.6  450.3  368.5  768.2  381.1  777.8 1066.0    -0.2544  2.797    0  224.609   1.94618  1.90546 
   541   413 51959  0.446  7.049   41.87   75.5  18.13   -237.0  58.19  19.21   -14.0  291.2  513.0  771.0  365.6  667.1  885.5    0.09258  2.422    0  114.794   33.5649  3.16228 
   541   437 51959 0.5321  7.871   -44.0  258.2  4.799    94.93  96.91    0.0     0.0    0.1  480.6  739.0  316.6  610.7  798.4     -0.119  2.522    0  114.271   32.6759  1.77828 
   542   500 51993 0.4297  5.012   127.2 1054.0  5.158   -53.48  249.0    0.0     0.0    0.1 1037.0 2469.0 1088.0 2433.0 3241.0    0.05616   2.98    0  116.821   34.8396  2.63027 
   544   464 52201  0.216  28.75   -33.1  830.9  95.06   -20.93  349.1  82.71   23.17  142.6  594.9 1089.0  513.0 1218.0 1813.0   -0.02863  3.535    0  119.587   39.3933   4.7863 
   546   527 52205 0.5099  30.11   61.41  165.1  9.013   -462.5  138.3  21.88  -67.02  542.2  792.5 1224.0  566.9 1140.0 1553.0   -0.05505   2.74    1  123.781   43.0742  11.4815 
   546   628 52205 0.2316  35.92   46.82  208.5  10.07   -53.29  543.0  36.86   16.03  100.1  363.1  622.7  301.1  744.3 1149.0    -0.1043  3.815    0  124.887   42.6029  1.38038 
   560   520 52296 0.0511 3118.0  -54.76  254.8  247.6    110.2  748.3 1046.0   10.25   92.3  510.9  813.1  362.4  779.1 1140.0    0.07555  3.145    0  158.536   60.0312  2.95121 
   564   325 52224 0.2739  26.09  -184.6  92.59  20.32   -22.79  334.2  94.18   3.117  120.7  375.5  539.4  240.0  490.1  708.1   0.004265   2.95    0  130.279   3.57815   2.5704 
   565   263 52225 0.1882  60.87   122.3  98.03  93.42   -25.24  127.9   26.3  -29.39  373.1  384.3  552.7  255.1  537.9  809.7    -0.1131  3.174    0  133.022   2.71971  1.38038 
   570   515 52266 0.1559  216.0   24.59  163.2  119.8    109.4   90.2  14.05  -139.3  438.8  344.2  512.6  225.5  454.6  633.0    -0.1776  2.807    0  146.277   3.93087  1.65959 
   571    61 52286 0.4215  4.219  -33.52  171.4  2.219   -105.9  936.2   3.97   404.1  288.4  974.6 1525.0  746.6 1773.0 2471.0    -0.1654   3.31    0  148.809   3.78171  1.51356 
   581   211 52356 0.2424  86.42  -139.8  130.8  106.1    2.881  263.0   12.3  -152.1  563.1  506.2  790.6  344.2  704.9  978.6    0.04104  2.843    0  166.592   3.96309   4.2658 
   582   294 52045 0.2525  31.06  -58.55  248.9  53.69    49.31  113.3  4.131  -167.6  551.5  358.8  610.0  282.1  619.8  881.9     -0.206  3.126    0  210.578   3.74534  1.62181 
   582   562 52045 0.5675  11.65  -47.16  345.4  30.33     19.6  114.2    0.0     0.0    0.1  331.1  544.6  263.4  631.3  914.0    -0.1049   3.47    0  212.201   5.39886  6.45654 
   590   368 52057 0.1114  83.34  -277.6  689.4  128.7    100.6  157.4  66.12   31.67  312.6  616.8 1294.0  653.4 1403.0 1915.0    -0.2392   2.93    0  227.268   4.57827  1.44544 
   591   166 52022 0.6128  2.354  -92.69  336.6  9.574   -15.54  153.5    0.0    -0.0    0.1  405.8  604.1  264.4  548.3  772.1    -0.1063   2.92    0  229.298   3.51672  2.39883 
   593   145 52026 0.2056  29.45  -126.2  112.6  47.08    22.46  366.7  2.283 -1007.0  322.5  606.6 1019.0  446.5  932.7 1277.0   -0.01076   2.86    1  233.629    3.2577  1.31826 
   600    45 52317 0.5942  13.22  -38.15  226.7    0.0     -0.0    0.1    0.0    -0.0    0.1  533.8  755.0  305.7  580.9  745.7 -2.046e-08  2.439    0  188.721   64.0862  2.95121 
   600   637 52317 0.1071  200.2   91.59  119.1  77.46   -247.6  651.0  83.58  -23.38  316.1  434.7  978.2  548.0 1219.0 1710.0    -0.2508  3.121    0  191.028   65.4903  1.38038 
   626   537 52057 0.2228  161.3   38.29  204.8  40.14   -96.29  524.4  47.39   18.74  89.37  458.7  745.6  348.3  797.7 1181.0    -0.1524   3.39    0   247.96   44.8987  4.36516 
   628   526 52083  0.221  5.023  -981.7  817.2  54.47     53.9  226.7  17.62  -80.26  523.7  642.0 1029.0  546.4 1354.0 1973.0    -0.3944  3.611    0  250.362    43.356  1.90546 
   629   241 52051 0.1468  125.8   30.38  102.7  130.1   -3.986  183.4  42.74  -191.7  593.1  360.5  600.3  337.0  908.3 1386.0     -0.247  4.114    0  250.634   43.2382  1.69824 
   633   146 52079 0.5959  7.433  -29.71  506.7  21.79   -30.31  130.0    0.0    -0.0    0.1  375.7  628.5  342.9  946.8 1374.0  0.0006697  4.006    0  255.467   38.9837  6.45654 
   648   618 52559 0.7036  13.75  -74.47  339.0  90.92   -24.27  113.2    0.0    -0.0    0.1  290.9  430.4  200.2  440.4  686.8    -0.1096   3.43    0  357.491  -8.94269  23.4423 
   652   399 52138 0.1668  114.3   3.746  208.3  20.67   -54.75  473.9  53.11  -91.47  106.6  456.9  697.7  308.4  645.7  922.6  -0.001149  2.992    0  3.02629  -9.79046  1.47911 
   653   149 52145 0.3035  24.97    87.0  85.15  34.57    23.14  228.9  3.128   6.974  640.4  374.3  652.2  297.6  658.4  955.7   -0.06318  3.211    0  6.38107  -10.6728  1.94984 
   667   135 52163 0.5401  128.6  -107.5  147.1  17.09    276.2  66.85  64.24  -22.78  338.1  436.1  755.0  316.7  662.7  894.7    0.09907  2.825    1  32.6959  -10.0314   30.903 
   669   209 52559  0.643  15.71  -24.64  216.9  3.594   -366.6  798.0  5.791  -10.34  92.43  462.1  778.0  461.9 1284.0 1897.0     -0.306  4.106    0  1.22262 -0.843989  8.31764 
   669   602 52559 0.4094  13.43   20.45  141.2  6.862    29.55  287.0  13.28  -154.6  101.7  436.4  618.9  269.1  520.0  696.2     0.1488  2.587    0  2.79981  0.940632   1.8197 
   670    55 52520 0.5202  6.745  -98.42  696.9  13.27    43.57  186.0  7.825  -507.2  101.8  931.1 1267.0  667.7 1339.0 1915.0   -0.04305  2.868    2  16.9604  -0.89802  5.37032 
   671   604 52206 0.3628  25.24  -39.97  233.8   4.99    138.7  433.3    0.0    -0.0    0.1  598.7  875.1  371.3  742.5 1008.0      0.115  2.714    0  36.7551   1.12007  2.04174 
   673   297 52162 0.5303  3.245   215.1  68.45  7.619   -93.86  233.0    0.0    -0.0    0.1  656.7  823.9  357.9  622.9  767.2   -0.05952  2.144    0   336.63  -1.01501  1.41254 
   675    30 52590 0.5722  9.946   120.3  83.59 0.4144   -266.3  714.6  11.24  -191.9  109.2  535.3  638.4  333.1  537.7  733.7   -0.05504  2.203    0  342.405 -0.126367  2.04174 
   675   343 52590 0.4379  46.17  -92.76  107.4  40.14    18.83  282.8  18.95  -115.5  451.4  458.3  844.5  368.8  817.7 1124.0   -0.01367  3.047    0  340.113  0.729857  10.4713 
   675   563 52590 0.5293  29.35   96.42  144.1  34.83   -231.9  138.0  10.55  -52.24  414.1  660.5  853.9  381.7  689.1  916.9     0.0481  2.402    2  341.941   1.08816  9.54993 
   676    10 52178 0.6479  2.768   372.7  696.4    0.0      0.0    0.1    0.0     0.0    0.1 1640.0 2319.0  939.5 1785.0 2291.0 -8.731e-05  2.438    0  344.051  -1.08559  2.39883 
   676   245 52178 0.5967  2.538  -70.18  170.0   2.77   -14.75  36.37 0.9196  -94.68  548.2  232.6  542.8  340.6  913.8 1388.0   -0.06214  4.075    0   342.46 -0.865902  1.02329 
   679   149 52177 0.4969  5.622  -55.15  398.3  15.52   -41.47  124.4    0.0    -0.0    0.1  358.7  584.1  288.1  716.0 1053.0   -0.01909  3.655    0  349.029 -0.421968  2.45471 
   679   254 52177 0.4792  2.015  -108.9  510.2  3.727   -218.5  92.86  5.141   29.19  160.2  575.5  803.8  384.0  850.7 1271.0   -0.06273   3.31    0  348.164 -0.834847   1.1749 
   682   216 52525 0.4385  31.41   -79.4  246.7  4.273   -328.9  722.8  53.45   60.69  113.4  366.9  641.0  323.3  727.0 1136.0    -0.3518  3.514    0  353.993 -0.833342  7.07946 
   685   202 52203 0.6277  182.8  -54.77  75.78  47.52    118.0  58.13  16.85  -73.51  183.0  208.6  346.7  141.2  283.5  370.3    0.07702  2.623    0   359.63 -0.374032  22.3872 
   686   350 52519 0.6007  7.809   355.7  236.0  19.21   -53.39  102.7  5.523  -267.8  187.5  302.0  855.2  400.2  799.0 1025.0     0.2165   2.56    2 0.746236  0.671701  4.89779 
   688    21 52203 0.4178  9.817   104.8  70.75  27.57   -56.81  219.6    0.0    -0.0    0.1  498.6  695.5  295.3  542.7  700.0   -0.08369   2.37    1  7.11576 -0.705221  2.51189 
   692   306 52201 0.7276  9.569  -153.6 1242.0  17.41    235.1  193.4  24.57  -375.7  513.3 1499.0 2115.0 1005.0 2050.0 2998.0    0.01227  2.983    2  12.5409 -0.650157   47.863 
   692   548 52201  0.484  1.426 -1401.0  219.2  36.12   -31.91  150.6  16.44   183.4  620.7  463.3 1005.0  543.4 1339.0 1914.0    0.08062  3.523    0  14.0905  0.543282  8.91251 
   696   243 52209  0.601   11.1  -45.46  117.0  1.472    32.68  375.3    0.0    -0.0    0.1  298.0  439.2  207.2  465.0  741.6     0.1625  3.579    0  20.1342 -0.917222  1.86209 
   696   498 52209  0.399  25.52   -6.48  278.9  49.34   -82.16  178.3    0.0    -0.0    0.1  485.3  710.2  293.8  576.4  760.9    0.06266   2.59    0  20.9228  0.743312  5.24807 
   698   158 52203 0.1969  62.64   29.54  660.3   99.2   -170.9  131.1  40.51   167.5  90.15  651.8 1265.0  603.6 1425.0 1947.0    0.08954  3.226    2  24.9256 -0.105242  3.23594 
   698   400 52203 0.5559  26.64  -271.3  106.8  37.06   -57.38  140.0  25.88  -10.57  410.8  551.7  859.1  377.6  801.5 1115.0     0.1409  2.953    0  23.5681  0.237107  15.1356 
   699   235 52202  0.599  3.088  -216.0  559.1  7.493    34.71  224.3  7.217   -81.2  115.2  457.5  770.2  376.8  943.9 1358.0    -0.1918  3.603    0  26.0054 -0.538962   4.2658 
   700     4 52199  0.545  17.87  -27.28  204.1  5.654   -615.5  48.95  5.122   571.4  132.9  483.4 1297.0  374.7  880.2 1205.0    0.04074  3.216    2   29.558 -0.885114  3.54813 
   700    18 52199 0.4223  52.11   -59.5  193.9  18.78   -44.38  378.4  15.56  -15.08  63.43  447.0  718.1  313.1  658.3  910.5  6.587e-05  2.908    0  29.3205 -0.884665  6.91831 
   700   289 52199 0.5669  10.37  -292.5  567.6  20.02    -43.3  277.6    0.0    -0.0    0.1  813.8 1287.0  552.4 1148.0 1548.0    -0.1652  2.802    0  27.3855 -0.801016  9.77237 
   703    60 52209 0.3722  20.52  -19.78  226.0  19.94    -1.05  89.47    0.0    -0.0    0.1  317.2  546.3  228.6  494.0  669.7   -0.02745   2.93    0  34.6434 -0.769519  1.77828 
   708    43 52175 0.7007  4.836  -69.62  121.5  1.585   -63.81  378.1    0.0    -0.0    0.1  343.5  546.8  267.2  651.5  973.4    0.00902  3.644    0  43.9917  -0.99833   1.8197 
   710   407 52203 0.4652  4.015  0.6436   97.0  4.717   -87.79  399.9  3.041   263.3  52.89  598.2 1007.0  465.7  907.9 1214.0    -0.1051  2.606    0  47.0408  0.873832  1.20226 
