SDSS J090413.82+535615.7 0.097729 0.000070   55.9 17.0   61.5 17.0   58.7 12.0
SDSS J090533.54+184002.6 0.122413 0.000027 -223.3 18.7 -217.0 18.3 -220.1 13.1
SDSS J090541.02+332421.7 0.063735 0.000011 -104.0 23.1  -74.0 20.6  -87.3 15.4
SDSS J090552.53+170211.2 0.101498 0.000018  -69.7 18.1  -58.8 17.9  -64.2 12.8
SDSS J090818.04+032010.7 0.135861 0.000032   78.1 17.7   79.9 18.5   78.9 12.8
SDSS J091339.47+295934.6 0.022515 0.000090 -181.3 20.0 -175.2 16.9 -177.8 12.9
SDSS J091445.53+413714.4 0.140383 0.000026  -63.8 20.8  -62.2 18.7  -62.9 13.9
SDSS J091521.99+112140.0 0.102114 0.000033   69.3 19.2   56.5 17.3   62.2 12.8
SDSS J091542.95+515333.5 0.058637 0.000022   86.8 15.6   75.0 15.5   80.8 11.0
SDSS J091830.15+462936.5 0.073401 0.000015  -73.7 15.7  -70.8 15.7  -72.2 11.1
SDSS J091858.28+140613.7 0.199655 0.000019  -65.6 18.2  -53.6 17.6  -59.4 12.6
SDSS J091925.83+065414.2 0.091692 0.000024  -66.2 17.1  -66.6 17.3  -66.4 12.2
SDSS J092106.50+311342.2 0.096926 0.000022  -82.9 16.4  -79.1 16.5  -81.0 11.6
SDSS J092333.57+393718.5 0.197890 0.000030   88.7 20.9   93.8 20.2   91.3 14.5
SDSS J092344.84+263439.2 0.187469 0.000019   96.6 20.1   80.2 20.0   88.4 14.2
SDSS J092617.51+413026.2 0.143599 0.000016  -58.1 17.8  -63.1 17.0  -60.7 12.3
SDSS J092845.49+534058.6 0.185443 0.000043 -175.8 25.8 -165.8 25.1 -170.6 18.0
SDSS J092907.77+002637.1 0.117323 0.000015  213.9 36.0  222.2 36.0  218.1 25.5
SDSS J093137.20+342205.3 0.131081 0.000026 -120.5 16.7 -119.2 15.6 -119.8 11.4
SDSS J093339.81+210140.2 0.047036 0.000016   60.0 15.5   57.4 15.4   58.7 10.9
SDSS J093425.77+515316.4 0.141672 0.000018   53.2 17.1   69.9 16.9   61.7 12.0
SDSS J093457.60+214218.9 0.012388 0.000070  -73.2 16.1  -82.9 14.8  -78.4 10.9
SDSS J093518.34+290116.6 0.128896 0.000020   69.9 16.8   87.7 16.5   79.0 11.8
