J000816.67+040006.6 4297 769 55806 0.5740 0.5737  156  134 -101  219  -91  213 136  45
J002127.73+071740.8 4537 156 55806 0.2296 0.2295  298  135 -113  264  -89  234  42  21
J003952.73+014829.2 4304 302 55506 0.2101 0.2104  261  169 -144  204 -159  180  33  14
J005021.52+073544.8 4543 977 55888 0.3932 0.3931  178  331 -208  123 -157  117  51 116
J010101.74+022640.9 4311 595 55506 0.4482 0.4482  667  118  -96  166 -124  188 104   9
J012523.55+212612.2 5127 660 55889 0.1593 0.1595 1162  219 -411   17 -573    7  26   8
J012638.50+192908.7 5135 891 55862 0.5092 0.5096  155  127 -154   86 -188   74 125 101
J012924.79+113432.3 4666 436 55832 0.1067 0.1068  362  345 -194  124 -178  138  27  30
J012941.10+060132.4 4424  39 55532 0.4755 0.4753  219  120 -152  167 -118  178  86  47
J013736.25-002633.7 4231 469 55444 0.6396 0.6399  126  254 -198  121 -141  173  14  30
J014000.99-012005.7 4350 625 55556 0.5859 0.5864  174  304 -220   88 -209  130  20  38
J014016.12-032710.1 4350 405 55556 0.6145 0.6138  330  303 -194  201 -209  181 258 199
J014121.49+063746.1 4404 645 55513 0.5209 0.5203* 370  363 -279  153 -251  144  53 126
J015431.95+221245.7 5111 688 55840 0.2455 0.2451  209  239 -346   89 -406   53  12  39
J015628.97+174940.2 5106 477 55833 0.5430 0.5432  641  654 -449   82 -389  128 267 290
J015802.20+263231.5 5697 839 55944 0.4580 0.4581  400  303 -153  284 -174  237  41  25
J020106.16+004054.1 3609 605 55201 0.5171 0.5163  266  272 -242  208 -246  192  73 156
J021451.36-082523.7 4395 619 55828 0.4222 0.4224  620  186  -94  151  -38  -12 127  25
J021532.23+022630.2 4267 699 55484 0.5829 0.5829  126  124 -281   70 -172   64   9  23
J022324.44+025827.2 4265 679 55505 0.4734 0.4735  332  282 -215  209 -284  151  69  49
J023034.73-010500.7 3615 122 55179 0.4051 0.4053  179  179 -175  166 -203  156  35  25
J023106.51-034513.7 4386 563 55540 0.5418 0.5421   60  307 -225   19 -235   14  24  70
J023658.07+024217.9 4261 532 55503 0.0874 0.0877  134   63 -146  103 -146  103  12  12
J025512.25+034047.3 4256 189 55477 0.4856 0.4858* 579   99 -158  118 -172   73  99  18
J073312.69+331740.6 4444 807 55538 0.4456 0.4460  168  273 -130  149  -80  205  27  31
J074502.90+252458.0 4462 181 55600 0.4040 0.4038  190  156 -177  149 -139  145  69  71
J074758.69+174509.4 4492 895 55565 0.3988 0.3988  223  152 -272  104 -264   90  79 156
J074823.50+313451.1 4448 943 55538 0.5168 0.5164  341  224 -160  176 -161  171 146 147
J075032.19+493721.0 3677 443 55205 0.4002 0.3998  293  237 -396   73 -388   88  51  52
J075636.09+094523.9 4511 143 55602 0.5415 0.5410  306  164 -200  147 -212  101 317 138
J080004.05+232616.3 4471 758 55617 0.0292 0.0294  604  242  -89  230 -145  201  13   4
J081957.89+000401.8 4790 274 55888 0.3230 0.3230  322  220 -181  138 -124   79  17  22
J082832.68+514832.8 3695 695 55212 0.4198 0.4200  610  168  -49  196  -60  180 205  37
J082838.08+480802.8 3696 339 55277 0.4361 0.4363  172  137 -149  119 -154   88  37  42
J083611.34+030308.1 4794 805 55647 0.4396 0.4391  248  368 -429   66 -442    8  51 119
J083823.11+015012.5 4793 667 55648 0.5587 0.5589  184  215 -161  106 -193   86  65  96
J084218.09+285907.7 4454 943 55536 0.4560 0.4556  244  322 -281   60 -314   38  74 125
J084258.20+310324.9 5185 438 55978 0.4910 0.4916  295  311 -208  211 -190  191  96  71
J084450.28+394519.2 3765 837 55508 0.5244 0.5248  453  721 -323  221 -298  133  84 132
J085050.39+451308.2 5162 410 55893 0.1375 0.1376  139  449 -198  148 -209   69  28  62
J085342.12+340620.4 4602 291 55644 0.6291 0.6295  298  241 -136  276 -147  239 256  93
J085509.97+435429.5 4688 491 56008 0.4303 0.4301  247  325 -229  124 -217  121  46 100
J090323.13+051359.6 4868 203 55895 0.4947 0.4946  296  221 -219  188 -186  176  90  76
J091248.41+032714.9 3820 185 55542 0.3986 0.3988  114  100 -149  128 -149  122 195 182
J092023.84+003448.6 3821 991 55535 0.4111 0.4117  186  636 -196   77 -171   10  30 129
J092222.50+003006.6 3823 607 55534 0.4023 0.4024  139  103 -129  195 -127  193  75  52
J092246.47+123013.0 5308 388 55976 0.4577 0.4575  355  395 -335  184 -326  167 111 162
J093050.73+391042.1 4574 595 55621 0.4480 0.4478  121  616 -172   98 -175   99 147 659
J094319.24-000424.9 3826 115 55563 0.4634 0.4662  509  389 -158  471 -133  436  33  31
J095236.82-004447.4 3827  94 55565 0.4487 0.4487  347  244 -121  236 -189  156  52  18
J095626.80-010145.7 3768 918 55564 0.4692 0.4689  363  362 -202  126 -217  120 117 154
J100220.65+014614.4 4737  93 55630 0.4145 0.4151* 519  168 -182  194 -264  174  67  14
J100913.33+131258.4 5328 995 55982 0.4888 0.4881  243  206 -360  113 -353   92  87 136
J101303.82+052531.0 4801 792 55653 0.2374 0.2381  197  271 -135  287 -131  269  57  25
J101350.46+445758.2 4692 529 55644 0.4328 0.4333  155  207 -155  149 -182  143  56  61
J101350.71+171205.8 5332 935 55981 0.4052 0.4048  127  428 -279   88 -297   64  28 112
J101456.34+204550.6 5872 469 56027 0.4165 0.4158  149  190 -149  136 -120  149 317 394
J101514.69+073123.3 4876 669 55679 0.5855 0.5861  244  219 -182  139 -208  135 108  99
J101716.77+372428.2 4563 381 55617 0.4628 0.4621  258  289 -129  159 -157  137 171 221
J101826.68+035854.5 4802 471 55652 0.6151 0.6154  225  221  -89  256 -143  228 101  59
J102326.34+093242.7 5339 827 55922 0.4642 0.4636  183  142 -341  120 -322  106 121 166
J102410.27+091925.9 5339 879 55922 0.4027 0.4025  296  282 -164  107 -159   83  97 115
J102635.44+203503.0 5873 435 56035 0.5099 0.5098  207  178 -292   87 -292   87  18  46
J103851.29+005004.6 3833 873 55290 0.4686 0.4691  192  154 -154  152 -168  152  53  37
J104039.84+372440.2 4634 367 55626 0.4480 0.4482  178  194 -212   88 -227   60  50  83
J104051.69+432850.8 4690 455 55653 0.3902 0.3900  179  152 -149  131 -168  110 287 238
J104651.98+020329.9 4733 267 55649 0.5608 0.5605  123   98 -135  134 -134  121 123 176
J104927.61+120541.5 5353 341 55980 0.5972 0.5971  234  317 -264   85 -227  161  74 104
J105751.54+182001.3 5887 115 56035 0.5067 0.5077  105  101 -127  376 -116  366 107  54
J105920.50+360105.5 4626 411 55647 0.4323 0.4322  331  302 -187  152 -215  104 122 114
J110102.90+095641.7 5361 475 55973 0.4172 0.4170  367  153 -187  205 -189  208  94  57
J110213.79+052411.6 4855 417 55926 0.5738 0.5743  257  346 -179  166 -153  203  76 105
J110531.94+200116.3 5877 529 56041 0.6406 0.6398  330  198 -142  203 -177  187 181 119
J110931.57-000425.0 3837 231 55572 0.5347 0.5346   77  110 -161   93 -164   99  78 115
J110934.80+144620.7 5362 292 56017 0.5734 0.5729  269  348 -107  206 -111  188 297 160
J111026.65+383316.4 4621 305 55649 0.5394 0.5397* 251  387 -133  359 -160  315  57  76
J111157.45-001821.6 3838 496 55588 0.5101 0.5110  434  266 -178  321 -167  266  50  36
J111653.17+122501.4 5368 557 56001 0.3966 0.3964  293  318 -337   93 -314  117  41  62
J112002.65+394444.7 4651 321 56008 0.4888 0.4883  452  124 -182  157 -174  149  92  71
J112313.76+043430.5 4769 900 55931 0.4670 0.4665  156  124 -638   -6 -638   -6  33  53
J112903.84+033408.5 4768 337 55944 0.4895 0.4889  226  298 -562   42 -545   39  64 199
J113021.95+105752.2 5372 304 55978 0.6086 0.6081  332  180 -136  173 -176  116  38  36
J113307.47+073648.0 5374 191 55947 0.5828 0.5817  381  288 -228  167 -240   89  50  52
J114353.77+010947.2 3841 865 56016 0.5296 0.5295  304  185 -320  164 -269  166 116 110
J115939.18+162623.7 5871 135 56041 0.4581 0.4581  370  113 -110  162 -110  162  41  13
J120128.59+095837.3 5388 283 55983 0.5558 0.5552   73   80 -122  116 -119  100  51  65
J120220.75+250123.3 5970 580 56072 0.5144 0.5140  258  321 -212  171 -203  146  61 147
J120410.50-012029.6 3844 243 55321 0.4948 0.4942  234  256 -441   36 -438   46  20  58
J120651.63+065904.0 4831 789 55679 0.6200 0.6197  420  243 -200  185 -199  165 195  93
J120732.01+101010.6 5391 705 56000 0.4470 0.4471  154  165 -195  170 -202  174  50  42
J122026.09+044631.9 4751 670 55646 0.0811 0.0813  237  283 -506   26 -528  -16  19  76
J122641.85+215217.5 5982 694 56074 0.4346 0.4348  310  342 -132  156 -155  110  56  52
J123642.57+004148.5 3848 809 55647 0.4444 0.4436* 708  142    0  290   59  280  68  61
J124232.20+090103.8 5407 805 55926 0.4663 0.4661  269  273 -307   61 -289   84 130 217
J124508.12+363021.9 3973 617 55323 0.4675 0.4674  162  160 -166  183 -168  180 126 117
J124734.49-012556.9 3793 927 55214 0.5722 0.5719* 284  266 -187  203 -212  176  26  40
J124952.56+054510.1 4835 109 56016 0.6173 0.6174  230  240 -190  137 -145  140  70 112
J125025.27+180018.7 5856 897 56090 0.5341 0.5351  200  156  -54  465  -63  425 107  48
J125744.54+134503.0 5416 182 56002 0.5102 0.5102  233  187 -153  189 -147  218  47  48
J130120.88+004422.6 4051 589 55337 0.5928 0.5927  708  324 -497   43 -358   36  84 109
J130321.41+091813.2 5421 485 55980 0.3960 0.3957  304  330 -222  182 -241  158 190 200
J130430.67+035422.1 4758 143 55682 0.4276 0.4279  158  260 -139  147 -135  158  47  44
J130808.76+265546.3 5994 695 56101 0.4997 0.5001  267   98 -177  169 -159  166 125  63
J131642.90+175332.6 5867 304 56034 0.1504 0.1499  424  284 -293  229 -313  169 376 358
J131947.66+061047.7 4840 120 55690 0.4465 0.4461  163   72 -196   78 -167   79  21  42
J132630.26+143921.9 5431 735 56011 0.4433 0.4434  287  322 -102  237  -87  248 286 271
J132702.44+135833.3 5431 265 56011 0.4570 0.4569  755  189  -52  267  -72  249 145  24
J132705.85+020515.4 4006 995 55328 0.4178 0.4176  385  276 -253  200 -235  186  75  90
J133037.25+272751.0 6000 860 56102 0.4199 0.4195  289  211 -335   68 -314   60  96 274
J133155.47+242901.8 5995 901 56093 0.4291 0.4295  199  142 -170  149 -182  129 127 104
J133518.96-031120.4 4047 445 55352 0.4465 0.4474  223   97 -106  245 -108  238 257 127
J133728.61+000417.1 4046 885 55605 0.5870 0.5885  359  410 -557   25 -483   48  24  80
J133920.77-004128.7 4043 465 55630 0.4458 0.4452  193  272 -226  100 -190  115 132 222
J135217.21+175710.8 5444 837 56038 0.6419 0.6412 1014  237  -80  174  -84  172 141  30
J140210.19+140011.3 5448 866 56013 0.4923 0.4925  160   93 -220  114  -85  126  38  78
J140621.95+355634.8 3854  99 55247 0.4179 0.4184  407   73  -19  138 -248   30 286  58
J140624.38+440609.6 6055 425 56102 0.5613 0.5619  123  119 -163  215  -85  198  73 144
J140928.99+213201.7 5896 391 56047 0.5009 0.5011  188  163 -138  147 -152  111  55  44
J140955.09+142738.0 5451  21 56010 0.4064 0.4058  167  327 -207  156 -181  183 116 207
J141602.63+352416.9 3855  57 55268 0.4129 0.4133  148  107 -126  200  -91  200  53  30
J141606.64+134442.9 5455 121 56009 0.4360 0.4359  128   71 -223   91 -192   87  62 136
J142000.29+260857.9 6010 997 56097 0.6179 0.6164  219  237 -207  123  -89  134 246 516
J142817.80+072336.8 4860 708 55691 0.4021 0.4020  448  336  -86  405  -96  422 272  98
