1112+2750    0.047 2 336  4 0.85 0.07 2.31 0.20 c   4.9  6.5 82.5 0.090 n/a          2
1126+2944    0.102 2 310  5 0.94 0.10 1.76 0.19 e 133.2  2.3 16.1 0.320 NIR          1,2,3
1129+3428    0.192 2 407  3 1.29 0.09 4.11 0.27 e  77.9  0.4  1.8 0.110 n/a          1
1150+0441    0.040 2 282  4 0.19 0.04 0.16 0.03 c  41.3 11.9 13.3 0.053 n/a          1,2
1152+1903    0.097 2 306  3 0.65 0.04 1.17 0.07 c  60.6  1.2 22.7 0.223 NIR/VLBA     1,2,3,5,8
1155+1507s   0.287 1 377 12 0.55 0.06 2.40 0.26 c 137.0  3.2 87.4 0.052 NIR/IFU      3,6,8
1157+0816    0.201 1 368 16 0.28 0.02 0.94 0.08 c 137.4 10.1 80.6 0.218 NIR          3,6,8
1158+3231    0.166 2 441  3 0.27 0.01 0.76 0.02 c  12.7  1.5  4.8 0.100 n/a          1
1239+5314s   0.201 1 686 20 0.39 0.05 1.29 0.18 e  40.6  3.5 19.3 0.082 NIR/IFU      3,6,8
1248+3624    0.207 1 378  6 1.09 0.02 3.69 0.07 e  81.3  1.3  6.5 0.076 n/a          6
1307+4604    0.353 1 505 22 0.61 0.05 3.01 0.23 e 108.3  7.5 53.4 0.226 NIR/IFU      3,6,7,8
1408+3532    0.166 2 353  3 0.33 0.02 0.92 0.07 e  30.2  1.9  9.7 0.092 NIR          1,3,8
1448+1825p   0.038 2 242  2 0.84 0.08 0.63 0.06 c 174.6  2.1  4.6 0.160 n/a          1
1459+2307    0.185 2 447 13 0.15 0.03 0.47 0.09 c 167.8  2.7 59.2 0.180 n/a          1
1517+3353    0.135 2 581  4 2.29 0.22 5.49 0.53 e 117.6  1.9  3.3 0.093 VLBA/SS/VLA  1,2,5,6,10
1556+0948    0.068 2 401  2 0.47 0.03 0.61 0.04 c 134.7  6.6 25.0 0.064 NIR/SS/VLBA  1,2,4,5
1556+2418    0.220 2 431 10 0.38 0.05 1.35 0.17 c  69.9  4.5 29.4 0.150 n/a          6
1604+5009    0.146 2 361  3 1.05 0.08 2.69 0.20 c  98.2  5.4 21.9 0.053 NIR          1,2,3,8
1605+1522p   0.042 2 336  4 0.63 0.06 0.52 0.05 e 178.0  5.9  7.2 0.191 n/a          2
1606+2736    0.158 2 306  4 0.31 0.01 0.84 0.03 e 162.3  0.7  1.5 0.038 NIR          1,3,8
1618+2159    0.335 1 359  4 0.17 0.01 0.80 0.05 c  19.2  6.5 53.1 0.031 NIR/IFU      3,6,8
1623+0808    0.199 2 469  5 0.37 0.06 1.22 0.19 c  27.9  4.8 18.6 0.064 n/a          1,6
1629+2408p   0.059 2 245  6 0.57 0.06 1.32 0.15 c 131.8  7.4 13.3 0.136 n/a          2
1633+2627p   0.071 2 295  9 1.03 0.08 4.48 0.36 e 149.9  7.7 11.9 0.355 NIR          2,3,8
1637+3523    0.123 2 330  2 0.53 0.06 1.17 0.13 c 133.3  9.3 69.1 0.100 n/a          1
1715+6008    0.157 2 334  5 0.68 0.16 1.86 0.43 c 145.6  6.8 26.7 0.022 NIR/Chandra  1,3,6,8,11
2104-0009p   0.135 2 380 14 0.28 0.02 0.68 0.05 e  97.8  4.9  2.4 0.138 n/a          6
2252+0029    0.153 2 432  9 0.47 0.04 1.25 0.10 c 135.8  5.6 47.7 0.010 NIR/SS       1,4
2254-0051p   0.079 2 408  5 0.36 0.02 0.54 0.04 c 117.4  5.3  7.4 0.180 n/a          1,2
2255-0812p   0.149 2 497  2 0.44 0.04 1.14 0.11 e 176.6  1.9  3.8 0.236 NIR/SS       1,4
2304-0933p   0.032 2 302  4 0.84 0.04 0.53 0.03 e  66.0  2.8  4.9 0.139 NIR/SS       1,2,3,4,8
2310-0900    0.094 2 320  3 0.87 0.04 1.52 0.06 e   8.9  8.1 56.7 0.008 HST/NIR/SS   1,2,3,4
2333+0049    0.170 2 419  3 0.42 0.04 1.22 0.13 e  32.9  3.4 81.9 0.063 NIR/IFU/SS   1,3,4,8
2352+0011    0.167 2 305  3 0.34 0.02 0.97 0.05 c 164.4  2.7 12.8 0.081 NIR/IFU      1,3,8
