J112907.10+575605.4 1309 449 52762  0.3126   0 246 257 -220 117 -205  110
J112939.77+605742.5  775  12 52295  0.1120 202 489 341 -241 218 -231  217
J112947.14+342842.6 2100 603 53713  0.1916 192 465 261 -224 214 -227  211
J113126.08-020459.2  327 394 52294  0.1463 173 305 286 -225 176    0    0
J113242.98+190303.8 2498  23 54169  0.1292 184 300 128 -170 125 -115  162
J113721.36+612001.2  776  99 52319  0.1112 237 289 209  -87 214  -87  208
J113927.40+090014.0 1225 288 52760  0.1044 137 210 241 -147 126 -139  156
J114132.99-030231.7  328 179 52282  0.1245 106 253 269 -151 156 -135  117
J114544.23+405946.1 1970 376 53386  0.5390 500 159 100  -42 570  -38  559
J114610.04-022619.2  328 640 52282  0.1225 235 158 218 -141 112 -140   96
J114642.47+511029.6  881 241 52368  0.1300 166 199 330 -196  88 -188  123
J114840.14-021637.2  329 519 52056  0.0848 162 210 317 -185 185 -171  208
J115028.16+044141.8  840 277 52374  0.0404 139 264 217 -199 119 -178  115
J115245.66+101623.8 1227 429 52733  0.0699 151 260 361 -225  90 -232  102
J115249.33+190300.3 2509  19 54180  0.0967 135 219 102 -171 147 -112  170
J115610.77+045943.4  840 557 52374  0.0795 174 274 249 -110 191 -116  193
J115822.58+323102.2 2095 342 53474  0.1658 199 501 238 -228 227  -98  215
J120324.95+044649.8  842 228 52376  0.1354 155 206 138 -213 102 -206   95
J120357.35+280856.7 2226 579 53819  0.0693 117 147 112 -117 149    0    0
J120526.05+321314.7 2095 115 53474  0.4856   0 287 192 -359 214 -354  219
J120802.09+230430.7 2644 371 54210  0.0736 133 251 239 -163 148 -131  123
J121957.51+190003.5 2610   3 54476  0.1167 117 407 261 -243 174 -222  149
J122104.97+604953.9  955 525 52409  0.0629 103 494 489 -467  90 -444  115
J122212.02+272601.7 2233 181 53845  0.1328 190 207 165  -88 247  -90  270
J122709.84+124854.5 1615 434 53166  0.1947 146 356 262 -464 188 -424  170
J123524.95+060810.7 1628 250 53474  0.0942 137 173 156 -209 122 -122   94
J123605.45-014119.2  335 420 52000  0.2116 184 320 313 -278 109 -297  211
J123658.80+261619.6 2236 247 53729  0.1395 119 211 238 -156 126 -165  129
J123833.83+303731.1 2237 375 53828  0.2937 349 160 240 -401  72 -352   47
J124037.84+353437.3 2010   1 53495  0.1606 189 588 315 -270 243 -130  258
J124358.36-005845.4  291  98 51928  0.4092 311 471 207 -360 161 -178  241
J124504.20+372300.2 2000  11 53495  0.2795 345 188 557 -472  58 -400   29
J125451.54+254253.4 2661 543 54505  0.1205 146 160 157 -123 183 -100  185
J130128.77-005804.3  293  16 51994f 0.2457   0 308 229 -255 139 -234  109
J130729.73+124355.3 1696 481 53116  0.0635 111 294 162 -183 185 -140  199
J131106.74+195234.2 2617 559 54502  0.1559 141 179 261 -179 140 -199  245
J131515.94+213403.6 2651 154 54507  0.0701 138 315 307 -262 140 -241  150
J132104.59-001445.8  296 173 51984  0.0822 157 165 230 -190 140 -172  142
J132123.79+540736.7 1041 399 52724  0.1215 113 302 120 -138 183 -126  173
J132231.86+263159.1 2244 433 53795  0.1441 194 161 152 -276 139 -237  129
J132310.98+103913.2 1800 350 53884  0.2293 190 187 142 -265 112 -174   87
J132318.81+030807.1  526 616 52312  0.2689 260 443 253 -254 219 -183  216
J132547.95+545019.5 1041 407 52724  0.1419 153 140 159 -103 150 -101  148
J132848.46+275227.8 1978 203 53473  0.0911 177 137 163 -114 115 -115  131
J133222.45+463226.6 1463 554 53063  0.3630   0 238 158 -243 109 -230   98
J133226.34+060627.4 1801 250 54156  0.2070 256 206 376 -318  90 -427  117
J133332.04+300744.7 2110  18 53467  0.2843 278 243 181 -171 106 -142  107
J134114.87+221957.8 2654 460 54231  0.1152 129 279 326 -323 104 -273   82
J134341.33+195331.1 2654  44 54231  0.1236 179 225 252 -215 129 -178  151
J135046.48+231128.0 2783 186 54524  0.0565 103 312 172 -131 187  -62  201
J135251.22+654113.2  497  76 51989  0.2064 268 370 145 -108 265  -81  302
J135646.11+102609.1 1702 121 53144  0.1231 238 243 247 -184 229 -175  222
J140231.58+021546.4  532 351 51993  0.1797 208 277 292 -206 102 -138  131
J140534.85+244735.0 2124 233 53770  0.1299 109 299 121 -171 136 -111  160
J140842.42+043050.9  582 119 52045  0.2415 193 209 236 -279  86 -235  115
J140845.73+353218.5 1839 366 53471  0.1656 235 260 310 -249 125 -204  107
J141630.92+311910.9 2125  40 53795  0.1126 134 365 185 -134 170  -63  214
J144116.36-000742.5  308 316 51662  0.1395 148 219 193 -141 124 -133  131
J144541.31+334107.9 1646 165 53498  0.1313 194 357 548 -309 162 -305  256
J144804.17+182537.9 2777 440 54554  0.0378 139 153 180 -105 146 -105  145
J145050.60+083832.6 1814 516 54555  0.1168 124 163 130 -112 118  -95  132
J145156.82+301602.7 1843 135 53816  0.1577 202 209 250 -214 299    0    0
J145217.27+511050.3 1328 514 52786  0.0758 171 374 273 -141 210   -2  314
J145951.31+230708.6 2150 374 54510  0.1848 175 327 449 -260 221 -257  128
J150053.92+382349.6 1398 207 53146  0.1453 189 269 264 -218 123 -199  103
J151659.24+051751.5 1833 571 54561  0.0512 209 243 172 -129 196 -100  190
J151709.21+335324.7 1386 526 53116  0.1352 232 644 718 -354 387 -331  377
J152145.01+291759.5 1846 526 54173  0.1129 172 226 202 -152 156  -72  196
