J1515-0532          S/B, 2016-08-05
J1522+4527          S/C, 2016-03-30
J1537+2648          S/C, 2016-03-30; S/B, 2016-08-05
J1600+2058 L/A      S/C, 2016-03-30; S/B, 2016-08-05
J1603+5242          S/C, 2016-03-30
J1606+0000 L/A      S/B, 2016-08-05
J1606+4517 L/A      S/C, 2016-03-30
J1614+2817 L/A      S/B, 2016-08-05
J1625+2705 L/A      S/B, 2016-08-05
J1653+3115          S/C, 2016-03-30
J1655+4551          S/C, 2016-03-30; S/B, 2016-08-05
J1656+3952 L/A      S/C, 2016-03-30
J2226+0125          S/C, 2016-02-04; S/B, 2016-05-30; L/B, 2016-05-31
J2359-1041          S/C, 2016-02-07; S/B, 2016-05-30; L/B, 2016-06-03
