SDSSJ094309.66+103400.6 09 43 09.67 +10 34 00.6 19.44 19.24 1.05 1.325 1.40 1.239 a            SDSSJ094309.36+103401.3 09 43 09.36 +10 34 01.3 20.46 20.07 0.95 1.525 1.70                     4.57
SDSSJ095454.73+373419.7 09 54 54.74 +37 34 19.8 19.81 19.57 0.95 1.475 1.65 1.554 b            SDSSJ095454.99+373419.9 09 54 55.00 +37 34 20.0 19.19 18.91 1.45 1.575 1.95 1.884 a     1.892 b 3.14
SDSSJ095840.74+332216.3 09 58 40.75 +33 22 16.3 19.27 19.18 1.35 1.475 2.10                    SDSSJ095840.94+332211.5 09 58 40.95 +33 22 11.6 20.75 20.64 1.45 1.725 2.10                     5.33
SDSSJ095907.05+544908.0 09 59 07.06 +54 49 08.1 20.51 20.60 1.90 2.025 2.15 1.956 b            SDSSJ095907.47+544906.3 09 59 07.47 +54 49 06.4 20.27 20.07 1.40 1.575 2.10 1.954 b             3.94
SDSSJ100128.61+502756.8 10 01 28.61 +50 27 56.9 17.74 17.60 1.45 1.725 2.00 1.839 a,??         SDSSJ100128.34+502758.4 10 01 28.35 +50 27 58.4 18.64 18.34 1.45 1.575 1.95                     2.93
SDSSJ100434.79+411239.2 10 04 34.80 +41 12 39.3 18.78 18.64 1.55 1.725 2.00                    SDSSJ100434.91+411242.8 10 04 34.92 +41 12 42.8 19.25 19.04 1.55 1.725 2.15 1.740 a,??          3.76
SDSSJ100735.42+012559.3 10 07 35.42 +01 25 59.3 21.19 21.04 0.95 1.225 1.45                    SDSSJ100735.58+012555.9 10 07 35.59 +01 25 55.9 20.49 20.58 1.00 1.225 1.45                     4.19
SDSSJ103340.52+022831.0 10 33 40.52 +02 28 31.1 20.50 20.25 1.50 1.775 1.95                    SDSSJ103340.32+022830.6 10 33 40.33 +02 28 30.6 20.79 20.26 0.25 0.375 0.45                     2.93
SDSSJ103939.31+100253.0 10 39 39.32 +10 02 53.0 18.88 18.42 0.10 0.175 0.25 0.161 a            SDSSJ103939.53+100254.3 10 39 39.53 +10 02 54.4 19.79 19.60 0.65 1.125 1.55                     3.46
SDSSJ104110.01+051443.7 10 41 10.01 +05 14 43.7 21.34 20.61 2.20 2.375 2.70                    SDSSJ104109.71+051447.5 10 41 09.72 +05 14 47.6 20.91 20.61 0.10 0.175 0.25                     5.79
SDSSJ104421.06+042950.8 10 44 21.07 +04 29 50.8 21.16 20.97 0.90 1.575 1.95                    SDSSJ104421.22+042949.6 10 44 21.23 +04 29 49.7 19.78 19.86 1.10 1.425 1.50                     2.68
SDSSJ104530.70+510611.4 10 45 30.70 +51 06 11.4 20.72 20.76 1.00 1.225 1.45                    SDSSJ104531.09+510615.3 10 45 31.09 +51 06 15.4 20.82 20.39 1.45 1.575 1.80                     5.37
SDSSJ110352.16+443604.2 11 03 52.17 +44 36 04.2 20.62 20.43 0.95 1.225 1.45                    SDSSJ110351.86+443602.5 11 03 51.87 +44 36 02.6 20.88 20.62 1.40 1.525 1.80                     3.59
SDSSJ111054.10+605343.1 11 10 54.11 +60 53 43.2 21.06 20.86 1.55 1.775 2.20                    SDSSJ111053.63+605347.9 11 10 53.63 +60 53 48.0 19.25 18.94 0.65 0.775 0.90                     5.91
SDSSJ111844.67+142850.6 11 18 44.67 +14 28 50.7 21.20 21.01 1.40 1.625 2.20                    SDSSJ111844.40+142854.8 11 18 44.40 +14 28 54.9 21.17 21.08 1.45 1.875 2.10                     5.74
SDSSJ112556.32+143148.0 11 25 56.32 +14 31 48.1 20.98 20.70 0.90 1.325 1.60                    SDSSJ112556.54+143152.1 11 25 56.55 +14 31 52.1 20.49 20.38 1.50 1.725 2.15                     5.19
SDSSJ113638.09+563503.9 11 36 38.09 +56 35 03.9 19.48 19.02 0.60 0.675 0.90                    SDSSJ113637.52+563500.4 11 36 37.53 +56 35 00.5 19.96 19.94 1.85 2.075 2.15                     5.78
SDSSJ114503.06+660211.3 11 45 03.06 +66 02 11.3 20.02 20.09 1.65 1.825 2.00                    SDSSJ114503.74+660208.6 11 45 03.74 +66 02 08.7 20.74 20.24 0.50 0.675 0.85                     4.92
SDSSJ114718.66+123436.3 11 47 18.67 +12 34 36.3 20.30 19.80 2.15 2.225 2.60 2.232 b            SDSSJ114718.44+123439.8 11 47 18.45 +12 34 39.8 21.22 20.91 1.45 1.625 2.00 1.583 b             4.76
SDSSJ115119.05+465234.5 11 51 19.05 +46 52 34.5 21.48 20.50 0.30 0.325 0.40                    SDSSJ115118.87+465235.1 11 51 18.88 +46 52 35.1 20.77 20.67 0.95 1.225 2.10                     1.90
SDSSJ115217.31-004746.2 11 52 17.32 -00 47 46.2 21.51 21.00 1.45 1.525 1.60                    SDSSJ115217.32-004750.1 11 52 17.32 -00 47 50.2 21.17 20.79 2.00 2.075 2.20                     3.98
SDSSJ115822.77+123518.5 11 58 22.78 +12 35 18.6 20.32 19.90 0.45 0.525 0.65                    SDSSJ115822.98+123520.3 11 58 22.99 +12 35 20.3 20.63 20.12 0.40 0.475 0.65                     3.56
SDSSJ120450.54+442835.8 12 04 50.54 +44 28 35.9 19.15 19.04 0.95 1.125 1.45 1.142 a     1.144b SDSSJ120450.78+442834.2 12 04 50.78 +44 28 34.2 19.63 19.48 1.35 1.725 1.95 1.814 b             3.06
SDSSJ120517.34+062125.3 12 05 17.35 +06 21 25.3 20.31 20.13 1.45 1.625 1.90                    SDSSJ120517.71+062127.1 12 05 17.72 +06 21 27.1 21.12 20.79 0.80 0.975 1.55                     5.85
SDSSJ120629.65+433220.6 12 06 29.65 +43 32 20.6 19.70 19.38 1.95 2.175 2.35                    SDSSJ120629.64+433217.5 12 06 29.65 +43 32 17.6 18.68 18.78 1.65 1.825 2.05 1.789 a,??          3.04
SDSSJ120727.09+140817.1 12 07 27.10 +14 08 17.2 20.61 20.39 1.60 1.775 2.00                    SDSSJ120727.25+140820.3 12 07 27.26 +14 08 20.4 20.47 20.27 1.55 1.775 1.95                     3.95
SDSSJ120807.68+124602.3 12 08 07.68 +12 46 02.4 19.29 19.02 1.85 2.075 2.20 1.742 a            SDSSJ120808.04+124605.0 12 08 08.04 +12 46 05.0 21.32 20.91 1.45 1.525 1.70                     5.86
SDSSJ120845.14+351051.0 12 08 45.14 +35 10 51.1 18.92 18.99 1.10 1.275 1.45                    SDSSJ120844.97+351047.8 12 08 44.98 +35 10 47.8 21.49 21.02 1.45 1.575 1.70                     3.83
SDSSJ120957.67+113659.3 12 09 57.67 +11 36 59.4 20.95 20.70 0.80 0.975 1.50                    SDSSJ120957.71+113656.6 12 09 57.72 +11 36 56.6 20.97 20.77 0.90 1.125 1.50                     2.83
SDSSJ121646.05+352941.5 12 16 46.05 +35 29 41.5 19.56 19.43 1.90 2.075 2.20                    SDSSJ121645.93+352941.5 12 16 45.93 +35 29 41.6 20.49 20.39 1.05 1.575 1.95                     1.45
SDSSJ123122.37+493430.7 12 31 22.38 +49 34 30.8 20.05 19.94 1.55 1.775 2.15                    SDSSJ123122.27+493433.8 12 31 22.28 +49 34 33.9 21.28 20.63 0.50 0.725 0.90                     3.26
SDSSJ123555.27+683627.0 12 35 55.27 +68 36 27.1 20.16 19.70 0.50 0.625 1.10                    SDSSJ123554.78+683624.7 12 35 54.78 +68 36 24.8 19.61 19.04 2.75 2.775 2.80                     3.51
SDSSJ124948.17+060714.0 12 49 48.18 +06 07 14.0 20.48 20.38 1.85 2.075 2.20 2.376 b            SDSSJ124948.12+060709.0 12 49 48.13 +06 07 09.0 21.03 20.41 2.20 2.325 2.65 2.001 b             5.04
SDSSJ125530.44+630900.5 12 55 30.44 +63 09 00.5 20.55 20.30 1.50 1.675 1.90 1.753 b            SDSSJ125530.82+630902.0 12 55 30.82 +63 09 02.1 20.55 20.60 1.10 1.375 1.50 1.393 b             3.01
SDSSJ125955.46+124151.0 12 59 55.46 +12 41 51.1 20.32 19.99 1.95 2.175 2.30 2.180 b            SDSSJ125955.61+124153.8 12 59 55.62 +12 41 53.8 20.44 20.09 1.90 2.175 2.25 2.189 b             3.55
SDSSJ130036.43+082802.9 13 00 36.44 +08 28 02.9 17.83 17.75 1.00 1.125 1.40                    SDSSJ130036.15+082759.8 13 00 36.15 +08 27 59.9 21.17 21.07 0.75 1.025 1.40                     5.21
SDSSJ130326.14+510051.0 13 03 26.14 +51 00 51.0 20.66 20.54 1.50 2.075 2.20 1.686 b            SDSSJ130326.17+510047.2 13 03 26.18 +51 00 47.2 20.47 20.37 1.60 1.775 2.00 1.684 b             3.81
SDSSJ132022.54+305622.8 13 20 22.55 +30 56 22.9 18.83 18.60 1.35 1.475 1.65                    SDSSJ132022.64+305618.2 13 20 22.64 +30 56 18.3 20.33 19.92 1.45 1.575 1.80                     4.74
SDSSJ133114.29+143834.4 13 31 14.29 +14 38 34.4 20.96 20.71 1.50 2.125 2.20                    SDSSJ133114.19+143837.0 13 31 14.19 +14 38 37.1 21.75 21.07 0.40 0.475 0.70                     3.06
SDSSJ133128.86+373714.4 13 31 28.87 +37 37 14.4 21.65 21.02 0.35 0.425 0.55                    SDSSJ133129.01+373709.4 13 31 29.02 +37 37 09.4 20.29 20.30 1.55 1.775 2.15                     5.27
SDSSJ133713.08+601209.6 13 37 13.08 +60 12 09.7 20.23 20.04 1.30 1.775 2.05 1.721 b            SDSSJ133713.13+601206.5 13 37 13.13 +60 12 06.6 18.77 18.59 1.50 1.625 1.95 1.735 a     1.727 b 3.12
SDSSJ133901.97+620851.5 13 39 01.98 +62 08 51.6 20.55 20.32 1.50 1.775 1.90                    SDSSJ133901.91+620847.7 13 39 01.91 +62 08 47.7 21.27 20.89 1.45 1.575 1.95                     3.89
SDSSJ133907.13+131039.6 13 39 07.14 +13 10 39.6 19.13 18.85 0.65 0.875 1.05                    SDSSJ133907.23+131038.6 13 39 07.23 +13 10 38.7 19.62 19.03 2.10 2.325 2.60                     1.69
SDSSJ134929.84+122706.9 13 49 29.85 +12 27 06.9 18.01 17.87 1.50 1.725 1.95 1.722 a,b          SDSSJ134930.00+122708.8 13 49 30.01 +12 27 08.8 19.73 19.33 1.45 1.575 2.20 1.722 b             2.99
SDSSJ141855.41+244108.9 14 18 55.42 +24 41 08.9 19.81 19.27 0.45 0.525 0.70                    SDSSJ141855.53+244104.7 14 18 55.54 +24 41 04.7 20.84 20.22 0.40 0.625 0.70                     4.50
SDSSJ142359.48+545250.8 14 23 59.48 +54 52 50.8 18.92 18.63 1.00 1.175 1.45 1.409 a            SDSSJ142400.00+545248.7 14 24 00.01 +54 52 48.8 20.29 19.93 1.45 1.575 1.90                     4.94
SDSSJ142604.32+071930.0 14 26 04.33 +07 19 30.0 20.09 20.12 1.00 1.225 1.45                    SDSSJ142604.26+071925.8 14 26 04.27 +07 19 25.9 20.77 20.82 0.95 1.175 1.45                     4.27
SDSSJ143002.88+071411.3 14 30 02.89 +07 14 11.3 19.56 19.50 1.05 1.375 1.45                    SDSSJ143002.66+071415.6 14 30 02.66 +07 14 15.6 20.58 20.27 1.00 1.225 1.40                     5.41
SDSSJ143104.97+270528.6 14 31 04.98 +27 05 28.6 20.91 20.24 2.20 2.375 2.65                    SDSSJ143104.64+270524.6 14 31 04.65 +27 05 24.7 20.55 19.79 2.25 2.375 2.55                     5.91
SDSSJ143229.24-010616.0 14 32 29.25 -01 06 16.1 17.88 17.83 1.90 2.025 2.15 2.085 a     2.082b SDSSJ143228.94-010613.5 14 32 28.95 -01 06 13.6 21.40 21.10 1.55 2.125 2.25 2.082 b             5.13
SDSSJ143949.67+060107.9 14 39 49.67 +06 01 08.0 19.70 19.56 0.90 1.025 1.40                    SDSSJ143949.83+060103.2 14 39 49.83 +06 01 03.2 21.14 20.94 1.00 1.375 1.50                     5.33
SDSSJ144422.59+541320.6 14 44 22.59 +54 13 20.6 20.53 20.31 0.70 0.925 1.15                    SDSSJ144422.21+541321.4 14 44 22.21 +54 13 21.5 21.18 20.83 1.45 1.575 1.80                     3.45
SDSSJ144740.62+632732.9 14 47 40.62 +63 27 33.0 21.03 21.00 0.90 1.225 1.50                    SDSSJ144741.09+632735.3 14 47 41.10 +63 27 35.4 19.54 19.52 1.05 1.225 1.45                     3.99
SDSSJ145826.72+544813.1 14 58 26.73 +54 48 13.2 20.82 20.53 1.65 1.925 1.95                    SDSSJ145826.16+544814.8 14 58 26.17 +54 48 14.8 21.08 20.79 1.50 1.775 1.95                     5.14
SDSSJ150656.86+505610.5 15 06 56.87 +50 56 10.6 19.47 19.22 0.65 0.775 1.00                    SDSSJ150657.18+505607.9 15 06 57.18 +50 56 07.9 20.18 19.75 2.00 2.225 2.40                     4.00
SDSSJ150747.23+290333.2 15 07 47.23 +29 03 33.3 20.40 19.97 0.70 0.775 0.95                    SDSSJ150746.90+290334.1 15 07 46.91 +29 03 34.2 20.70 20.44 0.80 0.975 1.25                     4.35
SDSSJ150842.21+332805.5 15 08 42.22 +33 28 05.5 20.70 20.43 0.25 0.375 0.45 0.878 b            SDSSJ150842.19+332802.6 15 08 42.20 +33 28 02.6 17.95 17.83 0.70 0.875 1.00 0.878 a,b           2.90
SDSSJ151055.97+374124.1 15 10 55.97 +37 41 24.2 19.88 19.64 0.90 1.075 1.45                    SDSSJ151055.73+374119.3 15 10 55.73 +37 41 19.3 20.13 19.85 0.80 0.975 1.40                     5.62
SDSSJ151258.43+295150.4 15 12 58.43 +29 51 50.4 18.75 18.68 1.45 1.725 2.00                    SDSSJ151258.06+295148.1 15 12 58.07 +29 51 48.1 21.23 20.82 0.45 0.475 0.50                     5.31
SDSSJ151709.88+084414.3 15 17 09.89 +08 44 14.3 21.55 20.89 0.40 0.475 0.55                    SDSSJ151709.55+084416.5 15 17 09.56 +08 44 16.5 20.94 20.91 1.70 1.875 1.95                     5.39
SDSSJ151823.05+295925.4 15 18 23.06 +29 59 25.5 19.95 19.51 1.00 1.175 1.45 1.249 a            SDSSJ151823.43+295927.5 15 18 23.43 +29 59 27.6 20.12 20.24 1.10 1.225 1.45                     5.28
SDSSJ152019.86+234107.1 15 20 19.86 +23 41 07.2 20.61 20.11 0.40 0.475 0.70                    SDSSJ152020.11+234106.5 15 20 20.12 +23 41 06.6 20.33 19.79 0.65 0.775 0.90                     3.52
SDSSJ152050.04+263740.9 15 20 50.04 +26 37 40.9 19.12 19.19 1.85 2.075 2.15                    SDSSJ152050.18+263740.8 15 20 50.19 +26 37 40.9 19.45 19.34 1.00 1.425 1.75                     1.94
