00:09:52.6115865762 +12:44:04.664804414
00:58:22.637 +26:51:58.61
01:48:28.884 +53:32:28.19
02:20:54.3 -01:56:51
05:16:03.133 +24:58:25.47
08:05:35.0057673498 +24:09:50.334614040
08:31:27.521 +32:19:27.06
09:41:24.0272828657 +39:44:41.806341013
10:20:53.676 +48:31:24.31
11:01:32.0 +16:43:54
11:30:21.4202517083 +00:58:23.044644843
12:06:20.12496 +04:06:10.7892
17:46:14.03413721 +62:26:54.7383903
15:13:40.0227468596 +26:07:23.710955469
18:24:33.061 +74:20:58.57
19:52:15.7997953344 +02:30:24.235518851
21:23:44.582 +25:04:27.23
21:57:31.448 +00:37:57.06
23:47:38.1536951232 +08:52:46.413060197
